Girvanella | Cyanobacteria | 0 | hypersaline,marine,brackish,freshwater
Glaphyropterodes | Arthropoda | 0 | terrestrial
Gleichenia | Pteridophyta | 1 |
Gleicheniidites | Pteridophyta | 0 |
Gleichenites | Pteridophyta | 0 |
Globirhynchia | Brachiopoda | 0 |
Globularia | Mollusca | 1 |
Globulina | Foraminifera | 1 |
Glomerula | Annelida | 1 |
Glossopteris | Peltaspermophyta | 0 |
Glossozamites | Cycadophyta | 0 |
Glossus | Mollusca | 1 |
Glyphea | Arthropoda | 0 |
Glyptocythere | Arthropoda | 0 | hypersaline,marine,brackish,freshwater
Gnathorhynchia | Brachiopoda | 0 |
Godavarisaurus | Chordata | 0 | terrestrial
Goldfussastrea | Cnidaria | 0 | marine
Gondtherium | Chordata | 0 | terrestrial
Gondwanapleuropholis | Chordata | 0 | marine
Gongylothorax | Radiolaria | 1 | marine
Goniochirus | Arthropoda | 0 |
Goniodromites | Arthropoda | 0 |
Goniomya | Mollusca | 0 |
Goniothyris | Brachiopoda | 0 |
Gordenella | Mollusca | 1 |
Gorgansium | Radiolaria | 0 | marine
Grallator | Chordata | 0 | terrestrial
Grammatodon | Mollusca | 0 |
Grammoceras | Mollusca | 0 |
Granulatisporites | Pteridophyta | 0 |
Granulirhynchia | Brachiopoda | 0 |
Graphis | Mollusca | 1 |
Graphoceras | Mollusca | 0 |
Gresslya | Mollusca | 0 |
Groeberella | Mollusca | 0 |
Gryphaea | Mollusca | 0 | marine,brackish
Gryphaeligmus | Mollusca | 0 |
Guexella | Radiolaria | 0 | marine
Gutnicella | Foraminifera | 0 |
Gymnocidaris | Echinodermata | 0 | marine
Gymnotiara | Echinodermata | 0 | marine
Gyraulus | Mollusca | 1 | freshwater
Gythemon | Mollusca | 0 |
Hagiastrum | Radiolaria | 0 | marine
Haimeicyclus | Cnidaria | 0 | marine
Halesium | Radiolaria | 0 | marine
Haliodictya | Radiolaria | 0 | marine
Haliomma | Radiolaria | 0 | marine
Hammatoceras | Mollusca | 0 |
Haplaraea | Cnidaria | 0 | marine
Haplophragmium | Foraminifera | 0 |
Haplophragmoides | Foraminifera | 1 |
Haplopleuroceras | Mollusca | 0 |
Harpax | Mollusca | 0 | marine
Harpoceras | Mollusca | 0 |
Haselburgites | Mollusca | 0 |
Hastites | Mollusca | 0 |
Hausmannia | Pteridophyta | 0 |
Hebertides | Arthropoda | 0 |
Hebetoxyites | Mollusca | 0 |
Heimia | Brachiopoda | 0 |
Heligmus | Mollusca | 0 | marine,brackish
Helvetocapsa | Radiolaria | 0 | marine
Hemicidaris | Echinodermata | 0 | marine
Hemipedina | Echinodermata | 0 | marine
Hepaticites | Bryophyta | 0 |
Herangirhynchia | Brachiopoda | 0 |
Hessotiara | Echinodermata | 0 | marine
Heterocidaris | Echinodermata | 0 | marine
Heterodontus | Chordata | 1 | marine
Hexaflos | Cnidaria | 0 | marine
Hexalonche | Radiolaria | 1 | marine
Hexasaturnalis | Radiolaria | 0 | marine
Hexastylus | Radiolaria | 1 | marine
Hibolithes | Mollusca | 0 |
Higumastra | Radiolaria | 0 | marine
Hilarisirex | Radiolaria | 0 | marine
Himalayadrinda | Chordata | 0 | terrestrial
Hippocrepina | Foraminifera | 1 |
Hirmeriella | Coniferophyta | 0 |
Hiscocapsa | Radiolaria | 0 | marine
Holcobelus | Mollusca | 0 |
Holcophylloceras | Mollusca | 0 |
Holectypus | Echinodermata | 0 | marine
Holosporella | Chlorophyta | 0 | coastal,inner shelf,oligotrophic,hypersaline,marine,brackish
Holothuriopsis | Echinodermata | 0 | marine
Homaloteuthis | Mollusca | 0 |
Homoeoparonaella | Radiolaria | 0 | marine
Homoeorhynchia | Brachiopoda | 0 |
Homomya | Mollusca | 0 |
Hoploparia | Arthropoda | 0 |
Hsuum | Radiolaria | 0 | marine
Huangshanlong | Chordata | 0 | terrestrial
Hubeiodus | Chordata | 0 | marine
Hudlestoniella | Mollusca | 0 |
Hunanilarva | Arthropoda | 0 | terrestrial
Hybodus | Chordata | 0 | marine
Hydrobiites | Arthropoda | 0 | terrestrial
Hyperamminoides | Foraminifera | 0 |
Hyperlioceras | Mollusca | 0 |
Ichthyosaurus | Chordata | 0 | marine
Ichtyolaria | Foraminifera | 0 |
Ieldraan | Chordata | 0 | marine
Indobaatar | Chordata | 0 | terrestrial
Indochelys | Chordata | 0 | terrestrial
Indocoelacanthus | Chordata | 0 | marine
Indocorbula | Mollusca | 0 |
Indotherium | Chordata | 0 | terrestrial
Infracytheropteron | Arthropoda | 0 | hypersaline,marine,brackish,freshwater
Inoceramus | Mollusca | 0 |
Inoperna | Mollusca | 0 | lagoonal,coastal,inner shelf,outer shelf,oceanic,brackish,freshwater
Intersmilia | Cnidaria | 0 | marine
Isaberrysaura | Chordata | 0 | terrestrial
Isastrea | Cnidaria | 0 | marine
Isastrocoenia | Cnidaria | 0 | marine
Ischyosporites | Pteridophyta | 0 |
Isoarca | Mollusca | 0 |
Isocrinus | Echinodermata | 1 | marine
Isocyprina | Mollusca | 0 |
Isodonta | Mollusca | 0 |
Isoetites | Lycophyta | 0 |
Isognomon | Mollusca | 1 | marine,brackish
Ixostrobus | Ginkgophyta | 0 |
Japonisaturnalis | Radiolaria | 0 | marine
Japonocapsa | Radiolaria | 0 | marine
