Cancellina                               | Micro     | Foraminifera               | -268800000    | -2.651e+08   | <>
Cancellistroma                           | Animal    | Porifera                   | -268800000    | -2.651e+08   | <>
Cancrinella                              | Animal    | Brachiopoda                | -268800000    | -2.599e+08   | <>
Cancrinelloides                          | Animal    | Brachiopoda                | -268800000    | -2.651e+08   | <>
Caninia                                  | Animal    | Cnidaria                   | -296400000    | -268000000   | Caninia
Canoptum                                 | Micro     | Radiolaria                 | -295500000    | -174100000   | <>
Capillomesolobus                         | Animal    | Brachiopoda                | -268800000    | -2.651e+08   | <>
Capillonia                               | Animal    | Brachiopoda                | -272300000    | -2.651e+08   | <>
Capnodoce                                | Micro     | Radiolaria                 | -295500000    | -174100000   | <>
Captorhinikos                            | Animal    | Chordata                   | -290100000    | -268000000   | <>
Captorhinus                              | Animal    | Chordata                   | -290100000    | -268000000   | Captorhinus
Capulus                                  | Animal    | Mollusca                   | -272300000    | -254170000   | Capulus
Carbonarca                               | Animal    | Mollusca                   | -272300000    | -254170000   | <>
Carbonicola                              | Animal    | Mollusca                   | -298900000    | -252170000   | Carbonicola
Carcinophyllum                           | Animal    | Cnidaria                   | -272300000    | -2.651e+08   | <>
Cardiella                                | Animal    | Mollusca                   | -268800000    | -2.651e+08   | <>
Cardiomorpha                             | Animal    | Mollusca                   | -290100000    | -2.599e+08   | <>
Cardioneura                              | Plant     | Tracheophyta               | -272300000    | -2.599e+08   | <>
Caricula                                 | Animal    | Brachiopoda                | -272300000    | -2.651e+08   | <>
Carinaknightina                          | Animal    | Arthropoda                 | -268800000    | -2.651e+08   | <>
Carinotachylasma                         | Animal    | Cnidaria                   | -272300000    | -2.599e+08   | <>
Carinowaagenophyllum                     | Animal    | Cnidaria                   | -268800000    | -2.651e+08   | <>
Carinthiaphyllum                         | Animal    | Cnidaria                   | -268800000    | -2.651e+08   | Carinthiaphyllum
Cartorhium                               | Animal    | Brachiopoda                | -268800000    | -2.651e+08   | <>
Casea                                    | Animal    | Chordata                   | -290100000    | -268000000   | Casea
Cassiavellia                             | Animal    | Mollusca                   | -268800000    | -2.651e+08   | Cassiavellia
Casterella                               | Animal    | Mollusca                   | -268800000    | -254170000   | <>
Catenispongia                            | Animal    | Porifera                   | -268800000    | -2.651e+08   | <>
Cathaysia                                | Animal    | Brachiopoda                | -268800000    | -2.651e+08   | Cathaysia
Cauletella                               | Micro     | Radiolaria                 | -272300000    | -2.599e+08   | <>
Caulopteris                              | Plant     | Pteridophyta               | -272300000    | -252170000   | <>
Cavellina                                | Animal    | Arthropoda                 | -268800000    | -2.651e+08   | <>
Cavusonella                              | Animal    | Porifera                   | -268800000    | -2.599e+08   | <>
Cedripites                               | Plant     | Gymnospermophyta           | -298900000    | -252170000   | <>
Celebetes                                | Animal    | Brachiopoda                | -268800000    | -2.599e+08   | <>
Cenorhynchia                             | Animal    | Brachiopoda                | -268800000    | -2.651e+08   | <>
Ceratoporella                            | Animal    | Porifera                   | -268800000    | -2.599e+08   | <>
Ceraunocochlis                           | Animal    | Mollusca                   | -268800000    | -2.651e+08   | <>
Cerdodon                                 | Animal    | Chordata                   | -272300000    | -2.599e+08   | Cerdodon
Chaenomya                                | Animal    | Mollusca                   | -268800000    | -2.651e+08   | <>
Chaetetes                                | Animal    | Porifera                   | -268800000    | -2.599e+08   | Chaetetes
Chalaroschwagerina                       | Micro     | Foraminifera               | -279300000    | -2.651e+08   | <>
Chalcosaurus                             | Animal    | Chordata                   | -268000000    | -252300000   | <>
Chamishaella                             | Animal    | Arthropoda                 | -268800000    | -2.651e+08   | <>
Chaoiella                                | Animal    | Brachiopoda                | -268800000    | -2.651e+08   | <>
Chaoina                                  | Animal    | Brachiopoda                | -268800000    | -2.651e+08   | <>
Chapursania                              | Animal    | Brachiopoda                | -268800000    | -2.651e+08   | <>
Chauliochiton                            | Animal    | Mollusca                   | -296400000    | -268000000   | <>
Chaunactis                               | Animal    | Porifera                   | -268800000    | -2.651e+08   | <>
Chelichnus                               | Animal    | Chordata                   | -298900000    | -252170000   | Chelichnus
Cheliderpeton                            | Animal    | Chordata                   | -298900000    | -254000000   | Cheliderpeton
Chelydosaurus                            | Animal    | Chordata                   | -298900000    | -254000000   | <>
Chenella                                 | Micro     | Foraminifera               | -272300000    | -2.599e+08   | <>
Chenoprosopus                            | Animal    | Chordata                   | -296400000    | -268000000   | Chenoprosopus
Chihsiaphyllum                           | Animal    | Cnidaria                   | -268800000    | -2.651e+08   | <>
Chilianshania                            | Animal    | Brachiopoda                | -268800000    | -2.651e+08   | <>
Chiropteris                              | Plant     | Cycadophyta                | -268800000    | -2.599e+08   | Chiropteris
Chirotherium                             | Animal    | Chordata                   | -290100000    | -2.599e+08   | Chirotherium
Chlorozyga                               | Animal    | Mollusca                   | -268800000    | -2.651e+08   | <>
Choerosaurus                             | Animal    | Chordata                   | -272300000    | -2.599e+08   | Choerosaurus
Chombungia                               | Animal    | Cnidaria                   | -268800000    | -2.651e+08   | <>
Chondronia                               | Animal    | Brachiopoda                | -268800000    | -2.651e+08   | <>
Chonetella                               | Animal    | Brachiopoda                | -268800000    | -2.651e+08   | <>
Chonetes                                 | Animal    | Brachiopoda                | -268800000    | -2.599e+08   | Chonetes
Chonetina                                | Animal    | Brachiopoda                | -268800000    | -2.651e+08   | <>
Chonetinella                             | Animal    | Brachiopoda                | -268800000    | -2.599e+08   | <>
Chonetinetes                             | Animal    | Brachiopoda                | -268800000    | -2.651e+08   | <>
Chonostegoides                           | Animal    | Brachiopoda                | -268800000    | -2.651e+08   | <>
Choristitella                            | Animal    | Brachiopoda                | -268800000    | -2.599e+08   | <>
Choristites                              | Animal    | Brachiopoda                | -268800000    | -2.651e+08   | <>
Chroniosuchus                            | Animal    | Chordata                   | -268000000    | -252300000   | Chroniosuchus
Chrysostoma                              | Animal    | Mollusca                   | -268800000    | -2.651e+08   | Chrysostoma
Chthomaloporus                           | Animal    | Chordata                   | -268000000    | -265000000   | Chthomaloporus
Chusenella                               | Micro     | Foraminifera               | -268000000    | -265000000   | <>
Cibecuia                                 | Animal    | Mollusca                   | -298900000    | -252170000   | <>
Cibolites                                | Animal    | Mollusca                   | -268800000    | -2.599e+08   | Cibolites
Cigarella                                | Animal    | Mollusca                   | -268800000    | -2.651e+08   | <>
Cistecephalus                            | Animal    | Chordata                   | -298900000    | -252170000   | Cistecephalus
Cladochonus                              | Animal    | Cnidaria                   | -268800000    | -2.599e+08   | Cladochonus
Cladophlebis                             | Plant     | Pteridophyta               | -268800000    | -2.599e+08   | Cladophlebis
Cladopora                                | Animal    | Cnidaria                   | -268800000    | -2.651e+08   | <>
Claraia                                  | Animal    | Mollusca                   | -268800000    | -2.599e+08   | Claraia
Clausotrypa                              | Animal    | Bryozoa                    | -268800000    | -2.651e+08   | Clausotrypa
