Caelatichthys                            | Animal    | Chordata                   | -242000000    | -235000000   | <>
Calamites                                | Plant     | Sphenophyta                | -242000000    | -237000000   | Calamites
Calamospora                              | Plant     | Sphenophyta                | -252170000    | -237000000   | <>
Calclamnella                             | Animal    | Echinodermata              | -242000000    | -235000000   | <>
Calclamnoidea                            | Animal    | Echinodermata              | -242000000    | -237000000   | Calclamnoidea
Calicia                                  | Animal    | Porifera                   | -242000000    | -237000000   | <>
Calliconites                             | Animal    | Mollusca                   | -247200000    | -235000000   | Calliconites
Calliostoma                              | Animal    | Mollusca                   | -242000000    | -237000000   | Calliostoma
Callipteris                              | Plant     | Peltaspermophyta           | -298900000    | -201300000   | Callipteris
Callistomordax                           | Animal    | Chordata                   | -242000000    | -235000000   | Callistomordax
Calvaentolium                            | Animal    | Mollusca                   | -242000000    | -237000000   | <>
Camerothyris                             | Animal    | Brachiopoda                | -242000000    | -235000000   | <>
Camptonectes                             | Animal    | Mollusca                   | -247200000    | -237000000   | <>
Canadospira                              | Animal    | Brachiopoda                | -242000000    | -237000000   | <>
Candelaria                               | Animal    | Chordata                   | -242000000    | -237000000   | Candelaria
Candelariodon                            | Animal    | Chordata                   | -242000000    | -237000000   | Candelariodon
Candona                                  | Animal    | Arthropoda                 | -252170000    | -201300000   | Candona
Canesium                                 | Micro     | Radiolaria                 | -247200000    | -174100000   | <>
Canoptum                                 | Micro     | Radiolaria                 | -242000000    | -235000000   | <>
Cantohagla                               | Animal    | Arthropoda                 | -242000000    | -237000000   | <>
Capnodoce                                | Micro     | Radiolaria                 | -242000000    | -235000000   | <>
Capnuchosphaera                          | Micro     | Radiolaria                 | -247200000    | -174100000   | <>
Cardinia                                 | Animal    | Mollusca                   | -242000000    | -237000000   | Cardinia
Cardinioides                             | Animal    | Mollusca                   | -242000000    | -235000000   | <>
Cardita                                  | Animal    | Mollusca                   | -242000000    | -228000000   | Cardita
Carinella                                | Animal    | Chordata                   | -242000000    | -235000000   | <>
Carinokoninckina                         | Animal    | Brachiopoda                | -242000000    | -228000000   | <>
Carinthiaspongus                         | Animal    | Porifera                   | -242000000    | -235000000   | <>
Carnallicrinus                           | Animal    | Echinodermata              | -247200000    | -235000000   | <>
Cassianastraea                           | Animal    | Cnidaria                   | -242000000    | -235000000   | <>
Cassianella                              | Animal    | Mollusca                   | -242000000    | -235000000   | <>
Cassianocrinus                           | Animal    | Echinodermata              | -242000000    | -235000000   | <>
Cassianopsis                             | Animal    | Mollusca                   | -242000000    | -237000000   | <>
Cassianospira                            | Animal    | Brachiopoda                | -242000000    | -235000000   | <>
Cassianothalamia                         | Animal    | Porifera                   | -242000000    | -228000000   | <>
Catabrycus                               | Animal    | Arthropoda                 | -242000000    | -237000000   | <>
Catella                                  | Animal    | Mollusca                   | -242000000    | -235000000   | <>
Cathayiblatta                            | Animal    | Arthropoda                 | -242000000    | -235000000   | <>
Catinoides                               | Animal    | Arthropoda                 | -242000000    | -237000000   | <>
Caturus                                  | Animal    | Chordata                   | -242000000    | -235000000   | Caturus
Caucasorhynchia                          | Animal    | Brachiopoda                | -242000000    | -235000000   | Caucasorhynchia
Cavussurella                             | Animal    | Arthropoda                 | -242000000    | -237000000   | <>
Cayeuxia                                 | Micro     | Cyanobacteria              | -242000000    | -237000000   | <>
Celtites                                 | Animal    | Mollusca                   | -242000000    | -228000000   | <>
Celyphia                                 | Animal    | Porifera                   | -242000000    | -228000000   | <>
Cenoceras                                | Animal    | Mollusca                   | -242000000    | -237000000   | Cenoceras
Cenosphaera                              | Micro     | Radiolaria                 | -247200000    | -235000000   | <>
Ceotinella                               | Animal    | Porifera                   | -242000000    | -228000000   | <>
Cephalosyne                              | Animal    | Arthropoda                 | -242000000    | -237000000   | <>
Ceratites                                | Animal    | Mollusca                   | -242000000    | -235000000   | Ceratites
Ceratobairdia                            | Animal    | Arthropoda                 | -242000000    | -237000000   | <>
Ceratodus                                | Animal    | Chordata                   | -242000000    | -201300000   | Ceratodus
Ceratoporella                            | Animal    | Porifera                   | -242000000    | -228000000   | <>
Ceresiosaurus                            | Animal    | Chordata                   | -242000000    | -235000000   | Ceresiosaurus
Ceriostella                              | Animal    | Cnidaria                   | -242000000    | -235000000   | <>
Chalishevia                              | Animal    | Chordata                   | -242000000    | -237000000   | Chalishevia
Challaia                                 | Animal    | Chordata                   | -242000000    | -228000000   | <>
Chanaresuchus                            | Animal    | Chordata                   | -242000000    | -237000000   | Chanaresuchus
Chaohusaurus                             | Animal    | Chordata                   | -247200000    | -237000000   | Chaohusaurus
Chauliodites                             | Animal    | Arthropoda                 | -242000000    | -235000000   | <>
Cheilotomona                             | Animal    | Mollusca                   | -242000000    | -237000000   | Cheilotomona
Chelepteris                              | Plant     | Pteridophyta               | -242000000    | -237000000   | <>
Chelocrinus                              | Animal    | Echinodermata              | -242000000    | -235000000   | <>
Chemnitzia                               | Animal    | Mollusca                   | -247200000    | -237000000   | Chemnitzia
Chieseiceras                             | Animal    | Mollusca                   | -242000000    | -235000000   | Chieseiceras
Chinchenia                               | Animal    | Chordata                   | -247200000    | -237000000   | Chinchenia
Chiniquodon                              | Animal    | Chordata                   | -242000000    | -228000000   | Chiniquodon
Chirodella                               | Animal    | Chordata                   | -242000000    | -235000000   | Chirodella
Chiropteris                              | Plant     | Cycadophyta                | -242000000    | -228000000   | Chiropteris
Chirotherium                             | Animal    | Chordata                   | -247200000    | -237000000   | Chirotherium
Chlamys                                  | Animal    | Mollusca                   | -242000000    | -235000000   | Chlamys
Choristopanorpa                          | Animal    | Arthropoda                 | -242000000    | -237000000   | <>
Chubakka                                 | Animal    | Arthropoda                 | -242000000    | -237000000   | <>
Cidaris                                  | Animal    | Echinodermata              | -242000000    | -228000000   | Cidaris
Citriduma                                | Micro     | Radiolaria                 | -242000000    | -237000000   | <>
Cladiscites                              | Animal    | Mollusca                   | -242000000    | -237000000   | Cladiscites
Cladochorista                            | Animal    | Arthropoda                 | -242000000    | -237000000   | <>
Cladogirvanella                          | Micro     | Cyanobacteria              | -242000000    | -228000000   | <>
Cladophlebia                             | Animal    | Arthropoda                 | -242000000    | -237000000   | <>
Cladophlebis                             | Plant     | Pteridophyta               | -242000000    | -228000000   | Cladophlebis
Clathrocupes                             | Animal    | Arthropoda                 | -242000000    | -235000000   | <>
Clathropteris                            | Plant     | Pteridophyta               | -242000000    | -208500000   | <>
Cleithrolepis                            | Animal    | Chordata                   | -242000000    | -235000000   | Cleithrolepis
Clionitites                              | Animal    | Mollusca                   | -242000000    | -235000000   | <>
Clytiopsis                               | Animal    | Arthropoda                 | -242000000    | -235000000   | <>
Coccavus                                 | Animal    | Arthropoda                 | -242000000    | -237000000   | <>
Codinella                                | Animal    | Mollusca                   | -242000000    | -237000000   | <>
Coelochrysalis                           | Animal    | Mollusca                   | -242000000    | -237000000   | <>
Coelostylina                             | Animal    | Mollusca                   | -242000000    | -235000000   | <>
Coelurosaurichnus                        | Animal    | Chordata                   | -247200000    | -237000000   | Coelurosaurichnus
Coenothyris                              | Animal    | Brachiopoda                | -242000000    | -235000000   | <>
Collarecodium                            | Plant     | Chlorophyta                | -242000000    | -235000000   | <>
Collbatothuria                           | Animal    | Echinodermata              | -242000000    | -237000000   | <>
Colobodus                                | Animal    | Chordata                   | -242000000    | -228000000   | Colobodus
Colognathus                              | Animal    | Chordata                   | -242000000    | -235000000   | Colognathus
Colospongia                              | Animal    | Porifera                   | -242000000    | -228000000   | <>
Colubrellopsis                           | Animal    | Mollusca                   | -242000000    | -237000000   | <>
Complanicorona                           | Animal    | Chordata                   | -242000000    | -237000000   | <>
Coniopteris                              | Plant     | Pteridophyta               | -242000000    | -237000000   | Coniopteris
Conites                                  | Plant     | Cycadeoideophyta           | -247200000    | -237000000   | <>
Coniunctio                               | Animal    | Chordata                   | -242000000    | -237000000   | <>
Conospongocyrtis                         | Micro     | Radiolaria                 | -242000000    | -235000000   | <>
Contectopalatus                          | Animal    | Chordata                   | -247200000    | -237000000   | Contectopalatus
Conularia                                | Animal    | Cnidaria                   | -242000000    | -228000000   | <>
Cordaites                                | Plant     | Pinophyta                  | -242000000    | -237000000   | Cordaites
Cornuspira                               | Micro     | Foraminifera               | -242000000    | -237000000   | <>
