Ceratopea                                | Animal    | Mollusca                   | -471800000    | -457500000   | <>
Ceratopeltis                             | Animal    | Arthropoda                 | -478600000    | -468100000   | Ceratopeltis
Ceratopsis                               | Animal    | Arthropoda                 | -470000000    | -443400000   | Ceratopsis
Ceratopyge                               | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Ceratreta                                | Animal    | Brachiopoda                | -472000000    | -466000000   | <>
Ceraurinella                             | Animal    | Arthropoda                 | -468100000    | -449500000   | Ceraurinella
Cerauropeltis                            | Animal    | Arthropoda                 | -471800000    | -457500000   | Cerauropeltis
Ceraurus                                 | Animal    | Arthropoda                 | -468100000    | -460900000   | Ceraurus
Chaetetes                                | Animal    | Porifera                   | -541000000    | -252170000   | Chaetetes
Chamishaella                             | Animal    | Arthropoda                 | -470000000    | -458400000   | <>
Champlainopora                           | Animal    | Bryozoa                    | -468100000    | -460900000   | <>
Chaohuceras                              | Animal    | Mollusca                   | -471800000    | -457500000   | <>
Chapmanopyge                             | Animal    | Arthropoda                 | -485400000    | -468100000   | <>
Charactoceras                            | Animal    | Mollusca                   | -470000000    | -443400000   | Charactoceras
Chasmataspis                             | Animal    | Arthropoda                 | -468100000    | -460900000   | Chasmataspis
Chaulistomella                           | Animal    | Brachiopoda                | -468100000    | -449500000   | <>
Chauvelicystis                           | Animal    | Echinodermata              | -478600000    | -466000000   | <>
Chazydictya                              | Animal    | Bryozoa                    | -468100000    | -460900000   | <>
Cheirocrinus                             | Animal    | Echinodermata              | -468100000    | -460900000   | <>
Cheirocystella                           | Animal    | Echinodermata              | -470000000    | -458400000   | <>
Cheirocystis                             | Animal    | Echinodermata              | -468100000    | -463500000   | <>
Chihlioceras                             | Animal    | Mollusca                   | -478600000    | -466000000   | <>
Chilcorthis                              | Animal    | Brachiopoda                | -472000000    | -466000000   | <>
Chinianaster                             | Animal    | Echinodermata              | -471800000    | -466000000   | <>
Chirognathus                             | Animal    | Chordata                   | -478600000    | -460900000   | Chirognathus
Chisiloceras                             | Animal    | Mollusca                   | -478600000    | -466000000   | <>
Choia                                    | Animal    | Porifera                   | -477700000    | -467300000   | Choia
Chonetoidea                              | Animal    | Brachiopoda                | -468100000    | -460900000   | <>
Christiania                              | Animal    | Brachiopoda                | -468100000    | -449500000   | Christiania
Cienagomya                               | Animal    | Mollusca                   | -478600000    | -466000000   | <>
Cincinnaticrinus                         | Animal    | Echinodermata              | -470000000    | -458400000   | <>
Circulocrania                            | Animal    | Arthropoda                 | -478600000    | -466000000   | Circulocrania
Clarkella                                | Animal    | Brachiopoda                | -478600000    | -466000000   | Clarkella
Clarkoceras                              | Animal    | Mollusca                   | -478600000    | -468100000   | Clarkoceras
Clathrospira                             | Animal    | Mollusca                   | -468100000    | -460900000   | <>
Clavohamulus                             | Animal    | Chordata                   | -478600000    | -466000000   | <>
