Brachiodontes                            | Animal    | Mollusca                   | -66000000     | -56000000    | <>
Brachycarcharias                         | Animal    | Chordata                   | -66000000     | -55800000    | <>
Brachycythere                            | Animal    | Arthropoda                 | -66000000     | -56000000    | <>
Brachysphingus                           | Animal    | Mollusca                   | -61600000     | -59200000    | <>
Branchioplax                             | Animal    | Arthropoda                 | -61600000     | -47800000    | Branchioplax
Brecanclawu                              | Animal    | Arthropoda                 | -66000000     | -23030000    | <>
Brocchinia                               | Animal    | Mollusca                   | -61600000     | -59200000    | Brocchinia
Broeckella                               | Plant     | Chlorophyta                | -61600000     | -56000000    | <>
Brotia                                   | Animal    | Mollusca                   | -66000000     | -58700000    | Brotia
Bruetia                                  | Animal    | Mollusca                   | -61600000     | -59200000    | <>
Brychaetus                               | Animal    | Chordata                   | -66000000     | -33900000    | Brychaetus
Buccinofusus                             | Animal    | Mollusca                   | -61600000     | -59200000    | <>
Budapanopeus                             | Animal    | Arthropoda                 | -66000000     | -23030000    | <>
Bulla                                    | Animal    | Mollusca                   | -61600000     | -59200000    | Bulla
Bullia                                   | Animal    | Mollusca                   | -61600000     | -56000000    | Bullia
Bullinella                               | Animal    | Mollusca                   | -66000000     | -56000000    | <>
Bullopora                                | Micro     | Foraminifera               | -66000000     | -56000000    | <>
Bumelia                                  | Plant     | Spermatophyta              | -66000000     | -2588000     | Bumelia
Buntonia                                 | Animal    | Arthropoda                 | -66000000     | -56000000    | <>
Buprestis                                | Animal    | Arthropoda                 | -61600000     | -59200000    | Buprestis
Buprestites                              | Animal    | Arthropoda                 | -61600000     | -59200000    | Buprestites
Burnhamia                                | Animal    | Chordata                   | -61600000     | -56000000    | Burnhamia_(devil_ray)
Bursa                                    | Animal    | Mollusca                   | -61600000     | -59200000    | Bursa
Burtinella                               | Animal    | Mollusca                   | -61600000     | -59200000    | <>
Buryella                                 | Micro     | Radiolaria                 | -61600000     | -59200000    | <>
Bustylus                                 | Animal    | Chordata                   | -61600000     | -59200000    | Bustylus
Busycon                                  | Animal    | Mollusca                   | -61600000     | -59200000    | Busycon
Buvignieria                              | Animal    | Mollusca                   | -61600000     | -59200000    | <>
