Araucarites                              | Plant     | Pinophyta                  | -103300000    | -99600000    | <>
Arca                                     | Animal    | Mollusca                   | -105300000    | -99600000    | Arca
Arcantipsocus                            | Animal    | Arthropoda                 | -105300000    | -99600000    | <>
Arcantitanais                            | Animal    | Arthropoda                 | -105300000    | -99600000    | <>
Arcantivelia                             | Animal    | Arthropoda                 | -105300000    | -99600000    | <>
Arcellites                               | Plant     | Pteridophyta               | -105300000    | -93900000    | <>
Archaeanthus                             | Plant     | Spermatophyta              | -145000000    | -66000000    | <>
Archaeatropos                            | Animal    | Arthropoda                 | -105300000    | -99600000    | <>
Archaelagonops                           | Animal    | Arthropoda                 | -105300000    | -99600000    | <>
Archaemecys                              | Animal    | Arthropoda                 | -105300000    | -99600000    | <>
Archaeocenosphaera                       | Micro     | Radiolaria                 | -105300000    | -99600000    | <>
Archaeoceratops                          | Animal    | Chordata                   | -112030000    | -105300000   | Archaeoceratops
Archaeodictyomitra                       | Micro     | Radiolaria                 | -105300000    | -93900000    | <>
Archaeogryllotalpoides                   | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Archaeolamna                             | Animal    | Chordata                   | -105300000    | -93500000    | Archaeolamna
Archaeolithothamnium                     | Plant     | Rhodophyta                 | -105300000    | -99600000    | <>
Archaeoniscus                            | Animal    | Arthropoda                 | -113000000    | -100500000   | Archaeoniscus
Archaeopus                               | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Archaeoradiolites                        | Animal    | Mollusca                   | -105300000    | -99600000    | <>
Archaeornithipus                         | Animal    | Chordata                   | -163500000    | -100500000   | Archaeornithipus
Archaeospongoprunum                      | Micro     | Radiolaria                 | -105300000    | -89800000    | <>
Archaeozostera                           | Plant     | Angiospermae               | -109000000    | -99600000    | <>
Archaeromma                              | Animal    | Arthropoda                 | -105300000    | -99600000    | <>
Archeallacma                             | Animal    | Arthropoda                 | -105300000    | -99600000    | <>
Archephedrus                             | Animal    | Arthropoda                 | -105300000    | -99600000    | <>
Archeutheia                              | Animal    | Arthropoda                 | -112030000    | -109000000   | <>
Archiacia                                | Animal    | Echinodermata              | -109000000    | -105300000   | <>
Archiaustroconops                        | Animal    | Arthropoda                 | -105300000    | -99600000    | <>
Archimedea                               | Animal    | Mollusca                   | -122460000    | -112030000   | <>
Archiorhynchus                           | Animal    | Arthropoda                 | -113000000    | -100500000   | <>
Architettix                              | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Architiphia                              | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Arcinella                                | Animal    | Mollusca                   | -125000000    | -100500000   | Arcinella
Arcodonichthys                           | Animal    | Chordata                   | -145000000    | -66000000    | <>
Arcopagella                              | Animal    | Mollusca                   | -113000000    | -100500000   | <>
Arcopagia                                | Animal    | Mollusca                   | -113000000    | -100500000   | <>
Arcoscalpellum                           | Animal    | Arthropoda                 | -105300000    | -99600000    | <>
Arcthoplites                             | Animal    | Mollusca                   | -109000000    | -105300000   | Arcthoplites
Arctica                                  | Animal    | Mollusca                   | -105300000    | -93900000    | Arctica_(bivalve)
Arctostrea                               | Animal    | Mollusca                   | -113000000    | -100500000   | <>
Arcuatoscalpellum                        | Animal    | Arthropoda                 | -105300000    | -99600000    | <>
Ardatermes                               | Animal    | Arthropoda                 | -113000000    | -100500000   | <>
Arecipites                               | Plant     | Angiospermae               | -112030000    | -109000000   | <>
Arenaciarcula                            | Animal    | Brachiopoda                | -125000000    | -100500000   | <>
Arenobulimina                            | Micro     | Foraminifera               | -105300000    | -99600000    | <>
Argaliatherium                           | Animal    | Chordata                   | -113000000    | -100500000   | <>
Arganodus                                | Animal    | Chordata                   | -122460000    | -112030000   | Arganodus
Argillomys                               | Animal    | Chordata                   | -122460000    | -112030000   | <>
Arginbaatar                              | Animal    | Chordata                   | -125000000    | -100500000   | Arginbaatar
Argonauticeras                           | Animal    | Mollusca                   | -112030000    | -109000000   | Argonauticeras
Arguimus                                 | Animal    | Chordata                   | -125000000    | -100500000   | <>
Ariadnaesporites                         | Plant     | Pteridophyta               | -105300000    | -93900000    | <>
Arkansaurus                              | Animal    | Chordata                   | -113000000    | -100500000   | Arkansaurus
Arra                                     | Animal    | Arthropoda                 | -105300000    | -99600000    | <>
Arrhaphoceras                            | Animal    | Mollusca                   | -105300000    | -99600000    | <>
Arthurdactylus                           | Animal    | Chordata                   | -122460000    | -112030000   | Arthurdactylus
Arundelemys                              | Animal    | Chordata                   | -122460000    | -112030000   | <>
Arundo                                   | Plant     | Angiospermae               | -113000000    | -100500000   | Arundo
Asciocythere                             | Animal    | Arthropoda                 | -112030000    | -109000000   | <>
Ashanga                                  | Animal    | Arthropoda                 | -109000000    | -105300000   | <>
Asianopodus                              | Animal    | Chordata                   | -113000000    | -100500000   | <>
Asiatermes                               | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Asioculicus                              | Animal    | Arthropoda                 | -129400000    | -100500000   | <>
Aspideretes                              | Animal    | Chordata                   | -145000000    | -100500000   | Aspideretes
Aspidiscus                               | Animal    | Cnidaria                   | -105300000    | -93900000    | <>
Asplenium                                | Plant     | Pteridophyta               | -113000000    | -100500000   | Asplenium
Astacodes                                | Animal    | Arthropoda                 | -113000000    | -100500000   | <>
Astacolus                                | Micro     | Foraminifera               | -122460000    | -112030000   | <>
Astarte                                  | Animal    | Mollusca                   | -103300000    | -99600000    | Astarte_(bivalve)
Astartemya                               | Animal    | Mollusca                   | -122460000    | -112030000   | <>
Astartoides                              | Animal    | Mollusca                   | -125000000    | -100500000   | <>
Asteracanthus                            | Animal    | Chordata                   | -112030000    | -93500000    | Asteracanthus
Asteropollis                             | Plant     | Magnoliophyta              | -109000000    | -99600000    | <>
Astiericeras                             | Animal    | Mollusca                   | -105300000    | -99600000    | Astiericeras
Astraeofungia                            | Animal    | Cnidaria                   | -112030000    | -109000000   | <>
Astreopora                               | Animal    | Cnidaria                   | -109000000    | -105300000   | Astreopora
Astrocoenia                              | Animal    | Cnidaria                   | -109000000    | -105300000   | <>
Astroconodon                             | Animal    | Chordata                   | -105300000    | -93500000    | Astroconodon
Astrogyra                                | Animal    | Cnidaria                   | -122460000    | -112030000   | <>
Astrophocaudia                           | Animal    | Chordata                   | -112030000    | -109000000   | Astrophocaudia
Atalosyne                                | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Atanaupodus                              | Animal    | Arthropoda                 | -105300000    | -99600000    | <>
Ataphrus                                 | Animal    | Mollusca                   | -122460000    | -112030000   | <>
Atefia                                   | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Athabascasaurus                          | Animal    | Chordata                   | -112030000    | -109000000   | Athabascasaurus
Atherimorpha                             | Animal    | Arthropoda                 | -122460000    | -112030000   | Atherimorpha
Athrotaxis                               | Plant     | Pinophyta                  | -105300000    | -93900000    | Athrotaxis
Athrotaxites                             | Plant     | Coniferophyta              | -112030000    | -105300000   | <>
Athrotaxopsis                            | Plant     | Pinophyta                  | -112030000    | -109000000   | <>
Atlascopcosaurus                         | Animal    | Chordata                   | -122460000    | -109000000   | Atlascopcosaurus
Atocatle                                 | Animal    | Arthropoda                 | -109000000    | -99600000    | <>
Atokasaurus                              | Animal    | Chordata                   | -122460000    | -109000000   | Atokasaurus
Atokatheridium                           | Animal    | Chordata                   | -122460000    | -109000000   | Atokatheridium
Atriculicoides                           | Animal    | Arthropoda                 | -105300000    | -99600000    | <>
Aucellina                                | Animal    | Mollusca                   | -103300000    | -99600000    | <>
Audouliceras                             | Animal    | Mollusca                   | -122460000    | -112030000   | <>
Aulacopodia                              | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Aulastraeopora                           | Animal    | Cnidaria                   | -109000000    | -105300000   | <>
Aulaxinia                                | Animal    | Porifera                   | -112030000    | -109000000   | <>
Auroraceratops                           | Animal    | Chordata                   | -112030000    | -109000000   | Auroraceratops
Ausktribosphenos                         | Animal    | Chordata                   | -122460000    | -112030000   | Ausktribosphenos
Aussiedraco                              | Animal    | Chordata                   | -109000000    | -99600000    | Aussiedraco
Australiarcula                           | Animal    | Brachiopoda                | -112030000    | -109000000   | <>
Australiceras                            | Animal    | Mollusca                   | -122460000    | -109000000   | Australiceras
Australidiadema                          | Animal    | Echinodermata              | -125000000    | -100500000   | <>
Australiphemera                          | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Australochorista                         | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Australovenator                          | Animal    | Chordata                   | -122460000    | -112030000   | Australovenator
Australurus                              | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Austroconops                             | Animal    | Arthropoda                 | -105300000    | -99600000    | Austroconops
Austroraphidia                           | Animal    | Arthropoda                 | -122460000    | -112030000   | Austroraphidia
Austrosaurus                             | Animal    | Chordata                   | -105300000    | -99600000    | Austrosaurus
Austroscarites                           | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Autrigonoforceps                         | Animal    | Arthropoda                 | -105300000    | -99600000    | <>
Avellana                                 | Animal    | Mollusca                   | -105300000    | -99600000    | <>
Aviculopecten                            | Animal    | Mollusca                   | -113000000    | -100500000   | Aviculopecten
Axelrodichthys                           | Animal    | Chordata                   | -113000000    | -100500000   | Axelrodichthys
Axelrodiellus                            | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Axiopsis                                 | Animal    | Arthropoda                 | -145000000    | -100500000   | <>
Axius                                    | Animal    | Arthropoda                 | -113000000    | -100500000   | Axius_(crustacean)
Axosmilia                                | Animal    | Cnidaria                   | -109000000    | -105300000   | <>
Axosmiliopsis                            | Animal    | Cnidaria                   | -113000000    | -100500000   | <>
Aymberedactylus                          | Animal    | Chordata                   | -122460000    | -112030000   | Aymberedactylus
Babinskaia                               | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Baculatisporites                         | Plant     | Pteridophyta               | -109000000    | -99600000    | <>
Baculites                                | Animal    | Mollusca                   | -113000000    | -100500000   | Baculites
Bacutriletes                             | Plant     | Lycophyta                  | -105300000    | -93900000    | <>
