Brachyprion                              | Animal    | Brachiopoda                | -449500000    | -433400000   | <>
Brachytomaria                            | Animal    | Mollusca                   | -445600000    | -443700000   | <>
Bracteoleptaena                          | Animal    | Brachiopoda                | -445600000    | -443700000   | <>
Brevilamnulella                          | Animal    | Brachiopoda                | -445200000    | -443400000   | <>
Brongniartella                           | Animal    | Arthropoda                 | -445200000    | -443400000   | Brongniartella
Bryantodina                              | Animal    | Chordata                   | -460900000    | -443700000   | <>
Bucanella                                | Animal    | Mollusca                   | -445200000    | -443400000   | <>
Bucania                                  | Animal    | Mollusca                   | -445200000    | -443400000   | <>
Bucanopsis                               | Animal    | Mollusca                   | -449500000    | -443700000   | <>
Bumastoides                              | Animal    | Arthropoda                 | -445200000    | -443400000   | <>
Bumastus                                 | Animal    | Arthropoda                 | -445200000    | -443400000   | Bumastus
Byrsolopsina                             | Animal    | Arthropoda                 | -470000000    | -443400000   | <>
Bythocypris                              | Animal    | Arthropoda                 | -449500000    | -443700000   | <>
Bythopora                                | Animal    | Bryozoa                    | -449500000    | -443700000   | <>
Calapoecia                               | Animal    | Cnidaria                   | -445200000    | -443400000   | <>
Calceocrinus                             | Animal    | Echinodermata              | -445200000    | -440800000   | <>
Calipernurus                             | Animal    | Arthropoda                 | -449500000    | -443700000   | <>
Callograptus                             | Animal    | Hemichordata               | -445200000    | -440800000   | Callograptus
Calloporella                             | Animal    | Bryozoa                    | -445200000    | -443400000   | <>
Calostylis                               | Animal    | Cnidaria                   | -445600000    | -443700000   | <>
Calpichitina                             | Micro     | Rhizopodea                 | -445200000    | -443400000   | <>
Calymene                                 | Animal    | Arthropoda                 | -445200000    | -443400000   | Calymene
Calymenella                              | Animal    | Arthropoda                 | -445200000    | -443400000   | Calymenella
Calyptaulax                              | Animal    | Arthropoda                 | -445200000    | -443400000   | Calyptaulax
Camerella                                | Animal    | Brachiopoda                | -449500000    | -443700000   | <>
Cameroceras                              | Animal    | Mollusca                   | -449500000    | -443400000   | Cameroceras
Canadocystis                             | Animal    | Echinodermata              | -485400000    | -443400000   | <>
Canistrocrinus                           | Animal    | Echinodermata              | -449500000    | -443700000   | <>
Carabocrinus                             | Animal    | Echinodermata              | -449500000    | -443700000   | <>
Cardium                                  | Animal    | Mollusca                   | -445600000    | -443700000   | Cardium
Carmon                                   | Animal    | Arthropoda                 | -449500000    | -443700000   | <>
Carneyella                               | Animal    | Echinodermata              | -449500000    | -443700000   | <>
Caryocaris                               | Animal    | Arthropoda                 | -445200000    | -443400000   | <>
Caryocrinites                            | Animal    | Echinodermata              | -449500000    | -443700000   | <>
Caryocystites                            | Animal    | Echinodermata              | -449500000    | -443400000   | <>
Cataschisma                              | Animal    | Mollusca                   | -445600000    | -443700000   | <>
Catazyga                                 | Animal    | Brachiopoda                | -445200000    | -443400000   | <>
Catenipora                               | Animal    | Cnidaria                   | -445200000    | -440800000   | Catenipora
Cathaysiorthis                           | Animal    | Brachiopoda                | -445200000    | -443400000   | <>
Cekovia                                  | Animal    | Arthropoda                 | -449500000    | -443700000   | <>
Celtencrinurus                           | Animal    | Arthropoda                 | -445200000    | -443400000   | Celtencrinurus
Ceramopora                               | Animal    | Bryozoa                    | -445200000    | -443400000   | Ceramopora
Ceramoporella                            | Animal    | Bryozoa                    | -449500000    | -443700000   | <>
Ceratiocaris                             | Animal    | Arthropoda                 | -445200000    | -443400000   | Ceratiocaris
Ceratocephala                            | Animal    | Arthropoda                 | -449500000    | -443700000   | Ceratocephala_(trilobite)
Ceratopsis                               | Animal    | Arthropoda                 | -449500000    | -443700000   | Ceratopsis
Ceraurinella                             | Animal    | Arthropoda                 | -449500000    | -443700000   | Ceraurinella
Ceraurinus                               | Animal    | Arthropoda                 | -449500000    | -433400000   | Ceraurinus
Ceraurus                                 | Animal    | Arthropoda                 | -449500000    | -443700000   | Ceraurus
Chaetetes                                | Animal    | Porifera                   | -449500000    | -443700000   | Chaetetes
Chaetetipora                             | Animal    | Porifera                   | -449500000    | -443700000   | <>
Charactoceras                            | Animal    | Mollusca                   | -449500000    | -443700000   | Charactoceras
Charactocrinus                           | Animal    | Echinodermata              | -445200000    | -443400000   | <>
Chasmatopora                             | Animal    | Bryozoa                    | -445200000    | -443400000   | Chasmatopora
Chasmops                                 | Animal    | Arthropoda                 | -449500000    | -443700000   | Chasmops
Cheirocrinus                             | Animal    | Echinodermata              | -445200000    | -443400000   | <>
Cheirurus                                | Animal    | Arthropoda                 | -445200000    | -443400000   | Cheirurus
Chelispongia                             | Animal    | Porifera                   | -456100000    | -443700000   | <>
Chilobolbina                             | Animal    | Arthropoda                 | -449500000    | -443700000   | <>
Chirognathus                             | Animal    | Chordata                   | -460900000    | -443700000   | Chirognathus
Chonetoidea                              | Animal    | Brachiopoda                | -445600000    | -443700000   | <>
Christiania                              | Animal    | Brachiopoda                | -445200000    | -443400000   | Christiania_(brachiopod)
Chrustenopora                            | Animal    | Brachiopoda                | -445200000    | -438500000   | <>
Cincinnaticrinus                         | Animal    | Echinodermata              | -449500000    | -443700000   | <>
Cincinnatidiscus                         | Animal    | Echinodermata              | -449500000    | -443700000   | <>
Cincinnetina                             | Animal    | Brachiopoda                | -449500000    | -443700000   | Cincinnetina
Cladodictya                              | Animal    | Bryozoa                    | -449500000    | -443700000   | <>
Clarkesvillia                            | Animal    | Mollusca                   | -449500000    | -443700000   | Clarkesvillia
Clathrochitina                           | Micro     | Sarcodina                  | -445200000    | -443400000   | Clathrochitina
Clathrodictyon                           | Animal    | Porifera                   | -445200000    | -443400000   | <>
Clathropora                              | Animal    | Bryozoa                    | -445200000    | -443400000   | <>
Clathrospira                             | Animal    | Mollusca                   | -449500000    | -443700000   | <>
Cleionychia                              | Animal    | Mollusca                   | -445200000    | -443400000   | <>
Clidophorus                              | Animal    | Mollusca                   | -449500000    | -443700000   | <>
Cliefdenella                             | Animal    | Porifera                   | -458400000    | -443400000   | <>
Cliftonia                                | Animal    | Brachiopoda                | -445200000    | -443400000   | Cliftonia
Climacograptus                           | Animal    | Hemichordata               | -445200000    | -443400000   | Climacograptus
Clorilamnulella                          | Animal    | Brachiopoda                | -445200000    | -438500000   | <>
Cnemidopyge                              | Animal    | Arthropoda                 | -485400000    | -443400000   | Cnemidopyge
Coccoseris                               | Animal    | Cnidaria                   | -445200000    | -443400000   | <>
Coelocerodontus                          | Animal    | Chordata                   | -449500000    | -427400000   | <>
Coelochilina                             | Animal    | Arthropoda                 | -449500000    | -443700000   | <>
Coeloclema                               | Animal    | Bryozoa                    | -449500000    | -443700000   | <>
Colaptomena                              | Animal    | Brachiopoda                | -445600000    | -443700000   | <>
Coleodus                                 | Animal    | Chordata                   | -460900000    | -443700000   | Coleodus
Colpomya                                 | Animal    | Mollusca                   | -445200000    | -443400000   | <>
Columnaria                               | Animal    | Cnidaria                   | -449500000    | -443700000   | Columnaria
Columnopora                              | Animal    | Cnidaria                   | -449500000    | -443700000   | <>
Comatopoma                               | Animal    | Brachiopoda                | -445200000    | -443400000   | <>
Compsocrinus                             | Animal    | Echinodermata              | -449500000    | -443700000   | <>
Conbathella                              | Animal    | Arthropoda                 | -449500000    | -433400000   | <>
Concavodonta                             | Animal    | Mollusca                   | -445200000    | -443400000   | Concavodonta
Conchoprimites                           | Animal    | Arthropoda                 | -449500000    | -443700000   | <>
Conocardium                              | Animal    | Mollusca                   | -449500000    | -443700000   | Conocardium
Conotreta                                | Animal    | Brachiopoda                | -452000000    | -443700000   | <>
Constellaria                             | Animal    | Bryozoa                    | -449500000    | -443700000   | Constellaria
Constellatospongia                       | Animal    | Porifera                   | -449500000    | -443700000   | <>
Conularia                                | Animal    | Cnidaria                   | -445200000    | -443400000   | <>
Coopericystis                            | Animal    | Echinodermata              | -485400000    | -443400000   | <>
Corallidomus                             | Animal    | Mollusca                   | -449500000    | -443700000   | <>
Cordylodus                               | Animal    | Chordata                   | -449500000    | -443700000   | Cordylodus
Cornucrinus                              | Animal    | Echinodermata              | -445600000    | -443700000   | <>
Cornulites                               | Animal    | Lophotrochozoa             | -445200000    | -443400000   | Cornulites
Cornuodus                                | Animal    | Chordata                   | -445200000    | -443400000   | Cornuodus
Coronocephalus                           | Animal    | Arthropoda                 | -449500000    | -443700000   | Coronocephalus
Coronocystis                             | Animal    | Echinodermata              | -485400000    | -443400000   | <>
Coronograptus                            | Animal    | Hemichordata               | -445200000    | -440800000   | <>
Corrugatagnostus                         | Animal    | Arthropoda                 | -449500000    | -443700000   | <>
Corymbospongia                           | Animal    | Porifera                   | -449500000    | -443700000   | <>
Corynotrypa                              | Animal    | Bryozoa                    | -445200000    | -443400000   | <>
Coryssognathus                           | Animal    | Chordata                   | -449500000    | -427400000   | <>
Cosmogoniophorina                        | Animal    | Mollusca                   | -453000000    | -443400000   | <>
Costaledopsis                            | Animal    | Mollusca                   | -445200000    | -443400000   | <>
Costatulites                             | Animal    | Lophotrochozoa             | -449500000    | -443700000   | <>
Costilamnulella                          | Animal    | Brachiopoda                | -449500000    | -443700000   | <>
Crania                                   | Animal    | Brachiopoda                | -449500000    | -443700000   | Crania_(brachiopod)
Craniops                                 | Animal    | Brachiopoda                | -445200000    | -443400000   | Craniops
Craspedelia                              | Animal    | Brachiopoda                | -453000000    | -443400000   | <>
Crassilasma                              | Animal    | Cnidaria                   | -445200000    | -443400000   | <>
Cremnorthis                              | Animal    | Brachiopoda                | -449500000    | -443700000   | <>
Crenulites                               | Animal    | Cnidaria                   | -449500000    | -443700000   | <>
Crepipora                                | Animal    | Bryozoa                    | -449500000    | -443700000   | Crepipora
Cromus                                   | Animal    | Arthropoda                 | -445200000    | -443400000   | Cromus
Crozonaspis                              | Animal    | Arthropoda                 | -458400000    | -443400000   | Crozonaspis
Cryptograptus                            | Animal    | Hemichordata               | -458400000    | -443400000   | <>
Cryptolithoides                          | Animal    | Arthropoda                 | -449500000    | -443700000   | <>
Cryptolithus                             | Animal    | Arthropoda                 | -445200000    | -443400000   | Cryptolithus
Cryptophragmus                           | Animal    | Porifera                   | -485400000    | -443400000   | Cryptophragmus
Cryptophyllus                            | Animal    | Arthropoda                 | -470000000    | -443400000   | <>
Cryptospira Zygospiridae                 | Animal    | Brachiopoda                | -445200000    | -443400000   | <>
Ctenobolbina                             | Animal    | Arthropoda                 | -449500000    | -443700000   | <>
Ctenodonta                               | Animal    | Mollusca                   | -445200000    | -443400000   | <>
