Beecheria                                | Animal    | Brachiopoda                | -303400000    | -298900000   | <>
Beedeina                                 | Micro     | Foraminifera               | -323200000    | -298900000   | <>
Beinertia                                | Plant     | Pteridophyta               | -358900000    | -298900000   | <>
Belantsea                                | Animal    | Chordata                   | -301200000    | -300200000   | Belantsea
Belebey                                  | Animal    | Chordata                   | -303700000    | -295500000   | Belebey
Belemnites                               | Animal    | Mollusca                   | -541000000    | -252170000   | Belemnites_(genus)
Belemnospongia                           | Animal    | Porifera                   | -305900000    | -303400000   | <>
Bellerophon                              | Animal    | Mollusca                   | -301200000    | -300200000   | Bellerophon
Benshiella                               | Micro     | Foraminifera               | -303700000    | -298900000   | <>
Beresella                                | Plant     | Chlorophyta                | -303700000    | -298900000   | <>
Bermanerpeton                            | Animal    | Chordata                   | -303400000    | -298900000   | <>
Betaneospirifer                          | Animal    | Brachiopoda                | -323200000    | -298900000   | <>
Beyrichoceratoides                       | Animal    | Mollusca                   | -305900000    | -303400000   | Beyrichoceratoides
Bigenerina                               | Micro     | Foraminifera               | -303400000    | -298900000   | <>
Binipecten                               | Animal    | Mollusca                   | -323200000    | -298900000   | <>
Bisatoceras                              | Animal    | Mollusca                   | -305900000    | -303400000   | Bisatoceras
Biwaella                                 | Micro     | Foraminifera               | -303700000    | -298900000   | <>
Blanzelytron                             | Animal    | Arthropoda                 | -304800000    | -303400000   | <>
Blanziulus                               | Animal    | Arthropoda                 | -304800000    | -303400000   | <>
Blasispirifer                            | Animal    | Brachiopoda                | -323200000    | -298900000   | <>
Blattinopsis                             | Animal    | Arthropoda                 | -303400000    | -301200000   | <>
Blattocoleus                             | Animal    | Arthropoda                 | -303400000    | -301200000   | <>
Blattoidea                               | Animal    | Arthropoda                 | -303400000    | -301200000   | Blattoidea
Blattoprosbole                           | Animal    | Arthropoda                 | -303700000    | -298900000   | <>
Bobbodus                                 | Animal    | Chordata                   | -303700000    | -298900000   | Bobbodus
Boesites                                 | Animal    | Mollusca                   | -303400000    | -298900000   | <>
Bogoslovskya                             | Animal    | Mollusca                   | -303700000    | -295500000   | Bogoslovskya
Bohemiclavulus                           | Animal    | Chordata                   | -303700000    | -298900000   | Bohemiclavulus
Boii                                     | Animal    | Chordata                   | -303700000    | -298900000   | Boii
Booralia                                 | Animal    | Brachiopoda                | -323200000    | -298900000   | <>
Borestus                                 | Animal    | Mollusca                   | -305900000    | -303400000   | <>
Bothroclisia                             | Animal    | Cnidaria                   | -306950000    | -298900000   | <>
Bothrophyllum                            | Animal    | Cnidaria                   | -303700000    | -298900000   | <>
Botryopteris                             | Plant     | Pteridophyta               | -358900000    | -298900000   | <>
