Ctenalosia                               | Animal    | Brachiopoda                | -298900000    | -295500000   | <>
Ctenospondylus                           | Animal    | Chordata                   | -296400000    | -268000000   | Ctenospondylus
Cuselina                                 | Animal    | Arthropoda                 | -298900000    | -295500000   | <>
Cutleria                                 | Animal    | Chordata                   | -296400000    | -268000000   | Cutleria_(animal)
Cyathocarinia                            | Animal    | Cnidaria                   | -298900000    | -295500000   | <>
Cyathophyllum                            | Animal    | Cnidaria                   | -323200000    | -252170000   | <>
Cyathus                                  | Animal    | Arthropoda                 | -298900000    | -290100000   | Cyathus
Cycadopites                              | Plant     | Cycadophyta                | -298900000    | -252170000   | <>
Cycadospadix                             | Plant     | Cycadophyta                | -298900000    | -252170000   | <>
Cyclodendron                             | Plant     | Lycopodophyta              | -298900000    | -290100000   | Cyclodendron
