Bennetticarpus                           | Plant     | Cycadeoideophyta           | -208500000    | -174100000   | <>
Bennettistemon                           | Plant     | Cycadeoideophyta           | -208500000    | -174100000   | <>
Berenicea                                | Animal    | Bryozoa                    | -201300000    | -196500000   | <>
Biacumina                                | Animal    | Echinodermata              | -201300000    | -199300000   | <>
Bienotherium                             | Animal    | Chordata                   | -201300000    | -199300000   | Bienotherium
Bilsdalea                                | Plant     | Coniferophyta              | -201300000    | -174100000   | <>
Binoculites                              | Animal    | Echinodermata              | -201300000    | -190800000   | <>
Bintoniella                              | Animal    | Arthropoda                 | -201300000    | -196500000   | <>
Bipedis                                  | Micro     | Radiolaria                 | -201300000    | -174100000   | <>
Bistarkum                                | Micro     | Radiolaria                 | -201300000    | -189600000   | <>
Bisulcus                                 | Animal    | Mollusca                   | -201300000    | -190800000   | <>
Bjuvia                                   | Plant     | Cycadophyta                | -208500000    | -174100000   | <>
Blattula                                 | Animal    | Arthropoda                 | -201300000    | -199300000   | <>
Bositra                                  | Animal    | Mollusca                   | -201300000    | -163500000   | <>
Bothynophora                             | Animal    | Arthropoda                 | -201300000    | -196500000   | <>
Botryopera                               | Micro     | Radiolaria                 | -201300000    | -190800000   | <>
Bouhamidoceras                           | Animal    | Mollusca                   | -208500000    | -189600000   | Bouhamidoceras
Bourguetia                               | Animal    | Mollusca                   | -201300000    | -196500000   | <>
Brachychirotherium                       | Animal    | Chordata                   | -201300000    | -190800000   | <>
Brachyphyllum                            | Plant     | Coniferophyta              | -201300000    | -145000000   | Brachyphyllum
Brasilichnium                            | Animal    | Chordata                   | -201300000    | -174100000   | <>
Bridetherium                             | Animal    | Chordata                   | -201300000    | -190800000   | Bridetherium
Brodiola                                 | Animal    | Arthropoda                 | -208500000    | -196500000   | <>
Brontopodus                              | Animal    | Chordata                   | -201300000    | -174100000   | Brontopodus
Bucklandia                               | Plant     | Cycadophyta                | -201300000    | -174100000   | <>
Bullariscus                              | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Bullopora                                | Micro     | Foraminifera               | -201300000    | -190800000   | <>
Burmesia                                 | Animal    | Mollusca                   | -201300000    | -199300000   | <>
Byrrhydium                               | Animal    | Arthropoda                 | -201300000    | -196500000   | <>
Bysmatospermum                           | Plant     | Cycadeoideophyta           | -201300000    | -174100000   | <>
Bythoceratina                            | Animal    | Arthropoda                 | -201300000    | -199300000   | <>
Bythocypris                              | Animal    | Arthropoda                 | -201300000    | -196500000   | <>
Cadomella                                | Animal    | Brachiopoda                | -201300000    | -163500000   | <>
Caenisites                               | Animal    | Mollusca                   | -201300000    | -190800000   | <>
Caenodiotis                              | Animal    | Mollusca                   | -201300000    | -174100000   | <>
Calcirhynchia                            | Animal    | Brachiopoda                | -201300000    | -189600000   | <>
