Costigervillia                           | Animal    | Mollusca                   | -201300000    | -145000000   | <>
Cracensigillatus                         | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Crenoptychoptera                         | Animal    | Arthropoda                 | -170300000    | -166100000   | <>
Cretacaeiporites                         | Plant     | Spermatophyta              | -174100000    | -93500000    | <>
Cristellaria                             | Micro     | Foraminifera               | -170300000    | -166100000   | Cristellaria
Crossostoma                              | Animal    | Mollusca                   | -170300000    | -168300000   | <>
Crucella                                 | Micro     | Radiolaria                 | -170300000    | -168300000   | <>
Crussolia                                | Micro     | Myzozoa                    | -171600000    | -167700000   | <>
Crybelosporites                          | Plant     | Pteridophyta               | -174100000    | -93500000    | <>
Cryptaulax                               | Animal    | Mollusca                   | -171600000    | -167700000   | <>
Cryptomerites                            | Plant     | Coniferophyta              | -174100000    | -163500000   | <>
Ctenis                                   | Plant     | Cycadophyta                | -170300000    | -166100000   | Ctenis
Ctenopteris                              | Plant     | Cycadophyta                | -170300000    | -166100000   | Ctenopteris
Ctenostreon                              | Animal    | Mollusca                   | -170300000    | -164700000   | <>
Cubanirhynchia                           | Animal    | Brachiopoda                | -171600000    | -167700000   | <>
Cucullaea                                | Animal    | Mollusca                   | -171600000    | -164700000   | Cucullaea
Cucumarites                              | Animal    | Echinodermata              | -171600000    | -167700000   | <>
Culmenformosa                            | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Cuneopsis                                | Animal    | Mollusca                   | -170300000    | -168300000   | <>
Cupressinocladus                         | Plant     | Coniferophyta              | -174100000    | -163500000   | <>
Cupressinoxylon                          | Plant     | Pinophyta                  | -170300000    | -168300000   | <>
Cuspidaria                               | Animal    | Mollusca                   | -170300000    | -168300000   | Cuspidaria_(bivalve)
Cyathophora                              | Animal    | Cnidaria                   | -170300000    | -168300000   | Cyathophora_(coral)
Cyathophylliopsis                        | Animal    | Cnidaria                   | -170300000    | -168300000   | <>
Cycadocarpidium                          | Plant     | Coniferophyta              | -174100000    | -163500000   | <>
Cycadolepis                              | Plant     | Cycadeoideophyta           | -170300000    | -166100000   | <>
Cycadopites                              | Plant     | Cycadophyta                | -174100000    | -93500000    | <>
Cycadospadix                             | Plant     | Cycadophyta                | -170300000    | -168300000   | <>
Cyclagelosphaera                         | Plant     | Haptophyta                 | -170300000    | -168300000   | <>
Cycleryon                                | Animal    | Arthropoda                 | -201300000    | -145000000   | Cycleryon
Cyclocrinus                              | Animal    | Echinodermata              | -171600000    | -167700000   | <>
Cycloscytina                             | Animal    | Arthropoda                 | -170300000    | -166100000   | <>
Cycloserpula                             | Animal    | Annelida                   | -170300000    | -168300000   | <>
Cylindrobullina                          | Animal    | Mollusca                   | -170300000    | -166100000   | <>
Cylindroteuthis                          | Animal    | Mollusca                   | -171600000    | -168400000   | Cylindroteuthis
Cymatorhynchia                           | Animal    | Brachiopoda                | -170300000    | -166100000   | <>
Cyparissidium                            | Plant     | Pinophyta                  | -171600000    | -166100000   | <>
Cypridina                                | Animal    | Arthropoda                 | -174100000    | -163500000   | <>
Cyrtocapsa                               | Micro     | Radiolaria                 | -170300000    | -164700000   | <>
Cytherella                               | Animal    | Arthropoda                 | -170300000    | -168300000   | Cytherella
Cytherelloidea                           | Animal    | Arthropoda                 | -170300000    | -168300000   | <>
Cytheropteron                            | Animal    | Arthropoda                 | -171600000    | -167700000   | <>
Cyzicus                                  | Animal    | Arthropoda                 | -174100000    | -163500000   | Cyzicus
Czekanowskia                             | Plant     | Ginkgophyta                | -170300000    | -163500000   | <>
Dacromya                                 | Animal    | Mollusca                   | -170300000    | -166100000   | Dacromya
Dactylioceras                            | Animal    | Mollusca                   | -182700000    | -168300000   | Dactylioceras
Daghanirhynchia                          | Animal    | Brachiopoda                | -170300000    | -166100000   | <>
Darwinula                                | Animal    | Arthropoda                 | -170300000    | -168300000   | Darwinula
Dearcmhara                               | Animal    | Chordata                   | -182700000    | -168400000   | Dearcmhara
Deltapodus                               | Animal    | Chordata                   | -174100000    | -163500000   | Deltapodus
Deltarhynchia                            | Animal    | Brachiopoda                | -171600000    | -167700000   | <>
