Climacograptus                           | Animal    | Hemichordata               | -443400000    | -419200000   | Climacograptus
Clinoclimacograptus                      | Animal    | Hemichordata               | -443400000    | -419200000   | <>
Clintonella                              | Animal    | Brachiopoda                | -443400000    | -428200000   | <>
Clorilamnulella                          | Animal    | Brachiopoda                | -443400000    | -433400000   | <>
Clorinda                                 | Animal    | Brachiopoda                | -443400000    | -419200000   | <>
Coelocaulus                              | Animal    | Mollusca                   | -443400000    | -419200000   | <>
Coelocerodontus                          | Animal    | Chordata                   | -443400000    | -419200000   | <>
Coelocyclus                              | Animal    | Mollusca                   | -443400000    | -433400000   | <>
Coelospira                               | Animal    | Brachiopoda                | -443400000    | -419200000   | <>
Coelozone                                | Animal    | Mollusca                   | -443400000    | -433400000   | <>
Coenites                                 | Animal    | Cnidaria                   | -443400000    | -382700000   | Coenites
Columenoceras                            | Animal    | Mollusca                   | -443400000    | -433400000   | <>
Compacoleus                              | Animal    | Annelida                   | -443400000    | -433400000   | <>
Compsocrinus                             | Animal    | Echinodermata              | -443400000    | -433400000   | <>
Conbathella                              | Animal    | Arthropoda                 | -443400000    | -422900000   | <>
Conchidium                               | Animal    | Brachiopoda                | -443400000    | -419200000   | Conchidium
Condracypris                             | Animal    | Arthropoda                 | -443400000    | -419200000   | <>
Conocardium                              | Animal    | Mollusca                   | -443400000    | -419200000   | Conocardium
Conotoma                                 | Animal    | Mollusca                   | -443400000    | -422900000   | <>
Contortophyllum                          | Animal    | Cnidaria                   | -443400000    | -419200000   | <>
Contracheirurus                          | Animal    | Arthropoda                 | -443400000    | -427400000   | Contracheirurus
Conularia                                | Animal    | Cnidaria                   | -443400000    | -419200000   | <>
Cooksonia                                | Plant     | Psilophytophyta            | -443400000    | -419200000   | Cooksonia
Cordatomyonia                            | Animal    | Brachiopoda                | -443400000    | -440800000   | <>
Cordylodus                               | Animal    | Chordata                   | -443400000    | -419200000   | Cordylodus
Cornellites                              | Animal    | Mollusca                   | -443400000    | -427400000   | <>
Cornulites                               | Animal    | Lophotrochozoa             | -443400000    | -419200000   | Cornulites
Coronocephalus                           | Animal    | Arthropoda                 | -443400000    | -427400000   | Coronocephalus
Coronograptus                            | Animal    | Hemichordata               | -443400000    | -438500000   | <>
Corynotrypa                              | Animal    | Bryozoa                    | -443400000    | -423000000   | <>
Coryssognathus                           | Animal    | Chordata                   | -443400000    | -433400000   | <>
Costaegera                               | Animal    | Arthropoda                 | -443400000    | -433400000   | <>
Costatulites                             | Animal    | Lophotrochozoa             | -443400000    | -438500000   | <>
Costistricklandia                        | Animal    | Brachiopoda                | -443400000    | -422900000   | <>
Craniops                                 | Animal    | Brachiopoda                | -443400000    | -423000000   | Craniops
Crassilasma                              | Animal    | Cnidaria                   | -443400000    | -423000000   | <>
Crassitestella                           | Animal    | Brachiopoda                | -443400000    | -433400000   | <>
Crateroceras                             | Animal    | Mollusca                   | -443400000    | -427400000   | <>
Craterophyllum                           | Animal    | Cnidaria                   | -443400000    | -419200000   | <>
Crinobrachiatus                          | Animal    | Echinodermata              | -443400000    | -427400000   | <>
Cromus                                   | Animal    | Arthropoda                 | -443400000    | -433400000   | Cromus
Crotalocrinites                          | Animal    | Echinodermata              | -443400000    | -427400000   | Crotalocrinites
Cryptograptus                            | Animal    | Hemichordata               | -443400000    | -427400000   | <>
Ctenodonta                               | Animal    | Mollusca                   | -443400000    | -419200000   | <>
Ctenognathodus                           | Animal    | Chordata                   | -449500000    | -427400000   | Ctenognathodus
Ctenopterus                              | Animal    | Arthropoda                 | -443400000    | -419200000   | Ctenopterus
Cuneamya                                 | Animal    | Mollusca                   | -443400000    | -433400000   | <>
Cuneatopora                              | Animal    | Bryozoa                    | -443400000    | -438500000   | <>
Cupulocorona                             | Animal    | Echinodermata              | -443400000    | -427400000   | <>
Curriella                                | Animal    | Arthropoda                 | -443400000    | -433400000   | Curriella
Cyathactis                               | Animal    | Cnidaria                   | -443400000    | -419200000   | <>
Cyathochitina                            | Micro     | Sarcodina                  | -443400000    | -436000000   | Cyathochitina
Cyathodictya                             | Animal    | Porifera                   | -443400000    | -419200000   | <>
Cyathophylloides                         | Animal    | Cnidaria                   | -443400000    | -439000000   | <>
Cyathophyllum                            | Animal    | Cnidaria                   | -443400000    | -419200000   | <>
Cycloceras                               | Animal    | Mollusca                   | -443400000    | -427400000   | Cycloceras
Cyclocrinites                            | Plant     | Chlorophyta                | -443400000    | -433400000   | <>
Cyclocrinus                              | Animal    | Echinodermata              | -443400000    | -433400000   | <>
Cyclocyclicus                            | Animal    | Echinodermata              | -443400000    | -419200000   | <>
Cyclonema                                | Animal    | Mollusca                   | -443400000    | -419200000   | Cyclonema
Cyclora                                  | Animal    | Mollusca                   | -443400000    | -433400000   | <>
Cyclospira                               | Animal    | Brachiopoda                | -443400000    | -436000000   | <>
Cyclospongia                             | Animal    | Porifera                   | -443400000    | -422900000   | <>
Cyclotrypa                               | Animal    | Bryozoa                    | -443400000    | -419200000   | <>
Cymbidium                                | Animal    | Brachiopoda                | -443400000    | -419200000   | Cymbidium
Cymbularia                               | Animal    | Mollusca                   | -443400000    | -440800000   | <>
Cymostrophia                             | Animal    | Brachiopoda                | -443400000    | -419200000   | <>
Cyphaspis                                | Animal    | Arthropoda                 | -443400000    | -433400000   | Cyphaspis
Cyphomenoidea                            | Animal    | Brachiopoda                | -443400000    | -438500000   | <>
Cyphoproetus                             | Animal    | Arthropoda                 | -443400000    | -438500000   | <>
Cyphotrypa                               | Animal    | Bryozoa                    | -443400000    | -419200000   | <>
Cypricardinia                            | Animal    | Mollusca                   | -443400000    | -419200000   | Cypricardinia
Cyrtia                                   | Animal    | Brachiopoda                | -443400000    | -419200000   | <>
Cyrtina                                  | Animal    | Brachiopoda                | -443400000    | -433400000   | <>
Cyrtoceras                               | Animal    | Mollusca                   | -443400000    | -427400000   | Cyrtoceras
Cyrtodonta                               | Animal    | Mollusca                   | -443400000    | -419200000   | <>
Cyrtodontula                             | Animal    | Mollusca                   | -443400000    | -419200000   | <>
Cyrtograptus                             | Animal    | Hemichordata               | -443400000    | -419200000   | Cyrtograptus
Cyrtorizoceras                           | Animal    | Mollusca                   | -443400000    | -427400000   | <>
Cyrtospira                               | Animal    | Mollusca                   | -443400000    | -436000000   | <>
Cyrtostropha                             | Animal    | Mollusca                   | -443400000    | -438500000   | <>
Cystihalysites                           | Animal    | Cnidaria                   | -443400000    | -358900000   | <>
Cystipaliphyllum                         | Animal    | Cnidaria                   | -443400000    | -440800000   | <>
Cystiphorolites                          | Animal    | Cnidaria                   | -443400000    | -433400000   | <>
Cystiphyllum                             | Animal    | Cnidaria                   | -443400000    | -419200000   | <>
Cystograptus                             | Animal    | Hemichordata               | -443400000    | -438500000   | <>
Dalaspis                                 | Animal    | Arthropoda                 | -443400000    | -440800000   | <>
Daleiella                                | Animal    | Arthropoda                 | -443400000    | -438500000   | <>
Dalejina                                 | Animal    | Brachiopoda                | -443400000    | -422900000   | <>
Dalmanella                               | Animal    | Brachiopoda                | -443400000    | -433400000   | <>
