Bolivina                                 | Micro     | Foraminifera               | -166100000    | -163500000   | <>
Bonarellia                               | Animal    | Mollusca                   | -164700000    | -161200000   | <>
Borealestes                              | Animal    | Chordata                   | -167700000    | -164700000   | Borealestes
Borealonectes                            | Animal    | Chordata                   | -166100000    | -163500000   | Borealonectes
Boreiothyris                             | Animal    | Brachiopoda                | -166100000    | -157300000   | <>
Bositra                                  | Animal    | Mollusca                   | -164700000    | -161200000   | <>
Bosniella                                | Micro     | Foraminifera               | -167700000    | -164700000   | <>
Bothrothyris                             | Animal    | Brachiopoda                | -166100000    | -163500000   | <>
Bothryopneustes                          | Animal    | Echinodermata              | -164700000    | -161200000   | <>
Botryococcus                             | Plant     | Chlorophyta                | -167700000    | -164700000   | Botryococcus
Bourguetia                               | Animal    | Mollusca                   | -164700000    | -161200000   | <>
Brachidontes                             | Animal    | Mollusca                   | -166100000    | -163500000   | Brachidontes
Brachthelia                              | Animal    | Cnidaria                   | -164700000    | -161200000   | <>
Brachycleistogaster                      | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Brachyoxylon                             | Plant     | Coniferophyta              | -167700000    | -164700000   | <>
Brachyphyllophagus                       | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Brachyphyllum                            | Plant     | Pinopsida                  | -164700000    | -155700000   | Brachyphyllum
Brachyseris                              | Animal    | Cnidaria                   | -167700000    | -161200000   | <>
Brachysyntexis                           | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Bradfordia                               | Animal    | Mollusca                   | -167700000    | -164700000   | Bradfordia
Bradfordirhynchia                        | Animal    | Brachiopoda                | -167700000    | -164700000   | <>
Bralitzia                                | Animal    | Mollusca                   | -164700000    | -161200000   | <>
Bramkampia                               | Animal    | Mollusca                   | -167700000    | -164700000   | <>
Brenthorrhinoides                        | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Brevilyda                                | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Breviparopus                             | Animal    | Chordata                   | -167700000    | -164700000   | Breviparopus
Brevisiricius                            | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Brianella                                | Animal    | Echinodermata              | -166100000    | -163500000   | <>
