Biarmeaspira                             | Animal    | Mollusca                   | -290100000    | -279300000   | <>
Biarmica                                 | Animal    | Chordata                   | -279500000    | -268000000   | <>
Biarmobaiera                             | Plant     | Ginkgophyta                | -290100000    | -279300000   | <>
Biarmosuchus                             | Animal    | Chordata                   | -279500000    | -268000000   | Biarmosuchus
Bicamella                                | Animal    | Brachiopoda                | -290100000    | -279300000   | <>
Biconvexiella                            | Animal    | Brachiopoda                | -290100000    | -279300000   | <>
Bicuerda                                 | Animal    | Mollusca                   | -290100000    | -279300000   | <>
Bilotina                                 | Animal    | Brachiopoda                | -279500000    | -268000000   | <>
Bitaunioceras                            | Animal    | Mollusca                   | -290100000    | -279300000   | Bitaunioceras
Biwaella                                 | Micro     | Foraminifera               | -290100000    | -279300000   | <>
Blattelytron                             | Animal    | Arthropoda                 | -290100000    | -279300000   | <>
Blattinopsis                             | Animal    | Arthropoda                 | -290100000    | -279300000   | <>
Boesites                                 | Animal    | Mollusca                   | -290100000    | -279300000   | <>
Bolosaurus                               | Animal    | Chordata                   | -290100000    | -268000000   | Bolosaurus
Borestus                                 | Animal    | Mollusca                   | -290100000    | -279300000   | <>
Bothrophyllum                            | Animal    | Cnidaria                   | -298900000    | -252170000   | <>
Botrychiopsis                            | Plant     | Pteridophyta               | -290100000    | -279300000   | Botrychiopsis
Botryococcus                             | Plant     | Chlorophyta                | -295500000    | -272300000   | Botryococcus
Boultonia                                | Micro     | Foraminifera               | -290100000    | -265100000   | <>
Bowmanites                               | Plant     | Equisetophyta              | -290100000    | -272300000   | <>
Brachydectes                             | Animal    | Chordata                   | -290100000    | -268000000   | Brachydectes
Brachydegma                              | Animal    | Chordata                   | -290100000    | -279300000   | <>
Brachyphyllum                            | Plant     | Coniferophyta              | -290100000    | -272300000   | Brachyphyllum
Brachythyrina                            | Animal    | Brachiopoda                | -290100000    | -279300000   | <>
Brachythyris                             | Animal    | Brachiopoda                | -290100000    | -279300000   | <>
Bradyphyllum                             | Animal    | Cnidaria                   | -279500000    | -272500000   | <>
Bransonia                                | Animal    | Mollusca                   | -290100000    | -279300000   | <>
Bransonoceras                            | Animal    | Mollusca                   | -290100000    | -279300000   | <>
Brazilosaurus                            | Animal    | Chordata                   | -290100000    | -279300000   | Brazilosaurus
Broiliellus                              | Animal    | Chordata                   | -290100000    | -272300000   | Broiliellus
Brongniartites                           | Plant     | Pteridospermophyta         | -290100000    | -272300000   | <>
Bruntonella                              | Animal    | Brachiopoda                | -290100000    | -279300000   | <>
Bruntonia                                | Animal    | Brachiopoda                | -279500000    | -272500000   | <>
Buekkella                                | Animal    | Arthropoda                 | -290100000    | -279300000   | <>
Bullarina                                | Animal    | Brachiopoda                | -290100000    | -279300000   | <>
Buxtonia                                 | Animal    | Brachiopoda                | -290100000    | -279300000   | <>
Buxtonioides                             | Animal    | Brachiopoda                | -290100000    | -279300000   | <>
Calamites                                | Plant     | Sphenophyta                | -290100000    | -272300000   | Calamites
Calamospora                              | Plant     | Sphenophyta                | -298900000    | -252170000   | <>
Calamostachys                            | Plant     | Sphenophyta                | -298900000    | -272300000   | <>
Calceolispongia                          | Animal    | Echinodermata              | -290100000    | -279300000   | Calceolispongia
Calcicanicularia                         | Animal    | Mollusca                   | -290100000    | -279300000   | <>
Calcitornella                            | Micro     | Foraminifera               | -290100000    | -259900000   | <>
Calcivertella                            | Micro     | Foraminifera               | -298900000    | -272300000   | <>
Callaiapsida                             | Animal    | Brachiopoda                | -290100000    | -279300000   | <>
Callibrachion                            | Animal    | Chordata                   | -290100000    | -279300000   | Callibrachion
Calliprotonia                            | Animal    | Brachiopoda                | -279500000    | -268000000   | <>
Callipteris                              | Plant     | Peltaspermophyta           | -290100000    | -272300000   | Callipteris
Callispirina                             | Animal    | Brachiopoda                | -298900000    | -272300000   | <>
Callytharrella                           | Animal    | Brachiopoda                | -290100000    | -279300000   | <>
Calohymen                                | Animal    | Arthropoda                 | -290100000    | -279300000   | <>
Calophyllum Polycoeliidae                 | Animal    | Cnidaria                   | -290100000    | -279300000   | <>
Calstevenus                              | Animal    | Mollusca                   | -290100000    | -279300000   | <>
Calvertiella                             | Animal    | Arthropoda                 | -290100000    | -279300000   | <>
Calycoblastus                            | Animal    | Echinodermata              | -290100000    | -279300000   | <>
Camerisma                                | Animal    | Brachiopoda                | -290100000    | -279300000   | <>
Camptotaxineura                          | Animal    | Arthropoda                 | -290100000    | -279300000   | <>
Cancellina                               | Micro     | Foraminifera               | -290100000    | -259900000   | <>
Cancrinella                              | Animal    | Brachiopoda                | -290100000    | -268000000   | <>
Caneyella                                | Animal    | Mollusca                   | -290100000    | -272300000   | <>
Caninia                                  | Animal    | Cnidaria                   | -290100000    | -279300000   | Caninia
Caninophyllum                            | Animal    | Cnidaria                   | -290100000    | -279300000   | <>
Canoptum                                 | Micro     | Radiolaria                 | -295500000    | -174100000   | <>
Capillaria                               | Animal    | Brachiopoda                | -290100000    | -279300000   | Capillaria
Capillonia                               | Animal    | Brachiopoda                | -290100000    | -279300000   | <>
Capnodoce                                | Micro     | Radiolaria                 | -295500000    | -174100000   | <>
Captorhinikos                            | Animal    | Chordata                   | -290100000    | -268000000   | <>
Captorhinus                              | Animal    | Chordata                   | -290100000    | -268000000   | Captorhinus
Capulus                                  | Animal    | Mollusca                   | -290100000    | -259900000   | Capulus
Carbonicola                              | Animal    | Mollusca                   | -290100000    | -272300000   | Carbonicola
Carbonoschwagerina                       | Micro     | Foraminifera               | -290100000    | -279300000   | <>
Carcinophyllum                           | Animal    | Cnidaria                   | -290100000    | -272300000   | <>
Cardiella                                | Animal    | Mollusca                   | -290100000    | -279300000   | <>
Cardiocephalus                           | Animal    | Chordata                   | -290100000    | -279300000   | Cardiocephalus
Cardiomorpha                             | Animal    | Mollusca                   | -290100000    | -259900000   | <>
Cardioneura                              | Plant     | Tracheophyta               | -295500000    | -279300000   | <>
Carilya                                  | Animal    | Brachiopoda                | -290100000    | -279300000   | <>
Carinaknightina                          | Animal    | Arthropoda                 | -290100000    | -279300000   | <>
Carinthiaphyllum                         | Animal    | Cnidaria                   | -298900000    | -252170000   | Carinthiaphyllum
Carnocladia                              | Animal    | Bryozoa                    | -290100000    | -279300000   | <>
Carrolla                                 | Animal    | Chordata                   | -290100000    | -279300000   | Carrolla
Cartorhium                               | Animal    | Brachiopoda                | -279500000    | -268000000   | <>
Casea                                    | Animal    | Chordata                   | -290100000    | -268000000   | Casea
Cassianoides                             | Animal    | Mollusca                   | -290100000    | -279300000   | <>
Catenispongia                            | Animal    | Porifera                   | -290100000    | -272300000   | <>
Cauletella                               | Micro     | Radiolaria                 | -290100000    | -259900000   | <>
Cavellina                                | Animal    | Arthropoda                 | -290100000    | -279300000   | <>
Cavernella                               | Animal    | Bryozoa                    | -290100000    | -279300000   | <>
Cedripites                               | Plant     | Gymnospermophyta           | -298900000    | -252170000   | <>
Celonocrinus                             | Animal    | Echinodermata              | -290100000    | -279300000   | <>
Celox                                    | Animal    | Mollusca                   | -323200000    | -272300000   | Celox
Cenorhynchia                             | Animal    | Brachiopoda                | -279500000    | -268000000   | <>
Ceraunocochlis                           | Animal    | Mollusca                   | -290100000    | -279300000   | <>
Ceriopora                                | Animal    | Bryozoa                    | -290100000    | -279300000   | <>
Chaetetes                                | Animal    | Porifera                   | -323200000    | -252170000   | Chaetetes
Chalaroschwagerina                       | Micro     | Foraminifera               | -290100000    | -259900000   | <>
Changmeia                                | Micro     | Foraminifera               | -290100000    | -279300000   | <>
Chansitheca                              | Plant     | Pteridophyta               | -290100000    | -279300000   | <>
Chaoiella                                | Animal    | Brachiopoda                | -290100000    | -279300000   | <>
Chauliochiton                            | Animal    | Mollusca                   | -296400000    | -268000000   | <>
Chelichnus                               | Animal    | Chordata                   | -298900000    | -252170000   | Chelichnus
Cheliderpeton                            | Animal    | Chordata                   | -298900000    | -254000000   | Cheliderpeton
Chelopterum                              | Animal    | Arthropoda                 | -290100000    | -279300000   | <>
Chelydosaurus                            | Animal    | Chordata                   | -290100000    | -279300000   | <>
Chenoprosopus                            | Animal    | Chordata                   | -296400000    | -268000000   | Chenoprosopus
Chiastogryllus                           | Animal    | Arthropoda                 | -290100000    | -279300000   | <>
Chilonyx                                 | Animal    | Chordata                   | -290100000    | -272300000   | Chilonyx
Chiropteris                              | Plant     | Cycadophyta                | -290100000    | -272300000   | Chiropteris
Chirotherium                             | Animal    | Chordata                   | -290100000    | -259900000   | Chirotherium
Chondronia                               | Animal    | Brachiopoda                | -290100000    | -279300000   | <>
Chonetella                               | Animal    | Brachiopoda                | -303400000    | -268000000   | <>
Chonetes                                 | Animal    | Brachiopoda                | -290100000    | -268000000   | Chonetes
Chonetina                                | Animal    | Brachiopoda                | -290100000    | -279300000   | <>
Chonetinella                             | Animal    | Brachiopoda                | -290100000    | -279300000   | <>
Chonetinetes                             | Animal    | Brachiopoda                | -279500000    | -272500000   | <>
Chonosteges                              | Animal    | Brachiopoda                | -290100000    | -272300000   | <>
Chonostegoides                           | Animal    | Brachiopoda                | -290100000    | -279300000   | <>
Choristitella                            | Animal    | Brachiopoda                | -306950000    | -272300000   | <>
Choristites                              | Animal    | Brachiopoda                | -290100000    | -279300000   | <>
Choristosialis                           | Animal    | Arthropoda                 | -290100000    | -279300000   | <>
Chusenella                               | Micro     | Foraminifera               | -290100000    | -259900000   | <>
Chuvashovia                              | Animal    | Mollusca                   | -290100000    | -279300000   | <>
Cibecuia                                 | Animal    | Mollusca                   | -298900000    | -252170000   | <>
Cibolocrinus                             | Animal    | Echinodermata              | -290100000    | -279300000   | <>
Cigarella                                | Animal    | Mollusca                   | -290100000    | -272300000   | <>
Cimmeriella                              | Animal    | Brachiopoda                | -290100000    | -279300000   | <>
Cinclidonema                             | Animal    | Mollusca                   | -290100000    | -279300000   | <>
Cistecephalus                            | Animal    | Chordata                   | -298900000    | -252170000   | Cistecephalus
Cladochonus                              | Animal    | Cnidaria                   | -290100000    | -279300000   | Cladochonus
Cladodus                                 | Animal    | Chordata                   | -290100000    | -279300000   | Cladodus
Cladophlebis                             | Plant     | Pteridophyta               | -279500000    | -252170000   | Cladophlebis
Clamorosaurus                            | Animal    | Chordata                   | -279500000    | -272500000   | Clamorosaurus
Clausotrypa                              | Animal    | Bryozoa                    | -290100000    | -279300000   | Clausotrypa
Clavatasporites                          | Plant     | Pteridophyta               | -298900000    | -252170000   | <>
Clavicosta                               | Animal    | Mollusca                   | -296400000    | -268000000   | <>
Claviphyllum                             | Animal    | Cnidaria                   | -290100000    | -279300000   | <>
Cleiothyridina                           | Animal    | Brachiopoda                | -290100000    | -272300000   | Cleiothyridina
Clepsydrops                              | Animal    | Chordata                   | -290100000    | -268000000   | Clepsydrops
Clidophorus                              | Animal    | Mollusca                   | -290100000    | -279300000   | <>
Climacammina                             | Micro     | Foraminifera               | -290100000    | -279300000   | <>
Clinopistha                              | Animal    | Mollusca                   | -290100000    | -279300000   | <>
Clisiophyllum                            | Animal    | Cnidaria                   | -290100000    | -279300000   | <>
Cobelodus                                | Animal    | Chordata                   | -290100000    | -279300000   | Cobelodus
Codonofusiella                           | Micro     | Foraminifera               | -290100000    | -265100000   | <>
Coelogasteroceras                        | Animal    | Mollusca                   | -290100000    | -268000000   | <>
Coledium                                 | Animal    | Brachiopoda                | -290100000    | -279300000   | <>
Collabrina                               | Animal    | Mollusca                   | -290100000    | -279300000   | <>
Collemataria                             | Animal    | Brachiopoda                | -290100000    | -279300000   | Collemataria
Colospongia                              | Animal    | Porifera                   | -290100000    | -279300000   | <>
Colpites                                 | Animal    | Mollusca                   | -290100000    | -279300000   | <>
Comia                                    | Plant     | Pteridophyta               | -295500000    | -272300000   | <>
Composita                                | Animal    | Brachiopoda                | -290100000    | -268000000   | Composita
Compressoproductus                       | Animal    | Brachiopoda                | -279500000    | -268000000   | <>
