Camarophorella                           | Animal    | Brachiopoda                | -353800000    | -342800000   | <>
Camarotoechia                            | Animal    | Brachiopoda                | -353800000    | -342800000   | Camarotoechia
Camerisma                                | Animal    | Brachiopoda                | -358900000    | -323200000   | <>
Campbellospira                           | Animal    | Mollusca                   | -358900000    | -346700000   | <>
Camptocrinus                             | Animal    | Echinodermata              | -353800000    | -342800000   | <>
Camptosperma                             | Plant     | Pteridospermophyta         | -358900000    | -346700000   | <>
Canadiphyllum                            | Animal    | Cnidaria                   | -353800000    | -342800000   | <>
Cancrinella                              | Animal    | Brachiopoda                | -358900000    | -298900000   | <>
Caneyella                                | Animal    | Mollusca                   | -358900000    | -323200000   | <>
Caninia                                  | Animal    | Cnidaria                   | -353800000    | -345000000   | Caninia_(coral)
Caninophyllum                            | Animal    | Cnidaria                   | -353800000    | -345300000   | <>
Carbonocoryphe                           | Animal    | Arthropoda                 | -353800000    | -345300000   | <>
Carbonoproetus                           | Animal    | Arthropoda                 | -353800000    | -345300000   | <>
Carcharopsis                             | Animal    | Chordata                   | -358900000    | -323200000   | <>
Cardiola                                 | Animal    | Mollusca                   | -358900000    | -346700000   | Cardiola
Cardiomorpha                             | Animal    | Mollusca                   | -353800000    | -345000000   | <>
Cardiopteridium                          | Plant     | Pteridophyta               | -358900000    | -298900000   | <>
Cardiothyris                             | Animal    | Brachiopoda                | -358900000    | -346700000   | <>
Carinostrobus                            | Plant     | Lycophyta                  | -358900000    | -298900000   | <>
Catillocrinus                            | Animal    | Echinodermata              | -353800000    | -342800000   | <>
Caulopteris                              | Plant     | Pteridophyta               | -358900000    | -298900000   | <>
Cavellina                                | Animal    | Arthropoda                 | -358900000    | -346700000   | <>
Cavusgnathus                             | Animal    | Chordata                   | -358900000    | -346700000   | Cavusgnathus
Centronella                              | Animal    | Brachiopoda                | -353800000    | -342800000   | <>
Centronelloidea                          | Animal    | Brachiopoda                | -358900000    | -346700000   | <>
Ceratoikiscum                            | Micro     | Radiolaria                 | -358900000    | -346700000   | <>
Ceraunocochlis                           | Animal    | Mollusca                   | -358900000    | -346700000   | <>
Cerithioides                             | Animal    | Mollusca                   | -358900000    | -353800000   | <>
Cestocrinus                              | Animal    | Echinodermata              | -353800000    | -342800000   | <>
Chaenocardia                             | Animal    | Mollusca                   | -353800000    | -345300000   | <>
Chaenocardiola                           | Animal    | Mollusca                   | -353800000    | -345300000   | <>
Chaetetes                                | Animal    | Porifera                   | -358900000    | -298900000   | Chaetetes
Chaloneria                               | Plant     | Pteridophyta               | -358900000    | -298900000   | <>
Chaoiella                                | Animal    | Brachiopoda                | -358900000    | -298900000   | <>
Cheilotrypa                              | Animal    | Bryozoa                    | -353800000    | -342800000   | <>
Chirodus                                 | Animal    | Chordata                   | -358900000    | -323200000   | <>
Chlidanophyton                           | Plant     | Pteridophyta               | -358900000    | -342800000   | <>
Chlorozyga                               | Animal    | Mollusca                   | -358900000    | -346700000   | <>
Chlupacula                               | Animal    | Arthropoda                 | -353800000    | -345300000   | <>
Choctawites                              | Animal    | Mollusca                   | -358900000    | -298900000   | <>
Chomatodus                               | Animal    | Chordata                   | -353800000    | -342800000   | Chomatodus
Chonetes                                 | Animal    | Brachiopoda                | -353800000    | -342800000   | Chonetes
Chonetinella                             | Animal    | Brachiopoda                | -358900000    | -298900000   | <>
Chonetipustula                           | Animal    | Brachiopoda                | -358900000    | -323200000   | <>
Chonetoidea                              | Animal    | Brachiopoda                | -358900000    | -346700000   | <>
Chonopectus                              | Animal    | Brachiopoda                | -358900000    | -353800000   | <>
Choristites                              | Animal    | Brachiopoda                | -358900000    | -323200000   | <>
Chuiella                                 | Animal    | Brachiopoda                | -358900000    | -346700000   | <>
Cionodendron                             | Animal    | Cnidaria                   | -358900000    | -346700000   | <>
Cladochonus                              | Animal    | Cnidaria                   | -353800000    | -342800000   | Cladochonus
Cladodus                                 | Animal    | Chordata                   | -358900000    | -323200000   | Cladodus
Cladoxylon                               | Plant     | Tracheophyta               | -358900000    | -323200000   | <>
Clavallus                                | Animal    | Echinodermata              | -358900000    | -342800000   | <>
Cleiothyridina                           | Animal    | Brachiopoda                | -353800000    | -342800000   | Cleiothyridina
Cleistopora                              | Animal    | Cnidaria                   | -358900000    | -298900000   | <>
Clepsydropsis                            | Plant     | Pteridophyta               | -358900000    | -323200000   | <>
Clisiophyllum                            | Animal    | Cnidaria                   | -358900000    | -323200000   | <>
Clydagnathus                             | Animal    | Chordata                   | -358900000    | -345300000   | Clydagnathus
Coccosteus                               | Animal    | Chordata                   | -358900000    | -323200000   | Coccosteus
Cochliodus                               | Animal    | Chordata                   | -353800000    | -342800000   | <>
Codaster                                 | Animal    | Echinodermata              | -353800000    | -342800000   | <>
Codonotheca                              | Plant     | Pteridospermophyta         | -358900000    | -298900000   | <>
Coeliocrinus                             | Animal    | Echinodermata              | -358900000    | -346700000   | <>
Coelosporella                            | Plant     | Chlorophyta                | -358900000    | -323200000   | <>
Coenites                                 | Animal    | Cnidaria                   | -358900000    | -353800000   | Coenites
Coenocystis                              | Animal    | Echinodermata              | -353800000    | -345300000   | Coenocystis
Coledium                                 | Animal    | Brachiopoda                | -353800000    | -345300000   | <>
Colpodexylon                             | Plant     | Lycopodophyta              | -358900000    | -323200000   | <>
Composita                                | Animal    | Brachiopoda                | -353800000    | -342800000   | Composita
Comptonaspis                             | Animal    | Arthropoda                 | -358900000    | -353800000   | <>
Comuquia                                 | Animal    | Brachiopoda                | -358900000    | -323200000   | <>
Concavicaris                             | Animal    | Arthropoda                 | -358900000    | -353800000   | <>
Conocardium                              | Animal    | Mollusca                   | -353800000    | -342800000   | Conocardium
Conularia                                | Animal    | Cnidaria                   | -353800000    | -342800000   | <>
Converrucosisporites                     | Plant     | Pteridophyta               | -358900000    | -252170000   | <>
Convolutispora                           | Plant     | Pteridophyta               | -358900000    | -346700000   | <>
Copodus                                  | Animal    | Chordata                   | -358900000    | -323200000   | <>
Cordaites                                | Plant     | Pinophyta                  | -358900000    | -252170000   | Cordaites
Cornucarpus                              | Plant     | Gymnospermophyta           | -358900000    | -323200000   | <>
Cornulites                               | Animal    | Lophotrochozoa             | -358900000    | -346700000   | Cornulites
Cornuspira                               | Micro     | Foraminifera               | -358900000    | -353800000   | <>
Corphalia                                | Animal    | Cnidaria                   | -353800000    | -345300000   | <>
Coryellina                               | Animal    | Arthropoda                 | -358900000    | -346700000   | <>
Corynepteris                             | Plant     | Tracheophyta               | -358900000    | -323200000   | <>
Corynotrypa                              | Animal    | Bryozoa                    | -353800000    | -342800000   | <>
Cosmacanthus                             | Animal    | Chordata                   | -358900000    | -323200000   | Cosmacanthus
Cosmetocrinus                            | Animal    | Echinodermata              | -358900000    | -353800000   | <>
Costalocrinus                            | Animal    | Echinodermata              | -353800000    | -342800000   | <>
Costatoblastus                           | Animal    | Echinodermata              | -358900000    | -353800000   | <>
Costimitoceras                           | Animal    | Mollusca                   | -358900000    | -353800000   | <>
Cradeocrinus                             | Animal    | Echinodermata              | -358900000    | -353800000   | <>
Cranaena                                 | Animal    | Brachiopoda                | -353800000    | -345300000   | <>
Crania                                   | Animal    | Brachiopoda                | -353800000    | -345000000   | Crania_(brachiopod)
Craniops                                 | Animal    | Brachiopoda                | -353800000    | -342800000   | Craniops
Crassumbo                                | Animal    | Brachiopoda                | -353800000    | -345300000   | <>
Cravenia                                 | Animal    | Cnidaria                   | -358900000    | -346700000   | <>
Cravenoceras                             | Animal    | Mollusca                   | -358900000    | -318100000   | Cravenoceras
Crenipecten                              | Animal    | Mollusca                   | -358900000    | -323200000   | <>
Cribanocrinus                            | Animal    | Echinodermata              | -358900000    | -345300000   | <>
Cribroconcha                             | Animal    | Arthropoda                 | -358900000    | -353800000   | <>
