Anthonomus                               | Animal    | Arthropoda                 | -50300000     | -46200000    | Anthonomus
Anthracobune                             | Animal    | Chordata                   | -47800000     | -41300000    | Anthracobune
Anthracobunodon                          | Animal    | Chordata                   | -47800000     | -41300000    | Anthracobunodon
Anthracohelops                           | Animal    | Arthropoda                 | -47800000     | -41300000    | <>
Anthracokeryx                            | Animal    | Chordata                   | -48600000     | -37200000    | Anthracokeryx
Anthracosenex                            | Animal    | Chordata                   | -48600000     | -37200000    | <>
Anthracothema                            | Animal    | Chordata                   | -48600000     | -37200000    | Anthracothema
Anthracotherium                          | Animal    | Chordata                   | -48600000     | -37200000    | Anthracotherium
Anthrocardia                             | Plant     | Rhodophyta                 | -47800000     | -41300000    | <>
Anthropornis                             | Animal    | Chordata                   | -47800000     | -38000000    | Anthropornis
Antiacodon                               | Animal    | Chordata                   | -46200000     | -40400000    | <>
Antigonia                                | Animal    | Chordata                   | -43000000     | -37200000    | Antigonia
Antiguastrea                             | Animal    | Cnidaria                   | -47800000     | -41300000    | <>
Antillia                                 | Animal    | Cnidaria                   | -47800000     | -41300000    | Antillia
Antillocladius                           | Animal    | Arthropoda                 | -47800000     | -41300000    | Antillocladius
Antillophos                              | Animal    | Mollusca                   | -47800000     | -41300000    | Antillophos
Antillophyllia                           | Animal    | Cnidaria                   | -47800000     | -41300000    | Antillophyllia
Antilloseris                             | Animal    | Cnidaria                   | -47800000     | -41300000    | <>
Antofagastia                             | Animal    | Chordata                   | -48000000     | -42000000    | <>
Antonioranina                            | Animal    | Arthropoda                 | -47800000     | -41300000    | <>
Apalone                                  | Animal    | Chordata                   | -46200000     | -40400000    | Apalone
Apataelurus                              | Animal    | Chordata                   | -46200000     | -40400000    | <>
Apatemys                                 | Animal    | Chordata                   | -46200000     | -40400000    | Apatemys
Apeirodon                                | Animal    | Chordata                   | -48000000     | -42000000    | <>
Aphaena                                  | Animal    | Arthropoda                 | -50300000     | -46200000    | Aphaena
Aphaenogaster                            | Animal    | Arthropoda                 | -47800000     | -41300000    | Aphaenogaster
Aphananthe                               | Plant     | Spermatophyta              | -48600000     | -37200000    | Aphananthe
Aphanus                                  | Animal    | Arthropoda                 | -50300000     | -46200000    | Aphanus
Aphrophora                               | Animal    | Arthropoda                 | -47800000     | -41300000    | Aphrophora
Apiculatasporites                        | Plant     | Pteridophyta               | -48600000     | -37200000    | <>
Apiocypraea                              | Animal    | Mollusca                   | -56000000     | -38000000    | <>
Apionion                                 | Animal    | Arthropoda                 | -50300000     | -46200000    | Apionion
Apiotoma                                 | Animal    | Mollusca                   | -47800000     | -38000000    | Apiotoma
Aplexa                                   | Animal    | Mollusca                   | -47800000     | -41300000    | Aplexa
Aplodinotus                              | Animal    | Chordata                   | -47800000     | -41300000    | Aplodinotus
Aplousina                                | Animal    | Bryozoa                    | -47800000     | -41300000    | <>
Apocynophyllum                           | Plant     | Spermatophyta              | -55800000     | -33900000    | <>
Apogon                                   | Animal    | Chordata                   | -47800000     | -41300000    | Apogon
Apogonidarum                             | Animal    | Chordata                   | -47800000     | -41300000    | <>
Apolephthisa                             | Animal    | Arthropoda                 | -47800000     | -41300000    | Apolephthisa
Aporrhais                                | Animal    | Mollusca                   | -47800000     | -41300000    | Aporrhais
Appendicisporites                        | Plant     | Pteridophyta               | -100500000    | -5333000     | <>
Apriculus                                | Animal    | Chordata                   | -46200000     | -40400000    | <>
Aprionodon                               | Animal    | Chordata                   | -47800000     | -41300000    | <>
Apristurus                               | Animal    | Chordata                   | -47800000     | -38000000    | Apristurus
Apsilus                                  | Animal    | Chordata                   | -47800000     | -41300000    | Apsilus
Arachniopleurus                          | Animal    | Echinodermata              | -47800000     | -41300000    | <>
Arachnoidiscus                           | Plant     | Ochrophyta                 | -47800000     | -41300000    | <>
Araliaceoipollenites                     | Plant     | Spermatophyta              | -48600000     | -37200000    | <>
Aralia                                   | Plant     | Spermatophyta              | -48600000     | -37200000    | Aralia
Araliophyllum                            | Plant     | Angiospermae               | -46200000     | -40400000    | <>
Araloselachus                            | Animal    | Chordata                   | -47800000     | -41300000    | <>
Araneus                                  | Animal    | Arthropoda                 | -50300000     | -46200000    | Araneus
Araucariacites                           | Plant     | Pinophyta                  | -100500000    | -33900000    | <>
Araucaria                                | Plant     | Pinophyta                  | -100500000    | -33900000    | Araucaria
Araucarites                              | Plant     | Pinophyta                  | -56000000     | -33900000    | <>
Arca                                     | Animal    | Mollusca                   | -47800000     | -41300000    | Arca
Archaeoheilus                            | Animal    | Arthropoda                 | -46200000     | -40400000    | <>
Archaeohyracotherium                     | Animal    | Chordata                   | -47800000     | -38000000    | <>
Archaeohyrax                             | Animal    | Chordata                   | -48000000     | -42000000    | Archaeohyrax
Archaeolambda                            | Animal    | Chordata                   | -48600000     | -37200000    | <>
Archaeolithothamnium                     | Plant     | Rhodophyta                 | -47800000     | -41300000    | <>
Archaeomanta                             | Animal    | Chordata                   | -47800000     | -41300000    | Archaeomanta
Archaeomeryx                             | Animal    | Chordata                   | -48600000     | -37200000    | Archaeomeryx
Archaeonycteris                          | Animal    | Chordata                   | -48600000     | -40400000    | Archaeonycteris
Archaeophis                              | Animal    | Chordata                   | -47800000     | -41300000    | Archaeophis
Archaeopithecus                          | Animal    | Chordata                   | -47800000     | -38000000    | <>
Archaeospheniscus                        | Animal    | Chordata                   | -56000000     | -41300000    | Archaeospheniscus
Archaeotetra                             | Animal    | Arthropoda                 | -48600000     | -37200000    | <>
Archaeotypotherium                       | Animal    | Chordata                   | -56000000     | -23030000    | <>
Archelater                               | Animal    | Arthropoda                 | -47800000     | -41300000    | <>
Archencyrtus                             | Animal    | Arthropoda                 | -47800000     | -41300000    | Archencyrtus
Archicypraea                             | Animal    | Mollusca                   | -47800000     | -41300000    | <>
Archimyrmex                              | Animal    | Arthropoda                 | -46200000     | -40400000    | Archimyrmex
Architectonica                           | Animal    | Mollusca                   | -47800000     | -33900000    | Architectonica
Archoporella                             | Animal    | Bryozoa                    | -47800000     | -38000000    | <>
Arcinella                                | Animal    | Mollusca                   | -48600000     | -28400000    | Arcinella
Arcopagia                                | Animal    | Mollusca                   | -47800000     | -38000000    | <>
Arcoperna                                | Animal    | Mollusca                   | -47800000     | -41300000    | <>
Arcopsis                                 | Animal    | Mollusca                   | -47800000     | -41300000    | <>
Arctica                                  | Animal    | Mollusca                   | -48600000     | -37200000    | Arctica_(bivalve)
Arctotitan                               | Animal    | Chordata                   | -56000000     | -33900000    | <>
Ardynia                                  | Animal    | Chordata                   | -48600000     | -37200000    | <>
Ardynictis                               | Animal    | Chordata                   | -48600000     | -37200000    | <>
Arechia                                  | Animal    | Chordata                   | -47800000     | -41300000    | Arechia
Arecipites                               | Plant     | Angiospermae               | -48600000     | -37200000    | <>
Arene                                    | Animal    | Mollusca                   | -47800000     | -41300000    | Arene
Arenobulimina                            | Micro     | Foraminifera               | -48600000     | -37200000    | <>
Arfia                                    | Animal    | Chordata                   | -50300000     | -46200000    | <>
