Bennetticarpus                           | Plant     | Cycadeoideophyta           | -208500000    | -174100000   | <>
Bennettistemon                           | Plant     | Cycadeoideophyta           | -208500000    | -174100000   | <>
Bernoullia                               | Plant     | Pteridophyta               | -208500000    | -201300000   | Bernoullia
Berthelinella                            | Micro     | Foraminifera               | -208500000    | -201300000   | <>
Betraccium                               | Micro     | Radiolaria                 | -208500000    | -201300000   | <>
Biacumina                                | Animal    | Echinodermata              | -212000000    | -205600000   | <>
Bicoelia                                 | Animal    | Porifera                   | -228000000    | -201300000   | <>
Bigenerina                               | Micro     | Foraminifera               | -208500000    | -201300000   | <>
Binoculites                              | Animal    | Echinodermata              | -208500000    | -201300000   | <>
Bintoniella                              | Animal    | Arthropoda                 | -208500000    | -201300000   | <>
Bipedis                                  | Micro     | Radiolaria                 | -208500000    | -201300000   | <>
Birgeria                                 | Animal    | Chordata                   | -208500000    | -201300000   | Birgeria
Bispiranella                             | Micro     | Foraminifera               | -212000000    | -201300000   | <>
Bistarkum                                | Micro     | Radiolaria                 | -208500000    | -201300000   | <>
Bistrisyne                               | Animal    | Arthropoda                 | -208500000    | -201300000   | <>
Bitubopyle                               | Micro     | Radiolaria                 | -208500000    | -201300000   | <>
Bjuvia                                   | Plant     | Cycadophyta                | -208500000    | -174100000   | <>
Blastochaetetes                          | Animal    | Porifera                   | -208500000    | -201300000   | <>
Blattula                                 | Animal    | Arthropoda                 | -208500000    | -201300000   | <>
Blikanasaurus                            | Animal    | Chordata                   | -228000000    | -201300000   | Blikanasaurus
Blodgettella                             | Animal    | Mollusca                   | -212000000    | -205600000   | <>
Bolilaspirifer                           | Animal    | Brachiopoda                | -208500000    | -201300000   | <>
Bolodon                                  | Animal    | Chordata                   | -208500000    | -201300000   | Bolodon
Bolzibairdia                             | Animal    | Arthropoda                 | -208500000    | -201300000   | <>
Borestus                                 | Animal    | Mollusca                   | -212000000    | -205600000   | <>
Borysthenia                              | Plant     | Coniferophyta              | -237000000    | -201300000   | Borysthenia
Bouhamidoceras                           | Animal    | Mollusca                   | -208500000    | -189600000   | Bouhamidoceras
Brachychirotherium                       | Animal    | Chordata                   | -208500000    | -201300000   | <>
Brachyphyllum                            | Plant     | Coniferophyta              | -208500000    | -201300000   | Brachyphyllum
Brachyzostrodon                          | Animal    | Chordata                   | -208500000    | -201300000   | <>
Braginella                               | Micro     | Radiolaria                 | -208500000    | -201300000   | <>
Britannicola                             | Animal    | Arthropoda                 | -208500000    | -201300000   | <>
Brochidiella                             | Animal    | Mollusca                   | -212000000    | -205600000   | <>
Brochidium                               | Animal    | Mollusca                   | -208500000    | -201300000   | <>
Brodiola                                 | Animal    | Arthropoda                 | -208500000    | -196500000   | <>
Bulimina                                 | Micro     | Foraminifera               | -208500000    | -201300000   | Bulimina
