Bathropyramis                            | Micro     | Radiolaria                 | -89800000     | -86300000    | <>
Bathycyathus                             | Animal    | Cnidaria                   | -93500000     | -89300000    | Bathycyathus
Bathysiphon                              | Micro     | Foraminifera               | -93500000     | -89300000    | <>
Baugeichthys                             | Animal    | Chordata                   | -145000000    | -66000000    | <>
Bayomesasuchus                           | Animal    | Chordata                   | -93500000     | -89300000    | Bayomesasuchus
Beaupreaidites                           | Plant     | Spermatophyta              | -100500000    | -5333000     | <>
Becksia                                  | Animal    | Porifera                   | -89800000     | -86300000    | <>
Belemnella                               | Animal    | Mollusca                   | -145000000    | -66000000    | Belemnella
Belemnites                               | Animal    | Mollusca                   | -145000000    | -66000000    | Belemnites_(genus)
Belemnopsis                              | Animal    | Mollusca                   | -145000000    | -66000000    | Belemnopsis
Bellifusus                               | Animal    | Mollusca                   | -93500000     | -89300000    | <>
Belonostomus                             | Animal    | Chordata                   | -93500000     | -89300000    | Belonostomus
Benthesicymus                            | Animal    | Arthropoda                 | -145000000    | -66000000    | Benthesicymus
Benueites                                | Animal    | Mollusca                   | -93500000     | -89300000    | Benueites
Berenicea                                | Animal    | Bryozoa                    | -93500000     | -89300000    | <>
Berthelina                               | Micro     | Foraminifera               | -93500000     | -89300000    | <>
Biconcava                                | Micro     | Foraminifera               | -89800000     | -86300000    | <>
Biforicula                               | Animal    | Bryozoa                    | -93500000     | -89300000    | <>
Bigenerina                               | Micro     | Foraminifera               | -93500000     | -89300000    | <>
Bignonites                               | Plant     | Spermatophyta              | -100500000    | -66000000    | <>
Binkhorstia                              | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Binneyites                               | Animal    | Mollusca                   | -93500000     | -89300000    | <>
Biplanata                                | Micro     | Foraminifera               | -89800000     | -83500000    | <>
Biplica                                  | Animal    | Mollusca                   | -89800000     | -83600000    | <>
Biradiolites                             | Animal    | Mollusca                   | -89300000     | -85800000    | <>
Biretisporites                           | Plant     | Pteridophyta               | -129400000    | -83600000    | <>
Biscutum                                 | Plant     | Haptophyta                 | -93500000     | -89300000    | <>
Bissektia                                | Animal    | Chordata                   | -100500000    | -66000000    | <>
