Baryschyr                                | Animal    | Echinodermata              | -353800000    | -342800000   | <>
Barytichisma                             | Animal    | Cnidaria                   | -339400000    | -314600000   | <>
Basidechenella                           | Animal    | Arthropoda                 | -353800000    | -342800000   | <>
Batocrinus                               | Animal    | Echinodermata              | -336000000    | -326400000   | <>
Batostomella                             | Animal    | Bryozoa                    | -336000000    | -326400000   | <>
Batrachichnus                            | Animal    | Chordata                   | -358900000    | -323200000   | <>
Baylea                                   | Animal    | Mollusca                   | -336000000    | -326400000   | <>
Beecheria                                | Animal    | Brachiopoda                | -336000000    | -318100000   | <>
Beinertia                                | Plant     | Pteridophyta               | -358900000    | -298900000   | <>
Belemnites                               | Animal    | Mollusca                   | -541000000    | -252170000   | Belemnites_(genus)
Belemnospongia                           | Animal    | Porifera                   | -345300000    | -342800000   | <>
Belgibole                                | Animal    | Arthropoda                 | -345300000    | -345000000   | <>
Bellazona                                | Animal    | Mollusca                   | -339400000    | -318100000   | <>
Bellerophon                              | Animal    | Mollusca                   | -336000000    | -326400000   | Bellerophon
Bellocaris                               | Animal    | Arthropoda                 | -346700000    | -330900000   | <>
Bembexia                                 | Animal    | Mollusca                   | -342800000    | -339400000   | Bembexia
Benniescorpio                            | Animal    | Arthropoda                 | -339400000    | -336000000   | <>
Bernicia                                 | Animal    | Mollusca                   | -336000000    | -326400000   | Bernicia
Bevocastria                              | Micro     | Cyanobacteria              | -336000000    | -326400000   | <>
Beyrichiella                             | Animal    | Arthropoda                 | -353800000    | -342800000   | <>
Beyrichoceras                            | Animal    | Mollusca                   | -339400000    | -336000000   | Beyrichoceras
Bilignea                                 | Plant     | Pteridospermophyta         | -358900000    | -323200000   | <>
Biorbis                                  | Micro     | Foraminifera               | -342800000    | -339400000   | <>
Biseriella                               | Micro     | Foraminifera               | -336000000    | -323200000   | <>
Blothrocrinus                            | Animal    | Echinodermata              | -358900000    | -345300000   | <>
Bollandia                                | Animal    | Arthropoda                 | -339400000    | -336000000   | <>
Bollandites                              | Animal    | Mollusca                   | -339400000    | -336000000   | <>
Bollandoceras                            | Animal    | Mollusca                   | -339400000    | -336000000   | <>
Bollandocrinus                           | Animal    | Echinodermata              | -345300000    | -345000000   | <>
Booralia                                 | Animal    | Brachiopoda                | -336000000    | -326400000   | <>
Borestus                                 | Animal    | Mollusca                   | -336000000    | -326400000   | <>
Bornatarbus                              | Animal    | Arthropoda                 | -336000000    | -326400000   | <>
Bothrophyllum                            | Animal    | Cnidaria                   | -336000000    | -326400000   | <>
Botryopteris                             | Plant     | Pteridophyta               | -339400000    | -336000000   | <>
Boweria                                  | Plant     | Pteridophyta               | -358900000    | -298900000   | <>
Bowmanites                               | Plant     | Equisetophyta              | -346700000    | -330900000   | <>
Brachycycloceras                         | Animal    | Mollusca                   | -336000000    | -326400000   | <>
Brachymetopus                            | Animal    | Arthropoda                 | -339400000    | -336000000   | <>
Brachyphyllum                            | Plant     | Pinopsida                  | -358900000    | -252170000   | Brachyphyllum
Brachythyrina                            | Animal    | Brachiopoda                | -339400000    | -314600000   | <>
Brachythyris                             | Animal    | Brachiopoda                | -336000000    | -326400000   | <>
Bradyina                                 | Micro     | Foraminifera               | -336000000    | -326400000   | <>
Bradyphyllum                             | Animal    | Cnidaria                   | -339400000    | -318100000   | <>
Brahmacrinus                             | Animal    | Echinodermata              | -353800000    | -345000000   | <>
Bransonella                              | Animal    | Chordata                   | -346700000    | -330900000   | Bransonella
Breviphillipsia                          | Animal    | Arthropoda                 | -353800000    | -342800000   | <>
Brigantibunum                            | Animal    | Arthropoda                 | -336000000    | -326400000   | <>
Brochocarina                             | Animal    | Brachiopoda                | -345300000    | -345000000   | <>
Brongniartites                           | Plant     | Pteridospermophyta         | -358900000    | -252170000   | <>
Brunsia                                  | Micro     | Foraminifera               | -339400000    | -336000000   | Brunsia
Bryantodus                               | Animal    | Chordata                   | -358900000    | -298900000   | <>
Bucanopsis                               | Animal    | Mollusca                   | -336000000    | -326400000   | <>
Bulahdelia                               | Animal    | Brachiopoda                | -346700000    | -314600000   | <>
Bulimorpha                               | Animal    | Mollusca                   | -339400000    | -318100000   | <>
Buteoxylon                               | Plant     | Pteridospermophyta         | -358900000    | -323200000   | <>
Buxtonia                                 | Animal    | Brachiopoda                | -336000000    | -326400000   | <>
Bythocypris                              | Animal    | Arthropoda                 | -345000000    | -336000000   | <>
Cactocrinus                              | Animal    | Echinodermata              | -358900000    | -298900000   | <>
Calamites                                | Plant     | Sphenophyta                | -358900000    | -252170000   | Calamites
Calamodendron                            | Plant     | Sphenophyta                | -358900000    | -298900000   | <>
Calamopitys                              | Plant     | Ginkgophyta                | -358900000    | -323200000   | <>
Calamospora                              | Plant     | Sphenophyta                | -345000000    | -336000000   | <>
Calamostachys                            | Plant     | Sphenophyta                | -358900000    | -298900000   | <>
Calathiops                               | Plant     | Pteridospermophyta         | -346700000    | -330900000   | <>
Calathospermum                           | Plant     | Pteridospermophyta         | -358900000    | -323200000   | <>
Calceolispongia                          | Animal    | Echinodermata              | -358900000    | -252170000   | Calceolispongia
Calcifolium                              | Plant     | Rhodophyta                 | -339400000    | -323200000   | <>
Calclamnella                             | Animal    | Echinodermata              | -358900000    | -323200000   | <>
Calclyra                                 | Animal    | Echinodermata              | -358900000    | -323200000   | <>
Caldenocrinus                            | Animal    | Echinodermata              | -336000000    | -326400000   | <>
Caliendrum                               | Animal    | Mollusca                   | -336000000    | -326400000   | <>
Callipteris                              | Plant     | Peltaspermophyta           | -358900000    | -252170000   | Callipteris
Callistophyton                           | Plant     | Ginkgophyta                | -358900000    | -298900000   | <>
Callograptus                             | Animal    | Hemichordata               | -345000000    | -339400000   | Callograptus
Calophyllum Polycoeliidae                 | Animal    | Cnidaria                   | -339400000    | -336000000   | <>
Calygirtyoceras                          | Animal    | Mollusca                   | -339400000    | -336000000   | <>
Calyptactis                              | Animal    | Echinodermata              | -345300000    | -342800000   | <>
Camarophorella                           | Animal    | Brachiopoda                | -353800000    | -342800000   | <>
Camarotoechia                            | Animal    | Brachiopoda                | -336000000    | -326400000   | Camarotoechia
Camerisma                                | Animal    | Brachiopoda                | -358900000    | -323200000   | <>
Campophyllum                             | Animal    | Cnidaria                   | -336000000    | -323200000   | <>
Camptocrinus                             | Animal    | Echinodermata              | -336000000    | -326400000   | <>
Canadiphyllum                            | Animal    | Cnidaria                   | -345000000    | -336000000   | <>
Cancrinella                              | Animal    | Brachiopoda                | -336000000    | -326400000   | <>
Caneyella                                | Animal    | Mollusca                   | -336000000    | -326400000   | <>
Caninia                                  | Animal    | Cnidaria                   | -336000000    | -323200000   | Caninia_(coral)
Caninophyllum                            | Animal    | Cnidaria                   | -336000000    | -326400000   | <>
Caninostrotion                           | Animal    | Cnidaria                   | -339400000    | -318100000   | <>
Canobius                                 | Animal    | Chordata                   | -345000000    | -342800000   | Canobius
Cantabricanites                          | Animal    | Mollusca                   | -345300000    | -345000000   | <>
Capulus                                  | Animal    | Mollusca                   | -339400000    | -336000000   | Capulus
Carbochthonius                           | Animal    | Arthropoda                 | -336000000    | -326400000   | <>
