Archaegocystis                           | Animal    | Echinodermata              | -466000000    | -466000000   | <>
Archaeochitosa                           | Micro     | Foraminifera               | -463500000    | -460900000   | <>
Archaeoconularia                         | Animal    | Cnidaria                   | -460900000    | -455800000   | <>
Archaeocrinus                            | Animal    | Echinodermata              | -460900000    | -449500000   | <>
Archaeocyphia                            | Animal    | Porifera                   | -466000000    | -457500000   | <>
Archaeorthis                             | Animal    | Brachiopoda                | -460900000    | -449500000   | <>
Archaeoscyphia                           | Animal    | Porifera                   | -466000000    | -457500000   | <>
Archegocystis                            | Animal    | Echinodermata              | -466000000    | -466000000   | <>
Archegonaster                            | Animal    | Echinodermata              | -466000000    | -466000000   | <>
Archeolimulus                            | Animal    | Arthropoda                 | -466000000    | -466000000   | Archeolimulus
Archiclimacograptus                      | Animal    | Hemichordata               | -463500000    | -460900000   | <>
Archigeisonoceras                        | Animal    | Mollusca                   | -468100000    | -463500000   | <>
Archinacella                             | Animal    | Mollusca                   | -460900000    | -449500000   | <>
Archinacellina                           | Animal    | Mollusca                   | -460900000    | -449500000   | <>
Arcticeraurinella                        | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Areia                                    | Animal    | Arthropoda                 | -466000000    | -460900000   | Areia
Areiaspis                                | Animal    | Arthropoda                 | -466000000    | -460900000   | <>
Areyongalepis                            | Animal    | Chordata                   | -467300000    | -458400000   | Areyongalepis
Arienigraptus                            | Animal    | Hemichordata               | -467300000    | -458400000   | <>
Aristerella                              | Animal    | Mollusca                   | -460900000    | -449500000   | <>
Aristocystites                           | Animal    | Echinodermata              | -460900000    | -449500000   | <>
Armenoceras                              | Animal    | Mollusca                   | -460900000    | -449500000   | Armenoceras
Arthroclema                              | Animal    | Bryozoa                    | -460900000    | -449500000   | <>
Arthrophragma                            | Animal    | Bryozoa                    | -460900000    | -449500000   | <>
Arthropoma                               | Animal    | Bryozoa                    | -460900000    | -449500000   | <>
Arthrorhachis                            | Animal    | Arthropoda                 | -460900000    | -449500000   | Arthrorhachis
Arthrostylus                             | Animal    | Bryozoa                    | -460900000    | -449500000   | <>
Asaphellina                              | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Asaphellus                               | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Asaphopsis                               | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Asaphus                                  | Animal    | Arthropoda                 | -460900000    | -449500000   | Asaphus
Ascocystites                             | Animal    | Echinodermata              | -460900000    | -455800000   | <>
Aserioceras                              | Animal    | Mollusca                   | -463500000    | -460900000   | <>
Asgardaspira                             | Animal    | Mollusca                   | -463500000    | -460900000   | <>
Asinomphalus                             | Animal    | Mollusca                   | -460900000    | -455800000   | <>
Asperdelia                               | Animal    | Brachiopoda                | -466000000    | -460900000   | <>
Aspidaeglina                             | Animal    | Arthropoda                 | -478600000    | -466000000   | Aspidaeglina
Aspidocarpus                             | Animal    | Echinodermata              | -460900000    | -457500000   | <>
Aspidograptus                            | Animal    | Hemichordata               | -460900000    | -449500000   | <>
Aspidopora                               | Animal    | Bryozoa                    | -460900000    | -449500000   | <>
Astamena                                 | Animal    | Brachiopoda                | -460900000    | -455800000   | <>
Astarte                                  | Animal    | Mollusca                   | -460900000    | -455800000   | Astarte
Asteriospongia                           | Animal    | Porifera                   | -460900000    | -449500000   | <>
Asteroblastus                            | Animal    | Echinodermata              | -471800000    | -463500000   | <>
Astraborthis                             | Animal    | Brachiopoda                | -478600000    | -466000000   | <>
Astraspis                                | Animal    | Chordata                   | -460900000    | -449500000   | Astraspis
Astrocystites                            | Animal    | Echinodermata              | -460900000    | -449500000   | <>
Asymphylotoechia                         | Animal    | Brachiopoda                | -471800000    | -457500000   | <>
Atactopora                               | Animal    | Bryozoa                    | -460900000    | -449500000   | <>
Atactoporella                            | Animal    | Bryozoa                    | -460900000    | -449500000   | <>
Atactotoechus                            | Animal    | Bryozoa                    | -466000000    | -457500000   | <>
Atelelasma                               | Animal    | Brachiopoda                | -460900000    | -449500000   | <>
Atelelasmoidea                           | Animal    | Brachiopoda                | -467300000    | -458400000   | <>
Ateleocystites                           | Animal    | Echinodermata              | -460900000    | -449500000   | <>
Athrophragma                             | Animal    | Bryozoa                    | -460900000    | -449500000   | <>
Atlantida                                | Animal    | Brachiopoda                | -467300000    | -458400000   | Atlantida
Atractocybeloides                        | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Atractopyge                              | Animal    | Arthropoda                 | -460900000    | -449500000   | Atractopyge
Atrypa                                   | Animal    | Brachiopoda                | -460900000    | -449500000   | Atrypa
Augustoceras                             | Animal    | Mollusca                   | -460900000    | -449500000   | Augustoceras
Aulacera                                 | Animal    | Porifera                   | -460900000    | -443700000   | <>
Aulacoparia                              | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Aulocopella                              | Animal    | Porifera                   | -460900000    | -449500000   | <>
Aulocopium                               | Animal    | Porifera                   | -466000000    | -460900000   | <>
Aulograptus                              | Animal    | Hemichordata               | -466000000    | -460900000   | <>
Aulopora                                 | Animal    | Cnidaria                   | -460900000    | -449500000   | Aulopora
Austinella                               | Animal    | Brachiopoda                | -460900000    | -443700000   | <>
Australispira                            | Animal    | Brachiopoda                | -460900000    | -455800000   | <>
Australopyge                             | Animal    | Arthropoda                 | -478600000    | -466000000   | Australopyge
Avdeevella                               | Animal    | Brachiopoda                | -460900000    | -449500000   | <>
Azamella                                 | Animal    | Brachiopoda                | -466000000    | -449500000   | <>
Azygograptus                             | Animal    | Hemichordata               | -460900000    | -456100000   | <>
Babanicrinus                             | Animal    | Echinodermata              | -466000000    | -460900000   | <>
Babinka                                  | Animal    | Mollusca                   | -466000000    | -460900000   | <>
Bactroceras                              | Animal    | Mollusca                   | -460900000    | -449500000   | Bactroceras
Bactrotheca                              | Animal    | Hyolitha                   | -466000000    | -460900000   | Bactrotheca
Bairdiocypridella                        | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Bajgolia                                 | Animal    | Cnidaria                   | -460900000    | -449500000   | <>
Balanocystites                           | Animal    | Echinodermata              | -466000000    | -460900000   | <>
Balantiocystis                           | Animal    | Echinodermata              | -478600000    | -466000000   | <>
Baldiscella                              | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
