Catoraphinoceras                         | Animal    | Mollusca                   | -478600000    | -466000000   | <>
Cavernolites                             | Animal    | Hyolitha                   | -477700000    | -470000000   | <>
Celdobolus                               | Animal    | Brachiopoda                | -478600000    | -466000000   | <>
Celmus                                   | Animal    | Arthropoda                 | -471800000    | -466000000   | Celmus
Celtoconcha                              | Animal    | Mollusca                   | -478600000    | -471800000   | <>
Celtocrinus                              | Animal    | Echinodermata              | -477700000    | -470000000   | <>
Centrotarphyceras                        | Animal    | Mollusca                   | -477700000    | -470000000   | <>
Ceramopora                               | Animal    | Bryozoa                    | -478600000    | -466000000   | Ceramopora
Ceramoporella                            | Animal    | Bryozoa                    | -471800000    | -457500000   | <>
Ceratiocaris                             | Animal    | Arthropoda                 | -471800000    | -457500000   | Ceratiocaris
Ceratocephala                            | Animal    | Arthropoda                 | -471800000    | -457500000   | Ceratocephala_(trilobite)
Ceratoleperditia                         | Animal    | Arthropoda                 | -478600000    | -468100000   | <>
Ceratopea                                | Animal    | Mollusca                   | -471800000    | -457500000   | <>
Ceratopeltis                             | Animal    | Arthropoda                 | -478600000    | -468100000   | Ceratopeltis
Ceratopyge                               | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Ceratreta                                | Animal    | Brachiopoda                | -472000000    | -466000000   | <>
Ceraurinella                             | Animal    | Arthropoda                 | -471800000    | -457500000   | Ceraurinella
Cerauropeltis                            | Animal    | Arthropoda                 | -471800000    | -457500000   | Cerauropeltis
Ceraurus                                 | Animal    | Arthropoda                 | -471800000    | -457500000   | Ceraurus
Chaetetes                                | Animal    | Porifera                   | -541000000    | -252170000   | Chaetetes
Changchowilla                            | Animal    | Arthropoda                 | -477700000    | -470000000   | <>
Chaohuceras                              | Animal    | Mollusca                   | -471800000    | -457500000   | <>
Chapmanopyge                             | Animal    | Arthropoda                 | -485400000    | -468100000   | <>
Chaulistomella                           | Animal    | Brachiopoda                | -471800000    | -457500000   | <>
Chauvelicystis                           | Animal    | Echinodermata              | -477700000    | -470000000   | <>
Cheirocrinus                             | Animal    | Echinodermata              | -471800000    | -457500000   | <>
Cheirocystella                           | Animal    | Echinodermata              | -477700000    | -470000000   | <>
Chihlioceras                             | Animal    | Mollusca                   | -478600000    | -466000000   | <>
Chilcatreta                              | Animal    | Brachiopoda                | -477700000    | -470000000   | <>
Chilcorthis                              | Animal    | Brachiopoda                | -472000000    | -466000000   | <>
Chinianaster                             | Animal    | Echinodermata              | -471800000    | -466000000   | <>
Chinianocarpos                           | Animal    | Echinodermata              | -477700000    | -470000000   | <>
Chirognathus                             | Animal    | Chordata                   | -478600000    | -460900000   | Chirognathus
Chisiloceras                             | Animal    | Mollusca                   | -478600000    | -466000000   | <>
Choia                                    | Animal    | Porifera                   | -477700000    | -467300000   | Choia
Chosenia                                 | Animal    | Arthropoda                 | -485400000    | -476800000   | Chosenia
Cienagomya                               | Animal    | Mollusca                   | -478600000    | -466000000   | <>
Circulocrania                            | Animal    | Arthropoda                 | -478600000    | -466000000   | Circulocrania
Clarkella                                | Animal    | Brachiopoda                | -478600000    | -466000000   | Clarkella
Clarkoceras                              | Animal    | Mollusca                   | -478600000    | -468100000   | Clarkoceras
Clathrospira                             | Animal    | Mollusca                   | -477700000    | -470000000   | <>
Clavohamulus                             | Animal    | Chordata                   | -478600000    | -466000000   | <>
Cleionychia                              | Animal    | Mollusca                   | -478600000    | -471800000   | <>
Clelandoceras                            | Animal    | Mollusca                   | -478600000    | -468100000   | <>
Climacograptus                           | Animal    | Hemichordata               | -471800000    | -457500000   | Climacograptus
Clinoceras                               | Animal    | Mollusca                   | -471800000    | -466000000   | <>
Clisospira                               | Animal    | Mollusca                   | -471800000    | -457500000   | <>
Clitambonites                            | Animal    | Brachiopoda                | -478600000    | -466000000   | <>
Clitendoceras                            | Animal    | Mollusca                   | -477700000    | -470000000   | Clitendoceras
Cloacaspis                               | Animal    | Arthropoda                 | -471800000    | -457500000   | Cloacaspis
Clonograptus                             | Animal    | Hemichordata               | -476800000    | -473900000   | Clonograptus
Clytoceras                               | Animal    | Mollusca                   | -477700000    | -470000000   | <>
Cnemecrinus                              | Animal    | Echinodermata              | -485400000    | -471800000   | <>
Cnemidactis                              | Animal    | Echinodermata              | -471800000    | -468100000   | <>
Cnemidopyge                              | Animal    | Arthropoda                 | -478600000    | -466000000   | Cnemidopyge
Cochlioceras                             | Animal    | Mollusca                   | -471800000    | -457500000   | Cochlioceras
Coelocerodontus                          | Animal    | Chordata                   | -478600000    | -466000000   | <>
Colaptoconus                             | Animal    | Chordata                   | -478600000    | -466000000   | Colaptoconus
Colaptomena                              | Animal    | Brachiopoda                | -471800000    | -457500000   | <>
Coleodus                                 | Animal    | Chordata                   | -478600000    | -466000000   | Coleodus
Colinispongia                            | Animal    | Porifera                   | -478600000    | -468100000   | <>
Colobinion                               | Animal    | Arthropoda                 | -471800000    | -457500000   | Colobinion
Colpantyx                                | Animal    | Mollusca                   | -476800000    | -473900000   | <>
Colpocoryphe                             | Animal    | Arthropoda                 | -471800000    | -466000000   | Colpocoryphe
Colpomya                                 | Animal    | Mollusca                   | -478600000    | -466000000   | <>
Columnaria                               | Animal    | Cnidaria                   | -485400000    | -443400000   | Columnaria
Conchoprimitia                           | Animal    | Arthropoda                 | -471800000    | -466000000   | <>
Conodiscus                               | Animal    | Brachiopoda                | -477700000    | -470000000   | <>
Conophrys                                | Animal    | Arthropoda                 | -478600000    | -471800000   | <>
Conotreta                                | Animal    | Brachiopoda                | -471800000    | -466000000   | <>
Conularia                                | Animal    | Cnidaria                   | -478600000    | -466000000   | <>
Coopericystis                            | Animal    | Echinodermata              | -485400000    | -443400000   | <>
Copiceras                                | Animal    | Mollusca                   | -477700000    | -470000000   | <>
