Chalcidophyllum                          | Animal    | Cnidaria                   | -410800000    | -393300000   | <>
Champernownia                            | Animal    | Mollusca                   | -410800000    | -407600000   | <>
Charactophyllum                          | Animal    | Cnidaria                   | -419200000    | -358900000   | <>
Charionella                              | Animal    | Brachiopoda                | -419200000    | -358900000   | <>
Chebbioceras                             | Animal    | Mollusca                   | -409100000    | -391900000   | <>
Chebbites                                | Animal    | Mollusca                   | -409100000    | -402500000   | <>
Cheiracanthoides                         | Animal    | Chordata                   | -409100000    | -402500000   | <>
Cheiropteraster                          | Animal    | Echinodermata              | -409100000    | -402500000   | <>
Cheirurus                                | Animal    | Arthropoda                 | -409100000    | -387700000   | Cheirurus
Chirodipterus                            | Animal    | Chordata                   | -419200000    | -358900000   | Chirodipterus
Chlamydophyllum                          | Animal    | Cnidaria                   | -409100000    | -402500000   | <>
Chlupacina                               | Animal    | Brachiopoda                | -409100000    | -391900000   | <>
Chlupacispira                            | Animal    | Mollusca                   | -409100000    | -402500000   | <>
Choia                                    | Animal    | Porifera                   | -409100000    | -402500000   | Choia
Chonetes                                 | Animal    | Brachiopoda                | -409100000    | -383700000   | Chonetes
Chonetoidea                              | Animal    | Brachiopoda                | -427400000    | -407600000   | <>
Chonostrophia                            | Animal    | Brachiopoda                | -410800000    | -407600000   | <>
Chostophyllum                            | Animal    | Cnidaria                   | -410800000    | -407600000   | <>
Chotecops                                | Animal    | Arthropoda                 | -409100000    | -402500000   | Chotecops
Chuchleconus                             | Animal    | Mollusca                   | -410800000    | -407600000   | <>
Chynistrophia                            | Animal    | Brachiopoda                | -409100000    | -391900000   | <>
Cimitaria                                | Animal    | Mollusca                   | -409100000    | -402500000   | <>
Cimrmaniela                              | Animal    | Mollusca                   | -410800000    | -407600000   | <>
Cingulochitina                           | Micro     | Sarcodina                  | -410800000    | -407600000   | Cingulochitina
Cingulodermis                            | Animal    | Brachiopoda                | -409100000    | -391900000   | <>
Cladopora                                | Animal    | Cnidaria                   | -409100000    | -382700000   | <>
Clarkeia                                 | Animal    | Brachiopoda                | -423000000    | -391900000   | Clarkeia
Clathrocoilona                           | Animal    | Porifera                   | -410800000    | -407600000   | <>
Clathrodictyon                           | Animal    | Porifera                   | -409100000    | -402500000   | <>
Clavodalejina                            | Animal    | Brachiopoda                | -409100000    | -391900000   | <>
Clavofabellina                           | Animal    | Arthropoda                 | -409100000    | -402500000   | <>
Climatius                                | Animal    | Chordata                   | -419200000    | -393300000   | Climatius
Clonocrinus                              | Animal    | Echinodermata              | -416000000    | -391900000   | <>
Clorinda                                 | Animal    | Brachiopoda                | -409100000    | -391900000   | <>
Clorindina                               | Animal    | Brachiopoda                | -410800000    | -402500000   | <>
Cloudella                                | Animal    | Brachiopoda                | -416000000    | -407600000   | <>
Codiacrinus                              | Animal    | Echinodermata              | -409100000    | -402500000   | <>
Coelocaulus                              | Animal    | Mollusca                   | -410800000    | -407600000   | <>
Coelocerodontus                          | Animal    | Chordata                   | -410800000    | -407600000   | <>
Coelocladiella                           | Animal    | Porifera                   | -410800000    | -407600000   | <>
Coelocyclus                              | Animal    | Mollusca                   | -410800000    | -407600000   | <>
Coeloenellina                            | Animal    | Arthropoda                 | -409100000    | -402500000   | <>
Coelospira                               | Animal    | Brachiopoda                | -409100000    | -391900000   | <>
Coelospirella                            | Animal    | Brachiopoda                | -409100000    | -402500000   | <>
Coelospirina                             | Animal    | Brachiopoda                | -409100000    | -391900000   | <>
Coenites                                 | Animal    | Cnidaria                   | -409100000    | -383700000   | Coenites
Coenostroma                              | Animal    | Porifera                   | -410800000    | -407600000   | <>
Coignouina                               | Animal    | Arthropoda                 | -410800000    | -402500000   | <>
Collina                                  | Animal    | Mollusca                   | -410800000    | -407600000   | Collina_(ammonite)
Colongina                                | Animal    | Brachiopoda                | -410800000    | -407600000   | <>
Columellaespongia                        | Animal    | Porifera                   | -410800000    | -407600000   | <>
Columnaria                               | Animal    | Cnidaria                   | -410800000    | -407600000   | Columnaria
Columnostroma                            | Animal    | Porifera                   | -410800000    | -407600000   | <>
Composita                                | Animal    | Brachiopoda                | -419200000    | -298900000   | Composita
Compsaster                               | Animal    | Echinodermata              | -409100000    | -402500000   | <>
Conchidium                               | Animal    | Brachiopoda                | -410800000    | -407600000   | Conchidium
Coniproetus                              | Animal    | Arthropoda                 | -410800000    | -407600000   | <>
Conocardium                              | Animal    | Mollusca                   | -409100000    | -391900000   | Conocardium
Contractenus                             | Animal    | Lophotrochozoa             | -410800000    | -407600000   | <>
Conularia                                | Animal    | Cnidaria                   | -409100000    | -402500000   | <>
Convoluticeras                           | Animal    | Mollusca                   | -409100000    | -402500000   | <>
Cooksonia                                | Plant     | Psilophytophyta            | -410800000    | -407600000   | Cooksonia
