Bartramia                                | Animal    | Chordata                   | -11700        | 2030         | Bartramia_(bird)
Bartschella                              | Animal    | Mollusca                   | -2588000      | 2030         | Bartschella
Bassaricyon                              | Animal    | Chordata                   | -11700        | 2030         | Bassaricyon
Bassariscus                              | Animal    | Chordata                   | -11700        | 2030         | Bassariscus
Batagur                                  | Animal    | Chordata                   | -11700        | 2030         | Batagur
Bathyarca                                | Animal    | Mollusca                   | -11700        | 2030         | Bathyarca
Bathyarctus                              | Animal    | Arthropoda                 | -11700        | 2030         | <>
Bathyergus                               | Animal    | Chordata                   | -126000       | 2030         | Bathyergus
Bathypaguropsis                          | Animal    | Arthropoda                 | -11700        | 2030         | <>
Batillaria                               | Animal    | Mollusca                   | -11700        | 2030         | Batillaria
Bdelloidina                              | Micro     | Foraminifera               | -11700        | 2030         | <>
Bdeogale                                 | Animal    | Chordata                   | -11700        | 2030         | Bdeogale
Beatragus                                | Animal    | Chordata                   | -2588000      | 2030         | Beatragus
Belenois                                 | Animal    | Arthropoda                 | -11700        | 2030         | Belenois
Bellamya                                 | Animal    | Mollusca                   | -11700        | 2030         | Bellamya
Bellidilia                               | Animal    | Arthropoda                 | -11700        | 2030         | <>
Belostoma                                | Animal    | Arthropoda                 | -11700        | 2030         | Belostoma
Bembicium                                | Animal    | Mollusca                   | -11700        | 2030         | Bembicium
Benthesicymus                            | Animal    | Arthropoda                 | -11700        | 2030         | Benthesicymus
Berardius                                | Animal    | Chordata                   | -11700        | 2030         | Berardius
Bermuteo                                 | Animal    | Chordata                   | -11700        | 2030         | Bermuteo
Bernardina                               | Animal    | Mollusca                   | -2588000      | 2030         | Bernardina
Betaeus                                  | Animal    | Arthropoda                 | -11700        | 2030         | Betaeus
Bettongia                                | Animal    | Chordata                   | -11700        | 2030         | Bettongia
Betula                                   | Plant     | Spermatophyta              | -11700        | 2030         | Betula
Bibimys                                  | Animal    | Chordata                   | -11700        | 2030         | Bibimys
Bicornucythere                           | Animal    | Arthropoda                 | -11700        | 2030         | <>
