Aspidopora                               | Animal    | Bryozoa                    | -452000000    | -449500000   | <>
Astakocrinus                             | Animal    | Echinodermata              | -449500000    | -443700000   | <>
Astamena                                 | Animal    | Brachiopoda                | -457500000    | -449500000   | <>
Asteriospongia                           | Animal    | Porifera                   | -460900000    | -449500000   | <>
Asthenophyllum                           | Animal    | Cnidaria                   | -449500000    | -443700000   | <>
Astraspis                                | Animal    | Chordata                   | -449500000    | -443700000   | Astraspis
Astrocystites                            | Animal    | Echinodermata              | -449500000    | -443700000   | <>
Astroproetus                             | Animal    | Arthropoda                 | -449500000    | -443400000   | <>
Astrovidictya                            | Animal    | Bryozoa                    | -449500000    | -445600000   | <>
Astylostroma                             | Animal    | Porifera                   | -449500000    | -443700000   | <>
Atactocrinus                             | Animal    | Echinodermata              | -449500000    | -443700000   | <>
Atactopora                               | Animal    | Bryozoa                    | -449500000    | -443700000   | <>
Atactoporella                            | Animal    | Bryozoa                    | -449500000    | -443700000   | <>
Atansoria                                | Animal    | Brachiopoda                | -453000000    | -445200000   | <>
Atelelasma                               | Animal    | Brachiopoda                | -452000000    | -445600000   | <>
Ateleocystites                           | Animal    | Echinodermata              | -449500000    | -445600000   | <>
Athrophragma                             | Animal    | Bryozoa                    | -460900000    | -449500000   | <>
Atractocybeloides                        | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Atractopyge                              | Animal    | Arthropoda                 | -449500000    | -443700000   | Atractopyge
Atrypa                                   | Animal    | Brachiopoda                | -445600000    | -443700000   | Atrypa
Augustoceras                             | Animal    | Mollusca                   | -449500000    | -443700000   | Augustoceras
Aulacera                                 | Animal    | Porifera                   | -449500000    | -433400000   | <>
Aulacognathus                            | Animal    | Chordata                   | -449500000    | -412300000   | <>
Aulechinus                               | Animal    | Echinodermata              | -455800000    | -445600000   | <>
Aulidospira                              | Animal    | Brachiopoda                | -455800000    | -452000000   | <>
Aulocopella                              | Animal    | Porifera                   | -449500000    | -443700000   | <>
Aulocopium                               | Animal    | Porifera                   | -449500000    | -443700000   | <>
Aulopora                                 | Animal    | Cnidaria                   | -456100000    | -449500000   | Aulopora
Austinella                               | Animal    | Brachiopoda                | -449500000    | -443700000   | <>
Australispira                            | Animal    | Brachiopoda                | -456100000    | -449500000   | <>
Avdeevella                               | Animal    | Brachiopoda                | -460900000    | -449500000   | <>
Azamella                                 | Animal    | Brachiopoda                | -466000000    | -449500000   | <>
Azygograptus                             | Animal    | Hemichordata               | -449500000    | -443400000   | <>
Babanicrinus                             | Animal    | Echinodermata              | -453000000    | -445200000   | <>
Bactroceras                              | Animal    | Mollusca                   | -456100000    | -443700000   | Bactroceras
Bactrotheca                              | Animal    | Hyolitha                   | -455800000    | -445600000   | Bactrotheca
Baikitolites                             | Animal    | Cnidaria                   | -449500000    | -443700000   | <>
Bairdiocypridella                        | Animal    | Arthropoda                 | -452000000    | -449500000   | <>
Bajanhongorella                          | Animal    | Brachiopoda                | -453000000    | -445200000   | <>
Bajgolia                                 | Animal    | Cnidaria                   | -453000000    | -443400000   | <>
Baldiscella                              | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Balticella                               | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Balticopora                              | Animal    | Bryozoa                    | -460900000    | -449500000   | <>
Baltiscanella                            | Animal    | Mollusca                   | -485400000    | -443400000   | <>
Baltograptus                             | Animal    | Hemichordata               | -460900000    | -449500000   | <>
Baltoniodus                              | Animal    | Chordata                   | -452000000    | -443700000   | Baltoniodus
Bancroftina                              | Animal    | Brachiopoda                | -449500000    | -443700000   | <>
Bandaleta                                | Animal    | Brachiopoda                | -453000000    | -445200000   | <>
Baniaspis                                | Animal    | Arthropoda                 | -445600000    | -443700000   | <>
Barbarorthis                             | Animal    | Brachiopoda                | -445600000    | -443700000   | <>
Barbatulella                             | Animal    | Brachiopoda                | -449500000    | -443700000   | <>
Barrandia                                | Animal    | Arthropoda                 | -466000000    | -449500000   | <>
Basilicus                                | Animal    | Arthropoda                 | -455800000    | -449500000   | <>
Bassettella                              | Animal    | Brachiopoda                | -453000000    | -445200000   | <>
Bassleratia                              | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Bassleridiscus                           | Animal    | Echinodermata              | -460900000    | -449500000   | <>
Basslerites                              | Animal    | Arthropoda                 | -449500000    | -443700000   | <>
Batherocystis                            | Animal    | Echinodermata              | -460900000    | -449500000   | <>
Bathmoceras                              | Animal    | Mollusca                   | -466000000    | -449500000   | Bathmoceras
Bathycheilus                             | Animal    | Arthropoda                 | -466000000    | -449500000   | Bathycheilus
Bathyurellus                             | Animal    | Arthropoda                 | -466000000    | -449500000   | <>
Bathyurus                                | Animal    | Arthropoda                 | -449500000    | -443700000   | <>
Batostoma                                | Animal    | Bryozoa                    | -445600000    | -443700000   | <>
Batostomella                             | Animal    | Bryozoa                    | -449500000    | -443700000   | <>
Batostomellina                           | Animal    | Bryozoa                    | -460900000    | -449500000   | <>
Beatricea                                | Micro     | Radiolaria                 | -449500000    | -443700000   | <>
Becscia                                  | Animal    | Brachiopoda                | -449500000    | -443700000   | <>
Bekkerella                               | Animal    | Brachiopoda                | -460900000    | -449500000   | <>
Bekkerina                                | Animal    | Brachiopoda                | -460900000    | -449500000   | <>
Belemnites                               | Animal    | Mollusca                   | -541000000    | -252170000   | Belemnites_(genus)
Bellerophon                              | Animal    | Mollusca                   | -445600000    | -443700000   | Bellerophon
Bellimurina                              | Animal    | Brachiopoda                | -449500000    | -445600000   | <>
Bellornatia                              | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Belodella                                | Animal    | Chordata                   | -449500000    | -443700000   | <>
Belodina                                 | Animal    | Chordata                   | -445600000    | -443700000   | <>
Beloitoceras                             | Animal    | Mollusca                   | -449500000    | -443700000   | <>
Belonechitina                            | Micro     | Sarcodina                  | -449500000    | -443700000   | Belonechitina
Belubulaia                               | Animal    | Porifera                   | -449500000    | -443700000   | <>
Belubulaspongia                          | Animal    | Porifera                   | -456100000    | -449500000   | <>
Berenicea                                | Animal    | Bryozoa                    | -449500000    | -443700000   | <>
Besselodus                               | Animal    | Chordata                   | -449500000    | -427400000   | <>
Beukeria                                 | Animal    | Mollusca                   | -460900000    | -449500000   | <>
Beyrichia                                | Animal    | Arthropoda                 | -452000000    | -449500000   | <>
Bichilina                                | Animal    | Arthropoda                 | -452000000    | -449500000   | <>
Bickmorites                              | Animal    | Mollusca                   | -449500000    | -443700000   | Bickmorites
Bicuspina                                | Animal    | Brachiopoda                | -449500000    | -433400000   | <>
Biernatia                                | Animal    | Brachiopoda                | -449500000    | -443700000   | <>
Bighornia                                | Animal    | Cnidaria                   | -449500000    | -443700000   | <>
Billingsaria                             | Animal    | Cnidaria                   | -453000000    | -445200000   | <>
Billingsites                             | Animal    | Mollusca                   | -449500000    | -443700000   | <>
Bilobia                                  | Animal    | Brachiopoda                | -455800000    | -452000000   | <>
Bimuria                                  | Animal    | Brachiopoda                | -449500000    | -443400000   | Bimuria
Biparetis                                | Animal    | Brachiopoda                | -449500000    | -443700000   | <>
Birksfeldia                              | Animal    | Chordata                   | -449500000    | -445600000   | <>
Birmanites                               | Animal    | Arthropoda                 | -449500000    | -443700000   | Birmanites
Bistomiacystis                           | Animal    | Echinodermata              | -460900000    | -449500000   | <>
Bistramia                                | Animal    | Brachiopoda                | -460900000    | -449500000   | <>
Bitrigonocardia                          | Animal    | Mollusca                   | -449500000    | -443700000   | <>
Bodacrinus                               | Animal    | Echinodermata              | -453000000    | -443400000   | <>
Bodenia                                  | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Bodoceras                                | Animal    | Mollusca                   | -453000000    | -445200000   | <>
Bodophyllum                              | Animal    | Cnidaria                   | -449500000    | -443700000   | <>
Bodospira                                | Animal    | Mollusca                   | -449500000    | -443700000   | <>
Boeckaspis                               | Animal    | Arthropoda                 | -485400000    | -443400000   | <>
Bohemiaecystis                           | Animal    | Echinodermata              | -460900000    | -449500000   | <>
Bohemilla                                | Animal    | Arthropoda                 | -453000000    | -445200000   | <>
Bokotorthis                              | Animal    | Brachiopoda                | -453000000    | -445200000   | <>
Bolbina                                  | Animal    | Arthropoda                 | -449500000    | -445600000   | <>
Bolbineossia                             | Animal    | Arthropoda                 | -449500000    | -433400000   | <>
Bolbochasmops                            | Animal    | Arthropoda                 | -460900000    | -449500000   | Bolbochasmops
Bolbopisthia                             | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Bollia                                   | Animal    | Arthropoda                 | -445600000    | -443700000   | <>
Boonderooia                              | Animal    | Porifera                   | -456100000    | -449500000   | <>
Boreadorthis                             | Animal    | Brachiopoda                | -445600000    | -443700000   | <>
Borealaspis                              | Animal    | Arthropoda                 | -449500000    | -443700000   | Borealaspis
Borelasma                                | Animal    | Cnidaria                   | -445600000    | -443700000   | <>
Borisella                                | Micro     | Radiolaria                 | -453000000    | -443400000   | <>
Bothriocidaris                           | Animal    | Echinodermata              | -449500000    | -443700000   | Bothriocidaris
Boticium                                 | Animal    | Brachiopoda                | -449500000    | -445600000   | <>
Botrioides                               | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Boucotspira                              | Animal    | Mollusca                   | -449500000    | -443700000   | <>
Bowanophyllum                            | Animal    | Cnidaria                   | -449500000    | -443700000   | <>
Bowanorthis                              | Animal    | Brachiopoda                | -456100000    | -449500000   | <>
Brachaktassia                            | Animal    | Brachiopoda                | -466000000    | -449500000   | <>
Brachiospongia                           | Animal    | Porifera                   | -449500000    | -443700000   | <>
Brachyaspis                              | Animal    | Arthropoda                 | -449500000    | -443700000   | <>
Brachymimulus                            | Animal    | Brachiopoda                | -460900000    | -443700000   | <>
Brachyprion                              | Animal    | Brachiopoda                | -449500000    | -433400000   | <>
Brachytomaria                            | Animal    | Mollusca                   | -445600000    | -443700000   | <>
Bracteoleptaena                          | Animal    | Brachiopoda                | -445600000    | -443700000   | <>
Brevibolbina                             | Animal    | Arthropoda                 | -452000000    | -445600000   | <>
Brevilamnulella                          | Animal    | Brachiopoda                | -449500000    | -443700000   | <>
Broeggeroceras                           | Animal    | Mollusca                   | -449500000    | -445600000   | <>
Broeggerolithus                          | Animal    | Arthropoda                 | -455800000    | -449500000   | <>
Bromidechinus                            | Animal    | Echinodermata              | -460900000    | -449500000   | <>
Bromidella                               | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Bromidocrinus                            | Animal    | Echinodermata              | -460900000    | -449500000   | <>
Bromidocystis                            | Animal    | Echinodermata              | -460900000    | -449500000   | <>
Brongniartella                           | Animal    | Arthropoda                 | -445600000    | -443700000   | Brongniartella
Bronteopsis                              | Animal    | Arthropoda                 | -449500000    | -445600000   | <>
Bryantodina                              | Animal    | Chordata                   | -453000000    | -445200000   | <>
Bucanella                                | Animal    | Mollusca                   | -445600000    | -443700000   | <>
Bucania                                  | Animal    | Mollusca                   | -449500000    | -443700000   | <>
Bucanopsina                              | Animal    | Mollusca                   | -457500000    | -445600000   | <>
Bucanopsis                               | Animal    | Mollusca                   | -449500000    | -443700000   | <>
Bulbaspis                                | Animal    | Arthropoda                 | -460900000    | -449500000   | Bulbaspis
Bullaeferum                              | Animal    | Arthropoda                 | -466000000    | -449500000   | <>
Bullatella                               | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Bumastoides                              | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Bumastus                                 | Animal    | Arthropoda                 | -449500000    | -443400000   | Bumastus
Byrsolopsina                             | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Byssodesma                               | Animal    | Mollusca                   | -453000000    | -445200000   | <>
Bythocypris                              | Animal    | Arthropoda                 | -449500000    | -443700000   | <>
Bythopora                                | Animal    | Bryozoa                    | -449500000    | -443700000   | <>
Cahabagnathus                            | Animal    | Chordata                   | -460900000    | -449500000   | <>
