Chlupacina                               | Animal    | Brachiopoda                | -419200000    | -410800000   | <>
Chonetes                                 | Animal    | Brachiopoda                | -419200000    | -358900000   | Chonetes
Chonetoidea                              | Animal    | Brachiopoda                | -427400000    | -407600000   | <>
Chonostrophia                            | Animal    | Brachiopoda                | -419200000    | -382700000   | <>
Chynistrophia                            | Animal    | Brachiopoda                | -419200000    | -387700000   | <>
Cimicinella                              | Animal    | Brachiopoda                | -419200000    | -410800000   | <>
Cingulochitina                           | Micro     | Sarcodina                  | -419200000    | -410800000   | Cingulochitina
Cingulodermis                            | Animal    | Brachiopoda                | -419200000    | -387700000   | <>
Circophyllum                             | Animal    | Cnidaria                   | -423000000    | -410800000   | <>
Cladochonus                              | Animal    | Cnidaria                   | -419200000    | -410800000   | Cladochonus
Cladopora                                | Animal    | Cnidaria                   | -416000000    | -412300000   | <>
Claritacarpus                            | Animal    | Echinodermata              | -419200000    | -410800000   | <>
Clarkeia                                 | Animal    | Brachiopoda                | -423000000    | -391900000   | Clarkeia
Clathrocoilona                           | Animal    | Porifera                   | -419200000    | -410800000   | <>
Clathrodictyon                           | Animal    | Porifera                   | -419200000    | -393300000   | <>
Clavofabella                             | Animal    | Arthropoda                 | -419200000    | -410800000   | <>
Clavofabellina                           | Animal    | Arthropoda                 | -419200000    | -410800000   | <>
Clematocrinus                            | Animal    | Echinodermata              | -419200000    | -410800000   | <>
Clidochirus                              | Animal    | Echinodermata              | -419200000    | -410800000   | <>
Climatius                                | Animal    | Chordata                   | -419200000    | -393300000   | Climatius
Clonocrinus                              | Animal    | Echinodermata              | -416000000    | -391900000   | <>
Clorinda                                 | Animal    | Brachiopoda                | -419200000    | -387700000   | Clorinda
Clorindina                               | Animal    | Brachiopoda                | -419200000    | -407600000   | <>
Cloudella                                | Animal    | Brachiopoda                | -416000000    | -407600000   | <>
Codiacrinus                              | Animal    | Echinodermata              | -419200000    | -407600000   | <>
Codonocheilus                            | Animal    | Mollusca                   | -419200000    | -410800000   | <>
Coelocaulus                              | Animal    | Mollusca                   | -419200000    | -410800000   | <>
Coelocerodontus                          | Animal    | Chordata                   | -419200000    | -410800000   | <>
Coelocyclus                              | Animal    | Mollusca                   | -419200000    | -410800000   | <>
Coeloenellina                            | Animal    | Arthropoda                 | -419200000    | -410800000   | <>
Coelospira                               | Animal    | Brachiopoda                | -412300000    | -409100000   | <>
Coenellostroma                           | Animal    | Porifera                   | -419200000    | -410800000   | <>
Coenites                                 | Animal    | Cnidaria                   | -412300000    | -409100000   | Coenites
Coenostelodictyon                        | Animal    | Porifera                   | -419200000    | -410800000   | <>
Coenostroma                              | Animal    | Porifera                   | -419200000    | -410800000   | <>
Colletostracia                           | Animal    | Brachiopoda                | -419200000    | -410800000   | <>
Collina                                  | Animal    | Mollusca                   | -416000000    | -393300000   | Collina
Colongina                                | Animal    | Brachiopoda                | -419200000    | -410800000   | <>
Columnaria                               | Animal    | Cnidaria                   | -423000000    | -410800000   | Columnaria
Columnostroma                            | Animal    | Porifera                   | -419200000    | -410800000   | <>
Composita                                | Animal    | Brachiopoda                | -419200000    | -298900000   | Composita
Conchidium                               | Animal    | Brachiopoda                | -419200000    | -410800000   | Conchidium
Condracypris                             | Animal    | Arthropoda                 | -423000000    | -410800000   | <>
Coniculospongia                          | Animal    | Porifera                   | -419200000    | -410800000   | <>
Coniproetus                              | Animal    | Arthropoda                 | -419200000    | -393300000   | <>
Conocardium                              | Animal    | Mollusca                   | -416000000    | -393300000   | Conocardium
Conoclisa                                | Animal    | Mollusca                   | -419200000    | -410800000   | <>
Conularia                                | Animal    | Cnidaria                   | -419200000    | -407600000   | <>
Cooksonia                                | Plant     | Psilophytophyta            | -419200000    | -393300000   | Cooksonia
