Antholithes                              | Plant     | Pteridospermophyta         | -23030000     | -5333000     | <>
Anthonomus                               | Animal    | Arthropoda                 | -20440000     | -13820000    | Anthonomus
Anthracohelops                           | Animal    | Arthropoda                 | -15970000     | -11608000    | <>
Anthracotherium                          | Animal    | Chordata                   | -15970000     | -13820000    | Anthracotherium
Anthrax                                  | Animal    | Arthropoda                 | -20440000     | -13820000    | Anthrax
Anticedusa                               | Animal    | Arthropoda                 | -20440000     | -13820000    | <>
Anticorbula                              | Animal    | Mollusca                   | -15970000     | -5333000     | <>
Antidorcas                               | Animal    | Chordata                   | -23030000     | -2588000     | Antidorcas
Antigona                                 | Animal    | Mollusca                   | -15970000     | -11608000    | Antigona_(bivalve)
Antigonia                                | Animal    | Chordata                   | -15970000     | -13820000    | Antigonia_(fish)
Antiguastrea                             | Animal    | Cnidaria                   | -15970000     | -11620000    | <>
Antillaster                              | Animal    | Echinodermata              | -23030000     | -11608000    | <>
Antillipecten                            | Animal    | Mollusca                   | -15970000     | -13820000    | <>
Antillipeltis                            | Animal    | Arthropoda                 | -20440000     | -13820000    | <>
Antillocyathus                           | Animal    | Cnidaria                   | -20440000     | -11620000    | <>
Antillophos                              | Animal    | Mollusca                   | -15970000     | -11608000    | Antillophos
Antillopsyche                            | Animal    | Arthropoda                 | -20440000     | -13820000    | <>
Antillostenochrus                        | Animal    | Arthropoda                 | -20440000     | -13820000    | <>
Antillotettix                            | Animal    | Arthropoda                 | -20440000     | -13820000    | <>
Antilope                                 | Animal    | Chordata                   | -23030000     | -5333000     | Antilope
Antimyctophum                            | Animal    | Chordata                   | -15900000     | -13650000    | <>
Antiquatortia                            | Animal    | Arthropoda                 | -20440000     | -13820000    | <>
Antoniettella                            | Animal    | Bryozoa                    | -20440000     | -13820000    | <>
Antropora                                | Animal    | Bryozoa                    | -20440000     | -13820000    | Antropora
Antrozous                                | Animal    | Chordata                   | -15970000     | -13600000    | Antrozous
Anyphaenoides                            | Animal    | Arthropoda                 | -20440000     | -13820000    | Anyphaenoides
Aoteadrillia                             | Animal    | Mollusca                   | -19000000     | -15900000    | Aoteadrillia
Apalone                                  | Animal    | Chordata                   | -15970000     | -13600000    | Apalone
Apenesia                                 | Animal    | Arthropoda                 | -20440000     | -13820000    | <>
Aphaenogaster                            | Animal    | Arthropoda                 | -15970000     | -13820000    | Aphaenogaster
Aphanitoma                               | Animal    | Mollusca                   | -15970000     | -11608000    | Aphanitoma
Aphanobelodon                            | Animal    | Chordata                   | -15970000     | -13820000    | Aphanobelodon
Aphanopus                                | Animal    | Chordata                   | -15970000     | -11608000    | Aphanopus
Apharosoma                               | Animal    | Arthropoda                 | -20440000     | -13820000    | <>
Aphelops                                 | Animal    | Chordata                   | -15970000     | -10300000    | Aphelops
Aphelopus                                | Animal    | Arthropoda                 | -20440000     | -13820000    | Aphelopus
Aphera                                   | Animal    | Mollusca                   | -15970000     | -13820000    | Aphera
Aphrastomyia                             | Animal    | Arthropoda                 | -20440000     | -13820000    | <>
Aphrocallistes                           | Animal    | Porifera                   | -15970000     | -11620000    | Aphrocallistes
Aphrophora                               | Animal    | Arthropoda                 | -15970000     | -11608000    | Aphrophora
Apicrenus                                | Animal    | Arthropoda                 | -20440000     | -13820000    | <>
Apifilaria                               | Animal    | Nematoda                   | -20440000     | -13820000    | <>
Apionion                                 | Animal    | Arthropoda                 | -20440000     | -13820000    | Apionion
Apis                                     | Animal    | Arthropoda                 | -15970000     | -13600000    | Apis
Apixystus                                | Animal    | Mollusca                   | -15970000     | -11608000    | <>
Aplodinotus                              | Animal    | Chordata                   | -15970000     | -13600000    | Aplodinotus
Apocynophyllum                           | Plant     | Spermatophyta              | -15970000     | -13820000    | <>
Apodemus                                 | Animal    | Chordata                   | -23030000     | -11700       | Apodemus
Apodrosus                                | Animal    | Arthropoda                 | -20440000     | -13820000    | <>
Apogon                                   | Animal    | Chordata                   | -19000000     | -15900000    | Apogon
Apolymetis                               | Animal    | Mollusca                   | -15970000     | -11608000    | <>
Aporotus                                 | Animal    | Chordata                   | -15970000     | -11620000    | <>
Aporrhais                                | Animal    | Mollusca                   | -15970000     | -11608000    | Aporrhais
Appendicisporites                        | Plant     | Pteridophyta               | -100500000    | -5333000     | <>
Aprionodon                               | Animal    | Chordata                   | -15970000     | -13820000    | <>
Aprotodon                                | Animal    | Chordata                   | -15970000     | -11608000    | <>
Apsectus                                 | Animal    | Arthropoda                 | -20440000     | -13820000    | Apsectus
Apterostigma                             | Animal    | Arthropoda                 | -20440000     | -13820000    | Apterostigma
