Dala                                     | Animal    | Arthropoda                 | -501000000    | -485400000   | Dala
Damesella                                | Animal    | Arthropoda                 | -500500000    | -497000000   | <>
Damesops                                 | Animal    | Arthropoda                 | -500500000    | -497000000   | <>
Dartonaspis                              | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Dazhuia                                  | Animal    | Arthropoda                 | -500500000    | -497000000   | <>
Deadwoodia                               | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Deckera                                  | Animal    | Arthropoda                 | -501000000    | -485400000   | Deckera
Decoritheca                              | Animal    | Hyolitha                   | -501000000    | -485400000   | <>
Deiracephalus                            | Animal    | Arthropoda                 | -500500000    | -497000000   | Deiracephalus
Dellea                                   | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Denagnostus                              | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Dendrograptus                            | Animal    | Hemichordata               | -500500000    | -497000000   | Dendrograptus
Densonella                               | Animal    | Arthropoda                 | -500500000    | -497000000   | <>
Derikaspis                               | Animal    | Arthropoda                 | -500500000    | -497000000   | <>
Desmograptus                             | Animal    | Hemichordata               | -501000000    | -485400000   | <>
Diagoniella                              | Animal    | Porifera                   | -513000000    | -498500000   | Diagoniella
Dicanthopyge                             | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Dicellomus                               | Animal    | Brachiopoda                | -500500000    | -497000000   | <>
Diceratocephalus                         | Animal    | Arthropoda                 | -500500000    | -497000000   | Diceratocephalus
Diceratopyge                             | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Dicranocaris                             | Animal    | Arthropoda                 | -513000000    | -498500000   | <>
Dictyonema                               | Animal    | Hemichordata               | -498500000    | -485400000   | Dictyonema
Dictyonina                               | Animal    | Brachiopoda                | -501000000    | -485400000   | <>
Diencobolus                              | Animal    | Brachiopoda                | -505000000    | -498500000   | <>
Dikelocephalites                         | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Dipentaspis                              | Animal    | Arthropoda                 | -505000000    | -498500000   | Dipentaspis
Diplagnostus                             | Animal    | Arthropoda                 | -500500000    | -497000000   | <>
Diraphora                                | Animal    | Brachiopoda                | -500500000    | -497000000   | Diraphora
Distazeris                               | Animal    | Arthropoda                 | -500500000    | -497000000   | <>
Dokimocephalus                           | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Dolgeuloma                               | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Dolichometopsis                          | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Dongshanoceras                           | Animal    | Mollusca                   | -498500000    | -485400000   | <>
Dorispira                                | Animal    | Mollusca                   | -513000000    | -498500000   | <>
Dorypyge                                 | Animal    | Arthropoda                 | -500500000    | -497000000   | <>
Drabia                                   | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Drepanocarpos                            | Animal    | Echinodermata              | -498500000    | -494000000   | <>
Drepanochites                            | Animal    | Mollusca                   | -541000000    | -485400000   | Drepanochites
Drepanodus                               | Animal    | Chordata                   | -501000000    | -485400000   | <>
Drepanoistodus                           | Animal    | Chordata                   | -501000000    | -485400000   | <>
Dresbachia                               | Animal    | Arthropoda                 | -501000000    | -485400000   | Dresbachia
Drumaspis                                | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Duibianaspis                             | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Dunderbergia                             | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Duplora                                  | Animal    | Arthropoda                 | -498500000    | -494000000   | <>
Durinia                                  | Animal    | Arthropoda                 | -513000000    | -498500000   | Durinia
Dysoristus                               | Animal    | Brachiopoda                | -501000000    | -485400000   | <>
Dytremacephalus                          | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Echidnina                                | Micro     | Radiolaria                 | -501000000    | -485400000   | <>
Ectenolites                              | Animal    | Mollusca                   | -498500000    | -485400000   | Ectenolites
Ediacaria                                | Animal    | Cnidaria                   | -501000000    | -485400000   | Ediacaria
Edithiella                               | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Ehmania                                  | Animal    | Arthropoda                 | -513000000    | -498500000   | <>
Ehmaniella                               | Animal    | Arthropoda                 | -501000000    | -485400000   | Ehmaniella
Elburgia                                 | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Eldoradia                                | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Elkanaspis                               | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Elkia                                    | Animal    | Arthropoda                 | -501000000    | -485400000   | Elkia
Ellipsocephaloides                       | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Ellsworthoconus                          | Animal    | Mollusca                   | -501000000    | -485400000   | <>
Elrathia                                 | Animal    | Arthropoda                 | -501000000    | -485400000   | Elrathia
Elrathiella                              | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Elrathina                                | Animal    | Arthropoda                 | -501000000    | -485400000   | Elrathina
Elvinaspis                               | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Elvinia                                  | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Elviniella                               | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Elyaspis                                 | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Emarginoconus                            | Animal    | Mollusca                   | -541000000    | -485400000   | <>
Emeraldella                              | Animal    | Arthropoda                 | -513000000    | -498500000   | Emeraldella
Entomaspis                               | Animal    | Arthropoda                 | -501000000    | -485400000   | Entomaspis
Entsyna                                  | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Eoacidaspis                              | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Eoasaphus                                | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Eocameroceras                            | Animal    | Mollusca                   | -498500000    | -485400000   | <>
Eochatiania                              | Animal    | Arthropoda                 | -500500000    | -497000000   | <>
Eochuangia                               | Animal    | Arthropoda                 | -498500000    | -485400000   | Eochuangia
Eoconodontus                             | Animal    | Chordata                   | -498500000    | -477700000   | Eoconodontus
Eokaolishania                            | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Eokochaspis                              | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Eoorthis                                 | Animal    | Brachiopoda                | -498500000    | -485400000   | <>
Eoscaphelasma                            | Animal    | Brachiopoda                | -498500000    | -485400000   | <>
Eoshengia                                | Animal    | Arthropoda                 | -500500000    | -497000000   | <>
Eotrinucleus                             | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Erediaspis                               | Animal    | Arthropoda                 | -500500000    | -497000000   | <>
Erixanium                                | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Eshelmania                               | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Etoctenocystis                           | Animal    | Echinodermata              | -513000000    | -498500000   | <>
Euchasma                                 | Animal    | Mollusca                   | -501000000    | -498500000   | <>
Euconia                                  | Animal    | Mollusca                   | -501000000    | -485400000   | <>
Eugonocare                               | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Eukteanochiton                           | Animal    | Mollusca                   | -498500000    | -485400000   | <>
Euloma                                   | Animal    | Arthropoda                 | -498500000    | -477700000   | <>
Euonchonotina                            | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
