Amauropsis                               | Animal    | Mollusca                   | -23030000     | -15970000    | Amauropsis
Amberobrysa                              | Animal    | Arthropoda                 | -20440000     | -13820000    | <>
Amberoderma                              | Animal    | Arthropoda                 | -20440000     | -13820000    | Amberoderma
Amblyolacerta                            | Animal    | Chordata                   | -16900000     | -15970000    | <>
Amblypsilopus                            | Animal    | Arthropoda                 | -23030000     | -15970000    | Amblypsilopus
Amblystoma                               | Animal    | Chordata                   | -20430000     | -15970000    | Amblystoma
Ambocythere                              | Animal    | Arthropoda                 | -23030000     | -15970000    | <>
Ambostracon                              | Animal    | Arthropoda                 | -20440000     | -15970000    | <>
Ambracyptus                              | Animal    | Arthropoda                 | -23030000     | -15970000    | <>
Ambradolon                               | Animal    | Arthropoda                 | -20440000     | -13820000    | <>
Amebelodon                               | Animal    | Chordata                   | -23030000     | -5333000     | Amebelodon
Ameghinomya                              | Animal    | Mollusca                   | -20440000     | -15970000    | <>
Ameghinomys                              | Animal    | Chordata                   | -17500000     | -16300000    | <>
Ameghinornis                             | Animal    | Chordata                   | -56000000     | -15970000    | Ameghinornis
Ameiseophis                              | Animal    | Chordata                   | -20430000     | -15970000    | <>
Ameiurus                                 | Animal    | Chordata                   | -23030000     | -5333000     | Ameiurus
Amelanchier                              | Plant     | Spermatophyta              | -20440000     | -15970000    | Amelanchier
Ameranella                               | Animal    | Mollusca                   | -23030000     | -15970000    | <>
Ameranna                                 | Animal    | Mollusca                   | -23030000     | -15970000    | Ameranna
Americardia                              | Animal    | Mollusca                   | -20440000     | -15970000    | Americardia
Americhernes                             | Animal    | Arthropoda                 | -20440000     | -13820000    | <>
Amiantis                                 | Animal    | Mollusca                   | -23030000     | -15970000    | <>
Amitermes                                | Animal    | Arthropoda                 | -20440000     | -13820000    | Amitermes
Ammobaculites                            | Micro     | Foraminifera               | -23030000     | -15970000    | <>
Ammodiscus                               | Micro     | Foraminifera               | -21700000     | -19000000    | Ammodiscus
Ammonia                                  | Micro     | Foraminifera               | -20440000     | -13820000    | Ammonia
Ammophila                                | Animal    | Arthropoda                 | -23030000     | -15970000    | Ammophila
Ammospermophilus                         | Animal    | Chordata                   | -23030000     | -5333000     | Ammospermophilus
Amnestus                                 | Animal    | Arthropoda                 | -20440000     | -13820000    | Amnestus
Amoea                                    | Animal    | Arthropoda                 | -20440000     | -13820000    | <>
Amorpha                                  | Plant     | Spermatophyta              | -20430000     | -13600000    | Amorpha
Ampelopsis                               | Plant     | Spermatophyta              | -20440000     | -15970000    | Ampelopsis
Amphechinus                              | Animal    | Chordata                   | -16900000     | -15970000    | Amphechinus
Amphiblestrum                            | Animal    | Bryozoa                    | -19000000     | -15900000    | <>
Amphicaenopus                            | Animal    | Chordata                   | -30800000     | -20430000    | <>
Amphictis                                | Animal    | Chordata                   | -20430000     | -15970000    | <>
