Baculatisporites                         | Plant     | Pteridophyta               | -130000000    | -125450000   | <>
Baculites                                | Animal    | Mollusca                   | -145000000    | -66000000    | Baculites
Bacutriletes                             | Plant     | Lycophyta                  | -130000000    | -122460000   | <>
Baetylus                                 | Animal    | Arthropoda                 | -130000000    | -125450000   | Baetylus
Baidabatyr                               | Animal    | Chordata                   | -129400000    | -113000000   | <>
Baiera                                   | Plant     | Ginkgophyta                | -145000000    | -100500000   | Baiera
Baieropsis                               | Plant     | Pteridophyta               | -145000000    | -100500000   | <>
Bairdia                                  | Animal    | Arthropoda                 | -129400000    | -125000000   | <>
Bairdoppilata                            | Animal    | Arthropoda                 | -130000000    | -125450000   | <>
Baisarabaeus                             | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Baishuilingella                          | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Baissodes                                | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Baissoferus                              | Animal    | Arthropoda                 | -129400000    | -125000000   | <>
Baissoleon                               | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Baissopsyche                             | Animal    | Arthropoda                 | -129400000    | -125000000   | <>
Baissoptera                              | Animal    | Arthropoda                 | -125450000    | -122460000   | Baissoptera
Bakalovaella                             | Plant     | Chlorophyta                | -130000000    | -122460000   | <>
Balanocidaris                            | Animal    | Echinodermata              | -129400000    | -113000000   | <>
Balearites                               | Animal    | Mollusca                   | -132900000    | -125000000   | Balearites
Baleyopteryx                             | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Balkhania                                | Micro     | Foraminifera               | -129400000    | -122460000   | <>
Balmeisporites                           | Plant     | Pinophyta                  | -129400000    | -125000000   | <>
Bandellina                               | Animal    | Mollusca                   | -130000000    | -125450000   | <>
Banoberotha                              | Animal    | Arthropoda                 | -130000000    | -125450000   | <>
Barbatia                                 | Animal    | Mollusca                   | -125450000    | -122460000   | Barbatia
Barbderma                                | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Barguesiella                             | Animal    | Mollusca                   | -130000000    | -125450000   | <>
Barilium                                 | Animal    | Chordata                   | -136400000    | -125450000   | Barilium
Barremites                               | Animal    | Mollusca                   | -129400000    | -125000000   | Barremites
Barremitites                             | Animal    | Mollusca                   | -129400000    | -125000000   | <>
Barroisia                                | Animal    | Porifera                   | -125450000    | -112030000   | <>
Baryonyx                                 | Animal    | Chordata                   | -129400000    | -125000000   | Baryonyx
Baryphyllia                              | Animal    | Cnidaria                   | -129400000    | -122460000   | <>
Basilorhagio                             | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Basiserphus                              | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Bathrotomaria                            | Animal    | Mollusca                   | -125450000    | -122460000   | <>
Baugeichthys                             | Animal    | Chordata                   | -145000000    | -66000000    | <>
Bayannurosaurus                          | Animal    | Chordata                   | -125450000    | -122460000   | Bayannurosaurus
Bcharreglaris                            | Animal    | Arthropoda                 | -129400000    | -125000000   | <>
Bdelloidina                              | Micro     | Foraminifera               | -125450000    | -122460000   | <>
Beaupreaidites                           | Plant     | Spermatophyta              | -145000000    | -66000000    | <>
Becklesius                               | Animal    | Chordata                   | -130000000    | -125450000   | Becklesius
Becus                                    | Micro     | Radiolaria                 | -125450000    | -122460000   | <>
Beipiaocoris                             | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Beipiaopterus                            | Animal    | Chordata                   | -129400000    | -122460000   | Beipiaopterus
Beipiaoraphidia                          | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Beipiaosaurus                            | Animal    | Chordata                   | -130000000    | -122460000   | Beipiaosaurus
Beipiaoserphus                           | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Belbekella                               | Animal    | Brachiopoda                | -125450000    | -122460000   | <>
Belemnella                               | Animal    | Mollusca                   | -145000000    | -66000000    | Belemnella
Belemnites                               | Animal    | Mollusca                   | -125450000    | -122460000   | Belemnites_(genus)
Belemnobatis                             | Animal    | Chordata                   | -125450000    | -122460000   | Belemnobatis
Belemnopsis                              | Animal    | Mollusca                   | -145000000    | -66000000    | Belemnopsis
Bellicoris                               | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Bellimordella                            | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Bellohelorus                             | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Belonostomus                             | Animal    | Chordata                   | -129400000    | -122460000   | Belonostomus
Benthesicymus                            | Animal    | Arthropoda                 | -145000000    | -66000000    | Benthesicymus
Bernaea                                  | Animal    | Arthropoda                 | -130000000    | -125450000   | <>
Bernissartia                             | Animal    | Chordata                   | -125450000    | -122460000   | Bernissartia
Bernoullius                              | Micro     | Radiolaria                 | -130000000    | -122460000   | <>
Betelgeusia                              | Animal    | Echinodermata              | -129400000    | -125000000   | Betelgeusia
Beudanticeras                            | Animal    | Mollusca                   | -145000000    | -89800000    | Beudanticeras
Beurlenichthys                           | Animal    | Chordata                   | -145000000    | -100500000   | <>
