Albula                                   | Animal    | Chordata                   | -55800000     | -48600000    | Albula_(fish)
Alcespina                                | Animal    | Arthropoda                 | -48600000     | -37200000    | <>
Alderina                                 | Animal    | Bryozoa                    | -55800000     | -48600000    | <>
Aldwickia                                | Plant     | Spermatophyta              | -56000000     | -47800000    | <>
Aletodon                                 | Animal    | Chordata                   | -56800000     | -55800000    | Aletodon
Aletornis                                | Animal    | Chordata                   | -48600000     | -37200000    | <>
Aleurites                                | Plant     | Spermatophyta              | -55800000     | -50300000    | Aleurites
Algeripithecus                           | Animal    | Chordata                   | -56000000     | -41300000    | Algeripithecus
Alisma                                   | Plant     | Angiospermae               | -66000000     | -5333000     | Alisma
Alisporites                              | Plant     | Gymnospermophyta           | -55800000     | -48600000    | <>
Allaeochelys                             | Animal    | Chordata                   | -48600000     | -37200000    | Allaeochelys
Alligator                                | Animal    | Chordata                   | -48600000     | -40400000    | Alligator
Allognathosuchus                         | Animal    | Chordata                   | -50300000     | -46200000    | Allognathosuchus
Allomorone                               | Animal    | Chordata                   | -48600000     | -37200000    | Allomorone
Allomorphina                             | Micro     | Foraminifera               | -56000000     | -47800000    | <>
Allorapisma                              | Animal    | Arthropoda                 | -56000000     | -47800000    | Allorapisma
Allosminthus                             | Animal    | Chordata                   | -48600000     | -37200000    | <>
Alnus                                    | Plant     | Spermatophyta              | -48600000     | -37200000    | Alnus
Alocopocythere                           | Animal    | Arthropoda                 | -56000000     | -47800000    | <>
Alopias                                  | Animal    | Chordata                   | -48600000     | -33900000    | Alopias
Alopiopsis                               | Animal    | Chordata                   | -56000000     | -47800000    | Alopiopsis
Alosa                                    | Animal    | Chordata                   | -48600000     | -33900000    | Alosa
Alphadon                                 | Animal    | Chordata                   | -56000000     | -47800000    | Alphadon
Alpheus                                  | Animal    | Arthropoda                 | -66000000     | -23030000    | Alpheus_(shrimp)
Alponella                                | Animal    | Arthropoda                 | -56000000     | -47800000    | <>
Altanius                                 | Animal    | Chordata                   | -55800000     | -48600000    | Altanius
Altaspiratella                           | Animal    | Mollusca                   | -56000000     | -47800000    | <>
Altrix                                   | Animal    | Mollusca                   | -56000000     | -47800000    | Altrix
