Belzungia                                | Plant     | Chlorophyta                | -161200000    | -150800000   | <>
Benetticeras                             | Animal    | Mollusca                   | -155700000    | -150800000   | <>
Berenicea                                | Animal    | Bryozoa                    | -155700000    | -150800000   | <>
Bernardodon                              | Animal    | Chordata                   | -161200000    | -150800000   | Bernardodon
Berniceras                               | Animal    | Mollusca                   | -161200000    | -155700000   | Berniceras
Bernissartia                             | Animal    | Chordata                   | -155700000    | -150800000   | Bernissartia
Bernoullius                              | Micro     | Radiolaria                 | -157300000    | -145000000   | <>
Berriasella                              | Animal    | Mollusca                   | -163500000    | -145000000   | Berriasella
Bethylonymus                             | Animal    | Arthropoda                 | -163500000    | -152100000   | <>
Bigerina                                 | Micro     | Foraminifera               | -161200000    | -155700000   | <>
Bihendulirhynchia                        | Animal    | Brachiopoda                | -155700000    | -150800000   | <>
Bihenithyris                             | Animal    | Brachiopoda                | -161200000    | -155700000   | <>
Bipartopsis                              | Animal    | Mollusca                   | -155700000    | -150800000   | <>
Biretisporites                           | Plant     | Pteridophyta               | -161200000    | -145000000   | <>
Bistarkum                                | Micro     | Radiolaria                 | -161200000    | -155700000   | <>
Bisulcocypris                            | Animal    | Arthropoda                 | -155700000    | -150800000   | <>
Bittium                                  | Animal    | Mollusca                   | -161200000    | -150800000   | Bittium
Blanfordiceras                           | Animal    | Mollusca                   | -157300000    | -152100000   | Blanfordiceras
Blastochaetetes                          | Animal    | Porifera                   | -155700000    | -150800000   | <>
Blattula                                 | Animal    | Arthropoda                 | -163500000    | -152100000   | <>
Bleytonella                              | Animal    | Mollusca                   | -155700000    | -150800000   | <>
Bodeurina                                | Animal    | Cnidaria                   | -157300000    | -145000000   | <>
Bolivina                                 | Micro     | Foraminifera               | -157300000    | -152100000   | <>
Bonarellia                               | Animal    | Mollusca                   | -161200000    | -155700000   | <>
Boreioteuthis                            | Animal    | Mollusca                   | -155700000    | -150800000   | <>
Boreiothyris                             | Animal    | Brachiopoda                | -155700000    | -150800000   | <>
Bositra                                  | Animal    | Mollusca                   | -155700000    | -150800000   | <>
Bosniella                                | Micro     | Foraminifera               | -161200000    | -155700000   | <>
Bothrolemma                              | Animal    | Porifera                   | -161200000    | -155700000   | <>
Botryococcus                             | Plant     | Chlorophyta                | -161200000    | -155700000   | Botryococcus
Boueina                                  | Plant     | Chlorophyta                | -163500000    | -145000000   | <>
Bourguetia                               | Animal    | Mollusca                   | -157300000    | -152100000   | <>
Boutakioutichnium                        | Animal    | Chordata                   | -163500000    | -152100000   | <>
Brachiosaurus                            | Animal    | Chordata                   | -155700000    | -145000000   | Brachiosaurus
Brachthelia                              | Animal    | Cnidaria                   | -161200000    | -150800000   | <>
Brachyphyllum                            | Plant     | Coniferophyta              | -155700000    | -150800000   | Brachyphyllum
Brachypterygius                          | Animal    | Chordata                   | -157300000    | -152100000   | Brachypterygius
Brachyseris                              | Animal    | Cnidaria                   | -161200000    | -150800000   | <>
Brachytrachelopan                        | Animal    | Chordata                   | -157300000    | -145000000   | Brachytrachelopan
Brachytrema                              | Animal    | Mollusca                   | -155700000    | -150800000   | <>
Bramkampella                             | Micro     | Foraminifera               | -157300000    | -145000000   | <>
Brevimaeandra                            | Animal    | Cnidaria                   | -161200000    | -155700000   | <>
Breviparopus                             | Animal    | Chordata                   | -155700000    | -150800000   | Breviparopus
Brightia                                 | Animal    | Mollusca                   | -161200000    | -155700000   | <>
Brontopodus                              | Animal    | Chordata                   | -155700000    | -150800000   | Brontopodus
Brontosaurus                             | Animal    | Chordata                   | -155700000    | -145000000   | Brontosaurus
Brunetaeschnidium                        | Animal    | Arthropoda                 | -155700000    | -150800000   | <>
Buchia                                   | Animal    | Mollusca                   | -155700000    | -150800000   | <>
Bucklandia                               | Plant     | Cycadophyta                | -155700000    | -150800000   | <>
Buckmanina                               | Animal    | Mollusca                   | -155700000    | -150800000   | <>
Buergerocaris                            | Animal    | Arthropoda                 | -155700000    | -150800000   | Buergerocaris
Bukowskites                              | Animal    | Mollusca                   | -161200000    | -155700000   | <>
Bullariscus                              | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Bullopora                                | Micro     | Foraminifera               | -155700000    | -150800000   | <>
Buratina                                 | Animal    | Arthropoda                 | -155700000    | -150800000   | <>
Burgundia                                | Animal    | Porifera                   | -155700000    | -150800000   | Burgundia
Burmirhynchia                            | Animal    | Brachiopoda                | -163500000    | -152100000   | <>
Buvignieria                              | Animal    | Mollusca                   | -155700000    | -150800000   | <>
Bylgia                                   | Animal    | Arthropoda                 | -155700000    | -150800000   | Bylgia
Cacibupteryx                             | Animal    | Chordata                   | -161200000    | -155700000   | Cacibupteryx
Cadoceras                                | Animal    | Mollusca                   | -155700000    | -150800000   | Cadoceras
Caenocidaris                             | Animal    | Echinodermata              | -155700000    | -150800000   | <>
Caesaria                                 | Animal    | Porifera                   | -155700000    | -150800000   | Caesaria
Caestocorbula                            | Animal    | Mollusca                   | -155700000    | -150800000   | Caestocorbula
Calamophyllia                            | Animal    | Cnidaria                   | -155700000    | -150800000   | <>
Calcistella                              | Animal    | Porifera                   | -157300000    | -145000000   | <>
Callialasporites                         | Plant     | Coniferophyta              | -161200000    | -145000000   | <>
Callianassa                              | Animal    | Arthropoda                 | -201300000    | -145000000   | Callianassa
Calliphylloceras                         | Animal    | Mollusca                   | -155700000    | -150800000   | Calliphylloceras
Callopegma                               | Animal    | Porifera                   | -161200000    | -155700000   | <>
Callopterus                              | Animal    | Chordata                   | -155700000    | -150800000   | Callopterus
Camarasaurus                             | Animal    | Chordata                   | -155700000    | -145000000   | Camarasaurus
Camerospongia                            | Animal    | Porifera                   | -155700000    | -150800000   | <>
Campbelliella                            | Plant     | Chlorophyta                | -155700000    | -140200000   | <>
Camptodocis                              | Animal    | Cnidaria                   | -155700000    | -150800000   | <>
Camptonectes                             | Animal    | Mollusca                   | -155700000    | -150800000   | <>
Camptosaurus                             | Animal    | Chordata                   | -155700000    | -145000000   | Camptosaurus
Campylites                               | Animal    | Annelida                   | -161200000    | -155700000   | Campylites
Canaliculites                            | Animal    | Mollusca                   | -161200000    | -155700000   | <>
Canelonus                                | Micro     | Radiolaria                 | -164700000    | -155700000   | <>
Caneta                                   | Micro     | Radiolaria                 | -155700000    | -150800000   | <>
Cantioscyllium                           | Animal    | Chordata                   | -155700000    | -145000000   | Cantioscyllium
Cardinia                                 | Animal    | Mollusca                   | -163500000    | -145000000   | <>
Cardioceras                              | Animal    | Mollusca                   | -157300000    | -152100000   | Cardioceras
Cardita                                  | Animal    | Mollusca                   | -155700000    | -150800000   | Cardita
Cardium                                  | Animal    | Mollusca                   | -157300000    | -152100000   | Cardium
Carmelopodus                             | Animal    | Chordata                   | -155700000    | -150800000   | Carmelopodus
Carpathiella                             | Animal    | Annelida                   | -161200000    | -155700000   | <>
Carterochaena                            | Animal    | Mollusca                   | -161200000    | -155700000   | <>
Caryomphalus                             | Animal    | Mollusca                   | -155700000    | -150800000   | <>
Caryophyllia                             | Animal    | Cnidaria                   | -161200000    | -155700000   | Caryophyllia
Casearia                                 | Animal    | Porifera                   | -161200000    | -155700000   | Casearia
Cassianopsis                             | Animal    | Mollusca                   | -155700000    | -150800000   | <>
Castiglionastrea                         | Animal    | Cnidaria                   | -157300000    | -152100000   | <>
Caturus                                  | Animal    | Chordata                   | -155700000    | -145000000   | Caturus
Catutosaurus                             | Animal    | Chordata                   | -163500000    | -145000000   | <>
Caucasella                               | Animal    | Brachiopoda                | -164700000    | -155700000   | <>
Cavispongia                              | Animal    | Porifera                   | -155700000    | -150800000   | <>
Cayeuxia                                 | Micro     | Cyanobacteria              | -155700000    | -150800000   | <>
Caytonia                                 | Plant     | Ginkgophyta                | -157300000    | -152100000   | Caytonia
Cedrillosia                              | Animal    | Arthropoda                 | -163500000    | -145000000   | <>
Celtedens                                | Animal    | Chordata                   | -155700000    | -150800000   | Celtedens
Cementula                                | Animal    | Annelida                   | -155700000    | -150800000   | <>
Cenoceras                                | Animal    | Mollusca                   | -155700000    | -150800000   | Cenoceras
Centrosia                                | Animal    | Porifera                   | -155700000    | -150800000   | Centrosia
Cephalotaxopsis                          | Plant     | Coniferophyta              | -163500000    | -145000000   | <>
Ceramaster                               | Animal    | Echinodermata              | -155700000    | -150800000   | Ceramaster
Ceratodus                                | Animal    | Chordata                   | -155700000    | -145000000   | Ceratodus
Ceratomya                                | Animal    | Mollusca                   | -155700000    | -150800000   | <>
Ceratomyopsis                            | Animal    | Mollusca                   | -155700000    | -150800000   | <>
Ceratosaurus                             | Animal    | Chordata                   | -155700000    | -145000000   | Ceratosaurus
Ceratosphinctes                          | Animal    | Mollusca                   | -157300000    | -152100000   | <>
Ceratothecia                             | Animal    | Cnidaria                   | -161200000    | -152100000   | <>
Cercomya                                 | Animal    | Mollusca                   | -155700000    | -150800000   | <>
Cerebropollenites                        | Plant     | Gymnospermophyta           | -163500000    | -145000000   | <>
Cererithyris                             | Animal    | Brachiopoda                | -157300000    | -145000000   | <>
Ceriocava                                | Animal    | Bryozoa                    | -161200000    | -155700000   | <>
Ceriodictyon                             | Animal    | Porifera                   | -161200000    | -155700000   | <>
Ceriopora                                | Animal    | Bryozoa                    | -157300000    | -152100000   | <>
Ceritella                                | Animal    | Mollusca                   | -155700000    | -150800000   | <>
Cerithium                                | Animal    | Mollusca                   | -161200000    | -150800000   | Cerithium
