Carcinosoma                              | Animal    | Arthropoda                 | -426200000    | -422900000   | Carcinosoma
Cardiola                                 | Animal    | Mollusca                   | -427400000    | -419200000   | Cardiola
Carniodus                                | Animal    | Chordata                   | -443400000    | -419200000   | Carniodus
Carpocrinus                              | Animal    | Echinodermata              | -433400000    | -423000000   | <>
Carpospongia                             | Animal    | Porifera                   | -427400000    | -423000000   | <>
Caryocaris                               | Animal    | Arthropoda                 | -443400000    | -419200000   | <>
Caryocrinites                            | Animal    | Echinodermata              | -427400000    | -419200000   | <>
Caryogyps                                | Animal    | Brachiopoda                | -426200000    | -425400000   | <>
Caryospongia                             | Animal    | Porifera                   | -427400000    | -423000000   | <>
Cassowarioides                           | Animal    | Mollusca                   | -426200000    | -425400000   | <>
Castellaroina                            | Animal    | Brachiopoda                | -427400000    | -423000000   | <>
Cataschisma                              | Animal    | Mollusca                   | -427400000    | -425600000   | <>
Catazone                                 | Animal    | Mollusca                   | -427400000    | -423000000   | <>
Catenipora                               | Animal    | Cnidaria                   | -427400000    | -423000000   | Catenipora
Caudicriodus                             | Animal    | Chordata                   | -443400000    | -410800000   | <>
Cauliculospongia                         | Animal    | Porifera                   | -427400000    | -423000000   | <>
Cavellina                                | Animal    | Arthropoda                 | -427400000    | -423000000   | <>
Centrifugus                              | Animal    | Mollusca                   | -427400000    | -423000000   | Centrifugus
Ceramophylla                             | Animal    | Bryozoa                    | -427400000    | -423000000   | <>
Ceramopora                               | Animal    | Bryozoa                    | -427400000    | -423000000   | Ceramopora
Ceratiocaris                             | Animal    | Arthropoda                 | -427400000    | -419200000   | Ceratiocaris
Ceratocephala                            | Animal    | Arthropoda                 | -426200000    | -425400000   | Ceratocephala
Cerauroides                              | Animal    | Arthropoda                 | -427400000    | -423000000   | Cerauroides
Chaetetes                                | Animal    | Porifera                   | -427400000    | -358900000   | Chaetetes
Cheilotrypa                              | Animal    | Bryozoa                    | -443400000    | -419200000   | <>
Cheirurus                                | Animal    | Arthropoda                 | -427400000    | -419200000   | Cheirurus
Chilobolbina                             | Animal    | Arthropoda                 | -443400000    | -419200000   | <>
Chimaerastella                           | Animal    | Arthropoda                 | -427400000    | -423000000   | <>
Chlamydophyllum                          | Animal    | Cnidaria                   | -427400000    | -423000000   | <>
Chonetes                                 | Animal    | Brachiopoda                | -427400000    | -421300000   | Chonetes
Chonetoidea                              | Animal    | Brachiopoda                | -427400000    | -407600000   | <>
Chonophyllum                             | Animal    | Cnidaria                   | -427400000    | -423000000   | <>
Cimitaria                                | Animal    | Mollusca                   | -427400000    | -425600000   | <>
Circophyllum                             | Animal    | Cnidaria                   | -427400000    | -423000000   | <>
Cladopora                                | Animal    | Cnidaria                   | -427400000    | -419200000   | <>
Cladospongia                             | Animal    | Porifera                   | -433400000    | -423000000   | Cladospongia
