Amussiopecten                            | Animal    | Mollusca                   | -23030000     | -15970000    | <>
Amyclina                                 | Animal    | Mollusca                   | -23030000     | -11608000    | <>
Anabernicula                             | Animal    | Chordata                   | -23030000     | -2588000     | Anabernicula
Anacaena                                 | Animal    | Arthropoda                 | -23030000     | -15970000    | Anacaena
Anacardites                              | Plant     | Spermatophyta              | -23030000     | -2588000     | <>
Anacardium                               | Plant     | Spermatophyta              | -33900000     | -5333000     | Anacardium
Anachis                                  | Animal    | Mollusca                   | -28100000     | -20440000    | Anachis
Anacithara                               | Animal    | Mollusca                   | -21700000     | -19000000    | Anacithara
Anadara                                  | Animal    | Mollusca                   | -23030000     | -15970000    | Anadara
Anakinetica                              | Animal    | Brachiopoda                | -23030000     | -20440000    | Anakinetica
Anancus                                  | Animal    | Chordata                   | -23030000     | -11700       | Anancus
Anapagurus                               | Animal    | Arthropoda                 | -23030000     | -2588000     | <>
Anaphes                                  | Animal    | Arthropoda                 | -23030000     | -15970000    | Anaphes
Anaplecta                                | Animal    | Arthropoda                 | -23030000     | -15970000    | <>
Anargyrolagus                            | Animal    | Chordata                   | -21000000     | -17500000    | <>
Anarthropora                             | Animal    | Bryozoa                    | -33900000     | -5333000     | <>
Anas                                     | Animal    | Chordata                   | -23030000     | -15970000    | Anas
Anasinopa                                | Animal    | Chordata                   | -23030000     | -15970000    | <>
Anaulus                                  | Plant     | Ochrophyta                 | -23030000     | -13820000    | <>
Anayatherium                             | Animal    | Chordata                   | -29000000     | -21000000    | <>
Anazola                                  | Animal    | Mollusca                   | -23030000     | -15970000    | <>
Anbarrhacus                              | Animal    | Arthropoda                 | -23030000     | -15970000    | Anbarrhacus
Anchitheriomys                           | Animal    | Chordata                   | -23030000     | -5333000     | Anchitheriomys
Anchitherium                             | Animal    | Chordata                   | -23030000     | -15970000    | Anchitherium
Ancilla                                  | Animal    | Mollusca                   | -23030000     | -15970000    | Ancilla
Ancistrolepis                            | Animal    | Mollusca                   | -23030000     | -11608000    | Ancistrolepis
Ancylocoelus                             | Animal    | Chordata                   | -29000000     | -21000000    | <>
Andegameryx                              | Animal    | Chordata                   | -22400000     | -20000000    | Andegameryx
Andinogale                               | Animal    | Chordata                   | -29000000     | -21000000    | <>
Andrewsimys                              | Animal    | Chordata                   | -22400000     | -20000000    | <>
Andrewsornis                             | Animal    | Chordata                   | -29000000     | -21000000    | Andrewsornis
Andrias                                  | Animal    | Chordata                   | -23030000     | -15970000    | Andrias
Andromeda                                | Plant     | Spermatophyta              | -23030000     | -15970000    | Andromeda
Anenchelum                               | Animal    | Chordata                   | -23030000     | -15970000    | <>
Aneurus                                  | Animal    | Arthropoda                 | -23030000     | -20440000    | Aneurus
Aneurystoma                              | Animal    | Mollusca                   | -23030000     | -11608000    | <>
Angaria                                  | Animal    | Mollusca                   | -23030000     | -15970000    | Angaria
Anguis                                   | Animal    | Chordata                   | -23030000     | -15970000    | Anguis
Anguispira                               | Animal    | Mollusca                   | -28400000     | -15970000    | Anguispira
Angulogerina                             | Micro     | Foraminifera               | -23030000     | -15970000    | <>
Angulus                                  | Animal    | Mollusca                   | -23030000     | -15970000    | Angulus
Angustictis                              | Animal    | Chordata                   | -22400000     | -20000000    | <>
Anilioides                               | Animal    | Chordata                   | -23030000     | -20440000    | <>
Anisaster                                | Animal    | Echinodermata              | -30800000     | -20430000    | <>
Anisocoenia                              | Animal    | Cnidaria                   | -23030000     | -15970000    | <>
Anisodonta                               | Animal    | Mollusca                   | -23030000     | -15970000    | <>
Anisops                                  | Animal    | Arthropoda                 | -23030000     | -20440000    | <>
Anisospinos                              | Animal    | Arthropoda                 | -23030000     | -5333000     | <>
Anisus                                   | Animal    | Mollusca                   | -23030000     | -20440000    | Anisus
Ankonetta                                | Animal    | Chordata                   | -23030000     | -15970000    | Ankonetta
Ankylorhiza                              | Animal    | Chordata                   | -23030000     | -13820000    | Ankylorhiza
Annachlamys                              | Animal    | Mollusca                   | -23030000     | -15970000    | Annachlamys
Annellus                                 | Plant     | Ochrophyta                 | -23030000     | -13820000    | <>
Annulites                                | Plant     | Angiospermae               | -23030000     | -15970000    | <>
Anochetus                                | Animal    | Arthropoda                 | -23030000     | -15970000    | Anochetus
Anodonta                                 | Animal    | Mollusca                   | -23030000     | -22400000    | Anodonta
Anodontia                                | Animal    | Mollusca                   | -23030000     | -15970000    | Anodontia
Anolis                                   | Animal    | Chordata                   | -23030000     | -15970000    | Anolis
Anomalina                                | Micro     | Foraminifera               | -21700000     | -15900000    | <>
Anomalinella                             | Micro     | Foraminifera               | -23030000     | -15970000    | <>
Anomalinoides                            | Micro     | Foraminifera               | -21700000     | -15900000    | <>
Anomalocardia                            | Animal    | Mollusca                   | -28100000     | -20440000    | Anomalocardia
Anomalomys                               | Animal    | Chordata                   | -23030000     | -5333000     | <>
Anomalorbis                              | Animal    | Mollusca                   | -23030000     | -20440000    | <>
Anomia                                   | Animal    | Mollusca                   | -21700000     | -15900000    | Anomia
Anomopora                                | Animal    | Cnidaria                   | -23030000     | -20440000    | <>
Anomotodon                               | Animal    | Chordata                   | -23030000     | -15970000    | Anomotodon
Anonaspermum                             | Plant     | Spermatophyta              | -23030000     | -15970000    | <>
Anoplonassa                              | Animal    | Chordata                   | -23030000     | -13820000    | <>
Anoteropora                              | Animal    | Bryozoa                    | -23030000     | -15970000    | <>
Ansomys                                  | Animal    | Chordata                   | -23030000     | -11608000    | <>
Antalis                                  | Animal    | Mollusca                   | -23030000     | -11608000    | Antalis
Antarctidromia                           | Animal    | Arthropoda                 | -23030000     | -5333000     | <>
Antarctodarwinella                       | Animal    | Mollusca                   | -23030000     | -15970000    | <>
Antawallathentes                         | Animal    | Chordata                   | -29000000     | -21000000    | <>
Antemus                                  | Animal    | Chordata                   | -23030000     | -5333000     | <>
Anthemiphyllia                           | Animal    | Cnidaria                   | -28100000     | -20440000    | <>
Anthicus                                 | Animal    | Arthropoda                 | -23030000     | -15970000    | Anthicus
Anthoceros                               | Plant     | Anthocerophyta             | -28400000     | -11608000    | Anthoceros
Antholithes                              | Plant     | Pteridospermophyta         | -23030000     | -5333000     | <>
