Brachytrema                              | Animal    | Mollusca                   | -152100000    | -145000000   | <>
Bramkampella                             | Micro     | Foraminifera               | -150800000    | -145000000   | <>
Brancatherulum                           | Animal    | Chordata                   | -152100000    | -145000000   | Brancatherulum
Breviblattina                            | Animal    | Arthropoda                 | -152100000    | -145000000   | <>
Breviparopus                             | Animal    | Chordata                   | -155700000    | -150800000   | Breviparopus
Brongniartiella                          | Animal    | Arthropoda                 | -150800000    | -145000000   | <>
Brontopodus                              | Animal    | Chordata                   | -150800000    | -132900000   | Brontopodus
Brontosaurus                             | Animal    | Chordata                   | -155700000    | -145000000   | Brontosaurus
Brunetaeschnidium                        | Animal    | Arthropoda                 | -150800000    | -145000000   | <>
Bryanka                                  | Animal    | Arthropoda                 | -152100000    | -145000000   | Bryanka
Buccicrenata                             | Micro     | Foraminifera               | -150800000    | -145000000   | <>
Buccinum                                 | Animal    | Mollusca                   | -152100000    | -145000000   | Buccinum
Bucculentum                              | Animal    | Arthropoda                 | -152100000    | -145000000   | <>
Buchia                                   | Animal    | Mollusca                   | -148500000    | -145000000   | <>
Bucklandia                               | Plant     | Cycadophyta                | -152100000    | -145000000   | <>
Buckmanina                               | Animal    | Mollusca                   | -155700000    | -150800000   | <>
Buergerocaris                            | Animal    | Arthropoda                 | -155700000    | -150800000   | Buergerocaris
Bulbophragmium                           | Micro     | Foraminifera               | -150800000    | -145000000   | <>
Bullariscus                              | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Bullivena                                | Animal    | Arthropoda                 | -152100000    | -145000000   | <>
Bullopora                                | Micro     | Foraminifera               | -150800000    | -145000000   | <>
Buratina                                 | Animal    | Arthropoda                 | -150800000    | -139800000   | <>
Bureja                                   | Plant     | Cycadophyta                | -152100000    | -145000000   | <>
Burejospermum                            | Plant     | Ginkgophyta                | -152100000    | -139800000   | <>
Burgundia                                | Animal    | Porifera                   | -150800000    | -145000000   | Burgundia
Busnardoiceras                           | Animal    | Mollusca                   | -150800000    | -145000000   | <>
Buvignieria                              | Animal    | Mollusca                   | -155700000    | -150800000   | <>
