Calculites                               | Animal    | Arthropoda                 | -485400000    | -477700000   | <>
Callograptus                             | Animal    | Hemichordata               | -478600000    | -466000000   | Callograptus
Calvapilosa                              | Animal    | Mollusca                   | -485400000    | -477700000   | <>
Calvinella                               | Animal    | Arthropoda                 | -485400000    | -477700000   | <>
Calycocoelia                             | Animal    | Porifera                   | -478600000    | -460900000   | <>
Calymene                                 | Animal    | Arthropoda                 | -485400000    | -477700000   | Calymene
Calymenella                              | Animal    | Arthropoda                 | -485400000    | -477700000   | Calymenella
Calymenesun                              | Animal    | Arthropoda                 | -478600000    | -449500000   | <>
Calyptaulax                              | Animal    | Arthropoda                 | -485400000    | -443400000   | Calyptaulax
Cambrooistodus                           | Animal    | Chordata                   | -485400000    | -477700000   | <>
Camerella                                | Animal    | Brachiopoda                | -478600000    | -466000000   | <>
Cameroceras                              | Animal    | Mollusca                   | -478600000    | -466000000   | Cameroceras
Campbelloceras                           | Animal    | Mollusca                   | -478600000    | -468100000   | Campbelloceras
Campendoceras                            | Animal    | Mollusca                   | -478600000    | -466000000   | Campendoceras
Canadocystis                             | Animal    | Echinodermata              | -485400000    | -443400000   | <>
Cantabrigiaster                          | Animal    | Echinodermata              | -485400000    | -477700000   | Cantabrigiaster
Carabocrinus                             | Animal    | Echinodermata              | -485400000    | -443400000   | <>
Carcassonnella                           | Animal    | Mollusca                   | -478600000    | -466000000   | <>
Cardiograptus                            | Animal    | Hemichordata               | -478600000    | -449500000   | Cardiograptus
Carinocranium                            | Animal    | Arthropoda                 | -485400000    | -477700000   | Carinocranium
Carminodonta                             | Animal    | Mollusca                   | -478600000    | -471800000   | <>
Carolinites                              | Animal    | Arthropoda                 | -478600000    | -460900000   | Carolinites
Caryocaris                               | Animal    | Arthropoda                 | -478600000    | -460900000   | <>
Caseoceras                               | Animal    | Mollusca                   | -485400000    | -477700000   | <>
Cassinoceras                             | Animal    | Mollusca                   | -478600000    | -468100000   | Cassinoceras
Castelloceras                            | Animal    | Mollusca                   | -478600000    | -471800000   | Castelloceras
Catamarcaia                              | Animal    | Mollusca                   | -478600000    | -466000000   | <>
Catenipora                               | Animal    | Cnidaria                   | -485400000    | -443400000   | Catenipora
Catochia                                 | Animal    | Arthropoda                 | -478600000    | -468100000   | <>
Catoraphiceras                           | Animal    | Mollusca                   | -478600000    | -468100000   | <>
Catoraphinoceras                         | Animal    | Mollusca                   | -478600000    | -466000000   | <>
Cavernolites                             | Animal    | Hyolitha                   | -478600000    | -466000000   | <>
Celdobolus                               | Animal    | Brachiopoda                | -478600000    | -466000000   | <>
Celtoconcha                              | Animal    | Mollusca                   | -478600000    | -471800000   | <>
Centrotarphyceras                        | Animal    | Mollusca                   | -478600000    | -468100000   | <>
Ceramopora                               | Animal    | Bryozoa                    | -478600000    | -466000000   | Ceramopora
Ceratiocaris                             | Animal    | Arthropoda                 | -478600000    | -466000000   | Ceratiocaris
