Archaeopolycentra                        | Animal    | Arthropoda                 | -85800000     | -83500000    | <>
Archaeopone                              | Animal    | Arthropoda                 | -83500000     | -70600000    | <>
Archaeopus                               | Animal    | Arthropoda                 | -100500000    | -66000000    | <>
Archaeornithoides                        | Animal    | Chordata                   | -83500000     | -70600000    | Archaeornithoides
Archaeospongoprunum                      | Micro     | Radiolaria                 | -83500000     | -70600000    | <>
Archaeotriakis                           | Animal    | Chordata                   | -83500000     | -70600000    | Archaeotriakis
Archaeoxylita                            | Animal    | Arthropoda                 | -85800000     | -83500000    | <>
Archaeozostera                           | Plant     | Angiospermae               | -100500000    | -66000000    | <>
Archaepyris                              | Animal    | Arthropoda                 | -85800000     | -83500000    | <>
Archaeromma                              | Animal    | Arthropoda                 | -83500000     | -70600000    | <>
Archelon                                 | Animal    | Chordata                   | -83500000     | -70600000    | Archelon
Archiacina                               | Micro     | Foraminifera               | -85800000     | -72100000    | <>
Archichrysotus                           | Animal    | Arthropoda                 | -83500000     | -70600000    | Archichrysotus
Archiplatypalpus                         | Animal    | Arthropoda                 | -85800000     | -83500000    | <>
Architectonica                           | Animal    | Mollusca                   | -83500000     | -70600000    | Architectonica
Arcodonichthys                           | Animal    | Chordata                   | -145000000    | -66000000    | <>
Arcomytilus                              | Animal    | Mollusca                   | -83500000     | -70600000    | <>
Arcoscalpellum                           | Animal    | Arthropoda                 | -83500000     | -66000000    | <>
Arcovenator                              | Animal    | Chordata                   | -83500000     | -70600000    | Arcovenator
Arctica                                  | Animal    | Mollusca                   | -83500000     | -70600000    | Arctica_(bivalve)
Arctogerocynips                          | Animal    | Arthropoda                 | -83500000     | -70600000    | <>
Arctopsychops                            | Animal    | Arthropoda                 | -83500000     | -70600000    | <>
Arculicythere                            | Animal    | Arthropoda                 | -83600000     | -72100000    | <>
Arecipites                               | Plant     | Angiospermae               | -100500000    | -56000000    | <>
Argilloecia                              | Animal    | Arthropoda                 | -83500000     | -70600000    | <>
Argyrosaurus                             | Animal    | Chordata                   | -83600000     | -66000000    | Argyrosaurus
Argyrotheca                              | Animal    | Brachiopoda                | -100500000    | -66000000    | Argyrotheca
Ariadnaesporites                         | Plant     | Pteridophyta               | -100500000    | -66000000    | <>
Aristonectes                             | Animal    | Chordata                   | -83500000     | -66000000    | Aristonectes
Arkhangelskiella                         | Plant     | Haptophyta                 | -83500000     | -70600000    | <>
Armadillosuchus                          | Animal    | Chordata                   | -83500000     | -66000000    | Armadillosuchus
Armania                                  | Animal    | Arthropoda                 | -83500000     | -70600000    | <>
Armanomiris                              | Animal    | Arthropoda                 | -83500000     | -70600000    | <>
Armanopimpla                             | Animal    | Arthropoda                 | -83500000     | -70600000    | <>
Armenostoma                              | Animal    | Mollusca                   | -83500000     | -70600000    | <>
Arnaudaster                              | Animal    | Echinodermata              | -83600000     | -66000000    | <>
Arrhinoceratops                          | Animal    | Chordata                   | -83500000     | -66000000    | Arrhinoceratops
Arrhoges                                 | Animal    | Mollusca                   | -83500000     | -70600000    | Arrhoges
Arriagadoolithus                         | Animal    | Chordata                   | -83500000     | -66000000    | Arriagadoolithus
Arrudatitan                              | Animal    | Chordata                   | -83500000     | -66000000    | Arrudatitan
Arthraster                               | Animal    | Echinodermata              | -85800000     | -83500000    | <>
Artocarpus                               | Plant     | Spermatophyta              | -89800000     | -72100000    | Artocarpus
Artostrobium                             | Micro     | Radiolaria                 | -83500000     | -70600000    | <>
Artzosuchus                              | Animal    | Chordata                   | -83600000     | -72100000    | Artzosuchus
Arundo                                   | Plant     | Angiospermae               | -83600000     | -72100000    | Arundo
Arvinachelys                             | Animal    | Chordata                   | -83500000     | -70600000    | Arvinachelys
Asarotus                                 | Animal    | Chordata                   | -83600000     | -72100000    | Asarotus
Ascaulocardium                           | Animal    | Mollusca                   | -83500000     | -70600000    | <>
