Atomodesma                               | Animal    | Mollusca                   | -259900000    | -254170000   | <>
Atractyliopsis                           | Plant     | Chlorophyta                | -259900000    | -254170000   | <>
Attenuatella                             | Animal    | Brachiopoda                | -259900000    | -254170000   | <>
Aulacephalodon                           | Animal    | Chordata                   | -259900000    | -252170000   | Aulacephalodon
Aulacocephalus                           | Animal    | Chordata                   | -259900000    | -254170000   | Aulacocephalus
Auliskocrinus                            | Animal    | Echinodermata              | -259900000    | -254170000   | <>
Aulosteges                               | Animal    | Brachiopoda                | -259900000    | -252170000   | <>
Aurikirkbya                              | Animal    | Arthropoda                 | -259900000    | -254170000   | <>
Aurilinoproductus                        | Animal    | Brachiopoda                | -259900000    | -254170000   | <>
Auriptygma                               | Animal    | Mollusca                   | -259900000    | -254170000   | <>
Australerpeton                           | Animal    | Chordata                   | -268800000    | -254170000   | Australerpeton
Australobarbarus                         | Animal    | Chordata                   | -265000000    | -252300000   | Australobarbarus
Australosomus                            | Animal    | Chordata                   | -259900000    | -254170000   | Australosomus
Australotheca                            | Animal    | Hyolitha                   | -259900000    | -254170000   | <>
Australoxylon                            | Plant     | Pinophyta                  | -268800000    | -252170000   | <>
Austroscalata                            | Animal    | Mollusca                   | -259900000    | -254170000   | <>
Autunia                                  | Plant     | Peltaspermophyta           | -315200000    | -254000000   | <>
Aviculopecten                            | Animal    | Mollusca                   | -259900000    | -252170000   | Aviculopecten
Aviculopinna                             | Animal    | Mollusca                   | -259900000    | -252170000   | <>
Avushoceras                              | Animal    | Mollusca                   | -259900000    | -254170000   | <>
Babylonites                              | Animal    | Mollusca                   | -259900000    | -252170000   | <>
Baculatisporites                         | Plant     | Pteridophyta               | -272500000    | -252300000   | <>
Baharellinus                             | Animal    | Arthropoda                 | -259900000    | -254170000   | <>
Baiera                                   | Plant     | Ginkgophyta                | -259900000    | -252170000   | Baiera
Baieroxylon                              | Plant     | Ginkgophyta                | -268800000    | -252170000   | Baieroxylon
Bairdia                                  | Animal    | Arthropoda                 | -259900000    | -254170000   | <>
Bairdiacypris                            | Animal    | Arthropoda                 | -259900000    | -252170000   | <>
Bairdianella                             | Animal    | Arthropoda                 | -259900000    | -254170000   | <>
Baisalina                                | Micro     | Foraminifera               | -259900000    | -252170000   | <>
Bajtugania                               | Animal    | Brachiopoda                | -259900000    | -254170000   | <>
Bakevellia                               | Animal    | Mollusca                   | -259900000    | -252170000   | <>
Barasaurus                               | Animal    | Chordata                   | -259900000    | -252170000   | Barasaurus
Barbclabornia                            | Animal    | Chordata                   | -298900000    | -252170000   | Barbclabornia
Barbosaia                                | Animal    | Mollusca                   | -265100000    | -254170000   | <>
Bardella                                 | Plant     | Coniferophyta              | -298900000    | -252170000   | Bardella
Bardocarpus                              | Plant     | Peltaspermophyta           | -265100000    | -254170000   | <>
Baschkirina                              | Animal    | Arthropoda                 | -259900000    | -254170000   | <>
Basilodon                                | Animal    | Chordata                   | -259900000    | -252170000   | Basilodon
Basslerella                              | Animal    | Arthropoda                 | -259900000    | -254170000   | <>
Bathymyonia                              | Animal    | Brachiopoda                | -259900000    | -252170000   | <>
Batostomella                             | Animal    | Bryozoa                    | -259900000    | -254170000   | <>
Batrachichnus                            | Animal    | Chordata                   | -259900000    | -252170000   | <>
Baylea                                   | Animal    | Mollusca                   | -259900000    | -252170000   | <>
Beecheria                                | Animal    | Brachiopoda                | -259900000    | -254170000   | <>
Belemnites                               | Animal    | Mollusca                   | -541000000    | -252170000   | Belemnites
Belemnopteris                            | Plant     | Pteridophyta               | -268800000    | -252170000   | <>
Bellerophon                              | Animal    | Mollusca                   | -259900000    | -252170000   | Bellerophon
Betaneospirifer                          | Animal    | Brachiopoda                | -259900000    | -252170000   | <>
Beurlenella                              | Animal    | Mollusca                   | -265100000    | -254170000   | <>
Biarmeaspira                             | Animal    | Mollusca                   | -298900000    | -252170000   | <>
Bicamella                                | Animal    | Brachiopoda                | -259900000    | -254170000   | <>
Bicarinella                              | Animal    | Mollusca                   | -259900000    | -254170000   | <>
Bicoleus                                 | Animal    | Arthropoda                 | -259900000    | -254170000   | <>
