Asiaparamys                              | Animal    | Chordata                   | -58700000     | -55800000    | <>
Asiatosuchus                             | Animal    | Chordata                   | -58700000     | -55800000    | Asiatosuchus
Asionyctia                               | Animal    | Chordata                   | -58700000     | -55800000    | <>
Asiostylops                              | Animal    | Chordata                   | -61700000     | -58700000    | <>
Asmithwoodwardia                         | Animal    | Chordata                   | -58700000     | -48600000    | <>
Aspideretoides                           | Animal    | Chordata                   | -58700000     | -55800000    | <>
Aspidostoma                              | Animal    | Bryozoa                    | -59200000     | -47800000    | <>
Assilina                                 | Micro     | Foraminifera               | -58700000     | -55800000    | <>
Astacolus                                | Micro     | Foraminifera               | -59200000     | -56000000    | <>
Astacus                                  | Animal    | Arthropoda                 | -66000000     | -23030000    | Astacus
Astarte                                  | Animal    | Mollusca                   | -58700000     | -55800000    | Astarte
Asterigerina                             | Micro     | Foraminifera               | -59200000     | -47800000    | <>
Asterigina                               | Micro     | Foraminifera               | -58700000     | -55800000    | <>
Astraea                                  | Animal    | Mollusca                   | -61600000     | -56000000    | Astraea
Astrangia                                | Animal    | Cnidaria                   | -66000000     | -56000000    | Astrangia
Astreopora                               | Animal    | Cnidaria                   | -59200000     | -56000000    | Astreopora
Astrocoenia                              | Animal    | Cnidaria                   | -59200000     | -56000000    | <>
Astyris                                  | Animal    | Mollusca                   | -59200000     | -56000000    | Astyris
Ataxophragmium                           | Micro     | Foraminifera               | -100500000    | -56000000    | <>
Athleta                                  | Animal    | Mollusca                   | -58700000     | -55800000    | Athleta
Athrotaxis                               | Plant     | Pinophyta                  | -66000000     | -28100000    | Athrotaxis
Atractosteus                             | Animal    | Chordata                   | -72100000     | -56000000    | Atractosteus
Atrina                                   | Animal    | Mollusca                   | -59200000     | -56000000    | Atrina
Attinopora                               | Animal    | Bryozoa                    | -59200000     | -47800000    | <>
Aturia                                   | Animal    | Mollusca                   | -59200000     | -56000000    | Aturia
Aturoidea                                | Animal    | Mollusca                   | -59200000     | -56000000    | <>
Atys                                     | Animal    | Mollusca                   | -59200000     | -56000000    | Atys
Aulacodiscus                             | Plant     | Ochrophyta                 | -66000000     | -56000000    | <>
Aulacomya                                | Animal    | Mollusca                   | -61600000     | -56000000    | Aulacomya
Auliscus                                 | Plant     | Ochrophyta                 | -66000000     | -56000000    | <>
Australoneilo                            | Animal    | Mollusca                   | -66000000     | -56000000    | <>
Austrocominella                          | Animal    | Mollusca                   | -66000000     | -56000000    | <>
