Anser                                    | Animal    | Chordata                   | -11700        | -0           | Anser
Antalis                                  | Animal    | Mollusca                   | -2588000      | -0           | Antalis
Antarctolima                             | Animal    | Mollusca                   | -11700        | -0           | <>
Antarctus                                | Animal    | Arthropoda                 | -11700        | -0           | <>
Antechinus                               | Animal    | Chordata                   | -11700        | -0           | Antechinus
Anthoceros                               | Plant     | Anthocerophyta             | -11700        | -0           | Anthoceros
Anthochaera                              | Animal    | Chordata                   | -11700        | -0           | Anthochaera
Anthornis                                | Animal    | Chordata                   | -11700        | -0           | Anthornis
Anthracothorax                           | Animal    | Chordata                   | -126000       | -0           | Anthracothorax
Anthus                                   | Animal    | Chordata                   | -11700        | -0           | Anthus
Antidorcas                               | Animal    | Chordata                   | -11700        | -0           | Antidorcas
Antifer                                  | Animal    | Chordata                   | -126000       | -0           | Antifer
Antigona                                 | Animal    | Mollusca                   | -2588000      | -0           | Antigona
Antigone                                 | Animal    | Chordata                   | -11700        | -0           | Antigone
Antillophyllia                           | Animal    | Cnidaria                   | -2588000      | -0           | Antillophyllia
Antilocapra                              | Animal    | Chordata                   | -11700        | -0           | Antilocapra
Antilope                                 | Animal    | Chordata                   | -126000       | -0           | Antilope
Antiplanes                               | Animal    | Mollusca                   | -2588000      | -0           | Antiplanes
Antrozous                                | Animal    | Chordata                   | -11700        | -0           | Antrozous
Aonyx                                    | Animal    | Chordata                   | -11700        | -0           | Aonyx
Aotus                                    | Animal    | Chordata                   | -11700        | -0           | Aotus
Apentacentrus                            | Animal    | Arthropoda                 | -11700        | -0           | <>
Aphaenogaster                            | Animal    | Arthropoda                 | -11700        | -0           | Aphaenogaster
Aphananthe                               | Plant     | Spermatophyta              | -126000       | -0           | Aphananthe
Aphanapteryx                             | Animal    | Chordata                   | -11700        | -0           | Aphanapteryx
Aphanocrex                               | Animal    | Chordata                   | -11700        | -0           | Aphanocrex
Aphrodroma                               | Animal    | Chordata                   | -11700        | -0           | Aphrodroma
Apis                                     | Animal    | Arthropoda                 | -11700        | -0           | Apis
Aplodinotus                              | Animal    | Chordata                   | -11700        | -0           | Aplodinotus
Aplonis                                  | Animal    | Chordata                   | -11700        | -0           | Aplonis
Apodytes                                 | Plant     | Spermatophyta              | -11700        | -0           | Apodytes
Apogon                                   | Animal    | Chordata                   | -126000       | -0           | Apogon
Apolymetis                               | Animal    | Mollusca                   | -2588000      | -0           | <>
Aporrhais                                | Animal    | Mollusca                   | -11700        | -0           | Aporrhais
Aptenodytes                              | Animal    | Chordata                   | -11700        | -0           | Aptenodytes
Apteribis                                | Animal    | Chordata                   | -11700        | -0           | Apteribis
Apteryx                                  | Animal    | Chordata                   | -11700        | -0           | Apteryx
Aptornis                                 | Animal    | Chordata                   | -11700        | -0           | Aptornis
Apus                                     | Animal    | Chordata                   | -11700        | -0           | Apus
Aquila                                   | Animal    | Chordata                   | -11700        | -0           | Aquila
Ara                                      | Animal    | Chordata                   | -11700        | -0           | Ara
Aradus                                   | Animal    | Arthropoda                 | -11700        | -0           | Aradus
Araucaria                                | Plant     | Pinophyta                  | -126000       | -0           | Araucaria
Arca                                     | Animal    | Mollusca                   | -11700        | -0           | Arca
Arcania                                  | Animal    | Arthropoda                 | -11700        | -0           | Arcania
Archaeolacerta                           | Animal    | Chordata                   | -11700        | -0           | Archaeolacerta
Archaeolemur                             | Animal    | Chordata                   | -11700        | -0           | Archaeolemur
Archaeolithothamnium                     | Plant     | Rhodophyta                 | -11700        | -0           | <>
Architectonica                           | Animal    | Mollusca                   | -11700        | -0           | Architectonica
Archontophoenix                          | Plant     | Angiospermae               | -781000       | -0           | Archontophoenix
Archosargus                              | Animal    | Chordata                   | -11700        | -0           | Archosargus
Arcinella                                | Animal    | Mollusca                   | -11700        | -0           | Arcinella
Arcopagia                                | Animal    | Mollusca                   | -11700        | -0           | <>
Arcopaginula                             | Animal    | Mollusca                   | -11700        | -0           | <>
Arcopsis                                 | Animal    | Mollusca                   | -11700        | -0           | <>
Arctides                                 | Animal    | Arthropoda                 | -11700        | -0           | Arctides
Arctocephalus                            | Animal    | Chordata                   | -11700        | -0           | Arctocephalus
Arctodus                                 | Animal    | Chordata                   | -126000       | -0           | Arctodus
Arctotherium                             | Animal    | Chordata                   | -126000       | -0           | Arctotherium
Arcuatula                                | Animal    | Mollusca                   | -11700        | -0           | Arcuatula
Ardea                                    | Animal    | Chordata                   | -11700        | -0           | Ardea
Ardenna                                  | Animal    | Chordata                   | -11700        | -0           | Ardenna
Arenaria                                 | Animal    | Chordata                   | -11700        | -0           | Arenaria
Arene                                    | Animal    | Mollusca                   | -11700        | -0           | Arene
Arete                                    | Animal    | Arthropoda                 | -11700        | -0           | Arete
Argopecten                               | Animal    | Mollusca                   | -11700        | -0           | Argopecten
Argophyllum                              | Plant     | Spermatophyta              | -126000       | -0           | Argophyllum
Argyrodendron                            | Plant     | Spermatophyta              | -11700        | -0           | Argyrodendron
Ariadna                                  | Animal    | Arthropoda                 | -11700        | -0           | Ariadna
Aristaeomorpha                           | Animal    | Arthropoda                 | -11700        | -0           | Aristaeomorpha
Aristaeopsis                             | Animal    | Arthropoda                 | -11700        | -0           | <>
Aristelliger                             | Animal    | Chordata                   | -11700        | -0           | Aristelliger
Aristeus                                 | Animal    | Arthropoda                 | -11700        | -0           | Aristeus
Arizona                                  | Animal    | Chordata                   | -126000       | -0           | Arizona
Artamella                                | Animal    | Chordata                   | -11700        | -0           | Artamella
Artamus                                  | Animal    | Chordata                   | -11700        | -0           | Artamus
Artemisia                                | Plant     | Spermatophyta              | -11700        | -0           | Artemisia
Arthropoma                               | Animal    | Bryozoa                    | -11700        | -0           | <>
Articerus                                | Animal    | Arthropoda                 | -11700        | -0           | <>
Arundo                                   | Plant     | Angiospermae               | -2588000      | -0           | Arundo
Arvicanthis                              | Animal    | Chordata                   | -11700        | -0           | Arvicanthis
Arvicola                                 | Animal    | Chordata                   | -11700        | -0           | Arvicola
Asaphis                                  | Animal    | Mollusca                   | -11700        | -0           | <>
Aseraggodes                              | Animal    | Chordata                   | -340000       | -0           | Aseraggodes
Ashtoret                                 | Animal    | Arthropoda                 | -11700        | -0           | Ashtoret
Asio                                     | Animal    | Chordata                   | -11700        | -0           | Asio
Aspatharia                               | Animal    | Mollusca                   | -11700        | -0           | Aspatharia
Aspidium                                 | Plant     | Pteridophyta               | -126000       | -0           | Aspidium
Asplenium                                | Plant     | Pteridophyta               | -781000       | -0           | Asplenium
Assiminea                                | Animal    | Mollusca                   | -11700        | -0           | Assiminea
Astarte                                  | Animal    | Mollusca                   | -11700        | -0           | Astarte
Asteia                                   | Animal    | Arthropoda                 | -11700        | -0           | <>
Astraea                                  | Animal    | Mollusca                   | -11700        | -0           | Astraea
Astralium                                | Animal    | Mollusca                   | -11700        | -0           | Astralium
Astrangia                                | Animal    | Cnidaria                   | -11700        | -0           | Astrangia
Astrea                                   | Animal    | Cnidaria                   | -11700        | -0           | Astrea
Astreopora                               | Animal    | Cnidaria                   | -11700        | -0           | Astreopora
Astrononion                              | Micro     | Foraminifera               | -11700        | -0           | Astrononion
Astyris                                  | Animal    | Mollusca                   | -11700        | -0           | Astyris
Ataxocerithium                           | Animal    | Mollusca                   | -11700        | -0           | Ataxocerithium
Atelerix                                 | Animal    | Chordata                   | -2588000      | -0           | Atelerix
Ateles                                   | Animal    | Chordata                   | -11700        | -0           | Ateles
Atergatis                                | Animal    | Arthropoda                 | -11700        | -0           | Atergatis
Athanas                                  | Animal    | Arthropoda                 | -11700        | -0           | Athanas
Athanopsis                               | Animal    | Arthropoda                 | -11700        | -0           | <>
Athene                                   | Animal    | Chordata                   | -11700        | -0           | Athene
Atilax                                   | Animal    | Chordata                   | -11700        | -0           | Atilax
Atlanta                                  | Animal    | Mollusca                   | -11700        | -0           | Atlanta
Atrichornis                              | Animal    | Chordata                   | -11700        | -0           | Atrichornis
Atrina                                   | Animal    | Mollusca                   | -11700        | -0           | Atrina
Atta                                     | Animal    | Arthropoda                 | -11700        | -0           | Atta
Attagis                                  | Animal    | Chordata                   | -11700        | -0           | Attagis
Atys                                     | Animal    | Mollusca                   | -11700        | -0           | Atys
Auchenoglanis                            | Animal    | Chordata                   | -11700        | -0           | Auchenoglanis
Aulacomya                                | Animal    | Mollusca                   | -11700        | -0           | Aulacomya
