Cariniferella                            | Animal    | Brachiopoda                | -393300000    | -382700000   | <>
Carinonychia                             | Animal    | Mollusca                   | -402500000    | -391900000   | <>
Carlinastraea                            | Animal    | Cnidaria                   | -402500000    | -391900000   | <>
Carolirhynchia                           | Animal    | Brachiopoda                | -402500000    | -387700000   | <>
Cartericardia                            | Animal    | Mollusca                   | -402500000    | -391900000   | <>
Carydium                                 | Animal    | Mollusca                   | -393300000    | -382700000   | <>
Cassidirostrum                           | Animal    | Brachiopoda                | -393300000    | -387700000   | <>
Casteroceras                             | Animal    | Mollusca                   | -393300000    | -387700000   | <>
Catactotoechus                           | Animal    | Cnidaria                   | -388100000    | -383700000   | <>
Catazone                                 | Animal    | Mollusca                   | -391900000    | -383700000   | <>
Caudicriodus                             | Animal    | Chordata                   | -393300000    | -387700000   | <>
Caulopteris                              | Plant     | Pteridophyta               | -393300000    | -382700000   | <>
Caunopora                                | Animal    | Cnidaria                   | -388100000    | -383700000   | <>
Cavellina                                | Animal    | Arthropoda                 | -388100000    | -383700000   | <>
Cayugaea                                 | Animal    | Cnidaria                   | -393300000    | -382700000   | <>
Celaeceras                               | Animal    | Mollusca                   | -402500000    | -391900000   | <>
Celechopora                              | Animal    | Cnidaria                   | -388100000    | -383700000   | <>
Celechovites                             | Animal    | Arthropoda                 | -388100000    | -383700000   | <>
Centauropyge                             | Animal    | Arthropoda                 | -402500000    | -387700000   | Centauropyge
Centriproetus                            | Animal    | Arthropoda                 | -410800000    | -382700000   | <>
Centroceras                              | Animal    | Mollusca                   | -409100000    | -391900000   | Centroceras
Centronella                              | Animal    | Brachiopoda                | -393300000    | -382700000   | <>
Cephalopteris                            | Plant     | Pteridospermophyta         | -393300000    | -382700000   | <>
Ceramella                                | Animal    | Bryozoa                    | -388100000    | -383700000   | <>
Ceramopora                               | Animal    | Bryozoa                    | -388100000    | -383700000   | Ceramopora
Ceratarges                               | Animal    | Arthropoda                 | -393300000    | -387700000   | Ceratarges
Ceratiocaris                             | Animal    | Arthropoda                 | -425600000    | -391900000   | Ceratiocaris
Ceratocephala                            | Animal    | Arthropoda                 | -402500000    | -391900000   | Ceratocephala
Ceratoikiscum                            | Micro     | Radiolaria                 | -393300000    | -387700000   | <>
Ceratolichas                             | Animal    | Arthropoda                 | -391900000    | -388100000   | <>
Ceratonurus                              | Animal    | Arthropoda                 | -410800000    | -382700000   | <>
Ceratopea                                | Animal    | Mollusca                   | -388100000    | -383700000   | <>
Ceratophyllum                            | Animal    | Cnidaria                   | -388100000    | -382400000   | Ceratophyllum
Ceratopora                               | Animal    | Cnidaria                   | -393300000    | -387700000   | <>
Cerberatrypa                             | Animal    | Brachiopoda                | -393300000    | -387700000   | <>
Cerithioides                             | Animal    | Mollusca                   | -393300000    | -387700000   | <>
Cerovoceras                              | Animal    | Mollusca                   | -393300000    | -387700000   | <>
Chaetetes                                | Animal    | Porifera                   | -388100000    | -383700000   | Chaetetes
Chalcidophyllum                          | Animal    | Cnidaria                   | -393300000    | -387700000   | <>
Charactophyllum                          | Animal    | Cnidaria                   | -388100000    | -382400000   | <>
Charionella                              | Animal    | Brachiopoda                | -419200000    | -358900000   | <>
Charionoides                             | Animal    | Brachiopoda                | -393300000    | -387700000   | <>
