Bigenerina                               | Micro     | Foraminifera               | -303700000    | -290100000   | <>
Bilotina                                 | Animal    | Brachiopoda                | -298900000    | -272300000   | <>
Bitaunioceras                            | Animal    | Mollusca                   | -295500000    | -290100000   | Bitaunioceras
Biwaella                                 | Micro     | Foraminifera               | -295500000    | -290100000   | <>
Blattinopsis                             | Animal    | Arthropoda                 | -295500000    | -290100000   | <>
Boesites                                 | Animal    | Mollusca                   | -295500000    | -290100000   | <>
Bolosaurus                               | Animal    | Chordata                   | -296400000    | -268000000   | Bolosaurus
Booralia                                 | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Borestus                                 | Animal    | Mollusca                   | -298900000    | -290100000   | <>
Bothrophyllum                            | Animal    | Cnidaria                   | -295500000    | -290100000   | <>
Botrychiopsis                            | Plant     | Pteridophyta               | -295500000    | -290100000   | Botrychiopsis
Botryococcus                             | Plant     | Chlorophyta                | -295500000    | -272300000   | Botryococcus
Botryopteris                             | Plant     | Pteridophyta               | -298900000    | -290100000   | <>
Boultonia                                | Micro     | Foraminifera               | -295500000    | -290100000   | <>
Boutakovia                               | Animal    | Arthropoda                 | -298900000    | -290100000   | <>
Bowmanites                               | Plant     | Equisetophyta              | -298900000    | -272300000   | <>
Brachycycloceras                         | Animal    | Mollusca                   | -295500000    | -290100000   | <>
Brachydectes                             | Animal    | Chordata                   | -295500000    | -290100000   | Brachydectes
Brachyphyllum                            | Plant     | Coniferophyta              | -295500000    | -272300000   | Brachyphyllum
Brachythyrina                            | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Brachythyris                             | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Bradyphyllum                             | Animal    | Cnidaria                   | -296400000    | -268000000   | <>
Branchierpeton                           | Animal    | Chordata                   | -295500000    | -290100000   | Branchierpeton
Bransonella                              | Animal    | Chordata                   | -295500000    | -290100000   | Bransonella
Bransonia                                | Animal    | Mollusca                   | -295500000    | -290100000   | <>
Brevidorsum                              | Animal    | Chordata                   | -298900000    | -290100000   | Brevidorsum
Broiliellus                              | Animal    | Chordata                   | -296400000    | -268000000   | Broiliellus
Brongniartites                           | Plant     | Pteridospermophyta         | -358900000    | -252170000   | <>
Bruntonella                              | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Bruntonia                                | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Bulimorpha                               | Animal    | Mollusca                   | -295500000    | -290100000   | <>
Bulunites                                | Animal    | Mollusca                   | -295500000    | -290100000   | <>
Buxtonia                                 | Animal    | Brachiopoda                | -298900000    | -252170000   | <>
Calamites                                | Plant     | Sphenophyta                | -295500000    | -272300000   | Calamites
Calamodendron                            | Plant     | Sphenophyta                | -295500000    | -290100000   | <>
Calamospora                              | Plant     | Sphenophyta                | -298900000    | -252170000   | <>
Calamostachys                            | Plant     | Sphenophyta                | -298900000    | -272300000   | <>
Calceolispongia                          | Animal    | Echinodermata              | -295500000    | -290100000   | Calceolispongia
Calcitornella                            | Micro     | Foraminifera               | -295500000    | -290100000   | <>
Calcivertella                            | Micro     | Foraminifera               | -298900000    | -272300000   | <>
Callaiapsida                             | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Calliprotonia                            | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Callipteris                              | Plant     | Peltaspermophyta           | -295500000    | -2.599e+08   | Callipteris
Callispirina                             | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Callyconcha                              | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Callytharrella                           | Animal    | Brachiopoda                | -295500000    | -279300000   | <>
Calophyllum Polycoeliidae                 | Animal    | Cnidaria                   | -295500000    | -279300000   | <>
Camerisma                                | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Campbellicrinus                          | Animal    | Echinodermata              | -295500000    | -290100000   | <>
Camptocrinus                             | Animal    | Echinodermata              | -295500000    | -290100000   | <>
Cancellina                               | Micro     | Foraminifera               | -298900000    | -2.599e+08   | <>
Cancrinella                              | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Caninia                                  | Animal    | Cnidaria                   | -295500000    | -290100000   | Caninia
Caninophyllum                            | Animal    | Cnidaria                   | -295500000    | -290100000   | <>
Canoptum                                 | Micro     | Radiolaria                 | -295500000    | -174100000   | <>
Capnodoce                                | Micro     | Radiolaria                 | -295500000    | -174100000   | <>
Captorhinikos                            | Animal    | Chordata                   | -298900000    | -272300000   | <>
Capulus                                  | Animal    | Mollusca                   | -298900000    | -252170000   | Capulus
Carbonicola                              | Animal    | Mollusca                   | -298900000    | -252170000   | Carbonicola
Carbonita                                | Animal    | Arthropoda                 | -295500000    | -290100000   | Carbonita
Carcinophyllum                           | Animal    | Cnidaria                   | -298900000    | -252170000   | <>
Cardiella                                | Animal    | Mollusca                   | -295500000    | -279300000   | <>
Cardiomorpha                             | Animal    | Mollusca                   | -295500000    | -290100000   | <>
Cardioneura                              | Plant     | Tracheophyta               | -295500000    | -279300000   | <>
Carinthiaphyllum                         | Animal    | Cnidaria                   | -295500000    | -290100000   | Carinthiaphyllum
Carnocladia                              | Animal    | Bryozoa                    | -295500000    | -290100000   | <>
Cassianoides                             | Animal    | Mollusca                   | -298900000    | -290100000   | <>
Cavellina                                | Animal    | Arthropoda                 | -295500000    | -290100000   | <>
Cavernella                               | Animal    | Bryozoa                    | -295500000    | -279300000   | <>
Cedripites                               | Plant     | Gymnospermophyta           | -298900000    | -252170000   | <>
