Calamopitys                              | Plant     | Ginkgophyta                | -383700000    | -382400000   | <>
Calamospora                              | Plant     | Sphenophyta                | -387700000    | -382700000   | <>
Calceola                                 | Animal    | Cnidaria                   | -387700000    | -382700000   | <>
Caliapora                                | Animal    | Cnidaria                   | -387700000    | -372200000   | Caliapora
Caligella                                | Micro     | Foraminifera               | -383700000    | -382400000   | <>
Calleocrinus                             | Animal    | Echinodermata              | -383700000    | -382400000   | <>
Callipleura                              | Animal    | Brachiopoda                | -387700000    | -382700000   | <>
Calostylis                               | Animal    | Cnidaria                   | -393300000    | -382700000   | <>
Calvibembexia                            | Animal    | Mollusca                   | -387700000    | -382700000   | <>
Camarotoechia                            | Animal    | Brachiopoda                | -383700000    | -382400000   | Camarotoechia
Campophyllum                             | Animal    | Cnidaria                   | -409100000    | -383700000   | <>
Cancellspyroceras                        | Animal    | Mollusca                   | -410800000    | -383700000   | <>
Caninia                                  | Animal    | Cnidaria                   | -387700000    | -382700000   | Caninia
Caninophyllum                            | Animal    | Cnidaria                   | -419200000    | -298900000   | <>
Canutrypa                                | Animal    | Bryozoa                    | -387700000    | -382700000   | <>
Cardiomorpha                             | Animal    | Mollusca                   | -393300000    | -372200000   | <>
Careophyllum                             | Animal    | Cnidaria                   | -387700000    | -382700000   | <>
Carinatina                               | Animal    | Brachiopoda                | -387700000    | -382700000   | <>
Cariniferella                            | Animal    | Brachiopoda                | -383700000    | -382400000   | <>
Carydium                                 | Animal    | Mollusca                   | -387700000    | -382700000   | <>
Cassidirostrum                           | Animal    | Brachiopoda                | -387700000    | -382700000   | <>
Catactotoechus                           | Animal    | Cnidaria                   | -387700000    | -382700000   | <>
Catantostoma                             | Animal    | Mollusca                   | -387700000    | -382700000   | <>
Catazone                                 | Animal    | Mollusca                   | -391900000    | -383700000   | <>
Caulopteris                              | Plant     | Pteridophyta               | -393300000    | -382700000   | <>
Caunopora                                | Animal    | Cnidaria                   | -388100000    | -383700000   | <>
Cavellina                                | Animal    | Arthropoda                 | -387700000    | -382700000   | <>
Cayeuxia                                 | Micro     | Cyanobacteria              | -387700000    | -382700000   | <>
Cayugaea                                 | Animal    | Cnidaria                   | -387700000    | -382700000   | <>
Celechopora                              | Animal    | Cnidaria                   | -388100000    | -383700000   | <>
Celechovites                             | Animal    | Arthropoda                 | -388100000    | -383700000   | <>
Centriproetus                            | Animal    | Arthropoda                 | -410800000    | -382700000   | <>
Centristela                              | Animal    | Cnidaria                   | -387700000    | -382700000   | <>
Centroceras                              | Animal    | Mollusca                   | -387700000    | -382700000   | Centroceras
Centronella                              | Animal    | Brachiopoda                | -387700000    | -382700000   | <>
Cephalopteris                            | Plant     | Pteridospermophyta         | -393300000    | -382700000   | <>
Ceramella                                | Animal    | Bryozoa                    | -387700000    | -382700000   | <>
Ceramopora                               | Animal    | Bryozoa                    | -388100000    | -383700000   | Ceramopora
Ceratocephala                            | Animal    | Arthropoda                 | -410800000    | -382700000   | Ceratocephala
Ceratoikiscum                            | Micro     | Radiolaria                 | -387700000    | -382700000   | <>
Ceratonurus                              | Animal    | Arthropoda                 | -410800000    | -382700000   | <>
Ceratopea                                | Animal    | Mollusca                   | -388100000    | -383700000   | <>
Ceratophyllum                            | Animal    | Cnidaria                   | -387700000    | -382700000   | Ceratophyllum
Cerovoceras                              | Animal    | Mollusca                   | -410800000    | -383700000   | <>
Chaetetella                              | Animal    | Porifera                   | -387700000    | -382700000   | <>
Chaetetes                                | Animal    | Porifera                   | -387700000    | -382700000   | Chaetetes
Champernownia                            | Animal    | Mollusca                   | -387700000    | -382700000   | <>
Charactophyllum                          | Animal    | Cnidaria                   | -387700000    | -382700000   | <>
Charionella                              | Animal    | Brachiopoda                | -387700000    | -382700000   | <>
Charybdaspis                             | Animal    | Arthropoda                 | -387700000    | -382700000   | <>
Chascothyris                             | Animal    | Brachiopoda                | -387700000    | -382700000   | <>
Chattaster                               | Animal    | Echinodermata              | -388100000    | -383700000   | <>
Cheeneetnukia                            | Animal    | Mollusca                   | -387700000    | -382700000   | <>
Cheirolepis                              | Animal    | Chordata                   | -387700000    | -372200000   | Cheirolepis
Cheirurus                                | Animal    | Arthropoda                 | -387700000    | -382700000   | Cheirurus
Chelmastanites                           | Animal    | Lophotrochozoa             | -387700000    | -372200000   | <>
Chia                                     | Animal    | Cnidaria                   | -387700000    | -382700000   | Chia
Chirodipterus                            | Animal    | Chordata                   | -393300000    | -382700000   | Chirodipterus
Chironiptrum                             | Animal    | Arthropoda                 | -387700000    | -382700000   | <>
Chlupacispira                            | Animal    | Mollusca                   | -387700000    | -382700000   | <>
Chonetes                                 | Animal    | Brachiopoda                | -383700000    | -382400000   | Chonetes
Chonetipustula                           | Animal    | Brachiopoda                | -387700000    | -382700000   | <>
Chonophyllum                             | Animal    | Cnidaria                   | -393300000    | -382700000   | <>
Chonostegites                            | Animal    | Cnidaria                   | -387700000    | -382700000   | <>
Chonostrophia                            | Animal    | Brachiopoda                | -419200000    | -382700000   | <>
Choperella                               | Animal    | Brachiopoda                | -387700000    | -382700000   | <>
Chostophyllum                            | Animal    | Cnidaria                   | -387700000    | -382700000   | <>
Chutoceras                               | Animal    | Mollusca                   | -383700000    | -382400000   | <>
Cimitaria                                | Animal    | Mollusca                   | -383700000    | -382400000   | <>
Cladochonus                              | Animal    | Cnidaria                   | -383700000    | -382400000   | Cladochonus
Cladopora                                | Animal    | Cnidaria                   | -387700000    | -382700000   | <>
Cladoxylon                               | Plant     | Tracheophyta               | -383700000    | -382400000   | <>
Clariondites                             | Animal    | Mollusca                   | -388100000    | -383700000   | <>
Clathrocoilona                           | Animal    | Porifera                   | -383700000    | -382400000   | <>
Clathrodictyon                           | Animal    | Porifera                   | -383700000    | -382400000   | <>
Clathronema                              | Animal    | Mollusca                   | -387700000    | -382700000   | <>
Clavidictyon                             | Animal    | Porifera                   | -383700000    | -382400000   | <>
Cleiothyridina                           | Animal    | Brachiopoda                | -388100000    | -382400000   | Cleiothyridina
Cliotrypa                                | Animal    | Bryozoa                    | -387700000    | -382700000   | <>
Coelocerodontus                          | Animal    | Chordata                   | -387700000    | -382700000   | <>
Coeloenellina                            | Animal    | Arthropoda                 | -387700000    | -382700000   | <>
Coelonella                               | Animal    | Arthropoda                 | -387700000    | -382700000   | <>
Coelospira                               | Animal    | Brachiopoda                | -393300000    | -382700000   | <>
Coeloterorhynchus                        | Animal    | Brachiopoda                | -383700000    | -382400000   | <>
Coelozone                                | Animal    | Mollusca                   | -387700000    | -382700000   | <>
Coenites                                 | Animal    | Cnidaria                   | -387700000    | -372200000   | Coenites
Coenostroma                              | Animal    | Porifera                   | -388100000    | -383700000   | <>
Coledium                                 | Animal    | Brachiopoda                | -393300000    | -382700000   | <>
Coleophyllum                             | Animal    | Cnidaria                   | -393300000    | -382700000   | <>
Coloniacirrus                            | Animal    | Mollusca                   | -383700000    | -382400000   | <>
Colpodexylon                             | Plant     | Lycopodophyta              | -383700000    | -382400000   | <>
