Breviatractites                          | Animal    | Mollusca                   | -247200000    | -242000000   | Breviatractites
Brochidium                               | Animal    | Mollusca                   | -247200000    | -221500000   | <>
Bromsgroveia                             | Animal    | Chordata                   | -247200000    | -242000000   | Bromsgroveia
Bromsgroviscorpio                        | Animal    | Arthropoda                 | -247200000    | -242000000   | <>
Buccinites                               | Animal    | Mollusca                   | -247200000    | -237000000   | <>
Buddhaites                               | Animal    | Mollusca                   | -247200000    | -242000000   | <>
Bukobaja                                 | Animal    | Chordata                   | -247200000    | -242000000   | Bukobaja
Bukowskiites                             | Animal    | Mollusca                   | -247200000    | -242000000   | <>
Bulbocyrtium                             | Micro     | Radiolaria                 | -247200000    | -235000000   | <>
Bullatihungarites                        | Animal    | Mollusca                   | -247200000    | -237000000   | <>
Bullopora                                | Micro     | Foraminifera               | -247200000    | -242000000   | <>
Bulogites                                | Animal    | Mollusca                   | -247200000    | -242000000   | <>
Burmesia                                 | Animal    | Mollusca                   | -251200000    | -242000000   | <>
Busuanga                                 | Micro     | Radiolaria                 | -247200000    | -237000000   | <>
Bythocypris                              | Animal    | Arthropoda                 | -247200000    | -242000000   | <>
Calamites                                | Plant     | Sphenophyta                | -247200000    | -242000000   | Calamites
Calamospora                              | Plant     | Sphenophyta                | -252170000    | -237000000   | <>
Calcancora                               | Animal    | Echinodermata              | -247200000    | -242000000   | Calcancora
Calcitornella                            | Micro     | Foraminifera               | -247200000    | -242000000   | <>
Calclamna                                | Animal    | Echinodermata              | -247200000    | -242000000   | Calclamna
Calclamnella                             | Animal    | Echinodermata              | -247200000    | -242000000   | <>
Calclamnoidea                            | Animal    | Echinodermata              | -247200000    | -242000000   | Calclamnoidea
Calliconites                             | Animal    | Mollusca                   | -247200000    | -235000000   | Calliconites
Callicythere                             | Animal    | Arthropoda                 | -247200000    | -242000000   | <>
Callipteris                              | Plant     | Peltaspermophyta           | -298900000    | -201300000   | Callipteris
Calmasuchus                              | Animal    | Chordata                   | -247200000    | -242000000   | Calmasuchus
Calvaentolium                            | Animal    | Mollusca                   | -247200000    | -237000000   | <>
Camerothyris                             | Animal    | Brachiopoda                | -247200000    | -235000000   | <>
Camptonectes                             | Animal    | Mollusca                   | -247200000    | -237000000   | <>
Candona                                  | Animal    | Arthropoda                 | -252170000    | -201300000   | Candona
Canesium                                 | Micro     | Radiolaria                 | -247200000    | -174100000   | <>
Canoptum                                 | Micro     | Radiolaria                 | -247200000    | -174100000   | <>
Capitosauroides                          | Animal    | Chordata                   | -247200000    | -242000000   | <>
Capnodoce                                | Micro     | Radiolaria                 | -247200000    | -174100000   | <>
Capnuchosphaera                          | Micro     | Radiolaria                 | -247200000    | -174100000   | <>
Cardinia                                 | Animal    | Mollusca                   | -247200000    | -242000000   | <>
Cardinioides                             | Animal    | Mollusca                   | -247200000    | -242000000   | <>
Cardiomorpha                             | Animal    | Mollusca                   | -247200000    | -242000000   | <>
Carinella                                | Animal    | Chordata                   | -247200000    | -237000000   | <>
Carinokoninckina                         | Animal    | Brachiopoda                | -247200000    | -201300000   | <>
Carnallicrinus                           | Animal    | Echinodermata              | -247200000    | -235000000   | <>
Cassianastraea                           | Animal    | Cnidaria                   | -247200000    | -242000000   | <>
Cassianella                              | Animal    | Mollusca                   | -247200000    | -237000000   | <>
Cassianospira                            | Animal    | Brachiopoda                | -247200000    | -242000000   | <>
Catella                                  | Animal    | Mollusca                   | -247200000    | -237000000   | <>
Caucasites                               | Animal    | Mollusca                   | -247200000    | -242000000   | <>
Caucasorhynchella                        | Animal    | Brachiopoda                | -247200000    | -242000000   | <>
Cavellina                                | Animal    | Arthropoda                 | -247200000    | -242000000   | <>
Cavussurella                             | Animal    | Arthropoda                 | -247200000    | -242000000   | <>
Cayeuxia                                 | Micro     | Cyanobacteria              | -247200000    | -242000000   | <>
Ceccaceras                               | Animal    | Mollusca                   | -247200000    | -242000000   | Ceccaceras
Celluronta                               | Micro     | Radiolaria                 | -247200000    | -242000000   | <>
Celtites                                 | Animal    | Mollusca                   | -247200000    | -237000000   | <>
Celyphia                                 | Animal    | Porifera                   | -247200000    | -237000000   | <>
Cenosphaera                              | Micro     | Radiolaria                 | -247200000    | -235000000   | <>
Cephaloxenus                             | Animal    | Chordata                   | -247200000    | -242000000   | Cephaloxenus
Ceratites                                | Animal    | Mollusca                   | -247200000    | -237000000   | Ceratites
Ceratodus                                | Animal    | Chordata                   | -247200000    | -237000000   | Ceratodus
Chaetetes                                | Animal    | Porifera                   | -247200000    | -242000000   | Chaetetes
Chaohusaurus                             | Animal    | Chordata                   | -247200000    | -237000000   | Chaohusaurus
Chauliodites                             | Animal    | Arthropoda                 | -247200000    | -242000000   | <>
Cheilotomona                             | Animal    | Mollusca                   | -247200000    | -242000000   | Cheilotomona
Chelocrinus                              | Animal    | Echinodermata              | -247200000    | -221500000   | <>
Chelonipus                               | Animal    | Chordata                   | -251200000    | -242000000   | <>
Chemnitzia                               | Animal    | Mollusca                   | -247200000    | -237000000   | Chemnitzia
Cherninia                                | Animal    | Chordata                   | -247200000    | -242000000   | Cherninia
Chevalieria                              | Animal    | Cnidaria                   | -247200000    | -242000000   | <>
Chieseiceras                             | Animal    | Mollusca                   | -247200000    | -235000000   | Chieseiceras
