Dellea                                   | Animal    | Arthropoda                 | -497000000    | -485400000   | <>
Denagnostus                              | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Dendrograptus                            | Animal    | Hemichordata               | -497000000    | -485400000   | Dendrograptus
Densonella                               | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Desmograptus                             | Animal    | Hemichordata               | -501000000    | -485400000   | <>
Diagoniella                              | Animal    | Porifera                   | -497000000    | -477700000   | Diagoniella
Dicanthopyge                             | Animal    | Arthropoda                 | -497000000    | -485400000   | <>
Dicellomus                               | Animal    | Brachiopoda                | -497000000    | -485400000   | <>
Diceratopyge                             | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Dictyonema                               | Animal    | Hemichordata               | -497000000    | -477700000   | Dictyonema
Dictyonina                               | Animal    | Brachiopoda                | -501000000    | -485400000   | <>
Diemanosaukia                            | Animal    | Arthropoda                 | -494000000    | -485400000   | <>
Dikelocephalites                         | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Distazeris                               | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Dokimocephalus                           | Animal    | Arthropoda                 | -497000000    | -485400000   | <>
Dolgeuloma                               | Animal    | Arthropoda                 | -497000000    | -477700000   | <>
Dolichometopsis                          | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Dongshanoceras                           | Animal    | Mollusca                   | -498500000    | -485400000   | <>
Dorispira                                | Animal    | Mollusca                   | -497000000    | -477700000   | <>
Dorypyge                                 | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Drabia                                   | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Drepanochites                            | Animal    | Mollusca                   | -541000000    | -485400000   | Drepanochites
Drepanodus                               | Animal    | Chordata                   | -501000000    | -485400000   | <>
Drepanoistodus                           | Animal    | Chordata                   | -501000000    | -485400000   | <>
Dresbachia                               | Animal    | Arthropoda                 | -501000000    | -485400000   | Dresbachia
Drumaspis                                | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Duibianaspis                             | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Dunderbergia                             | Animal    | Arthropoda                 | -497000000    | -485400000   | <>
Duplora                                  | Animal    | Arthropoda                 | -494000000    | -485000000   | <>
Dysoristus                               | Animal    | Brachiopoda                | -497000000    | -485400000   | <>
Dytremacephalus                          | Animal    | Arthropoda                 | -497000000    | -485400000   | <>
Echidnina                                | Micro     | Radiolaria                 | -501000000    | -485400000   | <>
Ectenolites                              | Animal    | Mollusca                   | -498500000    | -485400000   | Ectenolites
Ediacaria                                | Animal    | Cnidaria                   | -501000000    | -485400000   | Ediacaria
Edithiella                               | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Ehmaniella                               | Animal    | Arthropoda                 | -501000000    | -485400000   | Ehmaniella
Eiffelia                                 | Animal    | Porifera                   | -497000000    | -485400000   | Eiffelia
Elburgia                                 | Animal    | Arthropoda                 | -497000000    | -485400000   | <>
Eldoradia                                | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Elkanaspis                               | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Elkia                                    | Animal    | Arthropoda                 | -501000000    | -485400000   | Elkia
Ellipsocephaloides                       | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Ellsworthoconus                          | Animal    | Mollusca                   | -501000000    | -485400000   | <>
Elrathia                                 | Animal    | Arthropoda                 | -501000000    | -485400000   | Elrathia
Elrathiella                              | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Elrathina                                | Animal    | Arthropoda                 | -501000000    | -485400000   | Elrathina
Elvinaspis                               | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Elvinia                                  | Animal    | Arthropoda                 | -497000000    | -485400000   | <>
Elviniella                               | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
