Agabus                                    | Animal    | Arthropoda                 | -126000       | 2030         | <>
Agallia                                   | Animal    | Arthropoda                 | -20440000     | 2030         | Agallia
Agama                                     | Animal    | Chordata                   | -781000       | 2030         | Agama
Agamia                                    | Animal    | Chordata                   | -11700        | 2030         | Agamia
Agapornis                                 | Animal    | Chordata                   | -5333000      | 2030         | Agapornis
Agaricia                                  | Animal    | Cnidaria                   | -126000       | 2030         | Agaricia
Agaricophagus                             | Animal    | Arthropoda                 | -2588000      | 2030         | <>
Agariste                                  | Animal    | Mollusca                   | -3600000      | 2030         | Agariste_(gastropod)
Agaronia                                  | Animal    | Mollusca                   | -126000       | 2030         | Agaronia
Agassizia                                 | Animal    | Echinodermata              | -48600000     | 2030         | Agassizia
Agastachys                                | Plant     | Spermatophyta              | -126000       | 2030         | Agastachys
Agatha                                    | Animal    | Mollusca                   | -48600000     | 2030         | Agatha
Agathemera                                | Animal    | Arthropoda                 | -37200000     | 2030         | Agathemera
Agathidium                                | Animal    | Arthropoda                 | -126000       | 2030         | Agathidium
Agathis                                   | Plant     | Pinophyta                  | -126000       | 2030         | Agathis
Agathistoma                               | Animal    | Mollusca                   | -126000       | 2030         | <>
Agathodonta                               | Animal    | Mollusca                   | -122460000    | 2030         | Agathodonta
Agathomyia                                | Animal    | Arthropoda                 | -47800000     | 2030         | Agathomyia
Agathotoma                                | Animal    | Mollusca                   | -126000       | 2030         | Agathotoma
Agatrix                                   | Animal    | Mollusca                   | -1806000      | 2030         | Agatrix
Agelaia                                   | Animal    | Arthropoda                 | -20440000     | 2030         | Agelaia
Agelaius                                  | Animal    | Chordata                   | -126000       | 2030         | Agelaius
Agelasa                                   | Animal    | Arthropoda                 | -33900000     | 2030         | <>
Agelastica                                | Animal    | Arthropoda                 | -781000       | 2030         | Agelastica
Agelena                                   | Animal    | Arthropoda                 | -38000000     | 2030         | Agelena
Agenioideus                               | Animal    | Arthropoda                 | -37200000     | 2030         | Agenioideus
Agladrillia                               | Animal    | Mollusca                   | -5333000      | 2030         | Agladrillia
Aglaia                                    | Plant     | Spermatophyta              | -2588000      | 2030         | Aglaia
Aglais                                    | Animal    | Arthropoda                 | -15970000     | 2030         | Aglais
Aglaomyia                                 | Animal    | Arthropoda                 | -38000000     | 2030         | Aglaomyia
Aglyptinus                                | Animal    | Arthropoda                 | -20440000     | 2030         | Aglyptinus
Agnopterus                                | Animal    | Chordata                   | -28400000     | 2030         | <>
Agoliinus                                 | Animal    | Arthropoda                 | -126000       | 2030         | Agoliinus
Agonis                                    | Plant     | Spermatophyta              | -48600000     | 2030         | Agonis
Agononida                                 | Animal    | Arthropoda                 | -11700        | 2030         | Agononida
Agonoscena                                | Animal    | Arthropoda                 | -15970000     | 2030         | <>
Agonum                                    | Animal    | Arthropoda                 | -126000       | 2030         | Agonum
Agramma                                   | Animal    | Arthropoda                 | -20440000     | 2030         | Agramma
Agrawalimya                               | Animal    | Mollusca                   | -168300000    | 2030         | <>
Agraylea                                  | Animal    | Arthropoda                 | -93900000     | 2030         | Agraylea
Agrenocythere                             | Animal    | Arthropoda                 | -56000000     | 2030         | <>
Agrilus                                   | Animal    | Arthropoda                 | -126000       | 2030         | Agrilus
Agriocharis                               | Animal    | Chordata                   | -781000       | 2030         | Agriocharis
Agriocnemis                               | Animal    | Arthropoda                 | -20440000     | 2030         | Agriocnemis
Agrion                                    | Animal    | Arthropoda                 | -12700000     | 2030         | Agrion
Agrionemys                                | Animal    | Chordata                   | -11608000     | 2030         | Agrionemys
Agriopoma                                 | Animal    | Mollusca                   | -2588000      | 2030         | Agriopoma
Agriotes                                  | Animal    | Arthropoda                 | -126000       | 2030         | Agriotes
Agroeca                                   | Animal    | Arthropoda                 | -126000       | 2030         | Agroeca
Agromyza                                  | Animal    | Arthropoda                 | -37200000     | 2030         | Agromyza
Agrothereutes                             | Animal    | Arthropoda                 | -20440000     | 2030         | Agrothereutes
Agrypnia                                  | Animal    | Arthropoda                 | -126000       | 2030         | Agrypnia_(caddisfly)
Agrypnus                                  | Animal    | Arthropoda                 | -48600000     | 2030         | Agrypnus
Agulla                                    | Animal    | Arthropoda                 | -50300000     | 2030         | Agulla_(snakefly)
Ailuropoda                                | Animal    | Chordata                   | -126000       | 2030         | Ailuropoda
Aimulosia                                 | Animal    | Bryozoa                    | -55800000     | 2030         | <>
Airaphilus                                | Animal    | Arthropoda                 | -38000000     | 2030         | Airaphilus
Airapus                                   | Animal    | Arthropoda                 | -38000000     | 2030         | <>
Aivalykus                                 | Animal    | Arthropoda                 | -20440000     | 2030         | <>
Aix                                       | Animal    | Chordata                   | -126000       | 2030         | Aix_(bird)
Aka                                       | Animal    | Porifera                   | -155700000    | 2030         | <>
Akatopora                                 | Animal    | Bryozoa                    | -70600000     | 2030         | <>
Akburunella                               | Animal    | Mollusca                   | -12700000     | 2030         | <>
Akera                                     | Animal    | Mollusca                   | -126000       | 2030         | Akera
Akodon                                    | Animal    | Chordata                   | -126000       | 2030         | Akodon
Alabamina                                 | Micro     | Foraminifera               | -100500000    | 2030         | <>
Alaba                                     | Animal    | Mollusca                   | -126000       | 2030         | Alaba
Alabina                                   | Animal    | Mollusca                   | -126000       | 2030         | <>
Alactaga                                  | Animal    | Chordata                   | -781000       | 2030         | <>
Alangium                                  | Plant     | Spermatophyta              | -48600000     | 2030         | Alangium
Alaocybites                               | Animal    | Arthropoda                 | -2588000      | 2030         | <>
Alaptus                                   | Animal    | Arthropoda                 | -11700        | 2030         | <>
Alastor                                   | Animal    | Arthropoda                 | -50300000     | 2030         | <>
Alatotrochus                              | Animal    | Cnidaria                   | -2588000      | 2030         | <>
Alauda                                    | Animal    | Chordata                   | -126000       | 2030         | Alauda
Alaus                                     | Animal    | Arthropoda                 | -12700000     | 2030         | Alaus
Alavesia                                  | Animal    | Arthropoda                 | -105300000    | 2030         | <>
Albula                                    | Animal    | Chordata                   | -83500000     | 2030         | Albula_(fish)
Albunaea                                  | Animal    | Arthropoda                 | -11700        | 2030         | <>
Albunea                                   | Animal    | Arthropoda                 | -13650000     | 2030         | <>
Alca                                      | Animal    | Chordata                   | -126000       | 2030         | Razorbill
Alcedo                                    | Animal    | Chordata                   | -126000       | 2030         | Alcedo
Alcelaphus                                | Animal    | Chordata                   | -126000       | 2030         | Alcelaphus
Alces                                     | Animal    | Chordata                   | -126000       | 2030         | Alces
Alcira                                    | Animal    | Mollusca                   | -5333000      | 2030         | <>
Alcithoe                                  | Animal    | Mollusca                   | -781000       | 2030         | Alcithoe
Aldabrachelys                             | Animal    | Chordata                   | -126000       | 2030         | Aldabrachelys
Alderina                                  | Animal    | Bryozoa                    | -72100000     | 2030         | <>
Aldingia                                  | Animal    | Brachiopoda                | -23030000     | 2030         | <>
Aldrichetta                               | Animal    | Chordata                   | -5333000      | 2030         | Aldrichetta
Aldrovandia                               | Animal    | Chordata                   | -15970000     | 2030         | Aldrovandia
Alectis                                   | Animal    | Chordata                   | -11620000     | 2030         | Alectis
Alectona                                  | Animal    | Porifera                   | -13820000     | 2030         | <>
Alectoris                                 | Animal    | Chordata                   | -126000       | 2030         | Alectoris
Alectroenas                               | Animal    | Chordata                   | -11700        | 2030         | Alectroenas
Alectryonella                             | Animal    | Mollusca                   | -126000       | 2030         | <>
