Ariekanerpeton                           | Animal    | Chordata                   | -298900000    | -254000000   | Ariekanerpeton
Arionthia                                | Animal    | Brachiopoda                | -279300000    | -272300000   | <>
Arisierpeton                             | Animal    | Chordata                   | -279300000    | -272300000   | Arisierpeton
Armenina                                 | Micro     | Foraminifera               | -279300000    | -272300000   | <>
Arrectocrinus                            | Animal    | Echinodermata              | -279300000    | -272300000   | <>
Arthropitys                              | Plant     | Sphenophyta                | -298900000    | -272300000   | Arthropitys
Artinska                                 | Animal    | Arthropoda                 | -279300000    | -272300000   | <>
Artinskia                                | Animal    | Mollusca                   | -290100000    | -272300000   | <>
Artioceratoides                          | Animal    | Mollusca                   | -279300000    | -272300000   | <>
Asiachorista                             | Animal    | Arthropoda                 | -279300000    | -272300000   | <>
Asiuropa                                 | Animal    | Arthropoda                 | -279300000    | -272300000   | <>
Asketochiton                             | Animal    | Mollusca                   | -298900000    | -252170000   | <>
Aspidosaurus                             | Animal    | Chordata                   | -279300000    | -272300000   | Aspidosaurus
Asserculinia                             | Animal    | Cnidaria                   | -279300000    | -272300000   | <>
Astartella                               | Animal    | Mollusca                   | -279300000    | -272300000   | <>
Astartila                                | Animal    | Mollusca                   | -279300000    | -272300000   | <>
Astegosia                                | Animal    | Brachiopoda                | -279300000    | -272300000   | <>
Asterophyllites                          | Plant     | Sphenophyta                | -279300000    | -252170000   | <>
Asterotheca                              | Plant     | Pteridophyta               | -279300000    | -272300000   | Asterotheca
Asthenohymen                             | Animal    | Arthropoda                 | -279300000    | -272300000   | <>
Athyris                                  | Animal    | Brachiopoda                | -279300000    | -272300000   | Athyris
Atomodesma                               | Animal    | Mollusca                   | -279300000    | -272300000   | <>
Atractyliopsis                           | Plant     | Chlorophyta                | -279300000    | -272300000   | <>
Attenuatella                             | Animal    | Brachiopoda                | -279300000    | -272300000   | <>
Aulacaganides                            | Animal    | Mollusca                   | -279300000    | -272300000   | Aulacaganides
Aulametacoceras                          | Animal    | Mollusca                   | -279300000    | -272300000   | <>
Aulophyllum                              | Animal    | Cnidaria                   | -296400000    | -268000000   | <>
Aulopora                                 | Animal    | Cnidaria                   | -290100000    | -272300000   | Aulopora
Aulosteges                               | Animal    | Brachiopoda                | -279300000    | -268800000   | <>
Aurigerites                              | Animal    | Arthropoda                 | -279300000    | -272300000   | <>
Aurikirkbya                              | Animal    | Arthropoda                 | -279300000    | -272300000   | <>
Australopolypora                         | Animal    | Bryozoa                    | -279300000    | -272300000   | <>
Austroblastus                            | Animal    | Echinodermata              | -279300000    | -272300000   | <>
Autunia                                  | Plant     | Peltaspermophyta           | -315200000    | -254000000   | <>
Aversor                                  | Animal    | Chordata                   | -279500000    | -272500000   | Aversor
Aviculopecten                            | Animal    | Mollusca                   | -279300000    | -272300000   | Aviculopecten
Aviculopinna                             | Animal    | Mollusca                   | -279300000    | -272300000   | <>
