Binipecten                               | Animal    | Mollusca                   | -323200000    | -298900000   | <>
Bisatoceras                              | Animal    | Mollusca                   | -313800000    | -305900000   | Bisatoceras
Biseriella                               | Micro     | Foraminifera               | -318100000    | -314600000   | <>
Bitaunioceras                            | Animal    | Mollusca                   | -313800000    | -305900000   | Bitaunioceras
Bizarrea                                 | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Blasispirifer                            | Animal    | Brachiopoda                | -323200000    | -298900000   | <>
Blattoidea                               | Animal    | Arthropoda                 | -311450000    | -306950000   | Blattoidea
Boesites                                 | Animal    | Mollusca                   | -309000000    | -306950000   | <>
Bogdanoceras                             | Animal    | Mollusca                   | -318100000    | -314600000   | <>
Bohemiatupus                             | Animal    | Arthropoda                 | -315200000    | -307000000   | Bohemiatupus
Bojophlebia                              | Animal    | Arthropoda                 | -315200000    | -307000000   | <>
Bojoptera                                | Animal    | Arthropoda                 | -315200000    | -307000000   | <>
Boltonia                                 | Animal    | Arthropoda                 | -314600000    | -314600000   | Boltonia
Boltoniella                              | Animal    | Arthropoda                 | -314600000    | -314600000   | <>
Boltonites                               | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Boltonoblatta                            | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Boltonocosta                             | Animal    | Arthropoda                 | -314600000    | -311450000   | <>
Booralia                                 | Animal    | Brachiopoda                | -323200000    | -298900000   | <>
Boreoscorpio                             | Animal    | Arthropoda                 | -314600000    | -306950000   | <>
Borestus                                 | Animal    | Mollusca                   | -318100000    | -306950000   | <>
Bornatarbus                              | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Bothrophyllum                            | Animal    | Cnidaria                   | -315200000    | -307000000   | <>
Botrophyllum                             | Animal    | Cnidaria                   | -315200000    | -307000000   | <>
Botryococcus                             | Plant     | Chlorophyta                | -313800000    | -305900000   | Botryococcus
Botryopteris                             | Plant     | Pteridophyta               | -314600000    | -311450000   | <>
Boweria                                  | Plant     | Pteridophyta               | -358900000    | -298900000   | <>
Bowmanites                               | Plant     | Equisetophyta              | -314600000    | -311450000   | <>
Brachycycloceras                         | Animal    | Mollusca                   | -313800000    | -306950000   | <>
Brachydectes                             | Animal    | Chordata                   | -311450000    | -306950000   | Brachydectes
Brachymylacris                           | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Brachyphyllum                            | Plant     | Pinopsida                  | -358900000    | -252170000   | Brachyphyllum
Brachypyge                               | Animal    | Arthropoda                 | -314600000    | -311450000   | <>
