Archaeobehningia                         | Animal    | Arthropoda                 | -163500000    | -152100000   | <>
Archaeocarabus                           | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Archaeocenosphaera                       | Micro     | Radiolaria                 | -161200000    | -150800000   | <>
Archaeodictyomitra                       | Micro     | Radiolaria                 | -161200000    | -145000000   | <>
Archaeohagiastrum                        | Micro     | Radiolaria                 | -161200000    | -155700000   | <>
Archaeohelorus                           | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Archaeoistiodactylus                     | Animal    | Chordata                   | -167700000    | -150800000   | Archaeoistiodactylus
Archaeolithoporella                      | Plant     | Rhodophyta                 | -161200000    | -155700000   | <>
Archaeomaene                             | Animal    | Chordata                   | -163500000    | -145000000   | Archaeomaene
Archaeomastax                            | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Archaeometra                             | Animal    | Echinodermata              | -164700000    | -161200000   | <>
Archaeopelecinus                         | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Archaeoripiphorus                        | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Archaeornithipus                         | Animal    | Chordata                   | -163500000    | -100500000   | Archaeornithipus
Archaeorrhynchoides                      | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Archaeosmylidia                          | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Archaeospongoprunum                      | Micro     | Radiolaria                 | -161200000    | -150800000   | <>
Archaulacus                              | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Archeosolenocera                         | Animal    | Arthropoda                 | -164700000    | -161200000   | Archeosolenocera
Archicapsa                               | Micro     | Radiolaria                 | -167700000    | -161200000   | <>
Archidermapteron                         | Animal    | Arthropoda                 | -166100000    | -157300000   | Archidermapteron
Archijassus                              | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Archinemestrius                          | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Archipleciomima                          | Animal    | Arthropoda                 | -163500000    | -157300000   | <>
Archipsylla                              | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Archirhagio                              | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Archirhyphus                             | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Archisargus                              | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Architipula                              | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Archizelmira                             | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Archocyrtus                              | Animal    | Arthropoda                 | -166100000    | -157300000   | Archocyrtus
Archodromus                              | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Arcofuzia                                | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Arcomya                                  | Animal    | Mollusca                   | -161200000    | -152100000   | <>
Arcomytilus                              | Animal    | Mollusca                   | -161200000    | -150800000   | <>
Arcoperna                                | Animal    | Mollusca                   | -161200000    | -155700000   | <>
Arctica                                  | Animal    | Mollusca                   | -161200000    | -150800000   | Arctica_(bivalve)
Arcticoceras                             | Animal    | Mollusca                   | -164700000    | -161200000   | Arcticoceras
Arctostrea                               | Animal    | Mollusca                   | -163500000    | -152100000   | <>
Arcus                                    | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
