Hallucigenia                             | Animal    | Onychophora                | -541000000    | -513000000   | Hallucigenia
Hamptonia                                | Animal    | Porifera                   | -541000000    | -513000000   | Hamptonia
Haplophrentis                            | Animal    | Hyolitha                   | -530000000    | -513000000   | Haplophrentis
Hedstroemia Codiaceae                    | Micro     | Cyanobacteria              | -541000000    | -530000000   | Hedstroemia
Helcionella                              | Animal    | Mollusca                   | -530000000    | -520000000   | Helcionella
Helicoplacus                             | Animal    | Echinodermata              | -530000000    | -513000000   | Helicoplacus
Hemisphaerammina                         | Micro     | Foraminifera               | -530000000    | -516000000   | <>
Hertzina                                 | Animal    | Chordata                   | -530000000    | -516000000   | Hertzina
Hexaconularia                            | Animal    | Cnidaria                   | -541000000    | -485400000   | <>
Hexangulaconularia                       | Animal    | Cnidaria                   | -541000000    | -516000000   | <>
Hirsutodontus                            | Animal    | Chordata                   | -541000000    | -485400000   | <>
Holmia                                   | Animal    | Arthropoda                 | -541000000    | -513000000   | Holmia
Holmiella                                | Animal    | Arthropoda                 | -530000000    | -513000000   | Holmiella
Hongshiyanaspis                          | Animal    | Arthropoda                 | -541000000    | -513000000   | Hongshiyanaspis
Huangshandogoconus                       | Animal    | Mollusca                   | -530000000    | -520000000   | <>
Huangshandongoconus                      | Animal    | Mollusca                   | -541000000    | -516000000   | <>
Hubeinella                               | Animal    | Mollusca                   | -541000000    | -513000000   | <>
Hunanospongia                            | Animal    | Porifera                   | -541000000    | -530000000   | <>
Hyalosinica                              | Animal    | Porifera                   | -541000000    | -513000000   | <>
Hyolithes                                | Animal    | Hyolitha                   | -530000000    | -513000000   | Hyolithes
Idahoia                                  | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Idiomesus                                | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Igorella                                 | Animal    | Mollusca                   | -530000000    | -520000000   | <>
Illaenurus                               | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Ilsanella                                | Animal    | Mollusca                   | -530000000    | -520000000   | <>
Imbricatocoelia                          | Animal    | Porifera                   | -541000000    | -513000000   | <>
Ischnspongia                             | Animal    | Porifera                   | -541000000    | -513000000   | <>
Ischyrinia                               | Animal    | Mollusca                   | -530000000    | -516000000   | <>
Isoxys                                   | Animal    | Arthropoda                 | -530000000    | -513000000   | Isoxys
Jacuticornus                             | Animal    | Hyolitha                   | -530000000    | -520000000   | <>
Jiucunella                               | Animal    | Arthropoda                 | -530000000    | -520000000   | Jiucunella
Judomia                                  | Animal    | Arthropoda                 | -541000000    | -513000000   | <>
Keeleaspis                               | Animal    | Arthropoda                 | -541000000    | -513000000   | Keeleaspis
Keithiella                               | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Kerygmachela                             | Animal    | Arthropoda                 | -530000000    | -516000000   | Kerygmachela
Khasagtina                               | Animal    | Brachiopoda                | -530000000    | -520000000   | <>
Khetatheca                               | Animal    | Hyolitha                   | -541000000    | -520000000   | <>
Kijacus                                  | Animal    | Chaetognatha               | -530000000    | -520000000   | <>
Kingaspidoides                           | Animal    | Arthropoda                 | -530000000    | -513000000   | <>
Kingaspis                                | Animal    | Arthropoda                 | -530000000    | -513000000   | <>
Kingstonia                               | Animal    | Arthropoda                 | -541000000    | -485400000   | Kingstonia
Kjerulfia                                | Animal    | Arthropoda                 | -541000000    | -513000000   | Kjerulfia
Kochiella                                | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Kootenia                                 | Animal    | Arthropoda                 | -541000000    | -485400000   | Kootenia
Korilithes                               | Animal    | Hyolitha                   | -530000000    | -520000000   | <>
Kormagnostus                             | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Kotuyicyathus                            | Animal    | Porifera                   | -530000000    | -520000000   | <>
Kotuyitheca                              | Animal    | Hyolitha                   | -530000000    | -520000000   | <>
Kuanchuanella                            | Animal    | Mollusca                   | -541000000    | -516000000   | <>
Kuanyangia                               | Animal    | Arthropoda                 | -541000000    | -513000000   | Kuanyangia
Kutorgina                                | Animal    | Brachiopoda                | -530000000    | -513000000   | Kutorgina
Kwanyinaspis                             | Animal    | Arthropoda                 | -530000000    | -520000000   | <>
Labradoria                               | Animal    | Arthropoda                 | -530000000    | -513000000   | Labradoria
Ladatheca                                | Animal    | Hyolitha                   | -530000000    | -516000000   | Ladatheca
Lantianospongia                          | Animal    | Porifera                   | -541000000    | -516000000   | <>
Lapworthella                             | Animal    | Brachiopoda                | -530000000    | -520000000   | Lapworthella
Laratheca                                | Animal    | Hyolitha                   | -530000000    | -520000000   | <>
Lathamella                               | Animal    | Brachiopoda                | -541000000    | -485400000   | <>
Laticonus                                | Animal    | Mollusca                   | -530000000    | -520000000   | <>
Latouchella                              | Animal    | Mollusca                   | -530000000    | -520000000   | Latouchella
Laudonia                                 | Animal    | Arthropoda                 | -530000000    | -516000000   | Laudonia
Lecanopleura                             | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Leiostegium                              | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Lejopyge                                 | Animal    | Arthropoda                 | -541000000    | -477700000   | Lejopyge
Lenatheca                                | Animal    | Hyolitha                   | -530000000    | -520000000   | <>
Lenocyathus                              | Animal    | Porifera                   | -530000000    | -520000000   | <>
Leptomitella                             | Animal    | Porifera                   | -541000000    | -513000000   | <>
Leptomitus                               | Animal    | Porifera                   | -530000000    | -513000000   | Leptomitus
Leptostega                               | Animal    | Mollusca                   | -530000000    | -520000000   | <>
Liangshanella                            | Animal    | Arthropoda                 | -541000000    | -516000000   | Liangshanella
Liantuoconus                             | Animal    | Mollusca                   | -530000000    | -520000000   | <>
Linevitus                                | Animal    | Hyolitha                   | -541000000    | -530000000   | <>
Lingulella                               | Animal    | Brachiopoda                | -530000000    | -501000000   | Lingulella
Lingulepis                               | Animal    | Brachiopoda                | -541000000    | -485400000   | Lingulepis
Lingulosacculus                          | Animal    | Brachiopoda                | -530000000    | -513000000   | <>
Linnarssonella                           | Animal    | Brachiopoda                | -530000000    | -501000000   | <>
Litagnostus                              | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Lochmanolenellus                         | Animal    | Arthropoda                 | -530000000    | -516000000   | Lochmanolenellus
Loculitheca                              | Animal    | Hyolitha                   | -530000000    | -520000000   | <>
Lomasulcachites                          | Animal    | Mollusca                   | -530000000    | -520000000   | Lomasulcachites
Lonchocephalus                           | Animal    | Arthropoda                 | -541000000    | -485400000   | Lonchocephalus
Lophotheca                               | Animal    | Hyolitha                   | -530000000    | -520000000   | <>
Lopochites                               | Animal    | Mollusca                   | -530000000    | -520000000   | <>
Lotagnostus                              | Animal    | Arthropoda                 | -541000000    | -485400000   | Lotagnostus
Mackinnonia                              | Animal    | Mollusca                   | -530000000    | -516000000   | Mackinnonia
Macronoda                                | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Majatheca                                | Animal    | Hyolitha                   | -530000000    | -520000000   | <>
Maldeotaina                              | Animal    | Porifera                   | -541000000    | -530000000   | <>
Malongocephalus                          | Animal    | Arthropoda                 | -541000000    | -513000000   | Malongocephalus
Marjumia                                 | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Marocella                                | Animal    | Mollusca                   | -541000000    | -513000000   | Marocella
Maryvillia                               | Animal    | Arthropoda                 | -541000000    | -485400000   | Maryvillia
Masculuconus                             | Animal    | Mollusca                   | -541000000    | -530000000   | <>
Matherella                               | Animal    | Mollusca                   | -541000000    | -485400000   | <>
Matthevia                                | Animal    | Mollusca                   | -541000000    | -485400000   | Matthevia
Mawsonicoscinus                          | Animal    | Porifera                   | -541000000    | -513000000   | <>
Mellopegma                               | Animal    | Mollusca                   | -530000000    | -520000000   | <>
Menomonia                                | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Merismoconcha                            | Animal    | Mollusca                   | -541000000    | -516000000   | <>
Mesolenellus                             | Animal    | Arthropoda                 | -541000000    | -513000000   | Mesolenellus
Mesonacis                                | Animal    | Arthropoda                 | -530000000    | -501000000   | Mesonacis
Meteoraspis                              | Animal    | Arthropoda                 | -541000000    | -485400000   | Meteoraspis
Mexicella                                | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Mickwitzia                               | Animal    | Brachiopoda                | -530000000    | -513000000   | Mickwitzia
