Agraylea                                 | Animal    | Arthropoda                 | -38000000     | -33900000    | Agraylea
Agrilus                                  | Animal    | Arthropoda                 | -37200000     | -33900000    | Agrilus
Agriochoerus                             | Animal    | Chordata                   | -37200000     | -33900000    | Agriochoerus
Agrion                                   | Animal    | Arthropoda                 | -37200000     | -33900000    | Agrion
Agriopoma                                | Animal    | Mollusca                   | -37200000     | -33900000    | Agriopoma
Agriotes                                 | Animal    | Arthropoda                 | -37200000     | -33900000    | Agriotes
Agroecomyrmex                            | Animal    | Arthropoda                 | -38000000     | -33900000    | Agroecomyrmex
Agromyza                                 | Animal    | Arthropoda                 | -37200000     | -33900000    | Agromyza
Agrypnus                                 | Animal    | Arthropoda                 | -37200000     | -33900000    | Agrypnus
Aguafriamys                              | Animal    | Chordata                   | -40400000     | -37200000    | <>
Aguayoaster                              | Animal    | Echinodermata              | -41300000     | -33900000    | <>
Agynetiphantes                           | Animal    | Arthropoda                 | -38000000     | -33900000    | <>
Ailanthipites                            | Plant     | Spermatophyta              | -100500000    | -23030000    | <>
Ailanthus                                | Plant     | Spermatophyta              | -37200000     | -33900000    | Ailanthus
Airaphilus                               | Animal    | Arthropoda                 | -38000000     | -33900000    | Airaphilus
Airapus                                  | Animal    | Arthropoda                 | -38000000     | -33900000    | <>
Akania                                   | Plant     | Spermatophyta              | -58700000     | -37200000    | Akania
Akera                                    | Animal    | Mollusca                   | -38000000     | -33900000    | Akera
Aksyiromys                               | Animal    | Chordata                   | -48600000     | -37200000    | <>
Aktaua                                   | Animal    | Chordata                   | -48600000     | -37200000    | Aktaua
Aktautitan                               | Animal    | Chordata                   | -48600000     | -37200000    | <>
Alabamina                                | Micro     | Foraminifera               | -48600000     | -37200000    | <>
Alagtsavbaatar                           | Animal    | Chordata                   | -37200000     | -33900000    | <>
Alangium                                 | Plant     | Spermatophyta              | -37200000     | -23030000    | Alangium
Alaripeda                                | Animal    | Chordata                   | -37200000     | -33900000    | <>
Albertipollenites                        | Plant     | Spermatophyta              | -100500000    | -23030000    | <>
Albertogaudrya                           | Animal    | Chordata                   | -48600000     | -37200000    | Albertogaudrya
Albionbatrachus                          | Animal    | Chordata                   | -37200000     | -33900000    | Albionbatrachus
Albula                                   | Animal    | Chordata                   | -38000000     | -33900000    | Albula_(fish)
Alcespina                                | Animal    | Arthropoda                 | -48600000     | -37200000    | <>
Alderina                                 | Animal    | Bryozoa                    | -38000000     | -33900000    | <>
Aldingia                                 | Animal    | Brachiopoda                | -37200000     | -33900000    | <>
Aldrovanda                               | Plant     | Spermatophyta              | -38000000     | -33900000    | Aldrovanda
Aleocharopsis                            | Animal    | Arthropoda                 | -37200000     | -33900000    | <>
Alepidophora                             | Animal    | Arthropoda                 | -37200000     | -33900000    | <>
Aletornis                                | Animal    | Chordata                   | -48600000     | -37200000    | <>
Aleurites                                | Plant     | Spermatophyta              | -56000000     | -33900000    | Aleurites
Aliattalus                               | Animal    | Arthropoda                 | -38000000     | -33900000    | <>
Alicodoxa                                | Animal    | Arthropoda                 | -38000000     | -33900000    | Alicodoxa
Aliquantula                              | Animal    | Brachiopoda                | -38000000     | -33900000    | <>
Alisma                                   | Plant     | Angiospermae               | -66000000     | -5333000     | Alisma
Allacerops                               | Animal    | Chordata                   | -37200000     | -33900000    | Allacerops
Allacma                                  | Animal    | Arthropoda                 | -38000000     | -33900000    | Allacma
Allacrotelsa                             | Animal    | Arthropoda                 | -38000000     | -33900000    | Allacrotelsa
Allaeochelys                             | Animal    | Chordata                   | -38000000     | -33900000    | Allaeochelys
Allalmeia                                | Animal    | Chordata                   | -42000000     | -36000000    | Allalmeia
Allandroides                             | Animal    | Arthropoda                 | -38000000     | -33900000    | <>
Allarithmia                              | Animal    | Arthropoda                 | -38000000     | -33900000    | <>
Alligator                                | Animal    | Chordata                   | -37200000     | -33900000    | Alligator
Allobethylus                             | Animal    | Arthropoda                 | -38000000     | -33900000    | <>
Allocalisius                             | Animal    | Arthropoda                 | -38000000     | -33900000    | <>
Allodia                                  | Animal    | Arthropoda                 | -38000000     | -33900000    | Allodia
Allognathosuchus                         | Animal    | Chordata                   | -37200000     | -33900000    | Allognathosuchus
Allomorone                               | Animal    | Chordata                   | -38000000     | -33900000    | Allomorone
Allosminthus                             | Animal    | Chordata                   | -37200000     | -33900000    | <>
Allothrombium                            | Animal    | Arthropoda                 | -38000000     | -33900000    | Allothrombium
Allotrichia                              | Animal    | Arthropoda                 | -38000000     | -33900000    | Allotrichia
Alluaudomyia                             | Animal    | Arthropoda                 | -38000000     | -33900000    | Alluaudomyia
Almolinus                                | Animal    | Arthropoda                 | -38000000     | -33900000    | <>
Alnus                                    | Plant     | Spermatophyta              | -37200000     | -23030000    | Alnus
Alomatia                                 | Animal    | Arthropoda                 | -37200000     | -33900000    | <>
Alopecias                                | Animal    | Chordata                   | -38000000     | -33900000    | <>
Alopias                                  | Animal    | Chordata                   | -37200000     | -33900000    | Alopias
Alosa                                    | Animal    | Chordata                   | -48600000     | -33900000    | Alosa
Alpheus                                  | Animal    | Arthropoda                 | -66000000     | -23030000    | Alpheus_(shrimp)
Altasciurus                              | Animal    | Chordata                   | -37200000     | -33900000    | <>
Alterphrurolithus                        | Animal    | Arthropoda                 | -38000000     | -33900000    | <>
Altica                                   | Animal    | Arthropoda                 | -37200000     | -33900000    | Altica
Alvania                                  | Animal    | Mollusca                   | -37200000     | -33900000    | Alvania
Alveinus                                 | Animal    | Mollusca                   | -38000000     | -33900000    | <>
Alveolina                                | Micro     | Foraminifera               | -48600000     | -37200000    | Alveolina
Alveopora                                | Animal    | Cnidaria                   | -38000000     | -28100000    | Alveopora
Alysia                                   | Animal    | Arthropoda                 | -37200000     | -33900000    | Alysia
Amalda                                   | Animal    | Mollusca                   | -38000000     | -33900000    | Amalda
Amara                                    | Animal    | Arthropoda                 | -37200000     | -33900000    | Amara
Amartus                                  | Animal    | Arthropoda                 | -37200000     | -33900000    | Amartus
Amastigia                                | Animal    | Bryozoa                    | -38000000     | -33900000    | <>
Amaurellina                              | Animal    | Mollusca                   | -37200000     | -33900000    | <>
Amauropilio                              | Animal    | Arthropoda                 | -37200000     | -33900000    | Amauropilio
Amauropsina                              | Animal    | Mollusca                   | -48600000     | -37200000    | <>
Amauropsis                               | Animal    | Mollusca                   | -38000000     | -33900000    | Amauropsis
Ambassis                                 | Animal    | Chordata                   | -43000000     | -37200000    | Ambassis
Ambercylapus                             | Animal    | Arthropoda                 | -38000000     | -33900000    | <>
Ambericarda                              | Animal    | Arthropoda                 | -38000000     | -33900000    | <>
Amberofulvius                            | Animal    | Arthropoda                 | -38000000     | -33900000    | <>
Amberophlus                              | Animal    | Arthropoda                 | -38000000     | -33900000    | <>
Ambitaktoa                               | Animal    | Arthropoda                 | -38000000     | -33900000    | <>
Amblygoniolepidus                        | Animal    | Chordata                   | -48600000     | -33900000    | <>
Amblypygus                               | Animal    | Echinodermata              | -37200000     | -33900000    | <>
Amblystoma                               | Animal    | Chordata                   | -37200000     | -33900000    | Amblystoma
Amblyteles                               | Animal    | Arthropoda                 | -37200000     | -33900000    | Amblyteles
Ambocylapus                              | Animal    | Arthropoda                 | -38000000     | -33900000    | <>
Ambopemphigus                            | Animal    | Arthropoda                 | -38000000     | -33900000    | <>
Ambraaltica                              | Animal    | Arthropoda                 | -38000000     | -33900000    | <>
Ameghinomya                              | Animal    | Mollusca                   | -56000000     | -5333000     | <>
Ameghinornis                             | Animal    | Chordata                   | -56000000     | -15970000    | Ameghinornis
Amekicythara                             | Animal    | Mollusca                   | -56000000     | -33900000    | <>
Amelanchier                              | Plant     | Spermatophyta              | -37200000     | -28400000    | Amelanchier
Ameletus                                 | Animal    | Arthropoda                 | -38000000     | -33900000    | Ameletus
Ameranella                               | Animal    | Mollusca                   | -38000000     | -33900000    | <>
Americardia                              | Animal    | Mollusca                   | -38000000     | -33900000    | Americardia
Amia                                     | Animal    | Chordata                   | -37200000     | -33900000    | Amia
Amiantis                                 | Animal    | Mollusca                   | -37200000     | -33900000    | <>
Amictites                                | Animal    | Arthropoda                 | -38000000     | -33900000    | <>
Amilenus                                 | Animal    | Arthropoda                 | -38000000     | -33900000    | Amilenus
Amiurus                                  | Animal    | Chordata                   | -37200000     | -33900000    | Amiurus
Ammobaculites                            | Micro     | Foraminifera               | -37200000     | -33900000    | <>
Ammodiscus                               | Micro     | Foraminifera               | -55800000     | -37200000    | Ammodiscus
Ammolagena                               | Micro     | Foraminifera               | -38000000     | -33900000    | <>
Ammomarginulina                          | Micro     | Foraminifera               | -37200000     | -33900000    | <>
Ammonia                                  | Micro     | Foraminifera               | -38000000     | -33900000    | Ammonia
Ammophila                                | Animal    | Arthropoda                 | -37200000     | -33900000    | Ammophila
Amorphothrips                            | Animal    | Arthropoda                 | -38000000     | -33900000    | <>
Amotapus                                 | Animal    | Mollusca                   | -37200000     | -33900000    | <>
Ampelopsis                               | Plant     | Spermatophyta              | -38000000     | -33900000    | Ampelopsis
Ampharthropelma                          | Animal    | Arthropoda                 | -38000000     | -33900000    | <>
Amphechinus                              | Animal    | Chordata                   | -37200000     | -33900000    | Amphechinus
Ampheristus                              | Animal    | Chordata                   | -43000000     | -37200000    | Ampheristus
Amphicerus                               | Animal    | Arthropoda                 | -37200000     | -33900000    | Amphicerus
Amphicyrta                               | Animal    | Arthropoda                 | -37200000     | -33900000    | <>
Amphidozotherium                         | Animal    | Chordata                   | -37200000     | -28400000    | <>
Amphientomum                             | Animal    | Arthropoda                 | -38000000     | -33900000    | <>
Amphilemur                               | Animal    | Chordata                   | -38000000     | -33900000    | <>
Amphimeryx                               | Animal    | Chordata                   | -37200000     | -28400000    | <>
Amphiperatherium                         | Animal    | Chordata                   | -37200000     | -28400000    | <>
Amphirhagatherium                        | Animal    | Chordata                   | -37200000     | -33900000    | Amphirhagatherium
Amphiroa                                 | Plant     | Rhodophyta                 | -48600000     | -33900000    | Amphiroa
Amphistegina                             | Micro     | Foraminifera               | -38000000     | -33900000    | Amphistegina
Amphitragulus                            | Animal    | Chordata                   | -56000000     | -33900000    | Amphitragulus
Ampulicomorpha                           | Animal    | Arthropoda                 | -38000000     | -33900000    | Ampulicomorpha
Ampullina                                | Animal    | Mollusca                   | -37200000     | -33900000    | Ampullina
Ampullinopsis                            | Animal    | Mollusca                   | -38000000     | -33900000    | Ampullinopsis
Amuletum                                 | Animal    | Mollusca                   | -48600000     | -37200000    | <>
Amusium                                  | Animal    | Mollusca                   | -37200000     | -33900000    | Amusium
Amyda                                    | Animal    | Chordata                   | -40400000     | -37200000    | Amyda
Amydrocarcinus                           | Animal    | Arthropoda                 | -55800000     | -37200000    | <>
Amynodon                                 | Animal    | Chordata                   | -37200000     | -28400000    | <>
Amynodontopsis                           | Animal    | Chordata                   | -38000000     | -33900000    | <>
Anabrus                                  | Animal    | Arthropoda                 | -37200000     | -33900000    | Anabrus
Anacanthobracon                          | Animal    | Arthropoda                 | -38000000     | -33900000    | <>
Anacardites                              | Plant     | Spermatophyta              | -38000000     | -33900000    | <>
Anacardium                               | Plant     | Spermatophyta              | -55800000     | -23030000    | Anacardium
Anaclileia                               | Animal    | Arthropoda                 | -38000000     | -33900000    | Anaclileia
Anacolosidites                           | Plant     | Spermatophyta              | -48600000     | -37200000    | <>
Anadara                                  | Animal    | Mollusca                   | -37200000     | -33900000    | Anadara
Anadianomys                              | Animal    | Chordata                   | -37200000     | -33900000    | <>
Anagroidea                               | Animal    | Arthropoda                 | -38000000     | -33900000    | <>
Analetris                                | Animal    | Arthropoda                 | -38000000     | -33900000    | Analetris
Anandrus                                 | Animal    | Arthropoda                 | -38000000     | -33900000    | <>
Anapagurus                               | Animal    | Arthropoda                 | -38000000     | -33900000    | <>
Anaphes                                  | Animal    | Arthropoda                 | -38000000     | -33900000    | Anaphes
Anaphothrips                             | Animal    | Arthropoda                 | -38000000     | -33900000    | Anaphothrips
Anasa                                    | Animal    | Arthropoda                 | -37200000     | -33900000    | Anasa
Anaspis                                  | Animal    | Arthropoda                 | -38000000     | -33900000    | Anaspis
Anatis                                   | Animal    | Arthropoda                 | -37200000     | -33900000    | Anatis
Anatolechinos                            | Animal    | Chordata                   | -37200000     | -33900000    | <>
Anatolikos                               | Animal    | Arthropoda                 | -48600000     | -37200000    | Anatolikos
Anatoma                                  | Animal    | Mollusca                   | -37200000     | -33900000    | Anatoma
Anazola                                  | Animal    | Mollusca                   | -48600000     | -37200000    | <>
Ancalecetus                              | Animal    | Chordata                   | -38000000     | -33900000    | Ancalecetus
Anchastus                                | Animal    | Arthropoda                 | -37200000     | -33900000    | Anchastus
Anchilophus                              | Animal    | Chordata                   | -37200000     | -33900000    | <>
Anchinvolvulus                           | Animal    | Arthropoda                 | -38000000     | -33900000    | <>
Anchitherium                             | Animal    | Chordata                   | -37200000     | -33900000    | Anchitherium
Anchomomys                               | Animal    | Chordata                   | -48600000     | -37200000    | Anchomomys
Ancilla                                  | Animal    | Mollusca                   | -37200000     | -33900000    | Ancilla_(gastropod)
Ancillina                                | Animal    | Mollusca                   | -43000000     | -37200000    | Ancillina
Ancistrobasis                            | Animal    | Mollusca                   | -38000000     | -33900000    | Ancistrobasis
Ancistrolepis                            | Animal    | Mollusca                   | -41300000     | -33900000    | Ancistrolepis
Anconatus                                | Animal    | Arthropoda                 | -37200000     | -33900000    | <>
Anconia                                  | Animal    | Mollusca                   | -48600000     | -37200000    | Anconia
Ancylus                                  | Animal    | Mollusca                   | -38000000     | -33900000    | Ancylus
Andersomys                               | Animal    | Chordata                   | -48600000     | -37200000    | <>
Andicula                                 | Animal    | Mollusca                   | -48600000     | -37200000    | <>
Andrena                                  | Animal    | Arthropoda                 | -37200000     | -33900000    | Andrena
Andrenopteryx                            | Animal    | Arthropoda                 | -37200000     | -33900000    | <>
Andrewsarchus                            | Animal    | Chordata                   | -48600000     | -37200000    | Andrewsarchus
Andrewsemys                              | Animal    | Chordata                   | -38000000     | -33900000    | <>
Anebocythereis                           | Animal    | Arthropoda                 | -37200000     | -33900000    | <>
Anechinocardium                          | Animal    | Mollusca                   | -38000000     | -28100000    | <>
Anelaphus                                | Animal    | Arthropoda                 | -37200000     | -33900000    | Anelaphus
Anemorhysis                              | Animal    | Chordata                   | -56000000     | -33900000    | <>
Anepeira                                 | Animal    | Arthropoda                 | -38000000     | -33900000    | <>
Anepsiomyia                              | Animal    | Arthropoda                 | -38000000     | -33900000    | Anepsiomyia
Aneurhynchus                             | Animal    | Arthropoda                 | -38000000     | -33900000    | <>
Aneurobaeus                              | Animal    | Arthropoda                 | -38000000     | -33900000    | <>
Aneurops                                 | Animal    | Arthropoda                 | -38000000     | -33900000    | Aneurops
Anevrina                                 | Animal    | Arthropoda                 | -38000000     | -33900000    | Anevrina
Angaria                                  | Animal    | Mollusca                   | -38000000     | -33900000    | Angaria_(gastropod)
Angelarctocyon                           | Animal    | Chordata                   | -40400000     | -37200000    | Angelarctocyon
Anglogomphaeschna                        | Animal    | Arthropoda                 | -38000000     | -33900000    | <>
Anglohypolestes                          | Animal    | Arthropoda                 | -38000000     | -33900000    | <>
Angloprotoneura                          | Animal    | Arthropoda                 | -38000000     | -33900000    | <>
Anguis                                   | Animal    | Chordata                   | -37200000     | -33900000    | Anguis
Angulogerina                             | Micro     | Foraminifera               | -38000000     | -33900000    | <>
Angulus                                  | Animal    | Mollusca                   | -37200000     | -33900000    | <>
Angusdarion                              | Animal    | Arthropoda                 | -38000000     | -33900000    | <>
Angustachilus                            | Animal    | Arthropoda                 | -38000000     | -33900000    | <>
Anisocardia                              | Animal    | Mollusca                   | -37200000     | -33900000    | <>
Anisodonta                               | Animal    | Mollusca                   | -38000000     | -33900000    | <>
Anisops                                  | Animal    | Arthropoda                 | -37200000     | -33900000    | <>
Anisorhynchus                            | Animal    | Arthropoda                 | -37200000     | -33900000    | <>
Anisospinos                              | Animal    | Arthropoda                 | -38000000     | -33900000    | <>
Anisotemnus                              | Animal    | Chordata                   | -36000000     | -29000000    | <>
Anisotoma                                | Animal    | Arthropoda                 | -37200000     | -33900000    | Anisotoma
Anisus                                   | Animal    | Mollusca                   | -56000000     | -33900000    | Anisus
Ankomwarius                              | Animal    | Arthropoda                 | -38000000     | -33900000    | <>
Ankwlanno                                | Animal    | Arthropoda                 | -38000000     | -33900000    | <>
Ankylodon                                | Animal    | Chordata                   | -37200000     | -33900000    | <>
Annectina                                | Micro     | Foraminifera               | -38000000     | -33900000    | <>
