Bakevellia                               | Animal    | Mollusca                   | -265100000    | -259900000   | <>
Bamberina                                | Animal    | Brachiopoda                | -265100000    | -259900000   | <>
Barbclabornia                            | Animal    | Chordata                   | -298900000    | -252170000   | Barbclabornia
Barbosaia                                | Animal    | Mollusca                   | -265100000    | -254170000   | <>
Bardella                                 | Plant     | Coniferophyta              | -298900000    | -252170000   | <>
Bardocarpus                              | Plant     | Peltaspermophyta           | -265100000    | -254170000   | <>
Baschkirina                              | Animal    | Arthropoda                 | -265100000    | -259900000   | <>
Bashkirosaurus                           | Animal    | Chordata                   | -268000000    | -265000000   | Bashkirosaurus
Bashkyroleter                            | Animal    | Chordata                   | -268000000    | -265000000   | Bashkyroleter
Basslerella                              | Animal    | Arthropoda                 | -265100000    | -259900000   | <>
Bathymyonia                              | Animal    | Brachiopoda                | -265100000    | -259900000   | <>
Batostomella                             | Animal    | Bryozoa                    | -265100000    | -259900000   | <>
Batrachichnus                            | Animal    | Chordata                   | -290100000    | -259900000   | <>
Baylea                                   | Animal    | Mollusca                   | -265100000    | -259900000   | <>
Belebey                                  | Animal    | Chordata                   | -268000000    | -265000000   | Belebey
Belemnites                               | Animal    | Mollusca                   | -541000000    | -252170000   | Belemnites_(genus)
Belemnopteris                            | Plant     | Pteridophyta               | -268800000    | -252170000   | <>
Bellerophon                              | Animal    | Mollusca                   | -265100000    | -259900000   | Bellerophon
Betaneospirifer                          | Animal    | Brachiopoda                | -265100000    | -259900000   | <>
Beurlenella                              | Animal    | Mollusca                   | -265100000    | -254170000   | <>
Biarmeaspira                             | Animal    | Mollusca                   | -265100000    | -259900000   | <>
Biarmosuchoides                          | Animal    | Chordata                   | -268000000    | -265000000   | Biarmosuchoides
Biarmosuchus                             | Animal    | Chordata                   | -268000000    | -265000000   | Biarmosuchus
Bicamella                                | Animal    | Brachiopoda                | -265100000    | -259900000   | <>
Bicoelia                                 | Animal    | Porifera                   | -265100000    | -259900000   | <>
Bicoleus                                 | Animal    | Arthropoda                 | -265100000    | -259900000   | <>
Bilotina                                 | Animal    | Brachiopoda                | -265100000    | -259900000   | <>
Biplatyconcha                            | Animal    | Brachiopoda                | -265100000    | -259900000   | <>
Bisolcatelasma                           | Animal    | Brachiopoda                | -265100000    | -259900000   | <>
Bitaunioceras                            | Animal    | Mollusca                   | -265100000    | -259900000   | Bitaunioceras
Biwaella                                 | Micro     | Foraminifera               | -298900000    | -259900000   | <>
Blasispirifer                            | Animal    | Brachiopoda                | -265100000    | -259900000   | <>
Blattoidealestes                         | Animal    | Chordata                   | -265100000    | -254170000   | Blattoidealestes
Boreokirkbya                             | Animal    | Arthropoda                 | -265100000    | -259900000   | <>
Boreolepis                               | Animal    | Chordata                   | -265000000    | -252300000   | Boreolepis
Boreoperlidium                           | Animal    | Arthropoda                 | -268000000    | -265000000   | <>
Bothrophyllum                            | Animal    | Cnidaria                   | -298900000    | -252170000   | <>
Botryococcus                             | Plant     | Chlorophyta                | -265000000    | -252300000   | Botryococcus
Boultonia                                | Micro     | Foraminifera               | -265100000    | -259900000   | <>
Brachyphyllum                            | Plant     | Pinopsida                  | -265100000    | -254170000   | Brachyphyllum
Brachyprosopus                           | Animal    | Chordata                   | -265100000    | -259900000   | Brachyprosopus
Brachythyrina                            | Animal    | Brachiopoda                | -265100000    | -259900000   | <>
Brachythyris                             | Animal    | Brachiopoda                | -298900000    | -252170000   | <>
Bradyina                                 | Micro     | Foraminifera               | -268000000    | -265000000   | <>
Bradyphyllum                             | Animal    | Cnidaria                   | -268800000    | -259900000   | <>
Bradysaurus                              | Animal    | Chordata                   | -265100000    | -254170000   | Bradysaurus
Bransonia                                | Animal    | Mollusca                   | -265100000    | -259900000   | <>
Brongniartites                           | Plant     | Pteridospermophyta         | -358900000    | -252170000   | <>
Broomia                                  | Animal    | Chordata                   | -265100000    | -259900000   | Broomia
Brunsiella                               | Micro     | Foraminifera               | -265100000    | -259900000   | <>
Bruntonia                                | Animal    | Brachiopoda                | -265100000    | -259900000   | <>
Bryorhynchus                             | Animal    | Brachiopoda                | -265100000    | -259900000   | <>
Bulimorpha                               | Animal    | Mollusca                   | -265100000    | -259900000   | <>
Bullacephalus                            | Animal    | Chordata                   | -268800000    | -259900000   | Bullacephalus
Bullarina                                | Animal    | Brachiopoda                | -265100000    | -259900000   | <>
Buxtonia                                 | Animal    | Brachiopoda                | -268800000    | -259900000   | <>
Calamites                                | Plant     | Sphenophyta                | -265100000    | -254170000   | Calamites
Calamospora                              | Plant     | Sphenophyta                | -265000000    | -251300000   | <>
Calamostachys                            | Plant     | Sphenophyta                | -315200000    | -254000000   | <>
Calathium                                | Plant     | Chlorophyta                | -268800000    | -259900000   | <>
Calceolispongia                          | Animal    | Echinodermata              | -298900000    | -252170000   | Calceolispongia
Calcitornella                            | Micro     | Foraminifera               | -265100000    | -259900000   | <>
Calcivertella                            | Micro     | Foraminifera               | -265100000    | -252170000   | <>
Calclamnella                             | Animal    | Echinodermata              | -265100000    | -259900000   | <>
Calclyra                                 | Animal    | Echinodermata              | -265100000    | -259900000   | <>
Callaiapsida                             | Animal    | Brachiopoda                | -298900000    | -252170000   | <>
Callicythere                             | Animal    | Arthropoda                 | -265100000    | -259900000   | <>
Calliprotonia                            | Animal    | Brachiopoda                | -268800000    | -259900000   | <>
Callipteris                              | Plant     | Peltaspermophyta           | -265100000    | -254170000   | Callipteris
Callispira                               | Animal    | Mollusca                   | -265100000    | -259900000   | <>
Callispirina                             | Animal    | Brachiopoda                | -265100000    | -259900000   | <>
Calophyllum Polycoeliidae                 | Animal    | Cnidaria                   | -265100000    | -259900000   | <>
Calvezina                                | Micro     | Foraminifera               | -265100000    | -259900000   | <>
Camarophorina                            | Animal    | Brachiopoda                | -272300000    | -254170000   | <>
Cambodgia                                | Animal    | Mollusca                   | -265100000    | -259900000   | <>
Campophyllum                             | Animal    | Cnidaria                   | -265100000    | -259900000   | <>
Camptonectes                             | Animal    | Mollusca                   | -265100000    | -259900000   | <>
Canalisella                              | Animal    | Brachiopoda                | -265100000    | -259900000   | <>
Cancellina                               | Micro     | Foraminifera               | -290100000    | -259900000   | <>
Cancrinella                              | Animal    | Brachiopoda                | -265100000    | -259900000   | <>
Cancrinelloides                          | Animal    | Brachiopoda                | -265100000    | -259900000   | <>
Caninia                                  | Animal    | Cnidaria                   | -298900000    | -252170000   | Caninia_(coral)
Canoptum                                 | Micro     | Radiolaria                 | -295500000    | -174100000   | <>
Capillomesolobus                         | Animal    | Brachiopoda                | -265100000    | -259900000   | <>
Capnodoce                                | Micro     | Radiolaria                 | -295500000    | -174100000   | <>
Capulus                                  | Animal    | Mollusca                   | -272300000    | -254170000   | Capulus
Carbonarca                               | Animal    | Mollusca                   | -272300000    | -254170000   | <>
Carbonicola                              | Animal    | Mollusca                   | -298900000    | -252170000   | Carbonicola
Carcinophyllum                           | Animal    | Cnidaria                   | -298900000    | -252170000   | <>
Cardinioides                             | Animal    | Mollusca                   | -265100000    | -259900000   | <>
Cardiomorpha                             | Animal    | Mollusca                   | -265100000    | -259900000   | <>
Cardioneura                              | Plant     | Tracheophyta               | -272300000    | -259900000   | <>
Carinotachylasma                         | Animal    | Cnidaria                   | -272300000    | -259900000   | <>
Carinthiaphyllum                         | Animal    | Cnidaria                   | -298900000    | -252170000   | Carinthiaphyllum
Cartorhium                               | Animal    | Brachiopoda                | -265100000    | -259900000   | <>
Casterella                               | Animal    | Mollusca                   | -265100000    | -254170000   | <>
Cathaysia                                | Animal    | Brachiopoda                | -265100000    | -259900000   | Cathaysia
Cathayspirina                            | Animal    | Brachiopoda                | -265100000    | -259900000   | <>
Cauletella                               | Micro     | Radiolaria                 | -265100000    | -259900000   | <>
Caulopteris                              | Plant     | Pteridophyta               | -265100000    | -252170000   | <>
Cavellina                                | Animal    | Arthropoda                 | -265100000    | -259900000   | <>
Cavernella                               | Animal    | Bryozoa                    | -265100000    | -259900000   | <>
Cavusonella                              | Animal    | Porifera                   | -265100000    | -259900000   | <>
Cedripites                               | Plant     | Gymnospermophyta           | -298900000    | -252170000   | <>
Celebetes                                | Animal    | Brachiopoda                | -265100000    | -259900000   | <>
Celyphia                                 | Animal    | Porifera                   | -265100000    | -259900000   | <>
Ceratobairdia                            | Animal    | Arthropoda                 | -265100000    | -259900000   | <>
Ceratoporella                            | Animal    | Porifera                   | -268800000    | -259900000   | <>
Ceraunocochlis                           | Animal    | Mollusca                   | -265100000    | -259900000   | <>
Cerdodon                                 | Animal    | Chordata                   | -272300000    | -259900000   | Cerdodon
Cerithioides                             | Animal    | Mollusca                   | -265100000    | -259900000   | <>
Cerithiozone                             | Animal    | Mollusca                   | -265100000    | -259900000   | <>
Chaetetes                                | Animal    | Porifera                   | -265100000    | -259900000   | Chaetetes
Chalaroschwagerina                       | Micro     | Foraminifera               | -290100000    | -259900000   | <>
Chalcorychus                             | Animal    | Arthropoda                 | -265100000    | -259900000   | <>
Chalcosaurus                             | Animal    | Chordata                   | -268000000    | -252300000   | <>
Chamishaella                             | Animal    | Arthropoda                 | -265100000    | -259900000   | <>
Chaocoleus                               | Animal    | Arthropoda                 | -265100000    | -259900000   | <>
Chaoiella                                | Animal    | Brachiopoda                | -298900000    | -252170000   | <>
Chaoina                                  | Animal    | Brachiopoda                | -265100000    | -259900000   | <>
Chauliodites                             | Animal    | Arthropoda                 | -265100000    | -259900000   | <>
Chaunactis                               | Animal    | Porifera                   | -265100000    | -259900000   | <>
Cheiropyge                               | Animal    | Arthropoda                 | -265100000    | -259900000   | <>
Chelichnus                               | Animal    | Chordata                   | -265100000    | -254170000   | Chelichnus
Cheliderpeton                            | Animal    | Chordata                   | -298900000    | -254000000   | Cheliderpeton
Chelydosaurus                            | Animal    | Chordata                   | -298900000    | -254000000   | <>
Chenella                                 | Micro     | Foraminifera               | -272300000    | -259900000   | <>
Chenxianoproductus                       | Animal    | Brachiopoda                | -265100000    | -259900000   | <>
Chiastocolumnia                          | Animal    | Porifera                   | -265100000    | -259900000   | <>
Chinaspongia                             | Animal    | Porifera                   | -265100000    | -259900000   | <>
Chiropteris                              | Plant     | Cycadophyta                | -265100000    | -254170000   | Chiropteris
Chirotherium                             | Animal    | Chordata                   | -265000000    | -252300000   | Chirotherium
Chlamys                                  | Animal    | Mollusca                   | -265100000    | -259900000   | Chlamys
Choanoproductus                          | Animal    | Brachiopoda                | -265100000    | -259900000   | <>
Choerosaurus                             | Animal    | Chordata                   | -272300000    | -259900000   | Choerosaurus
Chonetella                               | Animal    | Brachiopoda                | -265100000    | -259900000   | <>
Chonetes                                 | Animal    | Brachiopoda                | -265100000    | -259900000   | Chonetes
Chonetinella                             | Animal    | Brachiopoda                | -265100000    | -259900000   | <>
Chonetinetes                             | Animal    | Brachiopoda                | -265100000    | -259900000   | <>
Chonosteges                              | Animal    | Brachiopoda                | -265100000    | -259900000   | <>
Chonostegoides                           | Animal    | Brachiopoda                | -265100000    | -259900000   | <>
Choristitella                            | Animal    | Brachiopoda                | -265100000    | -259900000   | <>
Choristites                              | Animal    | Brachiopoda                | -323200000    | -252170000   | <>
Chroniosaurus                            | Animal    | Chordata                   | -265100000    | -259900000   | Chroniosaurus
Chroniosuchus                            | Animal    | Chordata                   | -265000000    | -252300000   | Chroniosuchus
Chthomaloporus                           | Animal    | Chordata                   | -268000000    | -265000000   | Chthomaloporus
Chthonosaurus                            | Animal    | Chordata                   | -265000000    | -252300000   | Chthonosaurus
Chusenella                               | Micro     | Foraminifera               | -265100000    | -252170000   | <>
Cibecuia                                 | Animal    | Mollusca                   | -265100000    | -259900000   | <>
Cibolites                                | Animal    | Mollusca                   | -265100000    | -259900000   | Cibolites
Cigarella                                | Animal    | Mollusca                   | -265100000    | -259900000   | <>
Cistecephalus                            | Animal    | Chordata                   | -298900000    | -252170000   | Cistecephalus
Cladochonus                              | Animal    | Cnidaria                   | -268800000    | -259900000   | Cladochonus
Cladophlebis                             | Plant     | Pteridophyta               | -265100000    | -252170000   | Cladophlebis
Cladopora                                | Animal    | Cnidaria                   | -265100000    | -259900000   | <>
Claraia                                  | Animal    | Mollusca                   | -265100000    | -259900000   | Claraia
Clarkina                                 | Animal    | Chordata                   | -265100000    | -259900000   | Clarkina
Clausotrypa                              | Animal    | Bryozoa                    | -265100000    | -259900000   | Clausotrypa
Clavallus                                | Animal    | Echinodermata              | -265100000    | -259900000   | <>
Clavatasporites                          | Plant     | Pteridophyta               | -298900000    | -252170000   | <>
Clavicosta                               | Animal    | Mollusca                   | -268800000    | -259900000   | <>
Cleiothyridina                           | Animal    | Brachiopoda                | -265100000    | -259900000   | Cleiothyridina
Climacammina                             | Micro     | Foraminifera               | -265100000    | -252170000   | <>
Clisiophyllum                            | Animal    | Cnidaria                   | -298900000    | -252170000   | <>
Codonofusiella                           | Micro     | Foraminifera               | -265100000    | -254170000   | <>
Coelocladia                              | Animal    | Porifera                   | -272300000    | -259900000   | <>
Coeloconulus                             | Animal    | Mollusca                   | -265100000    | -259900000   | <>
Coenocystis                              | Animal    | Echinodermata              | -272300000    | -259900000   | Coenocystis
Colania                                  | Micro     | Foraminifera               | -265100000    | -259900000   | Colania
Colaniella                               | Micro     | Foraminifera               | -265100000    | -252170000   | <>
Coledium                                 | Animal    | Brachiopoda                | -265100000    | -259900000   | <>
Collatipora                              | Animal    | Porifera                   | -265100000    | -259900000   | <>
Collemataria                             | Animal    | Brachiopoda                | -265100000    | -259900000   | Collemataria
Collidosuchus                            | Animal    | Chordata                   | -268000000    | -265000000   | Collidosuchus
Colospongia                              | Animal    | Porifera                   | -265100000    | -259900000   | <>
Colospongiella                           | Animal    | Porifera                   | -265100000    | -259900000   | <>
Comia                                    | Plant     | Pteridophyta               | -265100000    | -254170000   | <>
Composita                                | Animal    | Brachiopoda                | -265100000    | -259900000   | Composita
Compressoproductus                       | Animal    | Brachiopoda                | -265100000    | -254170000   | <>
