Burnetiella                              | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Buttsia                                  | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Buttsina                                 | Animal    | Arthropoda                 | -501000000    | -498500000   | <>
Bynguanoia                               | Animal    | Brachiopoda                | -513000000    | -501000000   | <>
Bynumia                                  | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Bynumiella                               | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Bynumina                                 | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Caborcella                               | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Callograptus                             | Animal    | Hemichordata               | -501000000    | -485400000   | Callograptus
Calocephalites                           | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Calodiscus                               | Animal    | Arthropoda                 | -513000000    | -501000000   | Calodiscus
Calvinella                               | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Calymenidius                             | Animal    | Arthropoda                 | -501000000    | -485400000   | Calymenidius
Cambrachelous                            | Animal    | Hyolitha                   | -505000000    | -504000000   | <>
Cambraster                               | Animal    | Echinodermata              | -507000000    | -504000000   | Cambraster
Cambretina                               | Animal    | Mollusca                   | -513000000    | -501000000   | <>
Cambrioconus                             | Animal    | Mollusca                   | -501000000    | -485400000   | <>
Cambrocrinus                             | Animal    | Echinodermata              | -501000000    | -498500000   | <>
Cambromedusa                             | Animal    | Cnidaria                   | -513000000    | -501000000   | <>
Cambrooistodus                           | Animal    | Chordata                   | -501000000    | -485400000   | <>
Canadaspis                               | Animal    | Arthropoda                 | -513000000    | -498500000   | Canadaspis
Canalilatus                              | Animal    | Brachiopoda                | -501000000    | -485400000   | <>
Canopoconus                              | Animal    | Mollusca                   | -541000000    | -485400000   | <>
Canthylotreta                            | Animal    | Brachiopoda                | -505000000    | -501000000   | <>
Capitoconus                              | Animal    | Mollusca                   | -513000000    | -501000000   | <>
Carinamala                               | Animal    | Arthropoda                 | -501000000    | -485400000   | Carinamala
Carinopelta                              | Animal    | Mollusca                   | -541000000    | -485400000   | Carinopelta
Castericystis                            | Animal    | Echinodermata              | -513000000    | -498500000   | <>
Catillicephala                           | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Catuniella                               | Animal    | Arthropoda                 | -501000000    | -485400000   | Catuniella
Caulaspina                               | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Cedaria                                  | Animal    | Arthropoda                 | -501000000    | -485400000   | Cedaria
Cedarina                                 | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Centonella                               | Animal    | Arthropoda                 | -507000000    | -504000000   | <>
Centropleura                             | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Ceratocystis                             | Animal    | Echinodermata              | -513000000    | -498500000   | Ceratocystis
Ceratreta                                | Animal    | Brachiopoda                | -501000000    | -485400000   | <>
Cermataspis                              | Animal    | Arthropoda                 | -501000000    | -498500000   | <>
Cernuolimbus                             | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Chaetetes                                | Animal    | Porifera                   | -541000000    | -252170000   | Chaetetes
Chancia                                  | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Changqingia                              | Animal    | Arthropoda                 | -505000000    | -501000000   | <>
Charchaqia                               | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Chariocephalus                           | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Chatiania                                | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Chaunograptus                            | Animal    | Hemichordata               | -513000000    | -501000000   | Chaunograptus
Cheilocephalus                           | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Cheiruroides                             | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Chelidonocephalus                        | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Chelodes                                 | Animal    | Mollusca                   | -501000000    | -485400000   | Chelodes
Chippewaella                             | Animal    | Mollusca                   | -501000000    | -485400000   | Chippewaella
Choia                                    | Animal    | Porifera                   | -513000000    | -498500000   | Choia
Chondragraulos                           | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Chuangia                                 | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Chuangiella                              | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Chuiliella                               | Animal    | Mollusca                   | -501000000    | -485400000   | <>
Ciceragnostus                            | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Cigara                                   | Animal    | Echinodermata              | -513000000    | -498500000   | <>
Circotheca                               | Animal    | Hyolitha                   | -513000000    | -501000000   | <>
Clarella                                 | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Clavagnostus                             | Animal    | Arthropoda                 | -504000000    | -501000000   | <>
Clavaspidella                            | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Clavigellus                              | Animal    | Arthropoda                 | -530000000    | -501000000   | <>
Clavohamulus                             | Animal    | Chordata                   | -501000000    | -485400000   | <>
Clelandia                                | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Cliffia                                  | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Cloudia                                  | Animal    | Mollusca                   | -501000000    | -485400000   | <>
Cobboldites                              | Animal    | Arthropoda                 | -513000000    | -501000000   | Cobboldites
Coelocerodontus                          | Animal    | Chordata                   | -501000000    | -485400000   | <>
Coleicarpus                              | Animal    | Echinodermata              | -513000000    | -498500000   | <>
Comanchia                                | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Conaspis                                 | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Condylopyge                              | Animal    | Arthropoda                 | -513000000    | -501000000   | Condylopyge
Conicephalus                             | Animal    | Arthropoda                 | -505000000    | -501000000   | <>
Connagnostus                             | Animal    | Arthropoda                 | -501000000    | -485400000   | Connagnostus
Conocoryphe                              | Animal    | Arthropoda                 | -513000000    | -501000000   | Conocoryphe
