Cornuspira                               | Micro     | Foraminifera               | -251300000    | -247200000   | <>
Corosaurus                               | Animal    | Chordata                   | -251300000    | -247200000   | Corosaurus
Coscaites                                | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Cosgriffius                              | Animal    | Chordata                   | -251300000    | -247200000   | Cosgriffius
Cosmonautilus                            | Animal    | Mollusca                   | -252170000    | -201300000   | Cosmonautilus
Cossmannina                              | Animal    | Mollusca                   | -252170000    | -251300000   | <>
Costatoria                               | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Costiferina                              | Animal    | Brachiopoda                | -254170000    | -251300000   | <>
Counillonia                              | Animal    | Chordata                   | -252170000    | -247200000   | Counillonia
Courtilloticeras                         | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Covracythere                             | Animal    | Arthropoda                 | -252170000    | -251300000   | <>
Cowboyiceras                             | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Crittendenia                             | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Crurithyris                              | Animal    | Brachiopoda                | -252170000    | -247200000   | <>
Cryptostephanidium                       | Micro     | Radiolaria                 | -251300000    | -247200000   | <>
Ctenopteris                              | Plant     | Cycadophyta                | -252170000    | -247200000   | Ctenopteris
Ctenosauriscus                           | Animal    | Chordata                   | -251300000    | -247200000   | Ctenosauriscus
Cycadocarpidium                          | Plant     | Coniferophyta              | -252170000    | -242000000   | <>
Cycadopites                              | Plant     | Cycadophyta                | -252170000    | -237000000   | <>
Cyclobathmus                             | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Cyclogyra                                | Micro     | Foraminifera               | -251300000    | -247200000   | <>
Cylindrobullina                          | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Cylostrobus                              | Plant     | Lycopodophyta              | -252170000    | -251200000   | Cylostrobus
Cymbospondylus                           | Animal    | Chordata                   | -251300000    | -247200000   | Cymbospondylus
Cypellospongia                           | Animal    | Porifera                   | -251300000    | -247200000   | <>
Cyrtia                                   | Animal    | Brachiopoda                | -252170000    | -201300000   | <>
Cyrtina                                  | Animal    | Brachiopoda                | -358900000    | -201300000   | <>
Cyrtorostra                              | Animal    | Mollusca                   | -254170000    | -251300000   | <>
Cytherella                               | Animal    | Arthropoda                 | -252170000    | -251200000   | Cytherella
Cytherellina                             | Animal    | Arthropoda                 | -252170000    | -251300000   | <>
Cytheropteron                            | Animal    | Arthropoda                 | -251300000    | -247200000   | <>
Czekanowskia                             | Plant     | Ginkgophyta                | -252170000    | -247200000   | <>
Czekanowskites                           | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Dacromya                                 | Animal    | Mollusca                   | -251300000    | -247200000   | Dacromya
Dagmarita                                | Micro     | Foraminifera               | -252170000    | -251200000   | <>
Dagnoceras                               | Animal    | Mollusca                   | -251300000    | -247200000   | Dagnoceras
Dalmatites                               | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Danaeopsis                               | Plant     | Filicophyta                | -252170000    | -237000000   | <>
Danubites                                | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Daonella                                 | Animal    | Mollusca                   | -251300000    | -247200000   | Daonella
Darneya                                  | Plant     | Gymnospermophyta           | -252170000    | -242000000   | <>
Darwinula                                | Animal    | Arthropoda                 | -252170000    | -251200000   | Darwinula
Deltacephalus                            | Animal    | Chordata                   | -252170000    | -247200000   | Deltacephalus
Deltasaurus                              | Animal    | Chordata                   | -252170000    | -247200000   | Deltasaurus
Deltoidospora                            | Plant     | Pteridophyta               | -252170000    | -242000000   | <>
Densoisporites                           | Plant     | Pteridophyta               | -251300000    | -247200000   | <>
Dentalina                                | Micro     | Foraminifera               | -251300000    | -247200000   | <>
Dentalium                                | Animal    | Mollusca                   | -252170000    | -251300000   | Dentalium_(genus)
Derbyia                                  | Animal    | Brachiopoda                | -252170000    | -251300000   | <>
Derwentia                                | Animal    | Chordata                   | -252170000    | -251200000   | Derwentia_(amphibian)
Desmiophyllum                            | Plant     | Coniferophyta              | -251300000    | -247200000   | <>
Dettermania                              | Animal    | Arthropoda                 | -252170000    | -251300000   | <>
Deuterotetrapous                         | Animal    | Chordata                   | -252170000    | -247200000   | <>
Devillersia                              | Animal    | Chordata                   | -252170000    | -251300000   | <>
Deweveria                                | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Dicellonema                              | Animal    | Mollusca                   | -252170000    | -251300000   | <>
Dicosmos                                 | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Dicroidium                               | Plant     | Tracheophyta               | -251300000    | -242000000   | Dicroidium
Dictyoconites                            | Animal    | Mollusca                   | -251300000    | -247200000   | Dictyoconites
Dictyophyllidites                        | Plant     | Pteridophyta               | -252170000    | -237000000   | <>
Dictyopyge                               | Animal    | Chordata                   | -251300000    | -242000000   | Dictyopyge
Dicynodontipus                           | Animal    | Chordata                   | -252170000    | -251200000   | <>
Dicynodontoides                          | Animal    | Chordata                   | -252170000    | -247200000   | Dicynodontoides
Dielasma                                 | Animal    | Brachiopoda                | -252170000    | -201300000   | <>
Dieneroceras                             | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Dimetropus                               | Animal    | Chordata                   | -252170000    | -247200000   | <>
Dimorphoconcha                           | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Dinanomodon                              | Animal    | Chordata                   | -252170000    | -247200000   | Dinanomodon
Dinarites                                | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Diplochilus                              | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Diplosphaerina                           | Micro     | Foraminifera               | -252170000    | -251300000   | <>
Diplotremina                             | Micro     | Foraminifera               | -251300000    | -247200000   | <>
Discina                                  | Animal    | Brachiopoda                | -252170000    | -247200000   | Discina_(brachiopod)
Discinisca                               | Animal    | Brachiopoda                | -251300000    | -247200000   | Discinisca
Discophiceras                            | Animal    | Mollusca                   | -252170000    | -251300000   | <>
Discoproptychites                        | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Discretella                              | Animal    | Chordata                   | -251300000    | -247200000   | <>
Dobrogeria                               | Animal    | Chordata                   | -251300000    | -247200000   | <>
Donaldina                                | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Dorikranites                             | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Dromotectum                              | Animal    | Chordata                   | -252170000    | -247200000   | Dromotectum
Duckworthia                              | Plant     | Lycophyta                  | -252170000    | -251200000   | <>
