Choristites                              | Animal    | Brachiopoda                | -272300000    | -268800000   | <>
Chusenella                               | Micro     | Foraminifera               | -272300000    | -2.599e+08   | <>
Cibecuia                                 | Animal    | Mollusca                   | -272300000    | -268800000   | <>
Cibolites                                | Animal    | Mollusca                   | -272300000    | -268800000   | Cibolites
Cicadopsis                               | Animal    | Arthropoda                 | -272300000    | -268800000   | <>
Cicadopsylla                             | Animal    | Arthropoda                 | -272300000    | -268800000   | <>
Cigarella                                | Animal    | Mollusca                   | -272300000    | -268800000   | <>
Cistecephalus                            | Animal    | Chordata                   | -298900000    | -252170000   | Cistecephalus
Cladochonus                              | Animal    | Cnidaria                   | -272300000    | -2.651e+08   | Cladochonus
Cladophlebis                             | Plant     | Pteridophyta               | -272300000    | -2.599e+08   | Cladophlebis
Cladopora                                | Animal    | Cnidaria                   | -272300000    | -2.599e+08   | <>
Clausotrypa                              | Animal    | Bryozoa                    | -272300000    | -2.599e+08   | Clausotrypa
