Ancistrolepis                            | Animal    | Mollusca                   | -5333000      | -2588000     | Ancistrolepis
Ancylotheriopus                          | Animal    | Chordata                   | -5333000      | -2588000     | <>
Ancylotherium                            | Animal    | Chordata                   | -3600000      | -2588000     | Ancylotherium
Ancylus                                  | Animal    | Mollusca                   | -5333000      | -11700       | Ancylus
Andonia                                  | Animal    | Mollusca                   | -3600000      | -2588000     | <>
Andrias                                  | Animal    | Chordata                   | -3600000      | -2588000     | Andrias
Angaria                                  | Animal    | Mollusca                   | -3600000      | -2588000     | Angaria_(gastropod)
Anguis                                   | Animal    | Chordata                   | -3200000      | -2588000     | Anguis
Angulogerina                             | Micro     | Foraminifera               | -5333000      | -2588000     | <>
Angulus                                  | Animal    | Mollusca                   | -3600000      | -2588000     | <>
Anhinga                                  | Animal    | Chordata                   | -11620000     | -2588000     | Anhinga
Anilius                                  | Animal    | Chordata                   | -3600000      | -2588000     | Anilius
Anisocoenia                              | Animal    | Cnidaria                   | -5333000      | -11700       | <>
Anisocycla                               | Animal    | Mollusca                   | -3600000      | -2588000     | Anisocycla
Anisodonta                               | Animal    | Mollusca                   | -3600000      | -2588000     | <>
Anisus                                   | Animal    | Mollusca                   | -3200000      | -2588000     | Anisus
Annachlamys                              | Animal    | Mollusca                   | -3600000      | -2588000     | Annachlamys
Anodonta                                 | Animal    | Mollusca                   | -3200000      | -2588000     | Anodonta
Anodontia                                | Animal    | Mollusca                   | -3600000      | -2588000     | <>
Anomala                                  | Animal    | Arthropoda                 | -3600000      | -2588000     | Anomala
Anomalina                                | Micro     | Foraminifera               | -23030000     | -2588000     | <>
Anomalinoides                            | Micro     | Foraminifera               | -3600000      | -1806000     | <>
Anomalocardia                            | Animal    | Mollusca                   | -3600000      | -11700       | Anomalocardia
Anomia                                   | Animal    | Mollusca                   | -3600000      | 2030         | Anomia_(bivalve)
Anoplonassa                              | Animal    | Chordata                   | -5333000      | -11700       | <>
Ansates                                  | Animal    | Mollusca                   | -3600000      | -2588000     | Ansates
Anser                                    | Animal    | Chordata                   | -11608000     | -2588000     | Anser_(bird)
Antalis                                  | Animal    | Mollusca                   | -3600000      | -2588000     | Antalis
Antecalomys                              | Animal    | Chordata                   | -4900000      | -1800000     | <>
Antechinus                               | Animal    | Chordata                   | -3600000      | -2588000     | Antechinus
Anthemiphyllia                           | Animal    | Cnidaria                   | -5333000      | -11700       | <>
Anthracomys                              | Animal    | Chordata                   | -5333000      | -3200000     | <>
Anthus                                   | Animal    | Chordata                   | -5333000      | -11700       | Anthus
Antidorcas                               | Animal    | Chordata                   | -11608000     | -2588000     | Antidorcas
Antifer                                  | Animal    | Chordata                   | -3600000      | -2588000     | Antifer
Antigona                                 | Animal    | Mollusca                   | -5333000      | -2588000     | Antigona_(bivalve)
Antigone                                 | Animal    | Chordata                   | -4900000      | -1800000     | <>
Antillipecten                            | Animal    | Mollusca                   | -3600000      | -2588000     | <>
Antillocyathus                           | Animal    | Cnidaria                   | -3600000      | -2588000     | <>
Antillophos                              | Animal    | Mollusca                   | -3600000      | -2588000     | Antillophos
Antillophyllia                           | Animal    | Cnidaria                   | -3600000      | -2588000     | Antillophyllia
Antilocapra                              | Animal    | Chordata                   | -4900000      | -1800000     | Antilocapra
Antilope                                 | Animal    | Chordata                   | -11620000     | -2588000     | Antilope
Antilospira                              | Animal    | Chordata                   | -5333000      | -2588000     | <>
Antiplanes                               | Animal    | Mollusca                   | -3600000      | -2588000     | Antiplanes
Antropora                                | Animal    | Bryozoa                    | -3600000      | -2588000     | Antropora
Antrozous                                | Animal    | Chordata                   | -10300000     | -1800000     | Antrozous
Antwerpibalaena                          | Animal    | Chordata                   | -3600000      | -2588000     | <>
Anzanycteris                             | Animal    | Chordata                   | -4900000      | -1800000     | <>
Aonyx                                    | Animal    | Chordata                   | -5333000      | -11700       | Aonyx
Aorotrema                                | Animal    | Mollusca                   | -3600000      | -2588000     | Aorotrema
Apalone                                  | Animal    | Chordata                   | -4900000      | -1800000     | Apalone
Aphelesia                                | Animal    | Brachiopoda                | -3600000      | -1806000     | <>
Aphera                                   | Animal    | Mollusca                   | -3600000      | -2588000     | Aphera
Aphia                                    | Animal    | Chordata                   | -3600000      | -2588000     | Aphia
Aphodius                                 | Animal    | Arthropoda                 | -3600000      | -2588000     | Aphodius
Apiocypraea                              | Animal    | Mollusca                   | -3600000      | -2588000     | <>
Aplus                                    | Animal    | Mollusca                   | -3600000      | -2588000     | Aplus
Apocricetus                              | Animal    | Chordata                   | -3600000      | -2588000     | <>
Apocynophyllum                           | Plant     | Spermatophyta              | -23030000     | -2588000     | <>
Apodemus                                 | Animal    | Chordata                   | -23030000     | -11700       | Apodemus
Apogon                                   | Animal    | Chordata                   | -3600000      | -2588000     | Apogon
Apolymetis                               | Animal    | Mollusca                   | -3600000      | -2588000     | <>
Aporotus                                 | Animal    | Chordata                   | -11608000     | -2588000     | <>
Aporrhais                                | Animal    | Mollusca                   | -3600000      | -2588000     | Aporrhais
Aptyxis                                  | Animal    | Mollusca                   | -5333000      | -2588000     | Aptyxis
Apus                                     | Animal    | Chordata                   | -5333000      | -11700       | <>
Aquila                                   | Animal    | Chordata                   | -3200000      | -2588000     | Aquila_(bird)
Arachnopusia                             | Animal    | Bryozoa                    | -5333000      | -2588000     | <>
Aralia                                   | Plant     | Spermatophyta              | -3600000      | -2588000     | Aralia
Araloselachus                            | Animal    | Chordata                   | -3600000      | -2588000     | <>
Arbacia                                  | Animal    | Echinodermata              | -11608000     | -2588000     | Arbacia
Arbutus                                  | Plant     | Spermatophyta              | -5333000      | -2588000     | Arbutus
Arca                                     | Animal    | Mollusca                   | -11608000     | -2588000     | Arca
Archaebalaenoptera                       | Animal    | Chordata                   | -3600000      | -2588000     | Archaebalaenoptera
Archaeocarabus                           | Animal    | Arthropoda                 | -5333000      | -2588000     | <>
Archaeodesmana                           | Animal    | Chordata                   | -3200000      | -2588000     | <>
Archaeolithothamnium                     | Plant     | Rhodophyta                 | -5333000      | -2588000     | <>
Archaeopotamus                           | Animal    | Chordata                   | -11608000     | -2588000     | Archaeopotamus
Archaeosimos                             | Animal    | Chordata                   | -5333000      | -2588000     | <>
Archaias                                 | Micro     | Foraminifera               | -5333000      | -2588000     | <>
Archerium                                | Animal    | Chordata                   | -5333000      | -2588000     | <>
Architectonica                           | Animal    | Mollusca                   | -11608000     | -2588000     | Architectonica
Archosargus                              | Animal    | Chordata                   | -3600000      | -2588000     | Archosargus
Arcinella                                | Animal    | Mollusca                   | -3600000      | -2588000     | Arcinella
Arcopagia                                | Animal    | Mollusca                   | -3600000      | -2588000     | <>
Arcopaginula                             | Animal    | Mollusca                   | -3600000      | -2588000     | <>
Arcoperna                                | Animal    | Mollusca                   | -3600000      | -2588000     | <>
Arcopsis                                 | Animal    | Mollusca                   | -3600000      | -2588000     | <>
Arctica                                  | Animal    | Mollusca                   | -3600000      | -11700       | Arctica_(bivalve)
Arctocephalus                            | Animal    | Chordata                   | -3600000      | -2588000     | Arctocephalus
Arctodus                                 | Animal    | Chordata                   | -4900000      | -300000      | Arctodus
Arctomeles                               | Animal    | Chordata                   | -10300000     | -1800000     | <>
Arctostaphyloides                        | Plant     | Spermatophyta              | -5333000      | -2588000     | <>
Arctotherium                             | Animal    | Chordata                   | -3600000      | -781000      | Arctotherium
Ardea                                    | Animal    | Chordata                   | -4900000      | -1800000     | Ardea_(bird)
Ardenna                                  | Animal    | Chordata                   | -3600000      | -2588000     | Ardenna
Ardipithecus                             | Animal    | Chordata                   | -7246000      | -781000      | Ardipithecus
Arene                                    | Animal    | Mollusca                   | -3600000      | -2588000     | <>
Argentina                                | Animal    | Chordata                   | -3600000      | -1806000     | Argentina_(fish)
