Austrohamia                              | Plant     | Pinophyta                  | -201300000    | -163500000   | <>
Avicula                                  | Animal    | Mollusca                   | -189600000    | -183000000   | <>
Aviculopecten                            | Animal    | Mollusca                   | -237000000    | -174100000   | Aviculopecten
Baculatisporites                         | Plant     | Pteridophyta               | -196500000    | -189600000   | <>
Bacutriletes                             | Plant     | Lycophyta                  | -208500000    | -174100000   | <>
Badouxia                                 | Animal    | Mollusca                   | -196500000    | -189600000   | <>
Bagnolites                               | Animal    | Mollusca                   | -196500000    | -189600000   | <>
Bagotum                                  | Micro     | Radiolaria                 | -183000000    | -182000000   | <>
Baiera                                   | Plant     | Ginkgophyta                | -190800000    | -168300000   | Baiera
Baieroxylon                              | Plant     | Ginkgophyta                | -201300000    | -174100000   | Baieroxylon
Bairdia                                  | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Bairdiacypris                            | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Bairstowius                              | Animal    | Mollusca                   | -189600000    | -183000000   | <>
Bakevellia                               | Animal    | Mollusca                   | -189600000    | -183000000   | <>
Bakonyceras                              | Animal    | Mollusca                   | -189600000    | -183000000   | <>
Bakonyithyris                            | Animal    | Brachiopoda                | -183000000    | -182000000   | <>
Balanocrinus                             | Animal    | Echinodermata              | -183000000    | -182000000   | <>
Balanus                                  | Animal    | Arthropoda                 | -189600000    | -183000000   | Balanus
Baleyopteryx                             | Animal    | Arthropoda                 | -190800000    | -174100000   | <>
Baltzerites                              | Animal    | Mollusca                   | -189600000    | -183000000   | <>
Bandellina                               | Animal    | Mollusca                   | -189600000    | -183000000   | <>
Barapasaurus                             | Animal    | Chordata                   | -199300000    | -182700000   | Barapasaurus
Barbatia                                 | Animal    | Mollusca                   | -189600000    | -183000000   | Barbatia
Bareus                                   | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Basinotopus                              | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Bathmophlebia                            | Animal    | Arthropoda                 | -190800000    | -182700000   | <>
Bathrotomaria                            | Animal    | Mollusca                   | -190800000    | -182700000   | <>
Bathygerus                               | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Bathytheristes                           | Animal    | Chordata                   | -183000000    | -182000000   | Bathytheristes
Batrachopus                              | Animal    | Chordata                   | -190800000    | -174100000   | <>
Beatricea                                | Micro     | Radiolaria                 | -189600000    | -183000000   | <>
Belemnites                               | Animal    | Mollusca                   | -183000000    | -182000000   | Belemnites_(genus)
Benacia                                  | Animal    | Porifera                   | -190800000    | -174100000   | <>
Bennetticarpus                           | Plant     | Cycadeoideophyta           | -208500000    | -174100000   | <>
Bennettistemon                           | Plant     | Cycadeoideophyta           | -208500000    | -174100000   | <>
Berberosaurus                            | Animal    | Chordata                   | -190800000    | -174100000   | Berberosaurus
Berenicea                                | Animal    | Bryozoa                    | -183000000    | -182000000   | <>
Bernoullius                              | Micro     | Radiolaria                 | -183000000    | -182000000   | <>
Betraccium                               | Micro     | Radiolaria                 | -196500000    | -189600000   | <>
Bettoniceras                             | Animal    | Mollusca                   | -189600000    | -183000000   | Bettoniceras
Bifericeras                              | Animal    | Mollusca                   | -196500000    | -189600000   | Bifericeras
Bilsdalea                                | Plant     | Coniferophyta              | -201300000    | -174100000   | <>
Binoculites                              | Animal    | Echinodermata              | -183000000    | -182000000   | <>
Bintoniella                              | Animal    | Arthropoda                 | -196500000    | -189600000   | <>
Bipedis                                  | Micro     | Radiolaria                 | -183000000    | -182000000   | <>
Biscutum                                 | Plant     | Haptophyta                 | -183000000    | -182000000   | <>
Bistarkum                                | Micro     | Radiolaria                 | -183000000    | -182000000   | <>
Bjuvia                                   | Plant     | Cycadophyta                | -208500000    | -174100000   | <>
Blattula                                 | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Bocaconodon                              | Animal    | Chordata                   | -190800000    | -182700000   | Bocaconodon
Bocatherium                              | Animal    | Chordata                   | -190800000    | -182700000   | Bocatherium
Bodephora                                | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Bodrakella                               | Animal    | Brachiopoda                | -190800000    | -182700000   | <>
Bositra                                  | Animal    | Mollusca                   | -183000000    | -175600000   | <>
Bosniella                                | Micro     | Foraminifera               | -183000000    | -182000000   | <>
Bouhamidoceras                           | Animal    | Mollusca                   | -196500000    | -189600000   | Bouhamidoceras
Bouleiceras                              | Animal    | Mollusca                   | -183000000    | -182000000   | <>
Bourguetia                               | Animal    | Mollusca                   | -196500000    | -189600000   | <>
Brachylaimon                             | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Brachymylus                              | Animal    | Chordata                   | -189600000    | -183000000   | Brachymylus
Brachyphyllum                            | Plant     | Pinopsida                  | -190800000    | -182700000   | Brachyphyllum
Brachyseris                              | Animal    | Cnidaria                   | -189600000    | -183000000   | <>
Brachytrachelites                        | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Brasilichnium                            | Animal    | Chordata                   | -190800000    | -174100000   | <>
Brevicula                                | Animal    | Arthropoda                 | -196500000    | -189600000   | <>
Brizalina                                | Micro     | Foraminifera               | -183000000    | -182000000   | <>
Brochocoleus                             | Animal    | Arthropoda                 | -196500000    | -189600000   | Brochocoleus
Broctus                                  | Micro     | Radiolaria                 | -183000000    | -182000000   | <>
Brontopodus                              | Animal    | Chordata                   | -201300000    | -174100000   | Brontopodus
Bucklandia                               | Plant     | Cycadophyta                | -201300000    | -174100000   | <>
Buckmanithyris                           | Animal    | Brachiopoda                | -189600000    | -183000000   | <>
Bullariscus                              | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Bussonius                                | Plant     | Haptophyta                 | -190800000    | -182700000   | <>
Buvignieria                              | Animal    | Mollusca                   | -183000000    | -175600000   | <>
Bysmatospermum                           | Plant     | Cycadeoideophyta           | -201300000    | -174100000   | <>
Bythoceratina                            | Animal    | Arthropoda                 | -190800000    | -182700000   | <>
Bythocypris                              | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Cadomella                                | Animal    | Brachiopoda                | -183000000    | -182000000   | <>
Caenisites                               | Animal    | Mollusca                   | -189600000    | -183000000   | <>
Caenodiotis                              | Animal    | Mollusca                   | -190800000    | -182700000   | <>
Calaiceras                               | Animal    | Mollusca                   | -189600000    | -183000000   | <>
Calamophylliopsis                        | Animal    | Cnidaria                   | -190800000    | -182700000   | Calamophylliopsis
Calcirhynchia                            | Animal    | Brachiopoda                | -189600000    | -183000000   | <>
Callianassa                              | Animal    | Arthropoda                 | -183000000    | -182000000   | Callianassa
Calliostoma                              | Animal    | Mollusca                   | -189600000    | -183000000   | Calliostoma
Calliotropis                             | Animal    | Mollusca                   | -189600000    | -182000000   | Calliotropis
Calliphylloceras                         | Animal    | Mollusca                   | -183000000    | -182000000   | Calliphylloceras
Callomoniceras                           | Animal    | Mollusca                   | -196500000    | -189600000   | <>
Callospiriferina                         | Animal    | Brachiopoda                | -183000000    | -182000000   | <>
Caloblattina                             | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Caloceras                                | Animal    | Mollusca                   | -201300000    | -163500000   | Caloceras
Calpella                                 | Animal    | Brachiopoda                | -196500000    | -189600000   | <>
Calsoyasuchus                            | Animal    | Chordata                   | -199300000    | -182700000   | Calsoyasuchus
Calvaentolium                            | Animal    | Mollusca                   | -196500000    | -189600000   | <>
Calyculus                                | Plant     | Haptophyta                 | -190800000    | -182700000   | <>
Calyptoria                               | Animal    | Brachiopoda                | -183000000    | -182000000   | <>
Camaricopterus                           | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Campeulites                              | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Campterophlebia                          | Animal    | Arthropoda                 | -183000000    | -182000000   | Campterophlebia
Camptonectes                             | Animal    | Mollusca                   | -183000000    | -175600000   | <>
Campylognathoides                        | Animal    | Chordata                   | -183000000    | -182000000   | Campylognathoides
