Cuspidaria                               | Animal    | Mollusca                   | -174100000    | -163500000   | Cuspidaria
Cuspiteuthis                             | Animal    | Mollusca                   | -190800000    | -170300000   | <>
Cyathophora                              | Animal    | Cnidaria                   | -174100000    | -163500000   | Cyathophora
Cyathophylliopsis                        | Animal    | Cnidaria                   | -171600000    | -168400000   | <>
Cycadocarpidium                          | Plant     | Coniferophyta              | -174100000    | -163500000   | <>
Cycadolepis                              | Plant     | Cycadeoideophyta           | -171600000    | -168400000   | <>
Cycadopites                              | Plant     | Cycadophyta                | -174100000    | -93500000    | <>
Cycleryon                                | Animal    | Arthropoda                 | -201300000    | -145000000   | Cycleryon
Cyclocrinus                              | Animal    | Echinodermata              | -171600000    | -167700000   | <>
Cycloserpula                             | Animal    | Annelida                   | -171600000    | -164700000   | <>
Cylicoceras                              | Animal    | Mollusca                   | -175600000    | -171600000   | <>
Cylindrobullina                          | Animal    | Mollusca                   | -171600000    | -155700000   | <>
Cylindroteuthis                          | Animal    | Mollusca                   | -171600000    | -168400000   | Cylindroteuthis
Cymatorhynchia                           | Animal    | Brachiopoda                | -171600000    | -164700000   | <>
Cyparissidium                            | Plant     | Pinophyta                  | -171600000    | -166100000   | <>
Cypridina                                | Animal    | Arthropoda                 | -174100000    | -163500000   | <>
Cyrtocapsa                               | Micro     | Radiolaria                 | -171600000    | -167700000   | <>
Cytherella                               | Animal    | Arthropoda                 | -171600000    | -167700000   | Cytherella
Cytherelloidea                           | Animal    | Arthropoda                 | -175600000    | -171600000   | <>
Cytheropterina                           | Animal    | Arthropoda                 | -175600000    | -171600000   | <>
Cytheropteron                            | Animal    | Arthropoda                 | -171600000    | -167700000   | <>
Cyzicus                                  | Animal    | Arthropoda                 | -174100000    | -163500000   | Cyzicus
Czekanowskia                             | Plant     | Ginkgophyta                | -171600000    | -166100000   | <>
Dactylioceras                            | Animal    | Mollusca                   | -182700000    | -168300000   | Dactylioceras
Dactyloteuthis                           | Animal    | Mollusca                   | -180100000    | -170300000   | Dactyloteuthis
Daghanirhynchia                          | Animal    | Brachiopoda                | -174100000    | -163500000   | <>
Dapedium                                 | Animal    | Chordata                   | -175600000    | -171600000   | Dapedium
Dearcmhara                               | Animal    | Chordata                   | -182700000    | -168400000   | Dearcmhara
Deflandrecyrtium                         | Micro     | Radiolaria                 | -175600000    | -171600000   | <>
Deltapodus                               | Animal    | Chordata                   | -174100000    | -163500000   | Deltapodus
Deltarhynchia                            | Animal    | Brachiopoda                | -171600000    | -167700000   | <>
Deltoidospora                            | Plant     | Pteridophyta               | -174100000    | -93500000    | <>
Dendraraea                               | Animal    | Cnidaria                   | -171600000    | -168400000   | <>
Densoisporites                           | Plant     | Pteridophyta               | -174100000    | -93500000    | <>
Dentalina                                | Micro     | Foraminifera               | -171600000    | -167700000   | <>
Dermaster                                | Animal    | Echinodermata              | -171600000    | -167700000   | <>
Dermocoma                                | Animal    | Echinodermata              | -171600000    | -167700000   | <>
Dermosmilia                              | Animal    | Cnidaria                   | -175600000    | -171600000   | <>
Desmiophyllum                            | Plant     | Coniferophyta              | -174100000    | -145000000   | <>
Deviatus                                 | Micro     | Radiolaria                 | -171600000    | -167700000   | <>
Diacanthocapsa                           | Micro     | Radiolaria                 | -171600000    | -167700000   | <>
Diademopsis                              | Animal    | Echinodermata              | -171600000    | -167700000   | <>
Dianoconcha                              | Animal    | Mollusca                   | -174100000    | -163500000   | <>
Diceratigalea                            | Micro     | Radiolaria                 | -171600000    | -168400000   | <>
Dicksonia                                | Plant     | Pteridophyta               | -171600000    | -167700000   | Dicksonia
Dicroloma                                | Animal    | Mollusca                   | -174100000    | -163500000   | <>
