Argentinoblatta                          | Animal    | Arthropoda                 | -237000000    | -228000000   | <>
Argentinocicada                          | Animal    | Arthropoda                 | -237000000    | -228000000   | <>
Argentinocupes                           | Animal    | Arthropoda                 | -237000000    | -228000000   | <>
Argentinoglosselytrina                   | Animal    | Arthropoda                 | -237000000    | -228000000   | <>
Argentinopanorpa                         | Animal    | Arthropoda                 | -237000000    | -228000000   | <>
Argentinoperlidium                       | Animal    | Arthropoda                 | -237000000    | -228000000   | <>
Argentinoscytina                         | Animal    | Arthropoda                 | -237000000    | -228000000   | <>
Argentinosyne                            | Animal    | Arthropoda                 | -237000000    | -228000000   | <>
Argilloecia                              | Animal    | Arthropoda                 | -235000000    | -232000000   | <>
Argolites                                | Animal    | Mollusca                   | -242000000    | -235000000   | Argolites
Aricycas                                 | Plant     | Cycadophyta                | -237000000    | -228000000   | <>
Arietoceltites                           | Animal    | Mollusca                   | -232000000    | -221500000   | Arietoceltites
Aristerostrophia                         | Animal    | Mollusca                   | -242000000    | -235000000   | <>
Aristoptychites                          | Animal    | Mollusca                   | -242000000    | -235000000   | Aristoptychites
Arpadites                                | Animal    | Mollusca                   | -232000000    | -221500000   | Arpadites
Asialepidotus                            | Animal    | Chordata                   | -242000000    | -235000000   | Asialepidotus
Askeptosaurus                            | Animal    | Chordata                   | -242000000    | -235000000   | Askeptosaurus
Asklepioceras                            | Animal    | Mollusca                   | -235000000    | -232000000   | Asklepioceras
Asoella                                  | Animal    | Mollusca                   | -237000000    | -208500000   | <>
Aspidogaster                             | Animal    | Arthropoda                 | -242000000    | -235000000   | Aspidogaster
Aspiduriella                             | Animal    | Echinodermata              | -237000000    | -228000000   | <>
Asplenium                                | Plant     | Pteridophyta               | -242000000    | -228000000   | Asplenium
Astacolus                                | Micro     | Foraminifera               | -232000000    | -221500000   | <>
Astarte                                  | Animal    | Mollusca                   | -232000000    | -221500000   | Astarte
Astartopis                               | Animal    | Mollusca                   | -232000000    | -221500000   | <>
Asterocarpus                             | Plant     | Pteridophyta               | -237000000    | -228000000   | <>
Asterotheca                              | Plant     | Pteridophyta               | -237000000    | -201300000   | Asterotheca
Astraeomorpha                            | Animal    | Cnidaria                   | -235000000    | -232000000   | <>
Astralium                                | Animal    | Mollusca                   | -237000000    | -228000000   | Astralium
Astrea                                   | Animal    | Cnidaria                   | -235000000    | -232000000   | Astrea
Astrocentrus                             | Micro     | Radiolaria                 | -235000000    | -232000000   | <>
Astropecten                              | Animal    | Echinodermata              | -232000000    | -221500000   | Astropecten
Atalantia                                | Animal    | Mollusca                   | -237000000    | -228000000   | Atalantia
Athyris                                  | Animal    | Brachiopoda                | -232000000    | -221500000   | Athyris
Atorcula                                 | Animal    | Mollusca                   | -235000000    | -232000000   | <>
Atractites                               | Animal    | Mollusca                   | -232000000    | -221500000   | <>
Atreipus                                 | Animal    | Chordata                   | -232000000    | -221500000   | Atreipus
Atreta                                   | Animal    | Mollusca                   | -232000000    | -221500000   | <>
Atrina                                   | Animal    | Mollusca                   | -242000000    | -235000000   | Atrina
Atrochaetetes                            | Animal    | Porifera                   | -235000000    | -232000000   | <>
Aulacoceras                              | Animal    | Mollusca                   | -235000000    | -232000000   | Aulacoceras
Aulacothyris                             | Animal    | Brachiopoda                | -232000000    | -221500000   | <>
Aulacothyroides                          | Animal    | Brachiopoda                | -235000000    | -232000000   | <>
Aulacothyropsis                          | Animal    | Brachiopoda                | -232000000    | -221500000   | <>
Aulametacoceras                          | Animal    | Mollusca                   | -237000000    | -228000000   | <>
Auloconus                                | Micro     | Foraminifera               | -237000000    | -228000000   | <>
Aulotortus                               | Micro     | Foraminifera               | -235000000    | -232000000   | <>
Austriellula                             | Animal    | Brachiopoda                | -232000000    | -221500000   | <>
Austrisaturnalis                         | Micro     | Radiolaria                 | -237000000    | -228000000   | <>
Austrocolomia                            | Micro     | Foraminifera               | -237000000    | -228000000   | <>
Austrotindaria                           | Animal    | Mollusca                   | -252170000    | -201300000   | <>
Austrotrachyceras                        | Animal    | Mollusca                   | -235000000    | -232000000   | Austrotrachyceras
Aviamysis                                | Animal    | Arthropoda                 | -242000000    | -235000000   | <>
Avicula                                  | Animal    | Mollusca                   | -232000000    | -221500000   | <>
Avicularca                               | Animal    | Mollusca                   | -235000000    | -232000000   | <>
Aviculomyalina                           | Animal    | Mollusca                   | -237000000    | -201300000   | <>
Aviculopecten                            | Animal    | Mollusca                   | -237000000    | -174100000   | Aviculopecten
Axicrinus                                | Animal    | Echinodermata              | -235000000    | -232000000   | <>
Azendohsaurus                            | Animal    | Chordata                   | -237000000    | -228000000   | Azendohsaurus
Azyga                                    | Animal    | Mollusca                   | -237000000    | -228000000   | <>
Babuskaya                                | Animal    | Arthropoda                 | -237000000    | -228000000   | <>
Bacchites                                | Animal    | Mollusca                   | -232000000    | -221500000   | Bacchites
Bacutriletes                             | Plant| Lycophyta                  | -247200000    | -201300000   | <>
Badiotella                               | Animal    | Mollusca                   | -235000000    | -232000000   | <>
Badiotites                               | Animal    | Mollusca                   | -235000000    | -232000000   | Badiotites
Bagualosaurus                            | Animal    | Chordata                   | -237000000    | -208500000   | Bagualosaurus
Baiera                                   | Plant     | Ginkgophyta                | -237000000    | -174100000   | Baiera
Baierophyllites                          | Plant     | Ginkgophyta                | -237000000    | -228000000   | <>
Bairdia                                  | Animal    | Arthropoda                 | -235000000    | -232000000   | <>
Bairdiacypris                            | Animal    | Arthropoda                 | -235000000    | -232000000   | <>
Bairdiocypris                            | Animal    | Arthropoda                 | -235000000    | -232000000   | <>
Bakevellia                               | Animal    | Mollusca                   | -237000000    | -208500000   | <>
Bakonycrinus                             | Animal    | Echinodermata              | -237000000    | -228000000   | <>
Balanocidaris                            | Animal    | Echinodermata              | -235000000    | -232000000   | <>
Balanocrinus                             | Animal    | Echinodermata              | -232000000    | -221500000   | <>
Balantioselena                           | Animal    | Mollusca                   | -242000000    | -228000000   | <>
Balatonia                                | Animal    | Porifera                   | -235000000    | -232000000   | <>
Balatonites                              | Animal    | Mollusca                   | -247200000    | -221500000   | Balatonites
Balatonospira                            | Animal    | Brachiopoda                | -232000000    | -221500000   | <>
Baloghisphaera                           | Micro     | Radiolaria                 | -235000000    | -232000000   | <>
Bandelastraea                            | Animal    | Mollusca                   | -235000000    | -232000000   | <>
Bandelium                                | Animal    | Mollusca                   | -235000000    | -232000000   | <>
Bandellina                               | Animal    | Mollusca                   | -235000000    | -232000000   | <>
Bandelnielsenia                          | Animal    | Arthropoda                 | -237000000    | -228000000   | <>
Banisterobates                           | Animal    | Chordata                   | -237000000    | -228000000   | Banisterobates
Barbafera                                | Animal    | Annelida                   | -232000000    | -221500000   | <>
Barbatia                                 | Animal    | Mollusca                   | -242000000    | -235000000   | Barbatia
Barrandeites                             | Animal    | Mollusca                   | -232000000    | -221500000   | Barrandeites
Bathysiphon                              | Micro     | Foraminifera               | -237000000    | -228000000   | <>
Bathysynactites                          | Animal    | Echinodermata              | -242000000    | -235000000   | <>
Batrachopodiscus                         | Animal    | Chordata                   | -237000000    | -208500000   | <>
Batrachopus                              | Animal    | Chordata                   | -237000000    | -201300000   | Batrachopus
Batrachotomus                            | Animal    | Chordata                   | -242000000    | -235000000   | Batrachotomus
Baumgartneria                            | Micro     | Radiolaria                 | -235000000    | -232000000   | <>
Beaconiella                              | Animal    | Arthropoda                 | -242000000    | -235000000   | <>
