Anomalina                                | Micro     | Foraminifera               | -41300000     | -33900000    | <>
Anomalinoides                            | Micro     | Foraminifera               | -41300000     | -38000000    | <>
Anomia                                   | Animal    | Mollusca                   | -41300000     | -33900000    | Anomia
Anomoemys                                | Animal    | Chordata                   | -40400000     | -37200000    | <>
Anomotodon                               | Animal    | Chordata                   | -41300000     | -38000000    | Anomotodon
Anonaspermum                             | Plant     | Spermatophyta              | -41300000     | -38000000    | <>
Anosteira                                | Animal    | Chordata                   | -41300000     | -38000000    | Anosteira
Anoxypristis                             | Animal    | Chordata                   | -41300000     | -38000000    | Anoxypristis
Antalis                                  | Animal    | Mollusca                   | -41300000     | -33900000    | Antalis
Antarctodarwinella                       | Animal    | Mollusca                   | -47800000     | -38000000    | <>
Antarctodolops                           | Animal    | Chordata                   | -41300000     | -38000000    | Antarctodolops
Antarctodon                              | Animal    | Chordata                   | -47800000     | -38000000    | Antarctodon
Antarctohoges                            | Animal    | Mollusca                   | -41300000     | -38000000    | <>
Antepithecus                             | Animal    | Chordata                   | -41300000     | -38000000    | <>
Anthracobune                             | Animal    | Chordata                   | -48600000     | -37200000    | Anthracobune
Anthracobunodon                          | Animal    | Chordata                   | -41300000     | -38000000    | Anthracobunodon
Anthracokeryx                            | Animal    | Chordata                   | -41300000     | -33900000    | Anthracokeryx
Anthracosenex                            | Animal    | Chordata                   | -48600000     | -37200000    | <>
Anthracothema                            | Animal    | Chordata                   | -41300000     | -38000000    | Anthracothema
Anthracotherium                          | Animal    | Chordata                   | -41300000     | -38000000    | Anthracotherium
Anthropornis                             | Animal    | Chordata                   | -41300000     | -38000000    | Anthropornis
Antiacodon                               | Animal    | Chordata                   | -46200000     | -40400000    | <>
Anticlimax                               | Animal    | Mollusca                   | -41300000     | -38000000    | Anticlimax
Antigonia                                | Animal    | Chordata                   | -43000000     | -37200000    | Antigonia
Antiguastrea                             | Animal    | Cnidaria                   | -41300000     | -38000000    | <>
Antilloseris                             | Animal    | Cnidaria                   | -56000000     | -33900000    | <>
Antimelatoma                             | Animal    | Mollusca                   | -41300000     | -38000000    | Antimelatoma
Antisolarium                             | Animal    | Mollusca                   | -41300000     | -38000000    | Antisolarium
