Bohemiproetus                            | Animal    | Arthropoda                 | -402500000    | -391900000   | <>
Boiotremus                               | Animal    | Mollusca                   | -416000000    | -393300000   | <>
Bojocoryphe                              | Animal    | Arthropoda                 | -410800000    | -382700000   | <>
Bojodouvillina                           | Animal    | Brachiopoda                | -402500000    | -391900000   | <>
Bojoscutellum                            | Animal    | Arthropoda                 | -407600000    | -393300000   | Bojoscutellum
Bojothyris                               | Animal    | Brachiopoda                | -407600000    | -393300000   | <>
Bojozyga                                 | Animal    | Mollusca                   | -402500000    | -387700000   | <>
Bolbozoe                                 | Animal    | Arthropoda                 | -423000000    | -391900000   | <>
Boliviacrinus                            | Animal    | Echinodermata              | -407600000    | -393300000   | <>
Bollia                                   | Animal    | Arthropoda                 | -407600000    | -393300000   | <>
Borchgrevinkium                          | Animal    | Arthropoda                 | -419200000    | -393300000   | Borchgrevinkium
Borealis                                 | Animal    | Brachiopoda                | -409100000    | -402500000   | <>
Botryllopora                             | Animal    | Bryozoa                    | -407600000    | -393300000   | <>
Botryocrinus                             | Animal    | Echinodermata              | -407600000    | -393300000   | <>
Boucia                                   | Animal    | Arthropoda                 | -423000000    | -391900000   | <>
Bouleia                                  | Animal    | Arthropoda                 | -407600000    | -393300000   | Bouleia
Bracchiothuria                           | Animal    | Echinodermata              | -407600000    | -393300000   | <>
Brachydomoceras                          | Animal    | Mollusca                   | -407600000    | -393300000   | <>
Brachyprion                              | Animal    | Brachiopoda                | -407600000    | -393300000   | <>
Brachyschisma                            | Animal    | Echinodermata              | -407600000    | -387700000   | <>
Brachyspirifer                           | Animal    | Brachiopoda                | -402500000    | -391900000   | <>
Breizhops                                | Animal    | Arthropoda                 | -402500000    | -391900000   | Breizhops
Brevicoceras                             | Animal    | Mollusca                   | -410800000    | -383700000   | Brevicoceras
Breviphrentis                            | Animal    | Cnidaria                   | -402500000    | -387700000   | <>
Breviphyllum                             | Animal    | Cnidaria                   | -419200000    | -358900000   | <>
Breviscutellum                           | Animal    | Arthropoda                 | -416000000    | -393300000   | <>
Brevispirifer                            | Animal    | Brachiopoda                | -409100000    | -402500000   | <>
Broeggeria                               | Animal    | Brachiopoda                | -407600000    | -393300000   | <>
Browneella                               | Animal    | Brachiopoda                | -407600000    | -393300000   | <>
Bryantolepis                             | Animal    | Chordata                   | -407600000    | -393300000   | <>
Bucanella                                | Animal    | Mollusca                   | -402500000    | -391900000   | <>
Buchanathyris                            | Animal    | Brachiopoda                | -407600000    | -393300000   | <>
Buchanoceras                             | Animal    | Mollusca                   | -407600000    | -393300000   | <>
Buchiola                                 | Animal    | Mollusca                   | -402500000    | -387700000   | <>
Buchiproetus                             | Animal    | Arthropoda                 | -409100000    | -387700000   | <>
Bukkanodus                               | Animal    | Chordata                   | -419200000    | -358900000   | Bukkanodus
Bulbocanthus                             | Animal    | Chordata                   | -407600000    | -393300000   | <>
Burmeisterella                           | Animal    | Arthropoda                 | -409100000    | -402500000   | Burmeisterella
Burmeisteria                             | Animal    | Arthropoda                 | -407600000    | -387700000   | Burmeisteria
Buskopora                                | Animal    | Bryozoa                    | -407600000    | -387700000   | <>
Bythocypris                              | Animal    | Arthropoda                 | -407600000    | -387700000   | <>
Calamophyton                             | Plant     | Tracheophyta               | -419200000    | -393300000   | <>
Calamospora                              | Plant     | Sphenophyta                | -409100000    | -402500000   | <>
Calceola                                 | Animal    | Cnidaria                   | -402500000    | -383700000   | <>
Caliapora                                | Animal    | Cnidaria                   | -402500000    | -391900000   | Caliapora
Caligella                                | Micro     | Foraminifera               | -402500000    | -391900000   | <>
Callipleura                              | Animal    | Brachiopoda                | -407600000    | -393300000   | <>
Calloconus                               | Animal    | Mollusca                   | -407600000    | -393300000   | <>
