Amblyolpium                              | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Ambocardia                               | Animal    | Mollusca                   | -93500000     | -89300000    | <>
Amecephala                               | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Ameribaatar                              | Animal    | Chordata                   | -105300000    | -93500000    | Ameribaatar
Amerogenia                               | Animal    | Arthropoda                 | -93900000     | -89800000    | <>
Ammobaculites                            | Micro     | Foraminifera               | -93500000     | -89300000    | <>
Ammobaculoides                           | Micro     | Foraminifera               | -93500000     | -89300000    | <>
Ammodiscus                               | Micro     | Foraminifera               | -93500000     | -89300000    | Ammodiscus
Ammomarginulina                          | Micro     | Foraminifera               | -93500000     | -89300000    | <>
Ammosphecium                             | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Amphicytherura                           | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Amphidonte                               | Animal    | Mollusca                   | -100500000    | -66000000    | <>
Amphipyndax                              | Micro     | Radiolaria                 | -93500000     | -89300000    | <>
Amphiura                                 | Animal    | Echinodermata              | -93500000     | -89300000    | Amphiura
Amphizygus                               | Plant     | Haptophyta                 | -93500000     | -89300000    | <>
Amplectister                             | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Ampulicomorpha                           | Animal    | Arthropoda                 | -99600000     | -93500000    | Ampulicomorpha
Ampullina                                | Animal    | Mollusca                   | -100500000    | -66000000    | Ampullina
Amtocephale                              | Animal    | Chordata                   | -100500000    | -83600000    | Amtocephale
Amuletum                                 | Animal    | Mollusca                   | -93900000     | -83600000    | <>
Anabisetia                               | Animal    | Chordata                   | -93500000     | -89300000    | Anabisetia
Anagaudryceras                           | Animal    | Mollusca                   | -93500000     | -89300000    | Anagaudryceras
Anatimya                                 | Animal    | Mollusca                   | -93900000     | -89800000    | <>
Anatina                                  | Animal    | Mollusca                   | -93500000     | -70600000    | Anatina
Anatolemys                               | Animal    | Chordata                   | -93500000     | -89300000    | Anatolemys
Anchineus                                | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Anchistodelphys                          | Animal    | Chordata                   | -93500000     | -89300000    | <>
Anchura                                  | Animal    | Mollusca                   | -100500000    | -66000000    | <>
Ancistrocrania                           | Animal    | Brachiopoda                | -93500000     | -89300000    | Ancistrocrania
Ancyloceras                              | Animal    | Mollusca                   | -99600000     | -93500000    | Ancyloceras
Andesaurus                               | Animal    | Chordata                   | -99600000     | -93500000    | Andesaurus
Andrognathus                             | Animal    | Arthropoda                 | -99600000     | -93500000    | Andrognathus
Andromeda                                | Plant     | Spermatophyta              | -99600000     | -93500000    | Andromeda_polifolia
Androvettia                              | Plant     | Coniferophyta              | -100500000    | -66000000    | <>
Anebomorpha                              | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Anemia                                   | Plant     | Pteridophyta               | -100500000    | -66000000    | Anemia_(plant)
Angaria                                  | Animal    | Mollusca                   | -93900000     | -89800000    | Angaria_(gastropod)
Angimordella                             | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Anglonautilus                            | Animal    | Mollusca                   | -99600000     | -93500000    | <>
Angulatergum                             | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Angulithes                               | Animal    | Mollusca                   | -100500000    | -86300000    | <>
Angustaeshna                             | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Angustipsyllidium                        | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Anhanguera                               | Animal    | Chordata                   | -99600000     | -93500000    | Anhanguera_(pterosaur)
Aniabrochus                              | Animal    | Brachiopoda                | -93900000     | -89800000    | <>
Aniksosaurus                             | Animal    | Chordata                   | -100500000    | -89800000    | Aniksosaurus
Anisocardia                              | Animal    | Mollusca                   | -99600000     | -93500000    | <>
Anisoceras                               | Animal    | Mollusca                   | -105300000    | -93500000    | Anisoceras
Anisomyon                                | Animal    | Mollusca                   | -93500000     | -89300000    | <>
Anisotermes                              | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Ankothrips                               | Animal    | Arthropoda                 | -93900000     | -89800000    | <>
Ankyloleon                               | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Annea                                    | Animal    | Chordata                   | -99600000     | -93500000    | Annea_(fish)
Annieporcellana                          | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Annulipsyllipsocus                       | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Annuntidiogenes                          | Animal    | Arthropoda                 | -105300000    | -93500000    | <>
Anomalina                                | Micro     | Foraminifera               | -100500000    | -66000000    | <>
Anomalinoides                            | Micro     | Foraminifera               | -93500000     | -89300000    | <>
Anomia                                   | Animal    | Mollusca                   | -100500000    | -66000000    | Anomia_(bivalve)
Anomoeodus                               | Animal    | Chordata                   | -145000000    | -66000000    | Anomoeodus
Anomoepus                                | Animal    | Chordata                   | -105300000    | -93500000    | Anomoepus
Anomotodon                               | Animal    | Chordata                   | -100500000    | -66000000    | Anomotodon
Anoplosaurus                             | Animal    | Chordata                   | -99600000     | -93500000    | Anoplosaurus
Anorthopygus                             | Animal    | Echinodermata              | -105300000    | -93500000    | <>
Anosteira                                | Animal    | Chordata                   | -100500000    | -83600000    | Anosteira
Ansoberotha                              | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Antalyna                                 | Micro     | Foraminifera               | -99600000     | -93500000    | <>
Anthonya                                 | Animal    | Mollusca                   | -93900000     | -89800000    | <>
Antiguastrea                             | Animal    | Cnidaria                   | -99600000     | -93500000    | <>
Antocha                                  | Animal    | Arthropoda                 | -99600000     | -93500000    | Antocha
Antophiloblatta                          | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Antulsporites                            | Plant     | Pteridophyta               | -112030000    | -93500000    | <>
Aonikenkissus                            | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Aoniraptor                               | Animal    | Chordata                   | -99600000     | -89300000    | Aoniraptor
Apateodus                                | Animal    | Chordata                   | -93500000     | -89300000    | Apateodus
Apatorhamphus                            | Animal    | Chordata                   | -99600000     | -93500000    | Apatorhamphus
Apeibopsis                               | Plant     | Spermatophyta              | -100500000    | -66000000    | <>
Aphanizocnemus                           | Animal    | Chordata                   | -99600000     | -93500000    | Aphanizocnemus
Aphanoptyxis                             | Animal    | Mollusca                   | -93900000     | -89800000    | <>
Aphebodactyla                            | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Aphelonyssus                             | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Aphrastomedes                            | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Aphrodina                                | Animal    | Mollusca                   | -100500000    | -89800000    | <>
Aphthartopsychops                        | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Aphytocerus                              | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Apiculatisporites                        | Plant     | Pteridophyta               | -113000000    | -93500000    | <>
Aplocus                                  | Animal    | Mollusca                   | -99600000     | -93500000    | <>
Apocopodon                               | Animal    | Chordata                   | -100500000    | -66000000    | Apocopodon
Apodichelys                              | Animal    | Chordata                   | -93500000     | -89300000    | <>
Apodolichurus                            | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Apoglaesoconis                           | Animal    | Arthropoda                 | -93900000     | -89800000    | <>
Apophisandra                             | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Apoplacophyllia                          | Animal    | Cnidaria                   | -99600000     | -93500000    | <>
Aporrhais                                | Animal    | Mollusca                   | -145000000    | -66000000    | Aporrhais
Apotomoura                               | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Appendicisporites                        | Plant     | Pteridophyta               | -100500000    | -5333000     | <>
Apricardia                               | Animal    | Mollusca                   | -100500000    | -89800000    | <>
Apsopelix                                | Animal    | Chordata                   | -100500000    | -66000000    | Apsopelix
Aptenoperissus                           | Animal    | Arthropoda                 | -99600000     | -93500000    | Aptenoperissus
Aptyxiella                               | Animal    | Mollusca                   | -99600000     | -93500000    | <>
Aquaephyllum                             | Plant     | Angiospermae               | -100500000    | -61700000    | <>
Aquilolamna                              | Animal    | Chordata                   | -93500000     | -89300000    | Aquilolamna
Aquilomyrmex                             | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Aquilonia                                | Animal    | Mollusca                   | -93500000     | -89300000    | <>
Arabicodium                              | Plant     | Chlorophyta                | -99600000     | -93500000    | Arabicodium
Aradoleptus                              | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Araeopleura                              | Animal    | Mollusca                   | -99600000     | -93500000    | <>
Araliaephyllum                           | Plant     | Spermatophyta              | -100500000    | -66000000    | <>
Aralia                                   | Plant     | Spermatophyta              | -100500000    | -66000000    | Aralia
Aralobatrachus                           | Animal    | Chordata                   | -93500000     | -89300000    | Aralobatrachus
Araloselachus                            | Animal    | Chordata                   | -100500000    | -66000000    | <>
Araripegomphus                           | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Araripemys                               | Animal    | Chordata                   | -105300000    | -93500000    | Araripemys
Araripesuchus                            | Animal    | Chordata                   | -99600000     | -93500000    | Araripesuchus
Araripichthys                            | Animal    | Chordata                   | -93500000     | -89300000    | Araripichthys
Araucariacites                           | Plant     | Pinophyta                  | -100500000    | -33900000    | <>
Araucaria                                | Plant     | Pinophyta                  | -100500000    | -33900000    | Araucaria
Araucarioxylon                           | Plant     | Pinophyta                  | -145000000    | -66000000    | Araucarioxylon
Araucarites                              | Plant     | Pinophyta                  | -100500000    | -66000000    | <>
Arca                                     | Animal    | Mollusca                   | -93900000     | -89800000    | Arca
Arcanodraco                              | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Arcantiodelphys                          | Animal    | Chordata                   | -99600000     | -93500000    | Arcantiodelphys
Arcellites                               | Plant     | Pteridophyta               | -100500000    | -89800000    | <>
Archaeanthus                             | Plant     | Spermatophyta              | -145000000    | -66000000    | <>
Archaelagonops                           | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Archaeocarabus                           | Animal    | Arthropoda                 | -100500000    | -66000000    | <>
Archaeocenosphaera                       | Micro     | Radiolaria                 | -93500000     | -89300000    | <>
Archaeocerus                             | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Archaeodictyomitra                       | Micro     | Radiolaria                 | -109000000    | -93500000    | <>
Archaeodraena                            | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Archaeognoriste                          | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Archaeolamna                             | Animal    | Chordata                   | -105300000    | -93500000    | Archaeolamna
Archaeolithothamnium                     | Plant     | Rhodophyta                 | -93500000     | -89300000    | <>
Archaeomalthodes                         | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Archaeoniscus                            | Animal    | Arthropoda                 | -145000000    | -66000000    | Archaeoniscus
Archaeopone                              | Animal    | Arthropoda                 | -93900000     | -89800000    | <>
Archaeopus                               | Animal    | Arthropoda                 | -100500000    | -66000000    | <>
Archaeorhyssalus                         | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Archaeornithomimus                       | Animal    | Chordata                   | -93500000     | -89300000    | Archaeornithomimus
Archaeoscorpiops                         | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Archaeospongoprunum                      | Micro     | Radiolaria                 | -105300000    | -89800000    | <>
Archaeostephanus                         | Animal    | Arthropoda                 | -93900000     | -89800000    | <>
Archaeosymphrasis                        | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Archaeoteleia                            | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Archaeozenodosus                         | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Archaeozostera                           | Plant     | Angiospermae               | -100500000    | -66000000    | <>
Archaeromma                              | Animal    | Arthropoda                 | -93900000     | -89800000    | <>
Archaeserropalpus                        | Animal    | Arthropoda                 | -93900000     | -89800000    | <>
Archaicaripipteryx                       | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Archearadus                              | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Archecalisius                            | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Archemastax                              | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Archeofoenus                             | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Archeorhinotermes                        | Animal    | Arthropoda                 | -99600000     | -93500000    | Archeorhinotermes
Archiacia                                | Animal    | Echinodermata              | -99600000     | -93500000    | <>
Archiaustroconops                        | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Archichrysotus                           | Animal    | Arthropoda                 | -93900000     | -89800000    | Archichrysotus
Archicnephia                             | Animal    | Arthropoda                 | -93900000     | -89800000    | <>
Archimelzira                             | Animal    | Arthropoda                 | -93900000     | -89800000    | <>
Archingeayia                             | Animal    | Chordata                   | -99600000     | -93500000    | Archingeayia
Archmosaicus                             | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Archosolva                               | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Arcodonichthys                           | Animal    | Chordata                   | -145000000    | -66000000    | <>
Arcopagia                                | Animal    | Mollusca                   | -93900000     | -89800000    | <>
Arctangia                                | Animal    | Cnidaria                   | -93500000     | -89300000    | <>
Arctica                                  | Animal    | Mollusca                   | -100500000    | -89800000    | Arctica_(bivalve)
Arcuatoscalpellum                        | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Arcuatothyris                            | Animal    | Brachiopoda                | -99600000     | -93500000    | <>
Arecipites                               | Plant     | Angiospermae               | -100500000    | -56000000    | <>
Arenobulimina                            | Micro     | Foraminifera               | -99600000     | -93500000    | <>
Argentinosaurus                          | Animal    | Chordata                   | -99600000     | -89800000    | Argentinosaurus
Argonauticeras                           | Animal    | Mollusca                   | -93500000     | -89300000    | Argonauticeras
Argyrotheca                              | Animal    | Brachiopoda                | -100500000    | -66000000    | Argyrotheca
Ariadnaesporites                         | Plant     | Pteridophyta               | -100500000    | -66000000    | <>
Ariadnaria                               | Animal    | Mollusca                   | -99600000     | -93500000    | Ariadnaria
Arkhangelskiella                         | Plant     | Haptophyta                 | -93500000     | -89300000    | <>
Armadillopsis                            | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Armenocerithium                          | Animal    | Mollusca                   | -93900000     | -89800000    | <>
Arrhoges                                 | Animal    | Mollusca                   | -93900000     | -89800000    | Arrhoges
Arthraster                               | Animal    | Echinodermata              | -93500000     | -89300000    | <>
Arzamazorhinus                           | Animal    | Arthropoda                 | -93500000     | -85800000    | <>
Ascalapharia                             | Animal    | Arthropoda                 | -93900000     | -89800000    | <>
Ascensovoluta                            | Animal    | Mollusca                   | -93500000     | -89300000    | <>
Aschizomyia                              | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Asflapristis                             | Animal    | Chordata                   | -93500000     | -89300000    | <>
Asiaceratops                             | Animal    | Chordata                   | -99600000     | -93500000    | Asiaceratops
Asiamericana                             | Animal    | Chordata                   | -93500000     | -89300000    | Asiamericana
Aspanlestes                              | Animal    | Chordata                   | -93500000     | -86300000    | <>
Aspidastraea                             | Animal    | Cnidaria                   | -93900000     | -89800000    | <>
Aspidiscus                               | Animal    | Cnidaria                   | -99600000     | -93500000    | <>
Asplenium                                | Plant     | Pteridophyta               | -100500000    | -66000000    | Asplenium
Astacodes                                | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Astacolus                                | Micro     | Foraminifera               | -93500000     | -89300000    | <>
Astandes                                 | Animal    | Mollusca                   | -93900000     | -89800000    | <>
Astarte                                  | Animal    | Mollusca                   | -145000000    | -66000000    | Astarte_(bivalve)
