Buchia                                   | Animal    | Mollusca                   | -132900000    | -125000000   | <>
Bukrylithus                              | Plant     | Haptophyta                 | -136400000    | -130000000   | <>
Bullopora                                | Micro     | Foraminifera               | -136400000    | -130000000   | <>
Burejospermum                            | Plant     | Ginkgophyta                | -145000000    | -130000000   | <>
Burgundia                                | Animal    | Porifera                   | -130000000    | -125450000   | Burgundia
Burmantis                                | Animal    | Arthropoda                 | -130000000    | -125450000   | <>
Buvignieria                              | Animal    | Mollusca                   | -130000000    | -125450000   | <>
Byakudansauropus                         | Animal    | Chordata                   | -139800000    | -125000000   | <>
Bythocypris                              | Animal    | Arthropoda                 | -130000000    | -125450000   | <>
Cadosina                                 | Micro     | Ciliophora                 | -132900000    | -125000000   | <>
Caenoephemera                            | Animal    | Arthropoda                 | -130000000    | -125450000   | <>
Calamophyllia                            | Animal    | Cnidaria                   | -130000000    | -125450000   | <>
Calamopleurus                            | Animal    | Chordata                   | -145000000    | -100500000   | Calamopleurus
Calanquites                              | Animal    | Mollusca                   | -130000000    | -125450000   | <>
Calcligula                               | Animal    | Echinodermata              | -136400000    | -130000000   | <>
Caletaster                               | Animal    | Echinodermata              | -130000000    | -125450000   | <>
Callialasporites                         | Plant     | Coniferophyta              | -130000000    | -125450000   | <>
Callianassa                              | Animal    | Arthropoda                 | -145000000    | -100500000   | Callianassa
Calliomphalus                            | Animal    | Mollusca                   | -130000000    | -125450000   | Calliomphalus
Calliphylloceras                         | Animal    | Mollusca                   | -130000000    | -125450000   | Calliphylloceras
Caloxanthus                              | Animal    | Arthropoda                 | -145000000    | -100500000   | <>
Camarillasaurus                          | Animal    | Chordata                   | -130000000    | -125450000   | Camarillasaurus
Camelomorpha                             | Animal    | Arthropoda                 | -130000000    | -125450000   | <>
Camerochelys                             | Animal    | Chordata                   | -132900000    | -125000000   | <>
Camerospongia                            | Animal    | Porifera                   | -132900000    | -129400000   | <>
Campanellula                             | Micro     | Foraminifera               | -130000000    | -125450000   | <>
Camptodocis                              | Animal    | Cnidaria                   | -130000000    | -125450000   | <>
Camptonectes                             | Animal    | Mollusca                   | -152100000    | -100500000   | <>
Candona                                  | Animal    | Arthropoda                 | -136400000    | -125450000   | Candona
Cantalera                                | Animal    | Chordata                   | -130000000    | -125450000   | <>
Cantioscyllium                           | Animal    | Chordata                   | -130000000    | -125450000   | Cantioscyllium
Capillithyris                            | Animal    | Brachiopoda                | -136400000    | -130000000   | <>
Caprina                                  | Animal    | Mollusca                   | -140200000    | -125000000   | Caprina
Carcharias                               | Animal    | Chordata                   | -130000000    | -125450000   | Carcharias
Carcharodontosaurus                      | Animal    | Chordata                   | -145000000    | -100500000   | Carcharodontosaurus
Carcineretes                             | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Cardiaster                               | Animal    | Echinodermata              | -145000000    | -66000000    | <>
Cardioecia                               | Animal    | Bryozoa                    | -130000000    | -125450000   | <>
Cardita                                  | Animal    | Mollusca                   | -132900000    | -129400000   | Cardita
Cardium                                  | Animal    | Mollusca                   | -130000000    | -125450000   | Cardium
Carinacaris                              | Animal    | Arthropoda                 | -145000000    | -66000000    | Carinacaris
Caririchnium                             | Animal    | Chordata                   | -130000000    | -122460000   | Caririchnium
Carlclausus                              | Animal    | Arthropoda                 | -136400000    | -130000000   | <>
Carneithyris                             | Animal    | Brachiopoda                | -145000000    | -66000000    | <>
Carpathocodium                           | Plant     | Chlorophyta                | -132900000    | -125450000   | <>
Carpathoporella                          | Animal    | Cnidaria                   | -132900000    | -129400000   | <>
Carpiliopsis                             | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Carpopenaeus                             | Animal    | Arthropoda                 | -145000000    | -66000000    | Carpopenaeus
Caspiconcha                              | Animal    | Mollusca                   | -130000000    | -125450000   | <>
Cassiope                                 | Animal    | Mollusca                   | -130000000    | -113000000   | Cassiope
Cassissuchus                             | Animal    | Chordata                   | -130000000    | -125450000   | <>
Caturus                                  | Animal    | Chordata                   | -130000000    | -125450000   | Caturus
Caudipteryx                              | Animal    | Chordata                   | -130000000    | -122460000   | Caudipteryx
Caytonia                                 | Plant     | Ginkgophyta                | -130000000    | -113000000   | Caytonia
Ceata                                    | Animal    | Bryozoa                    | -130000000    | -125450000   | <>
Cecrops                                  | Micro     | Radiolaria                 | -130000000    | -122460000   | Cecrops
Cedrorestes                              | Animal    | Chordata                   | -130000000    | -125450000   | Cedrorestes
Celastrophyllum                          | Plant     | Spermatophyta              | -145000000    | -100500000   | <>
Celtedens                                | Animal    | Chordata                   | -130000000    | -125450000   | Celtedens
Celtipristis                             | Animal    | Chordata                   | -130000000    | -125450000   | <>
Celyphus                                 | Micro     | Cyanobacteria              | -139800000    | -125000000   | Celyphus
Cementula                                | Animal    | Annelida                   | -130000000    | -125450000   | <>
Cenocampoides                            | Animal    | Mollusca                   | -130000000    | -125450000   | <>
Cenomanocarcinus                         | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Cenosphaera                              | Micro     | Radiolaria                 | -139800000    | -125000000   | <>
Centroscymnus                            | Animal    | Chordata                   | -136400000    | -130000000   | Centroscymnus
Cephalotaxopsis                          | Plant     | Coniferophyta              | -145000000    | -100500000   | <>
Cephalotaxospermum                       | Plant     | Pinophyta                  | -145000000    | -66000000    | <>
Ceratodus                                | Animal    | Chordata                   | -130000000    | -93500000    | Ceratodus
Ceratosaurus                             | Animal    | Chordata                   | -152100000    | -130000000   | Ceratosaurus
Ceratosiphon                             | Animal    | Mollusca                   | -130000000    | -125450000   | <>
Ceratosporites                           | Plant     | Pteridophyta               | -139800000    | -125000000   | <>
Ceratostreon                             | Animal    | Mollusca                   | -130000000    | -125450000   | <>
Cercomya                                 | Animal    | Mollusca                   | -139800000    | -125000000   | <>
