Anomala                                  | Animal    | Arthropoda                 | -28400000     | -23030000    | Anomala
Anomalina                                | Micro     | Foraminifera               | -33900000     | -23030000    | <>
Anomalinoides                            | Micro     | Foraminifera               | -28100000     | -23030000    | <>
Anomalocardia                            | Animal    | Mollusca                   | -28100000     | -20440000    | Anomalocardia
Anomia                                   | Animal    | Mollusca                   | -28100000     | -23030000    | Anomia_(bivalve)
Anomoemys                                | Animal    | Chordata                   | -28400000     | -23030000    | <>
Anomotherium                             | Animal    | Chordata                   | -28100000     | -23030000    | Anomotherium
Anopheles                                | Animal    | Arthropoda                 | -28100000     | -23030000    | Anopheles
Anoura                                   | Animal    | Chordata                   | -33900000     | -23030000    | Anoura
Anoxypristis                             | Animal    | Chordata                   | -28400000     | -23030000    | Anoxypristis
Ansomys                                  | Animal    | Chordata                   | -28400000     | -23030000    | <>
Antalis                                  | Animal    | Mollusca                   | -28100000     | -23030000    | Antalis
Antawallathentes                         | Animal    | Chordata                   | -29000000     | -21000000    | <>
Anthemiphyllia                           | Animal    | Cnidaria                   | -28100000     | -20440000    | <>
Anthicus                                 | Animal    | Arthropoda                 | -28100000     | -23030000    | Anthicus
Anthidium                                | Animal    | Arthropoda                 | -28100000     | -23030000    | Anthidium
Anthoceros                               | Plant     | Anthocerophyta             | -28400000     | -11608000    | Anthoceros
Anthocyrtidium                           | Micro     | Radiolaria                 | -33900000     | -23030000    | <>
Antholithes                              | Plant     | Pteridospermophyta         | -33900000     | -23030000    | <>
Anthomyia                                | Animal    | Arthropoda                 | -28400000     | -23030000    | Anthomyia
Anthophagus                              | Animal    | Arthropoda                 | -28400000     | -23030000    | Anthophagus
Anthophorites                            | Animal    | Arthropoda                 | -28100000     | -23030000    | <>
Anthracida                               | Animal    | Arthropoda                 | -28400000     | -23030000    | <>
Anthracotherium                          | Animal    | Chordata                   | -28100000     | -23030000    | Anthracotherium
Anthropornis                             | Animal    | Chordata                   | -28400000     | -15970000    | Anthropornis
Antigona                                 | Animal    | Mollusca                   | -28400000     | -23030000    | Antigona_(bivalve)
Antiguastrea                             | Animal    | Cnidaria                   | -28100000     | -20440000    | <>
Antillipecten                            | Animal    | Mollusca                   | -28100000     | -20440000    | <>
Antillocyathus                           | Animal    | Cnidaria                   | -28100000     | -20440000    | <>
Antillophos                              | Animal    | Mollusca                   | -28100000     | -23030000    | Antillophos
Antillophyllia                           | Animal    | Cnidaria                   | -28100000     | -23030000    | Antillophyllia
Antimelatoma                             | Animal    | Mollusca                   | -28400000     | -15970000    | Antimelatoma
Antiplanes                               | Animal    | Mollusca                   | -28100000     | -23030000    | Antiplanes
Aotearichthys                            | Animal    | Chordata                   | -25200000     | -21700000    | <>
Apalone                                  | Animal    | Chordata                   | -28400000     | -23030000    | Apalone
Apanteles                                | Animal    | Arthropoda                 | -28100000     | -23030000    | Apanteles
Apeomys                                  | Animal    | Chordata                   | -28400000     | -22400000    | <>
Aphaenogaster                            | Animal    | Arthropoda                 | -28400000     | -23030000    | Aphaenogaster
Aphananthe                               | Plant     | Spermatophyta              | -28100000     | -23030000    | Aphananthe
Aphanitoma                               | Animal    | Mollusca                   | -28100000     | -23030000    | Aphanitoma
Aphanus                                  | Animal    | Arthropoda                 | -28100000     | -23030000    | Aphanus
Aphidius                                 | Animal    | Arthropoda                 | -28100000     | -23030000    | Aphidius
Aphodius                                 | Animal    | Arthropoda                 | -28100000     | -23030000    | Aphodius
Aphrocallistes                           | Animal    | Porifera                   | -28100000     | -23030000    | Aphrocallistes
Aphrophora                               | Animal    | Arthropoda                 | -28100000     | -23030000    | Aphrophora
Apiocypraea                              | Animal    | Mollusca                   | -28100000     | -23030000    | <>
Apiotoma                                 | Animal    | Mollusca                   | -28400000     | -15970000    | Apiotoma
Apis                                     | Animal    | Arthropoda                 | -28100000     | -23030000    | Apis
Apocynophyllum                           | Plant     | Spermatophyta              | -33900000     | -23030000    | <>
Apogon                                   | Animal    | Chordata                   | -28100000     | -23030000    | Apogon
Apogonidarum                             | Animal    | Chordata                   | -28100000     | -23030000    | <>
Apolymetis                               | Animal    | Mollusca                   | -28100000     | -23030000    | <>
Aporrhais                                | Animal    | Mollusca                   | -28100000     | -23030000    | Aporrhais
Apostasella                              | Animal    | Chordata                   | -33900000     | -23030000    | <>
Appendicisporites                        | Plant     | Pteridophyta               | -100500000    | -5333000     | <>
Aprotodon                                | Animal    | Chordata                   | -28400000     | -23030000    | <>
Apterodon                                | Animal    | Chordata                   | -28400000     | -23030000    | Apterodon
Aquarius                                 | Animal    | Arthropoda                 | -28100000     | -23030000    | Aquarius_(bug)
Aquilofusus                              | Animal    | Mollusca                   | -28100000     | -23030000    | <>
Aquisextana                              | Animal    | Arthropoda                 | -28100000     | -23030000    | <>
Aquitanastraea                           | Animal    | Cnidaria                   | -28100000     | -23030000    | <>
Aquitanophyllia                          | Animal    | Cnidaria                   | -28100000     | -23030000    | <>
Araceaeites                              | Plant     | Angiospermae               | -33900000     | -23030000    | <>
Arachnopusia                             | Animal    | Bryozoa                    | -28100000     | -23030000    | <>
Aracispermum                             | Plant     | Angiospermae               | -28100000     | -23030000    | <>
Aralia                                   | Plant     | Spermatophyta              | -28100000     | -23030000    | Aralia
Aralocricetodon                          | Animal    | Chordata                   | -28400000     | -23030000    | <>
Araloselachus                            | Animal    | Chordata                   | -28100000     | -23030000    | <>
Aralosorex                               | Animal    | Chordata                   | -28400000     | -23030000    | <>
Aralotherium                             | Animal    | Chordata                   | -28400000     | -23030000    | Aralotherium
Araneaovoius                             | Animal    | Arthropoda                 | -33900000     | -23030000    | <>
Araneus                                  | Animal    | Arthropoda                 | -28400000     | -23030000    | Araneus
Araucariacites                           | Plant     | Pinophyta                  | -28400000     | -11608000    | <>
Araucaria                                | Plant     | Pinophyta                  | -28400000     | -15970000    | Araucaria
Arbacia                                  | Animal    | Echinodermata              | -28100000     | -23030000    | Arbacia
Arbacina                                 | Animal    | Echinodermata              | -28100000     | -23030000    | <>
Arbia                                    | Animal    | Echinodermata              | -28100000     | -23030000    | <>
Arca                                     | Animal    | Mollusca                   | -28100000     | -23030000    | Arca
Archaebelyta                             | Animal    | Arthropoda                 | -28400000     | -23030000    | <>
Archaeochrysa                            | Animal    | Arthropoda                 | -28400000     | -23030000    | <>
