Daopingia                                | Animal    | Arthropoda                 | -513000000    | -505000000   | <>
Dasometopus                              | Animal    | Arthropoda                 | -505000000    | -501000000   | <>
Davidocinctus                            | Animal    | Echinodermata              | -513000000    | -501000000   | <>
Dawsonia                                 | Animal    | Arthropoda                 | -513000000    | -501000000   | Dawsonia
Decoritheca                              | Animal    | Hyolitha                   | -513000000    | -501000000   | <>
Deiracephalus                            | Animal    | Arthropoda                 | -513000000    | -498500000   | Deiracephalus
Deiradonyx                               | Animal    | Arthropoda                 | -513000000    | -505000000   | <>
Delamarella                              | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Deltina                                  | Animal    | Arthropoda                 | -513000000    | -505000000   | <>
Dendrograptus                            | Animal    | Hemichordata               | -541000000    | -485400000   | Dendrograptus
Densonella                               | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Derikaspis                               | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Diagoniella                              | Animal    | Porifera                   | -513000000    | -498500000   | Diagoniella
Dibrachicystis                           | Animal    | Echinodermata              | -513000000    | -501000000   | Dibrachicystis
Dicellomus                               | Animal    | Brachiopoda                | -513000000    | -501000000   | <>
Dicranocaris                             | Animal    | Arthropoda                 | -513000000    | -498500000   | <>
Dictyonema                               | Animal    | Hemichordata               | -541000000    | -485400000   | Dictyonema
Dictyonina                               | Animal    | Brachiopoda                | -505000000    | -501000000   | <>
Dielymella                               | Animal    | Arthropoda                 | -513000000    | -507000000   | <>
Diencobolus                              | Animal    | Brachiopoda                | -505000000    | -498500000   | <>
Dikelocephalus                           | Animal    | Arthropoda                 | -541000000    | -485400000   | Dikelocephalus
Dinesus                                  | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Dioxycaris                               | Animal    | Arthropoda                 | -513000000    | -505000000   | <>
Dipentaspis                              | Animal    | Arthropoda                 | -505000000    | -498500000   | Dipentaspis
Diplagnostus                             | Animal    | Arthropoda                 | -505000000    | -497000000   | <>
Diplorrhina                              | Animal    | Arthropoda                 | -513000000    | -501000000   | Diplorrhina
